CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_STROKE	CHINESE_VALENCE_MEAN	CHINESE_AROUSAL_MEAN	CHINESE_PERCEPTUAL_MEAN	CHINESE_FAMILIARITY_MEAN	CHINESE_IMAGEABILITY_MEAN	CHINESE_POS	LINE_IN_SOURCE
10	FIREWOOD	柴火	14	5.94	4.06	5.53	5.608696		noun	1286
1001	BLACKSMITH	铁匠	16	5.44	4.38	4.44	5.304348		noun	319
1002	STATUE	雕像	29	5.5	3.33	3.5	5.892857	6.8	noun	3345
1004	MUSCLE	肌肉	12	6	5.38	4.12	6.176471	6.18182	noun	2185
1008	BULL	公牛	8	4.94	5.81	4.81	5.785714		noun	423
1011	BRIDGE	桥	10	6.19	4	4.56			noun	398
1021	TOWEL	毛巾	7	5.31	3.94	5.19	6.916667	7	noun	3652
1030	NECESSARY	必须	14	4.12	5.19	3.06	6.5	3.95	adverb	4664
1038	TEACHER	老师	12	6.38	5.38	5.06	6.8	6.55	noun	3533
1039	SHOW	展示	15	5.59	4.62	2.94	6.916667	3.78261	verb	3152
1041	INCREASE	增加	20	5.62	4.62	5.56	6.381818	4.2	verb	1691
1042	CARPENTER	木匠	10	6.06	4.12	4.31	6.117647	6.25	noun	495
1043	BRAID	辫子	20	5.81	4.94		6.666667	6.85714	noun	373
1044	PILLOW	枕头	13	6.12	4.06	6.75	6.7	6.68182	noun	2525
1045	POET	诗人	10	6.69	4.06	5.19	6.08	5	noun	2573
1046	SHUT	关闭	12	4.47	4.69	5.25	6.875	4.86957	verb	633
1047	PURSUE	追求	16	6.06	5.25	4.44	6.875	4.21739	verb	4862
1054	SMALLPOX	天花	11	3.35	5.5	2.5	4.6		noun	3227
1063	NEPHEW	侄子	11	6	4	2.31	6.363636	6.36842	noun	2220
1071	HOOK	钩	9	5.12	4.81	4.56			noun	1606
1075	TRAP (PITFALL)	陷阱	16	3	6.5	4.62	5.5	5	noun	4389
1076	EMERGE (APPEAR)	出现	13	5.26	5.21	3.06	6.466667	3.9	verb	129
1077	WHEAT	小麦	10	5.94	4.06	5.56	6.541667	6.90476	noun	3900
1082	MERCHANT	商人	13	4.94	5.12	3.38	6.041667	6.08696	noun	444
1085	FOLLOW	跟随	24	4.94	4.88	5.28		4.90909	verb	1319
1090	BE BORN	出生	10	6	5		6.454545	5.45	verb	307
1093	MIDDLE	中间	11	5.31	3.69	3.12	6.628571	5	noun	2086
1095	LET GO OR SET FREE	释放	20	6.56	4.31	5.5		4.19048	verb	2855
1096	SONG	歌曲	20	6.75	5.12	5.06	6.653846	5.93103	noun	3264
1100	COOK (SOMETHING)	烹饪	18	6.47	4.19	5.88	6.407407	6.26087	verb	772
1104	NURSE	护士	10	6.25	4.19	3.38	6.69697	6.75	noun	2263
1105	CAMP	营地	17	5.38	5.12	3.38	5.020408		noun	466
1109	WOUND	伤口	9	3.94	5.56	5.31	6.272727	6.33333	noun	4023
1111	CAR	汽车	11	5.88	4.94	5.22	6.428571	6.90476	noun	206
1112	SUCCEED	完成	13	7.03	5.41	5.31	6.3125	4.5	verb	22
1114	BULLET	子弹	14	4.06	6.31	6.25	5.214286	6.7	noun	426
1115	SPEECH	演讲	20	5.69	5.88	5.38	6.535714	6.43478	verb	3295
1117	LIKE	喜欢	18	7.5	5.88	7	6.5	4.05	verb	4589
112	TURTLE	乌龟	11	5.5	3.88	4.44	6.264706	6.54545	noun	4387
1120	HONEST	诚实	16	6.56	4.31	5.06	6.683333	4.44444	adjective	4734
1121	SECRET	保密	20	5.06	5.06	4.76	5.916667		verb	3072
1122	WAGES	薪水	20	6.71	5.88	5.18	5.921053		noun	2987
1123	PREGNANT	怀孕	12	4.56	6.38	5.19	5.851852	6.8	verb	2633
1129	PAINFUL	痛苦	20	2.31	5.88	6.06	5.703704	4.65	adjective	4019
1135	KICK	踢	15	4.38	5.19	5.44			verb	1822
1139	LEOPARD	豹子	13	4.81	4.56	4.62	5		noun	1901
1142	URINE	尿	7	3.75	4.81	5.06			noun	3767
1145	SWAMP	沼泽	16	3.62	5.44	3.62	6.321429	5.16667	noun	3474
1146	AUBERGINE	茄子	11	5.5	4.44	4.47	6.333333	6.90909	noun	1106
1149	ORPHAN	孤儿	10	3.31	4.81	4.44	5.71875	6.04762	noun	2328
1156	OPEN	打开	9	5.12	4.19	3.56	6.642857	5	verb	2300
1158	STEP	台阶	11	5.06	5.19	3.12	6.363636	6.31579	noun	3360
1159	FART	放屁	15	4.27	6.31	5.89			verb	1243
1160	THIEF	小偷	14	2.12	5.94	5.19	6.068681	6.09756	noun	3594
