CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_CLICS3_WKB	AROUSAL_LANGUAGE_CLICS3_WKB	DOMINANCE_LANGUAGE_CLICS3_WKB	VALENCE_LANGUAGE_FAMILY_CLICS3_WKB	AROUSAL_LANGUAGE_FAMILY_CLICS3_WKB	DOMINANCE_LANGUAGE_FAMILY_CLICS3_WKB	VALENCE_MEAN_CLICS3_WKB	AROUSAL_MEAN_CLICS3_WKB	DOMINANCE_MEAN_CLICS3_WKB	LINE_IN_SOURCE
10	FIREWOOD	firewood	5.61616379310345	4.12939655172414	5.72935344827586	5.78111111111111	4.08416666666667	5.56611111111111	5.968	3.806	5.546	717
100	FAITHFUL	faithful	6.77337009884681	3.7277054287694	6.8822554043951	6.80118744923864	3.83486687015414	6.82280531126157	6.74333633512464	3.8379567020812	6.73553723145946	251
1000	ANXIETY	anxiety	2.85230769230769	5.42410256410256	3.60897435897436	3.02782608695652	5.3404347826087	3.77260869565217	3.32	5.39	4.038	238
1001	BLACKSMITH	blacksmith	5	4.16	5.55	5	4.16	5.55	5	4.16	5.55	613
1002	STATUE	statue	5.4	4.38	6.76	5.4	4.38	6.76	5.4	4.38	6.76	956
1003	PERMIT	permit	6.53268817204301	4.15660215053763	5.41365591397849	6.30600961538462	4.15605769230769	5.4025	6.19755555555556	4.08644444444444	5.26044444444444	1165
1005	TWINS	twins	5.95	3.35	6.68	5.95	3.35	6.68	5.95	3.35	6.68	1235
1006	BRICK	brick	5.25	3.89	5.55	5.25	3.89	5.55	5.25	3.89	5.55	1432
1007	COW	cow	5.00396551724138	3.42155172413793	5.43887931034483	4.98509090909091	3.54145454545455	5.51109090909091	5.06333333333333	3.68666666666667	5.52166666666667	647
1008	BULL	bull	5.1312213740458	3.55717557251908	5.60450381679389	5.35210526315789	3.35868421052632	5.42421052631579	5.675	3.4775	5.42	800
101	BOAST	boast	7	5.16333333333333	6.93166666666667	7	5.01461538461538	6.87076923076923	7	4.39	6.615	321
1010	BOUNDARY	boundary	4.69058610400682	4.1803431372549	4.5134484228474	4.74526315789474	4.11520676691729	4.60614661654135	4.912	3.91066666666667	4.76066666666667	324
1011	BRIDGE	bridge	5.34464285714286	4.01392857142857	5.59857142857143	5.366	3.948	5.632	5.435	3.735	5.74	703
1012	LATCH	latch	4.84148148148148	3.18222222222222	4.65666666666667	4.83	3.18272727272727	4.66090909090909	5.19333333333333	3.41	5.34	978
1014	OR	or	5.02593611274529	3.91514271330838	5.16787605144357	4.77889029925388	3.93571670419216	5.05079513716173	4.82405964797223	3.94721087849843	5.1318379957207	292
1018	MEMORY	memory	6.78571428571429	5.04428571428571	6.17285714285714	6.8	5.04333333333333	6.18666666666667	6.85	5.04	6.235	1296
1019	RIGHT	right	7.13580567181682	3.6768707495536	6.75638648665089	7.08634271025921	3.79201915942378	6.59523921910416	6.99389089008309	3.97863780138747	6.45369148763964	641
1021	TOWEL	towel	4.21	2.65	4.45	4.21	2.65	4.45	4.21	2.65	4.45	852
1025	WHISTLE	whistle	6.1	4.48	5	6.1	4.48	5	6.1	4.48	5	1137
1029	JEWEL	jewel	6	3.26230769230769	5.79153846153846	6.02333333333333	3.26444444444444	5.77666666666667	5.9475	3.2575	5.825	557
1032	CITIZEN	citizen	6.02838467923628	3.77343735382798	5.66388812949674	6.15342731212772	3.78394660322849	5.7383387556997	6.23653266773149	3.80176318027987	5.80240157351599	327
1033	GRIND	grind	4.97001057372933	3.73897373790369	5.20608201708436	4.77457149642238	4.04646222875225	5.28923734907162	4.70794394991866	4.27425018641423	5.30543892169923	527
1034	DEFENDANT	defendant	3.09	4.65	4.5	3.09	4.65	4.5	3.09	4.65	4.5	1352
1035	GOOD	good	7.25150338124824	4.61021639736693	6.46144032550909	7.2065681599557	4.47512776112629	6.40788520324627	6.96925746926905	4.49067792428712	6.07705591049651	256
1038	TEACHER	teacher	5.65666666666667	4.18666666666667	4.50333333333333	5.606	4.016	4.77	5.625	4.08	4.67	1303
1039	SHOW	show	6.12657142857143	3.75485714285714	5.766	5.96666666666667	3.84111111111111	5.81925925925926	6.00833333333333	3.885	5.855	210
1040	HAIR	hair	6.095	3.44691780821918	5.86767123287671	5.93061224489796	3.52918367346939	5.81877551020408	5.58166666666667	3.625	5.63333333333333	678
