CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_CLICS3_NRCVAD	AROUSAL_LANGUAGE_CLICS3_NRCVAD	DOMINANCE_LANGUAGE_CLICS3_NRCVAD	VALENCE_LANGUAGE_FAMILY_CLICS3_NRCVAD	AROUSAL_LANGUAGE_FAMILY_CLICS3_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_CLICS3_NRCVAD	VALENCE_MEAN_CLICS3_NRCVAD	AROUSAL_MEAN_CLICS3_NRCVAD	DOMINANCE_MEAN_CLICS3_NRCVAD	LINE_IN_SOURCE
10	FIREWOOD	firewood	0.487508620689655	0.367887931034483	0.459823275862069	0.512555555555556	0.403777777777778	0.476555555555556	0.5578	0.459	0.4686	720
100	FAITHFUL	faithful	0.797553191489362	0.35536170212766	0.709425531914894	0.798	0.353818181818182	0.711818181818182	0.795	0.3495	0.7105	252
1000	ANXIETY	anxiety	0.129461538461538	0.733846153846154	0.468307692307692	0.162347826086957	0.706434782608696	0.469086956521739	0.2112	0.7152	0.4906	239
1001	BLACKSMITH	blacksmith	0.52	0.424	0.686	0.52	0.424	0.686	0.52	0.424	0.686	616
1002	STATUE	statue	0.684	0.805	0.853	0.684	0.805	0.853	0.684	0.805	0.853	959
1003	PERMIT	permit	0.658120430107527	0.407804301075269	0.543313978494624	0.634754807692308	0.423302884615385	0.553653846153846	0.6104	0.4268	0.566577777777778	1168
1005	TWINS	twins	0.552	0.317	0.304	0.552	0.317	0.304	0.552	0.317	0.304	1238
1006	BRICK	brick	0.5	0.319	0.328	0.5	0.319	0.328	0.5	0.319	0.328	1437
1007	COW	cow	0.560887931034483	0.425086206896552	0.485620689655172	0.548636363636364	0.434945454545455	0.484818181818182	0.527333333333333	0.443333333333333	0.473166666666667	650
1008	BULL	bull	0.445274809160305	0.360198473282443	0.398167938931298	0.481105263157895	0.339631578947368	0.402105263157895	0.525	0.3745	0.463	803
101	BOAST	boast	0.906	0.699	0.846	0.906	0.698615384615385	0.835615384615385	0.906	0.697	0.792	322
1010	BOUNDARY	boundary	0.350652173913043	0.386152173913043	0.362739130434783	0.363964285714286	0.383	0.368571428571429	0.3632	0.352	0.3326	325
1011	BRIDGE	bridge	0.558928571428572	0.434892857142857	0.374607142857143	0.558	0.4322	0.389	0.555	0.4235	0.4355	706
1012	LATCH	latch	0.349814814814815	0.494481481481481	0.566814814814815	0.352090909090909	0.488	0.562954545454545	0.448333333333333	0.381333333333333	0.525333333333333	981
