CONCEPTICON_ID	CONCEPTICON_GLOSS	JAPANESE	ENGLISH	JAPANESE_POS	JAPANESE_BOI_MEAN	JAPANESE_BOI_MIN	JAPANESE_BOI_MAX	LINE_IN_SOURCE
1020	HANDKERCHIEF	ハンカチ	Handkerchief	Noun	5.895833333333334	1	7	667
1070	BUS	バス	Bus	Noun	5	1	7	627
1124	PIPE	パイプ	Pipe	Noun	4.459999999999999	1	7	619
1223	HEART	ハート	Heart	Noun	1.84	1	5	603
1231	NEW	新しい	New	Adjective	1.7	1	6	3270
1287	COLD	寒い	Cold	Adjective	2.5306122448979593	1	7	2493
1302	FORK	フォーク	Folk	Noun	5.098039215686274	1	7	729
1315	RADIO	ラジオ	Radio	Noun	4.571428571428571	1	7	955
1316	TENT	テント	Tent	Noun	4.387755102040816	1	7	529
1335	WHITE	白い	White	Adjective	1.8333333333333333	1	7	4169
1336	EAT	飲む	Drink	Verb	3.938775510204082	1	7	5654
1352	KNIFE	ナイフ	Knife	Noun	5.745098039215686	1	7	573
1368	BREAD	パン	Bread	Noun	5.604166666666666	1	7	666
1378	SPOON	スプーン	Spoon	Noun	5.551020408163265	1	7	396
1385	PEPPER	ピーマン	Bell pepper	Noun	5.48	1	7	683
1386	LION	ライオン	Lion	Noun	3.5098039215686274	1	7	945
1401	DRINK	食う	Eat	Verb	3.083333333333333	1	7	5639
1405	NAME	名前	Name	Noun	2.458333333333333	1	7	2015
1408	HEAR	聞く	Listen	Verb	3.020408163265306	1	7	4581
1410	KNOW (SOMETHING)	知る	Know	Verb	2.0392156862745097	1	5	4271
1416	SIT	座る	Sit	Verb	3.86	1	7	2681
1417	KILL	殺す	Kill	Verb	2.6041666666666665	1	7	3648
1424	YELLOW	黄色い	Yellowish	Adjective	1.9523809523809523	1	6	5726
1441	FLY (MOVE THROUGH AIR)	飛ぶ	Fly	Verb	2.5510204081632653	1	7	5634
1442	STAND	立つ	Stand	Verb	2.58	1	7	4387
1443	WALK	歩く	Walk	Verb	3.0204081632653064	1	7	3618
1446	COME	来る	Come	Verb	2.0208333333333335	1	7	3469
1494	DIE	死ぬ	Die	Verb	2.26	1	7	3626
1530	BOWL	ボール	Ball	Noun	5.3061224489795915	1	7	823
156	RED	赤い	Red	Adjective	1.9791666666666667	1	6	5076
1567	DOOR	ドア	Door	Noun	5.5476190476190474	1	7	537
1585	SLEEP	眠る	Sleep	Verb	2.645833333333333	1	7	4244
