CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	ENGLISH	DUTCH_VALENCE_MEAN	DUTCH_AROUSAL_MEAN	DUTCH_DOMINANCE_MEAN	DUTCH_AOA_MEAN	DUTCH_VALENCE_MALE_MEAN	DUTCH_AROUSAL_MALE_MEAN	DUTCH_DOMINANCE_MALE_MEAN	DUTCH_AOA_MALE_MEAN	DUTCH_VALENCE_FEMALE_MEAN	DUTCH_AROUSAL_FEMALE_MEAN	DUTCH_DOMINANCE_FEMALE_MEAN	DUTCH_AOA_FEMALE_MEAN	DUTCH_POS	LINE_IN_SOURCE
100	FAITHFUL	trouw	faith	6.0	4.421875	4.890625	7.0	5.59375	4.5625	4.4375	7.3125	6.40625	4.28125	5.34375	7.0	N	3707
1002	STATUE	standbeeld	statue	4.328125	2.390625	4.578125	5.80645161290323	4.46875	2.96875	4.3125	6.0625	4.1875	1.8125	4.84375	5.9375	N	3357
1007	COW	koe	cow	4.3125	3.546875	3.8125	4.19354838709677	4.25	3.59375	3.46875	4.75	4.375	3.5	4.15625	3.875	N	1647
1011	BRIDGE	brug	bridge	4.390625	3.34375	4.546875	5.19354838709677	4.40625	3.5625	4.375	5.8125	4.375	3.125	4.71875	4.9375	N	433
1013	FRESHWATER EEL	paling	eel	3.703125	4.3125	3.5	7.41935483870968	3.84375	4.5	3.46875	7.1875	3.5625	4.125	3.53125	8.0	N	2465
1019	RIGHT	rechts	right	4.125	3.875	4.265625	5.58064516129032	3.90625	3.84375	4.15625	5.75	4.34375	3.90625	4.375	5.6875	A	2775
1025	WHISTLE	fluiten	to whistle	4.96875	4.5	3.9375	5.38709677419355	4.875	4.59375	3.59375	5.5	5.0625	4.40625	4.28125	5.6875	V	899
1035	GOOD	goed	well	5.84375	4.234375	4.828125	3.70967741935484	5.625	4.25	4.5	3.9375	6.0625	4.21875	5.15625	3.875	A	1096
1040	HAIR	haar	hair	4.53125	3.46875	3.515625	3.83870967741935	4.40625	3.625	3.28125	4.375	4.65625	3.3125	3.75	3.75	N	1179
1044	PILLOW	kussen	to kiss	5.890625	5.06349206349206	4.359375	4.16129032258065	5.65625	4.96774193548387	4.3125	4.5	6.125	5.15625	4.40625	4.25	V	1784
1069	GLUE	lijm	glue	3.953125	3.078125	4.59375	4.70967741935484	3.9375	3.125	4.3125	5.4375	3.96875	3.03125	4.875	4.4375	N	1914
1070	BUS	bus	bus	4.03125	4.015625	4.21875	4.58064516129032	4.03125	4.15625	4.03125	5.0625	4.03125	3.875	4.40625	4.3125	N	467
1088	SINK (DESCEND)	zinken	to sink	2.484375	4.03174603174603	3.4375	6.41935483870968	2.5625	4.12903225806452	3.5	6.75	2.40625	3.9375	3.375	6.5	V	4231
110	MOTOR	motor	engine	4.296875	4.984375	4.875	5.61290322580645	4.34375	4.96875	4.46875	5.9375	4.25	5.0	5.28125	5.5	N	2184
1102	CLIMB	klimmen	to climb	4.453125	5.546875	4.515625	5.0	4.625	5.375	4.34375	5.625	4.28125	5.71875	4.6875	4.8125	V	1594
1111	CAR	auto	car	4.53125	4.84375	4.71875	3.70967741935484	4.4375	4.84375	4.53125	4.125	4.625	4.84375	4.90625	3.5	N	115
1120	HONEST	eerlijk	honest	6.15625	4.046875	4.984375	5.25806451612903	6.09375	3.90625	4.625	5.5	6.21875	4.1875	5.34375	5.5	A	770
