CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ENGLISH	ITALIAN_AOA_MEAN	ITALIAN_POS	LINE_IN_SOURCE
1002	STATUE	statua	statue	5.72	n	1700
1007	COW	mucca	cow	4	n	1104
1008	BULL	toro	bull	5.08	n	1802
1011	BRIDGE	ponte	bridge	5	n	1355
1013	FRESHWATER EEL	anguilla	eel	7.68	n	78
1018	MEMORY	memoria	memory	5.84	n	1049
1020	HANDKERCHIEF	fazzoletto	handkerchief	3.96	n	638
1021	TOWEL	asciugamano	towel	3.92	n	117
1024	CHARACTER	carattere	character	6.68	n	310
1025	WHISTLE	fischio	whistle	4.52	n	676
1029	JEWEL	gioiello	jewel	5.56	n	772
1035	GOOD	buono	good	3.48	a	247
1038	TEACHER	insegnante	teacher	4.36	n	884
1040	HAIR	capello	hair	3.2	n	299
1044	PILLOW	cuscino	pillow	3.48	n	489
1046	SHUT	chiudere	to close	3.48	v	367
105	MATTRESS	materasso	mattress	5.44	n	1034
1054	SMALLPOX	vaiolo	smallpox	12	n	1870
1057	DAUGHTER-IN-LAW	nuora	daughter in law	9.76	n	1152
1064	SHIELD	scudo	shield	7.88	n	1585
1066	CRIME	crimine	crime	9.56	n	471
1070	BUS	autobus	bus	5.96	n	147
1075	TRAP (PITFALL)	trappola	trap	5.76	n	1818
1086	WORK (ACTIVITY)	lavoro	work	6.28	n	933
1088	SINK (DESCEND)	lavandino	sink	4.32	n	929
1091	SALTY	salato	salty	4.28	a	1519
1092	HOPE	speranza	hope	7.2	n	1671
1096	SONG	canzone	song	4.28	n	295
11	DARKNESS	tenebra	darkness	8.96	n	1769
1100	COOK (SOMETHING)	cucinare	to cook	5.72	v	481
1102	CLIMB	arrampicarsi	to climb	5.8	v	109
1104	NURSE	infermiere	nurse	6.68	n	870
1107	GO OUT	uscire	to go out	4.28	v	1862
1110	SHARK	squalo	shark	5.04	n	1690
1111	CAR	automobile	car	4.36	n	148
1114	BULLET	pallottola	bullet	7.64	n	1227
112	TURTLE	tartaruga	turtle	4.16	n	1751
1120	HONEST	onesto	honest	6.84	a	1179
1124	PIPE	pipa	pipe	7.24	n	1332
113	SHORE	riva	shore	5.84	n	1491
1132	BEAM	trave	beam	7.92	n	1821
1134	DIVORCE	divorzio	divorce	10.36	n	548
1135	KICK	calciare	to kick	5.2	v	261
1136	RABBIT	coniglio	rabbit	3.32	n	432
1138	FAIRY	fata	fairy	4.24	n	633
1141	PITY	pietà	pity	7.68	n	1322
1142	URINE	urina	urine	7.16	n	1858
1143	OVEN	forno	oven	4.92	n	698
1145	SWAMP	palude	swamp	7.8	n	1230
1146	AUBERGINE	melanzana	aubergine	5.04	n	1044
1156	OPEN	aprire	to open	3.92	v	93
1160	THIEF	ladro	thief	4.92	n	915
1171	MIRROR	specchio	mirror	4.64	n	1668
1175	GHOST	fantasma	ghost	5.76	n	624
1181	PALM TREE	palma	palm tree	5.72	n	1228
1182	NOISE	rumore	noise	4.64	n	1512
1185	VULTURE	avvoltoio	vulture	7.88	n	158
1187	GOOSE	oca	goose	5.8	n	1162
1189	ULCER	ulcera	ulcer	12.44	n	1847
1190	HARE	lepre	hare	5	n	945
1199	WIFE	moglie	wife	5.48	n	1082
1200	HUSBAND	marito	husband	5.76	n	1026
1201	FEATHER	piuma	feather	4.56	n	1339
1202	BIG	grande	great	4.64	a	802
1203	LONG	lungo	long	4.12	a	977
1205	TONGUE	lingua	tongue	4.25	n	958
1207	YOUNG	giovane	young	6.44	a	777
1208	CAT	gatto	cat	2.56	n	741
1210	HEAVY	pesante	heavy	6.08	a	1299
1216	MOTHER	madre	mother	2.68	n	985
1217	FATHER	padre	father	2.16	n	1217
1218	ROPE	fune	rope	5.84	n	720
1219	WORM	verme	worm	4.92	n	1899
122	CART	carro	wagon	7.16	n	323
1221	NOSE	naso	nose	3.24	n	1123
1222	PENIS	pene	penis	10.28	n	1281
1223	HEART	cuore	heart	3.8	n	486
1225	DAY (NOT NIGHT)	giorno	day	3.8	n	775
1226	YEAR	anno	year	3.84	n	82
1227	BOARD	bordo	board	6.4	n	224
1228	EARTH (SOIL)	terra	earth	4.52	n	1777
1229	OLD	vecchio	old	5.44	a	1883
1230	DIRTY	immondizia	dirty	5	n	844
1231	NEW	nuovo	new	3.72	a	1155
1233	NIGHT	notte	night	3.28	n	1149
1234	SMOOTH	liscio	smooth	4.32	a	959
124	THORN	spina	thorn	6	n	1677
1245	BUTTER	burro	butter	5.08	n	249
1246	SMALL	piccolo	small	4.12	a	1318
1247	EAR	orecchio	ear	3.96	n	1189
1248	EYE	occhio	eye	3.64	n	1164
1250	JAGUAR	giaguaro	jaguar	8.16	n	760
1251	BELLY	pancia	belly	4.92	n	1232
1256	HEAD	testa	head	3.32	n	1785
1259	WEDDING	matrimonio	wedding	5.96	n	1037
1261	SING	cantare	to sing	4.12	v	292
1262	BROTHER	fratello	brother	3.08	n	707
1263	SISTER	sorella	sister	2.8	n	1652
1266	BRIDE	sposa	bride	5.32	n	1684
1271	DELIGHT	delizia	delight	7.52	n	500
1272	AUNT	zia	aunt	3.04	n	1948
1273	CANDLE	candela	candle	3.96	n	285
1274	SALT	sale	salt	5.08	n	1520
1275	ANSWER	rispondere	to answer	3.88	v	1482
1276	AUTUMN	autunno	autumn	4.76	n	150
1277	HAND	mano	hand	3.08	n	1016
1278	VOMIT	vomito	vomit	6.08	n	1937
1280	FALL	cadere	to fall	2.88	v	256
1281	PRISON	prigione	prison	6.88	n	1383
1286	HOT	caldo	hot	3.88	a	262
1287	COLD	freddo	cold	3.68	a	709
1289	BABY	bebè	baby	4.24	n	190
1290	ELEPHANT	elefante	elephant	4.04	n	574
1291	BACK	schiena	back	4.4	n	1558
1293	MISTAKE	errore	mistake	5.76	n	592
1297	LEG	gamba	leg	3.48	n	734
1298	NEWSPAPER	giornale	newspaper	5.08	n	774
1299	COFFEE	caffè	coffee	7.2	n	258
13	DECEIT	inganno	deceit	7.84	n	875
1301	FOOT	piede	foot	3.16	n	1320
1302	FORK	forchetta	fork	3.64	n	692
1303	FINGER	dito	finger	3.44	n	545
1305	CHIMNEY	camino	chimney	4.56	n	271
1306	QUEEN	regina	queen	4.84	n	1451
131	FESTIVAL	festa	party	4.92	n	652
1312	FOX	volpe	fox	4.32	n	1936
1313	MOON	luna	moon	4.56	n	975
1314	QUIET	silenzioso	quiet	5.28	a	1622
1315	RADIO	radio	radio	5.72	n	1427
1318	CHICKEN	pollo	chicken	3.72	n	1346
1319	COWARD	codardo	coward	8.64	a	402
132	SAUCE	sugo	sauce	4.84	n	1728
1320	APPLE	mela	apple	3.84	n	1043
1321	BOTTLE	bottiglia	bottle	3.84	n	229
1323	CLOCK	orologio	clock	4.72	n	1198
1325	FRIEND	amico	friend	3.96	n	67
1327	UNCLE	zio	uncle	3.12	n	1950
1331	SHEEP	pecora	sheep	3.28	n	1275
1333	NECK	collo	neck	4.08	n	408
1335	WHITE	bianco	white	3.64	a	202
1336	EAT	mangiare	to eat	3.24	v	1013
1338	PEACE	pace	peace	5.04	n	1215
1339	MORNING	mattina	morning	4.08	n	1038
134	FAULT	colpa	fault	6.04	n	413
1342	SUMMER	estate	summer	4.28	n	597
1343	SUN	sole	sun	3.64	n	1640
1346	THROAT	gola	throat	4.04	n	792
1347	NAPE (OF NECK)	nuca	nape	8.68	n	1150
1348	BOAR (MALE PIG)	cinghiale	boar	5.48	n	382
1349	CHURCH	chiesa	church	5.04	n	364
1350	MONKEY	scimmia	monkey	4.64	n	1564
1352	KNIFE	coltello	knife	5.2	n	416
1355	LAUGH	ridere	to laugh	4	v	1467
1360	DUCK	anatra	duck	5.12	n	72
1361	TOOL	attrezzo	tool	6.52	n	143
1362	STREET	strada	street	4.92	n	1707
1363	VOICE	voce	voice	3.88	n	1933
1364	HEALTHY	salute	health	5.88	n	1525
1365	KITCHEN	cucina	kitchen	3.84	n	480
1366	BOY	ragazzo	boy	5.24	n	1432
