CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_AoA_MEAN	DUTCH_KNOWN_PERCENTAGE	LINE_IN_SOURCE
1006	BRICK	baksteen	7.33333333333333	1	431
1020	HANDKERCHIEF	zakdoek	4.6	1	12763
1030	NECESSARY	noodzakelijk	8.94444444444444	1	16455
1038	TEACHER	leraar	6.38888888888889	1	22389
1044	PILLOW	kussen	5.48648648648649	1	25857
1098	WEIGH	wegen	7.27777777777778	1	25523
1117	LIKE	lijken	7.65	1	9528
112	TURTLE	schildpad	5.5	1	11164
1120	HONEST	waarachtig	11.55	1	12534
1133	MATCH	lucifer	7	1	16045
1146	AUBERGINE	aubergine	9.61111111111111	1	388
1156	OPEN	openen	6.27777777777778	1	3832
1157	BECAUSE	omdat	6	1	3607
1168	HAWTHORN	meidoorn	10.4615384615385	0.722222222222222	3265
1198	MANY	talrijk	9.55555555555556	1	18136
1200	HUSBAND	echtgenoot	8.17647058823529	0.944444444444444	20833
1202	BIG	uitgestrekt	9.94444444444444	1	24881
1209	I	ik	3.05555555555556	1	2401
121	SPIN	spinnen	6.7	1	11438
1215	THOU	jij	4.66666666666667	1	21936
123	FOREHEAD	voorhoofd	6.2	1	12454
1234	SMOOTH	smeuïg	11	0.944444444444444	4889
1235	WHO	wie	5.47058823529412	0.944444444444444	25592
1236	WHAT	wat	5	1	6126
1238	WHEN	wanneer	5.94444444444444	1	19011
1239	HOW	hoe	5.05555555555556	1	2265
1241	SOME	sommige	6.61111111111111	1	17840
1242	FEW	weinig	6.38888888888889	1	6188
1268	YES	ja	2.25	1	9012
1269	NO	nee	2.55555555555556	1	16398
1270	WHY	waarom	5.55	1	12541
1275	ANSWER	antwoorden	5.88888888888889	1	329
1299	COFFEE	koffie	6.13513513513514	1	25855
1324	SLIP	uitglijden	7.11111111111111	1	18433
1356	NUMBER	getal	5.4	1	8413
1357	DAUGHTER	dochter	5.7972972972973	1	25838
136	HERE	hier	5	1	21598
1368	BREAD	brood	4.01351351351351	1	25837
1376	NOW	nu	4.94444444444444	1	22919
1377	VISIT	bezoeken	7.35	1	7125
1379	TELEPHONE	telefoon	5.33333333333333	1	5273
138	BATHE	badderen	9.66666666666667	0.5	19771
1383	GRANDFATHER	opa	3.98630136986301	0.986486486486487	25866
1384	SECOND	tweede	6.61111111111111	1	24844
1407	BREATHE	ademen	6.72222222222222	1	19489
1414	SQUEEZE	uitknijpen	8.44444444444444	1	5539
1415	THINK (REFLECT)	nadenken	7	1	3459
1417	KILL	vermoorden	6.77777777777778	1	5784
1419	FEAR (BE AFRAID)	bang	4.45	1	6896
1431	FREEZE	bevriezen	7.75	1	7101
1451	SMILE	glimlachen	5.94444444444444	1	14927
1456	THROW	weggooien	6.45	1	12623
1459	IF	als	5.66666666666667	1	13177
1463	DRUNK	dronken	9.05555555555556	1	20787
1483	NINE	negen	5.22222222222222	1	3506
1493	ONE	een	3.7	1	7940
1498	TWO	twee	4.1	1	11941
1500	FOUR	vier	4.1	1	12357
1506	MEASURE	opmeten	9.94444444444444	1	23220
151	RAZOR	scheermes	8.44444444444444	1	17594
1515	TEN	tien	4.83333333333333	1	5335
1519	RUN	hardlopen	7.6	1	8615
1533	BE HUNGRY	hongeren	9.61111111111111	0.9	8745
1536	UNDERSTAND	begrijpen	6.83333333333333	1	508
1558	SIMILAR	vergelijkbaar	9.44444444444444	1	18624
1570	EQUAL	gelijk	6.4	1	8339
1571	SELL	verkopen	7	1	12209
1572	SURPRISED	verrast	7.47368421052632	0.95	12256
1579	BE	bestaand	8	1	13515
1585	SLEEP	slapen	3.81081081081081	1	25877
1602	WAKE UP	opstaan	5.5	1	3893
1608	LISTEN	luisteren	4.83333333333333	1	3147
1622	SHIRT	overhemd	9.55	1	10413
1627	CHAIN	ketting	5.7	1	9153
1628	SQUIRREL	eekhoorn	5.88888888888889	1	1488
1631	FAST	vlug	4.2027027027027	1	25827
1636	MOTIONLESS	stokstil	9.27777777777778	1	24470
164	KANGAROO	kangoeroe	7.16666666666667	1	2637
1646	GIRL	meisje	3.94594594594595	1	25861
1650	WATCH	horloge	6.3	1	8779
1702	HOLY	heilig	8	1	2191
1703	SIX	zes	4.5	1	6357
1704	SEVEN	zeven	4.75	1	12814
1705	EIGHT	acht	5	1	6556
1707	TWELVE	twaalf	5.11111111111111	1	18392
1708	THIRTEEN	dertien	5.94444444444444	1	20593
1709	FIFTEEN	vijftien	5.94444444444444	1	5912
1710	TWENTY	twintig	5.6	1	11950
1713	EIGHTEEN	achttien	6.05555555555556	1	19477
1714	NINETEEN	negentien	6.05555555555556	1	22860
1715	THIRTY	dertig	6.35	1	7691
1716	FORTY	veertig	6.88888888888889	1	25010
1717	FIFTY	vijftig	6.66666666666667	1	18816
1718	SIXTY	zestig	7.15	1	12811
1720	SIGN	gebaren	7.77777777777778	1	21167
1721	SEVENTY	zeventig	6.94444444444444	1	19267
1722	EIGHTY	tachtig	7.11111111111111	1	5224
1724	NINETY	negentig	7.2	1	9959
1725	CORRECT (RIGHT)	correct	8.38888888888889	1	20467
1771	TASTELESS	smaakloos	8.95	1	11331
1775	TABLE	bureau	6.61111111111111	1	20281
1786	DRY UP	föhnen	12.8235294117647	0.944444444444444	21088
1807	AFTERNOON	middag	5.44444444444444	1	22668
1813	TASTY	smakelijk	5.94444444444444	1	24235
1814	ACCUSE	beschuldigen	9.22222222222222	1	19951
1831	MEET	ontmoeten	8.25	1	10208
1840	BUILD	metselen	8.61111111111111	1	22661
1844	BOAT	boot	3.17567567567568	1	25808
185	FIREPLACE	openhaard	8.55555555555556	1	23186
1857	CROCODILE	krokodil	5.3	1	9358
1868	VISIBLE	zichtbaar	8.44444444444444	1	25719
1881	ENOUGH	genoeg	5.61111111111111	1	14824
1884	HARD	hard	5.51351351351351	1	25848
1895	CLOTHES	kleren	4.38888888888889	1	15670
1904	DROWN	verdrinken	7.7	1	12156
1917	TIE	vastmaken	7.44444444444444	1	5644
193	SHALLOW	ondiep	7.6	1	10141
1942	NEAR	dichtbij	6.33333333333333	1	1269
1971	FAN (OBJECT)	ventilator	8.66666666666667	1	5670
200	SAME	zelfde	6	1	6347
2000	CLOVE	kruidnagel	11.1111111111111	1	15815
2001	PAINTING	tekenen	4.27777777777778	1	18171
2042	WALNUT	walnoot	8.1	1	12553
209	RARE	zeldzaam	8.21052631578947	0.95	12797
2108	RAINING OR RAIN	regenen	4.9	1	10904
2112	OLD (AGED)	bejaard	8.3	1	6975
2113	OLD (USED)	tweedehands	9.33333333333333	1	5491
2235	CLEAN (SOMETHING)	lappen	9.5	1	2987
2253	DRIP (EMIT LIQUID)	druppelen	7.33333333333333	1	20802
