CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_HAPPINESS_MEAN_FEMALE	CHINESE_HAPPINESS_MEAN_MALE	CHINESE_ANGER_MEAN_FEMALE	CHINESE_ANGER_MEAN_MALE	CHINESE_SADNESS_MEAN_FEMALE	CHINESE_SADNESS_MEAN_MALE	CHINESE_FEAR_MEAN_FEMALE	CHINESE_FEAR_MEAN_MALE	CHINESE_DISGUST_MEAN_FEMALE	CHINESE_DISGUST_MEAN_MALE	CHINESE_ANXIETY_MEAN_FEMALE	CHINESE_ANXIETY_MEAN_MALE	CHINESE_SURPRISE_MEAN_FEMALE	CHINESE_SURPRISE_MEAN_MALE	CHINESE_CONTENTMENT_MEAN_FEMALE	CHINESE_CONTENTMENT_MEAN_MALE	CHINESE_AMUSEMENT_MEAN_FEMALE	CHINESE_AMUSEMENT_MEAN_MALE	CHINESE_SERENITY_MEAN_FEMALE	CHINESE_SERENITY_MEAN_MALE	LINE_IN_SOURCE
2248	KNOW (SOMEBODY)	认识	2.611111111111111	2.75	1	1	1	1	1.0666666666666667	1	1.1764705882352942	1.5	1.0769230769230769	1	1.1428571428571428	2	2.3684210526315788	2.5	1.08	1.5	3.642857142857143	3	2272
2256	MOTHER-IN-LAW (OF WOMAN)	婆婆	1.6	1	2.15	1	1.4285714285714286	1.6666666666666667	1.7333333333333334	1	2.3529411764705883	1.1666666666666667	1.1333333333333333	1	1.5294117647058822	1	1.3888888888888888	2	1.4166666666666667	1.8	3.3076923076923075	3.4	2058
2291	VOLCANO	火山	1.8888888888888888	1.5	1.2142857142857142	1.2	1.3076923076923077	1.5	2.411764705882353	2	2.411764705882353	1.5	1.75	1.5	1.7777777777777777	1	1.368421052631579	1.6666666666666667	1.4375	1.1	1.5833333333333333	2	1215
2297	DUSK	黄昏	3.2	1.6666666666666667	1.0909090909090908	1.1666666666666667	2.25	1.6	1.375	1	1.125	1	1.2666666666666666	2	1.5789473684210527	1.5	2.9523809523809526	2	1.3333333333333333	1.4	3.8	3.8	1177
2316	FREE	自由	4.421052631578948	3.5	1	1	1.25	2.75	1.0625	1	1	1	1.4666666666666666	1	1.5294117647058822	1.75	4	4.333333333333333	1.5714285714285714	2.3333333333333335	4.615384615384615	3.8	3732
2319	LID (COVER, CAP)	盖子	1.1176470588235294	1	1	1	1	1	1	1	1	1	1.1818181818181819	1	1	1	1.55	1.8	1.0909090909090908		4.6	5	846
2321	MAD PERSON	疯子	1.1111111111111112	1.3333333333333333	3.235294117647059	2	2.8333333333333335	2.4	4.294117647058823	4	3.5	4	3.473684210526316		3.764705882352941	4	1	1.5	2.1578947368421053	3	1.7692307692307692	1.2	800
2328	MISS (SOMEBODY)	想念	1.8333333333333333	2.3333333333333335	1.0476190476190477	1	2.7058823529411766	2.6	1.2307692307692308	1.5	1.375	1	1.6521739130434783	2.3333333333333335	1.6470588235294117	1	3.05	3	1.0909090909090908		3.7	4	3008
2330	YEAR AFTER NEXT YEAR	后年	1.5294117647058822	1	1	1	1.2666666666666666	1.3333333333333333	1.0666666666666667	1	1.1333333333333333	1.1666666666666667	1	1	1.3529411764705883	1	1.5	2.4	1	1.1428571428571428	3.6923076923076925	2.8	1116
2331	YEAR BEFORE LAST YEAR	前年	1.2777777777777777	1	1	1	1.1333333333333333	1.5	1	1	1.3888888888888888	1	1.0625	1	1.25	1	1.263157894736842	2.25	1	1	3.1875	4.666666666666667	2130
