CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	LINE_IN_SOURCE
100	FAITHFUL	faithful	7.30	1294
1000	ANXIETY	anxiety	3.00	2398
1003	PERMIT	allow	6.15	1570
1019	RIGHT	right	6.70	2814
102	COMMON COLD (DISEASE)	common	5.23	2796
1027	BUG	bug	3.70	1949
1035	GOOD	good	7.31	1993
1039	SHOW	show	5.80	904
1046	SHUT	close	5.45	906
1047	PURSUE	chase	4.05	1828
1053	HUNTER	hunter	4.00	598
1062	LAW	law	5.55	433
1066	CRIME	crime	2.41	1171
1072	PRISONER	prisoner	2.80	1077
1075	TRAP (PITFALL)	trap	3.41	663
1078	MAIN	main	5.65	2857
1084	CALL	call	5.65	1782
1085	FOLLOW	follow	6.10	929
109	FOREIGN	foreign	4.85	2511
1092	HOPE	hope	7.10	1081
1097	ABANDON	abandon	2.75	811
11	DARKNESS	darkness	3.27	3173
1101	SUFFER	suffer	2.55	566
1104	NURSE	nurse	6.45	818
1109	WOUND	wound	3.15	33
1112	SUCCEED	succeed	7.40	1083
1114	BULLET	bullet	3.80	243
1117	LIKE	like	6.50	884
1119	DIVIDE	divide	4.35	2740
1120	HONEST	honest	7.35	2141
1121	SECRET	secret	5.35	2711
1128	ORDER	order	5.75	2579
1129	PAINFUL	painful	2.69	356
1134	DIVORCE	divorce	2.55	329
1135	KICK	kick	3.90	242
1140	FATIGUE	fatigue	3.64	133
1147	PURE	pure	6.95	1479
1155	CAVE	cave	4.35	1106
1156	OPEN	open	6.15	2543
1172	SHOOT	shoot	3.70	418
1182	NOISE	noise	3.95	548
1192	THREATEN	threaten	2.65	1816
1202	BIG	great	7.93	226
1223	HEART	heart	6.95	2881
1227	BOARD	board	5.15	2161
1230	DIRTY	dirty	2.95	2749
1232	WARM	warm	6.25	1499
1248	EYE	eye	5.20	1850
127	EXTINGUISH	extinguish	5.40	1879
1271	DELIGHT	please	6.70	2439
1277	HAND	hand	5.65	2366
1280	FALL	fall	3.35	1634
1281	PRISON	prison	2.48	1450
1285	IMPORTANT	important	6.58	3022
1286	HOT	hot	4.65	293
1287	COLD	cold	3.65	1254
129	CHOKE	choke	2.55	1808
1291	BACK	back	5.45	1327
1292	BAD	bad	2.96	1580
1293	MISTAKE	mistake	3.18	518
1295	STICK	stick	5.10	1190
13	DECEIT	deception	2.75	1642
1308	DOUBT	doubt	3.70	832
131	FESTIVAL	festival	6.83	913
1310	CLEVER	clever	6.75	348
1319	COWARD	coward	3.00	1201
1325	FRIEND	friend	7.08	398
1330	DEFEND	defend	6.50	657
1338	PEACE	peace	7.45	605
134	FAULT	fault	3.00	855
1352	KNIFE	knife	4.55	1780
1355	LAUGH	laugh	7.15	3140
1358	ENEMY	enemy	2.59	2042
1364	HEALTHY	healthy	7.21	154
1367	CROSS	cross	4.95	2304
1369	GOLD	gold	7.10	1645
1382	NEEDLE (FOR SEWING)	needle	4.25	263
1388	SHADE	shadow	4.45	2931
1390	WRONG	wrong	3.40	2100
1393	HORN (ANATOMY)	horn	4.40	1390
1395	ROUND	round	5.35	252
1403	BITE	bite	3.80	862
1404	STRAIGHT	straight	6.05	2031
1411	LIE (REST)	lie	3.00	622
1417	KILL	kill	2.10	2483
1418	DIG	dig	4.60	1177
1419	FEAR (BE AFRAID)	fear	2.85	842
1422	BE ALIVE	live	6.25	2156
1423	FIGHT	fight	3.25	2208
1426	EXPENSIVE	expensive	3.70	1165
1432	CUT	cut	4.35	495
1433	HIT	hit	3.50	3163
1435	HUNT	hunt	4.10	2112
1437	SPLIT	split	4.35	1513
1438	FOOL	fool	3.25	2369
1442	STAND	stand	6.00	534
1447	GIVE	give	6.80	1096
1451	SMILE	smile	7.40	2488
1452	PUSH	push	4.50	2528
1456	THROW	throw	4.40	18
1462	POT	jar	4.65	1023
1463	DRUNK	drunk	3.45	2719
1465	BOX	box	5.00	324
1466	EXACT	exact	6.20	457
1467	CIRCLE	circle	5.25	2954
1473	FIST	fist	4.10	2801
1492	DUMB	dumb	3.05	2117
1495	HAPPY	happy	7.33	1321
150	WORRY	worry	3.33	3148
1501	BORE	bore	3.74	140
1518	STUPID	stupid	2.58	1041
1519	RUN	run	5.40	773
1520	CRUSH	crush	3.55	1615
1528	FORGIVE	forgive	6.65	1304
1533	BE HUNGRY	hungry	3.50	1314
1534	FEVER	fever	2.80	1517
1536	UNDERSTAND	understand	6.60	2465
1541	CULTIVATE	cultivate	6.00	236
1548	UGLY	ugly	2.43	2715
1552	GLOOMY	gloomy	3.30	2596
1562	MIND	mind	5.05	430
1564	LAZY	lazy	3.20	2358
1565	HEAVEN	heaven	7.90	1712
1566	GUN	gun	3.00	1733
1588	TURN	turn	5.55	338
1590	WAIT (FOR)	wait	5.10	477
1601	WEAK	feeble	3.80	1504
1607	HATE	hate	2.12	365
161	MISS (A TARGET)	miss	4.45	2278
1611	INVITE	invite	6.60	1039
1624	EMPTY	empty	3.25	444
1625	DEAD	dead	1.78	615
1632	FLOOR	floor	5.05	1748
1635	OBEY	obey	5.25	533
1638	TRUTH	truth	6.95	2952
1645	SHORT	short	3.70	2319
1651	TEAR (OF EYE)	tear	3.80	825
1653	BLIND	blind	3.35	945
1657	TRUE	true	6.40	1705
1665	BEAT	beat	4.50	2741
1667	HOLE	hole	4.50	3159
1668	GRIEF	grief	2.77	621
1674	POOR	poor	3.15	1219
1675	PROMISE	promise	6.25	53
1678	HUT	shelter	6.75	1567
1679	LOAD	load	4.85	2606
1682	GUILTY	guilty	2.60	1756
1687	PRAISE	praise	7.37	377
1691	FLEXIBLE	flexible	6.50	1728
1702	HOLY	holy	7.35	2572
1719	BURY	bury	3.25	239
1725	CORRECT (RIGHT)	correct	7.11	1397
174	PROUD	proud	7.20	516
1743	JOIN	join	6.15	448
1747	CUSTOM	tradition	6.40	1490
175	BLOW (OF WIND)	blow	3.85	2437
1757	TIRED	tired	3.50	1797
1763	CLUB	club	5.25	1170
1764	OBSCURE	obscure	3.85	2028
1773	GRAVE	grave	2.85	988
1776	SHAME	shame	2.94	184
1778	APPROACH	approach	6.15	1959
1779	DARE	dare	5.20	1802
178	RIPE	ripe	6.50	1833
1783	PAIN	pain	2.55	392
1802	SCREW	screw	3.75	1861
1804	BOMB	bomb	2.60	1324
1810	DANGER	danger	2.50	580
1812	TRY	try	6.20	1651
1814	ACCUSE	accuse	3.10	1854
1826	ANGRY	angry	3.25	24
1831	MEET	meet	5.85	3062
1841	SUSPECT	suspect	3.40	2349
1845	BALL	ball	5.05	2242
1847	SICK	sick	2.69	2773
1848	QUARREL	quarrel	2.95	847
1863	AMAZING	amazing	8.15	1424
1864	HUNGER	hunger	3.40	742
1869	BUY	buy	6.25	636
1875	REGRET	sorry	4.80	1579
1879	DANCE	dance	6.45	840
1880	PASSIONATE	passionate	7.32	1933
1884	HARD	hard	3.70	1674
1887	CHEAP	cheap	5.20	892
1894	ASHAMED	ashamed	3.05	1025
1897	HELP	help	6.80	589
1899	MAD	mad	2.80	3052
1902	BETRAY	betray	2.61	2768
1904	DROWN	drown	2.60	1299
1908	ATTENTIVE	attentive	6.90	2033
1909	SHAKE	shake	4.50	1194
1913	PRESS	press	4.50	1061
1923	ROUGH	rough	3.50	672
1929	STUDY	study	5.95	2683
193	SHALLOW	shallow	3.95	2126
1939	SWEAR	swear	4.05	182
1947	BASTARD	bastard	2.45	2887
1951	PASS	pass	5.65	2758
1953	ABUSE	abuse	2.20	3141
1954	GENTLE	gentle	6.57	2151
1955	GRIEVE	mourn	2.85	141
1972	YOUNG GOAT (KID)	kid	5.60	1849
1976	MERRY	funny	6.87	49
1986	DISEASE	disease	2.50	1011
1995	DEFECT	defect	3.14	2559
1996	GET TIRED	tire	4.35	431
2006	FILL	fill	5.75	1814
2008	RESCUE	rescue	7.00	2351
2017	MIX	mix	5.10	2484
2022	ADMIT	admit	6.10	1914
2024	PLOT	plot	4.50	3190
203	MARRY	marry	6.85	511
2030	DRAG	drag	3.50	2653
2062	INTEREST	interest	6.70	500
2071	LAY (VERB)	lay	5.00	93
2077	DILIGENT	diligent	6.35	2410
2090	MY	mine	5.39	54
21	TASTE (SOMETHING)	taste	5.95	3154
2102	BURN	burn	3.15	3090
2134	RAISE (BRING UP)	raise	6.35	579
2148	PICK	pick	5.20	1815
215	LIE DOWN	lying	2.90	3103
2150	MATTER	matter	5.55	645
2151	COARSE	coarse	4.10	1027
218	FINE (PENALTY)	fine	6.35	232
2194	FRONT (PART)	front	5.55	1542
221	FIRE	fire	3.30	270
2223	BE ANGRY	furious	2.21	1399
2230	UNTAMED OR WILD	wild	3.85	950
2232	KEEN OR SUBTLE	subtle	5.70	224
2233	LOVELY	lovely	7.35	718
2243	REPAIR	repair	6.25	1498
2316	FREE	free	6.69	435
2329	LACK (NOT HAVE)	lack	3.60	1020
2339	NEED (SOMETHING)	need	5.03	1341
2396	KNOCK	knock	4.55	1360
2406	HOME	home	5.95	1417
2410	GOOD-LOOKING	pretty	6.95	918
2411	HURT (SOMEBODY)	hurt	2.69	3171
2412	THANK (SOMEBODY)	thank	6.76	1257
242	COST	cost	3.96	1880
2425	PROBLEM	problem	3.20	1091
2429	LOGIC	logic	6.40	1237
243	FRESH	fresh	6.85	1026
2431	REVOLUTION	revolution	5.30	1377
2432	MARRIAGE	marriage	7.15	3067
2465	DISGUST	disgust	2.61	134
2467	GAME	game	5.75	1745
2469	AGAINST	against	3.45	145
2470	DEAR	dear	6.90	23
2483	COLD (OF WEATHER)	cool	6.65	577
25	DIRT	dirt	3.80	1369
