ID	RANK	LINKS	WEIGHTS	URLS	DIRECTIONS	DEGREE	WEIGHTED_DEGREE
Zalizniak-2020-2590-11	11	2029 2105 2087 273 2083 1989 1323 1229 35 1245 367 1241 2082 133 1336 2137 391 1253 171 2113 341 1120 969 290	1 14 6 1 2 4 7 10 24 8 7 8 11 1 11 1 3 1 1 11 2 4 3 1	shift38 shift342 shift592 shift727 shift844 shift846 shift880 shift934 shift975 shift1132 shift1319 shift1590 shift1692 shift1693 shift1825 shift1895 shift2019 shift2138 shift2259 shift2260 shift2793 shift3150 shift3505 shift3530	→ → → — → → → → → → → — → → → → ↔ → → → → → → →	24	1
Zalizniak-2020-2590-12	12	102 819 184 104 198 103 140 147 421 1608 442 2589 47 1631 2557 1050 135 2328 1405 62 16 2541 2578	1 6 1 1 5 4 7 1 2 2 4 3 3 2 3 2 1 3 1 2 12 1 1	shift101 shift102 shift103 shift204 shift766 shift768 shift813 shift814 shift815 shift836 shift1431 shift2129 shift2162 shift2296 shift2361 shift2526 shift2944 shift3158 shift3233 shift3423 shift3701 shift4017 shift4187	— — — → — — — — → → — → → → → → → → → — → → →	23	1
Zalizniak-2020-2590-13	13	818 1840 234 1676 302 1621 67 83 220 2316 844 1961 1709 579 2420 751 986 1369 1675 2388 173 2454 613	2 10 3 2 6 1 6 9 1 1 2 4 5 2 1 2 1 1 2 1 3 2 7	shift339 shift522 shift542 shift561 shift649 shift650 shift1205 shift1206 shift1828 shift2352 shift2387 shift2388 shift2662 shift2778 shift2786 shift2938 shift2939 shift3271 shift3318 shift3335 shift3336 shift3381 shift3628	→ → → — → → — ↔ → → → → ↔ → → → → → → → → → —	23	7
Zalizniak-2020-2590-14	14	976 1531 50 199 434 451 240 115 2208 2350 473 2191 236 118 661 986 7 244 583 423 303 1652	16 15 3 11 4 16 1 4 6 1 2 3 2 1 1 1 1 1 1 1 1 1	shift490 shift491 shift492 shift493 shift494 shift495 shift496 shift497 shift498 shift499 shift500 shift501 shift777 shift1208 shift2007 shift2008 shift2149 shift2222 shift2223 shift3005 shift3565 shift3922	→ → → → → → → ↔ → → → → → — → → — — — → → —	22	1
Zalizniak-2020-2590-15	15	1403 2322 1945 686 2193 85 2362 2518 176 2386 2315 1894 251 889 849 75 851 1950 84 104 1436	2 2 5 3 2 7 12 1 6 2 1 1 1 2 3 1 5 1 3 1 1	shift800 shift874 shift875 shift876 shift1130 shift1478 shift1699 shift1709 shift1907 shift2315 shift2316 shift2317 shift2318 shift2413 shift2414 shift3044 shift3210 shift3261 shift4000 shift4267 shift4271	↔ → → → → → → → → → → → → → → — → → — — —	21	1
Zalizniak-2020-2590-16	16	192 191 1895 104 983 1540 178 411 327 460 122 1787 1534 1710 1452 197 62 139 1684 307 32	2 4 2 1 1 2 1 1 1 1 1 2 3 1 2 1 1 2 1 1 1	shift3780 shift3781 shift3782 shift3783 shift3784 shift3785 shift3786 shift3788 shift3789 shift3790 shift3791 shift3792 shift3794 shift3798 shift3802 shift3803 shift3804 shift3805 shift3806 shift3807 shift3808	— — — — — — — — — — — — — — — — — — — — —	21	1
Zalizniak-2020-2590-17	17	379 126 773 1983 754 366 2154 108 89 357 1909 130 1971 55 1298 1208 533 1260 160 10	13 1 1 1 8 1 4 4 1 2 3 9 1 2 2 1 1 1 23 1	shift113 shift258 shift301 shift302 shift380 shift618 shift771 shift997 shift998 shift1260 shift1371 shift1641 shift1762 shift2732 shift3139 shift3144 shift3447 shift3585 shift3618 shift4288	— — → → → — → → → — → — → → → → → → — —	20	1
Zalizniak-2020-2590-18	18	104 336 711 1929 2581 369 614 661 840 857 138 464 2548 672 81 1520 1669 84 2476	4 9 1 6 1 1 4 1 1 1 1 2 1 1 1 1 1 3 1	shift413 shift801 shift825 shift1149 shift1338 shift2069 shift2376 shift2764 shift2765 shift2978 shift3068 shift3259 shift3260 shift3517 shift3827 shift4004 shift4105 shift4124 shift4146	↔ ↔ — → → — — — → — → → → → — — — — →	19	1
Zalizniak-2020-2590-19	19	64 629 986 38 10 2158 181 1638 2391 27 320 428 521 2317 58 2281 25 1473 578	1 12 4 1 1 2 3 3 13 1 3 1 2 1 4 1 2 1 1	shift689 shift715 shift716 shift935 shift1716 shift2047 shift2084 shift2333 shift2541 shift2757 shift2848 shift2851 shift2852 shift2853 shift2881 shift2941 shift3376 shift3377 shift3877	— — → — — → — → → — → — → → — → ↔ → —	19	1
Zalizniak-2020-2590-20	20	2109 360 69 2517 542 1216 1293 697 2072 528 1987 1994 513 745 754 1270 2007 2136	3 1 1 3 5 12 6 4 1 4 2 1 1 1 2 1 1 1	shift180 shift1275 shift1276 shift1384 shift1400 shift2134 shift2135 shift2530 shift2531 shift2532 shift2533 shift3315 shift3316 shift3345 shift3418 shift3453 shift3476 shift3679	→ → → → → — → → → → → → → — → → → →	18	1
