CONCEPTICON_GLOSS	CONCEPTICON_ID	OMEGAWIKI_ID
FOG	249	1502
LIGHT (COLOR)	250	1502678
SHARPEN (SOMETHING)	251	1503230
FRIGHTEN	252	1504545
CARE FOR	253	1504671
STICKING	254	1504854
SERVANT	255	1504891
FOOD	256	1505
WORSHIP	257	1505545
CALM	258	1505685
ROUGH (OF SEA)	259	1505691
SAVANNA	260	1505696
ARCTIC LIGHTS	261	1505700
HE OR SHE OR IT	262	1505714
HERDSMAN	263	1505722
HE-GOAT	264	1505730
FOWL	265	1505737
SCALE	266	1505745
NIT	267	1505748
DRIBBLE	268	1505759
COOKED	269	1505768
JUG	270	1505778
SAUCER	271	1505792
TONGS	272	1505799
DOUGH	273	1505807
KNEAD	274	1505815
PEEL	275	1505825
BANISTERIUM	276	1505835
SPINDLE	277	1505839
AWL	278	1505847
THATCH	279	1506073
RIDGEPOLE	280	1506083
POST	281	1506091
POLE	282	1506095
PADDY	283	1506100
HOE	284	1506109
THRESH	285	1506115
NEEDLE TREE	286	1506160
CONE	287	1506163
FORGE	288	1507103
MOLD	289	1507122
ADZE	290	1507412
PULL OFF (SKIN)	291	1507419
RUG	292	1507427
NETBAG	293	1507431
TUMPLINE	294	1507435
WHETSTONE	295	1507439
CROUCH	296	1507443
CROOKED	297	1507521
SHRIEK	298	1508293
SCOLD	299	1508300
RATTLE	300	1508303
CHIEFTAIN	301	1508307
CLAN	302	1508311
ABSTAIN FROM FOOD	303	1508616
PREACH	304	1509379
GRANDPARENTS	305	1510376
PARENTS-IN-LAW	306	1510380
HAWK	307	1510384
TOUCAN	308	1510388
OPOSSUM	309	1510392
HEAD LOUSE	310	1510396
BODY LOUSE	311	1510400
TAPIR	312	1510404
AGOUTI	313	1510408
CAPYBARA	314	1510424
CURASSOW	315	1510442
PACA	316	1510460
PIRANHA	317	1510464
FOOTPRINT	318	1510480
LICK	319	1510483
LAME	320	1510490
CHEW	321	1510493
FIG	322	1510497
FAT (ORGANIC SUBSTANCE)	323	1510501
MANIOC FLOUR	324	1510514
FELT	325	1510534
CLOAK	326	1510537
PONCHO	327	1510543
GRASS-SKIRT	328	1510547
STOCKING	329	1510550
HEADBAND	330	1510556
HEADDRESS	331	1510560
RAG	332	1510563
PLAIT	333	1510567
COOKHOUSE	334	1510578
MEETING HOUSE	335	1510584
PADLOCK	336	1510588
PITCHFORK	337	1510832
RAKE	338	1510836
DIGGING STICK	339	1510840
LASSO	340	1510846
SICKLE	341	1510850
HAY	342	1510854
VINE	343	1510857
TREE TRUNK	344	1510861
SAP	345	1510865
BANYAN	346	1510869
SORGHUM	347	1510873
FISH POISON	348	1510877
ACHIOTE	349	1510885
MANGROVE	350	1510912
TARO	351	1510923
UNTIE	352	1510931
STRIKE	353	1510934
POUND	354	1510937
CUT DOWN	355	1510941
SHEARS	356	1510945
HANG UP	357	1510949
TINPLATE	358	1510953
POTTER	359	1510957
FAN ACTION	360	1510960
PEG	361	1510964
STRING	362	1510977
DWELL (LIVE, RESIDE)	363	1510985
SMEAR	364	1510989
SPLASH	365	1510997
LIMP	366	1511001
RIDE	367	1511006
SLEDGE	368	1511010
OWE	369	1511021
BARTER	370	1511024
PICK UP	371	1511027
POINTED	372	1511031
LONG AGO	373	1511039
ONE TIME	374	1511042
SNIFF	375	1511046
FRAGRANT	376	1511050
LOUD	377	1511054
PINCH	378	1511058
BLUNT	379	1511061
WRINKLED	380	1511065
BLAME	381	1511068
GOVERN	382	1511088
MASTER	383	1511091
FREEMAN	384	1511095
RESPECT (SOMEBODY)	385	1511098
BATTLE-AXE	386	1511102
SLING	387	1511106
FISHNET	388	1511110
FISH TRAP	389	1511114
PUNISHMENT	390	1511126
BLESS	391	1511134
MAGIC	392	1511137
CIRCUMCISION	393	1511141
SHAMAN (FOLK HEALER)	394	1511147
PILL	395	1511151
TABLET	396	1511154
BIRTH CERTIFICATE	397	1511158
PIERCE	398	1511162
PLANTAIN	399	1511168
MUSH	400	1521277
OPPRESS	401	1525355
SURPASS	402	1525871
GARDEN-HOUSE	403	1525934
ALCOHOL (FERMENTED DRINK)	404	1525942
OLDER SIBLING	405	1526616
OLD MAN	406	1526622
MANIOC BREAD	407	1526633
MEN'S HOUSE	408	1526639
FORKED BRANCH	409	1526645
YAM	410	1526651
GOURD	411	1526657
CARRY IN HAND	412	1527192
CARRY ON SHOULDER	413	1527196
CARRY ON HEAD	414	1527200
CARRY UNDER ARM	415	1527204
OUTRIGGER	416	1527208
THREE TIMES	417	1527212
FOR A LONG TIME	418	1527216
SEVERE	419	1532165
FOREST	420	1533
RETREAT	421	1536730
NECESSITY	422	1538973
GET LOST	423	1539269
MARRIED MAN	424	1539796
BE LATE	425	1539800
MARRIED WOMAN	426	1539812
YOUNGER SIBLING	427	1539816
BE MANY	428	1541108
SWIDDEN FIELD	429	1541112
TWIST	430	1541116
UPPER ARM	431	1541167
BLOWGUN	432	1541173
HOWLER MONKEY	433	1541184
SPIDER MONKEY	434	1541190
COLLARED PECCARY	435	1541194
WHITE-LIPPED PECCARY	436	1541200
GUAN	437	1541204
CHIGGOE (JIGGER FLEA)	438	1541208
CEBUS MONKEY	439	1541218
CHONTA PALM	440	1541228
CHICHA	441	1541232
FRONT TOOTH (INCISOR)	442	1541236
TIP (OF TONGUE)	443	1541242
LONG HAIR	444	1541248
UPPER BACK	445	1541252
LOWER ARM	446	1541256
LOWER LEG	447	1541261
STORM CLOUDS	448	1541265
CORN FIELD	449	1541269
CUSHMA	450	1542267
HARMATTAN	451	1542657
DRY SEASON	452	1542663
RAINY SEASON	453	1542669
SHEA NUT TREE	454	1542675
MAHOGANY TREE	455	1542685
GUINEA FOWL	456	1542693
BLIND PERSON	457	1542706
DEAF PERSON	458	1542714
SNAP (OF STICK)	459	1542724
BREAK (OF ROPE)	460	1542733
BOUBOU	461	1543020
WRAPPER	462	1543026
FELL (A TREE)	463	1543589
ALANG-ALANG GRASS	464	1543597
CARRY ON BACK	465	1543608
CASSOWARY	466	1543612
CRAYFISH	467	1543617
G-STRING	468	1543622
PANDANUS	469	1543627
POSSUM	470	1543631
UPPER LEG	471	1543636
PELICAN	472	1544449
SPEAR (SOMEBODY)	473	1544459
DRESS	474	154560
UNTRUTH	475	154568
CUP	476	154685
LATE	477	154705
LIP	478	154710
GROW	479	154737
PLATE	480	154781
DISH	481	154785
NOBLE	482	154801
COMPOUND	483	155053
CONDEMN	484	155122
DISAPPEAR	485	155161
MINISTER	486	155405
SHY	487	155571
MANNER	488	155620
KIDNEY	489	155634
DESCENDANTS	490	155705
CENTER	491	155907
THREE	492	156096
FIVE	493	156104
FLIRT	494	1562957
REVENGE	495	1563403
CUCUMBER	496	156381
SCAR	497	156420
CALF OF LEG	498	156660
CURE	499	156675
CRUEL	500	156727
LIFT	501	156785
NAIL (TOOL)	502	156863
FROG	503	1570
LEARN	504	157124
PARENTS	505	157257
MAIZE	506	157264
MELON	507	157304
PERIOD	508	1573566
CERTAIN	509	157395
STRONG EFFECT	510	1575935
BAOZI	511	1577338
SEE A DOCTOR	512	1577362
THIS YEAR	513	1577366
LAST YEAR	514	1577370
NEXT YEAR	515	1577374
PERSON (CLASSIFIER)	516	1577378
FIREDRILL	517	1577388
SPARK	518	1578717
SPOT	519	1578721
MANZANITA	520	1579894
TULE	521	1579898
WOLF	522	158033
BACK OF HEAD	523	1580787
BARBEL	524	1580799
BLOOD VESSEL	525	1580827
HOWL	526	158088
DOG-ROSE	527	1580939
DREADFUL	528	1580946
FLANK	529	1580954
FRECKLE	530	1580959
HOW MUCH	531	158133
GIPSY	532	1581331
GLUTTON	533	1581337
HUMP	534	1581343
INFLATED	535	1581347
LOW VOICE	536	1581352
TURBID	537	1581541
MULTITUDE	538	1581546
NEST	539	1581551
PALATE	540	1581560
POETRY	541	1581589
SCANTY	542	1581601
SHUTTLE	543	1581605
SPICY	544	1581678
SPRUCE	545	1581689
SUCKER	546	1581694
SURFACE	547	1581700
INFECTED	548	1581708
COPULATE	549	1581715
DILUTE	550	1581721
DISLOCATE	551	1581727
GROW UP	552	1581756
HEW	553	1581762
HINDER	554	1581766
INFRINGE	555	1581772
MARRY OFF	556	1581779
OFFEND	557	1581784
PASS BY	558	1581790
BROTHER (OF MAN)	559	1581800
BROTHER (OF WOMAN)	560	1581804
SISTER (OF MAN)	561	1581808
SISTER (OF WOMAN)	562	1581812
YOUNG (OF WOMAN)	563	1581816
YOUNG (OF MAN)	564	1581820
OLD (OF MAN)	565	1581826
OLD (OF WOMAN)	566	1581829
REBEL	567	1581981
RISE (MOVE UPWARDS)	568	1581986
SPOIL (BECOME SPOILED)	569	1581989
STAND UP	570	1581992
STING	571	1581997
STREW	572	1582001
SWAY	573	1582012
TRANSIT	574	1582031
TREAD	575	1582035
DANDRUFF	576	158253
FOREFINGER	577	158386
KISS	578	158442
BATTLE	579	158617
FUR	580	1590
COME BACK	581	159011
LEND	582	159035
KIND OR POLITE	583	159058
DIFFICULT	584	159359
BOOT	585	159566
GARDEN	586	1601
ANT	587	160271
BROKEN	588	160300
CLOSED	589	160351
NAKED	590	160368
ADDRESS	591	160397
PISS	592	160433
POTATO	593	160661
PIECE	594	160850
GROUNDNUTS	595	161168
POSTAGE STAMP	596	161415
PHYSICIAN	597	161474
SHELL	598	161542
DRIVER'S LICENSE	599	161564
STRANGE	600	161713
LIE (MISLEAD)	601	161769
HIDE (CONCEAL)	602	161806
COAT	603	161851
GLASS	604	1656
GRAIN	605	1674
GRASS	606	1675
GRASSHOPPER	607	1677
GULF	608	1702
HAIL	609	1707
PORT	610	1717
HARVEST	611	1722
HEAT	612	1746
HIGH TIDE	613	1769
HILL	614	1772
HORSE	615	1780
HOSPITAL	616	1782
ICE	617	1837
PRECIPICE	618	1875
ANIMAL	619	194
INSECT	620	1959
IRON	621	2024
ISLAND	622	2031
LAGOON	623	2058
LAKE	624	2061
LAMP	625	2062
LAND	626	2063
LEAD (CHEMICAL ELEMENT)	627	2119
LEAF	628	2124
LEATHER	629	2126
LIGHT (RADIATION)	630	2158
LIVESTOCK	631	2183
LIZARD	632	2189
MARKET	633	2276
MEAT	634	2300
MILK	635	2358
MILL	636	2359
MOSS	637	2413
MOTORCYCLE	638	2414
MOUNTAIN	639	2421
MUD	640	2428
MUSHROOM	641	2444
MUSIC	642	2445
NEED (NOUN)	643	2497
OAK	644	2597
OCEAN	645	2608
ASH	646	264
PAINT (PIGMENTS)	647	2709
PAPER	648	2713
PASTURE	649	2725
PETROLEUM	650	2761
SEAL	651	2810
PLAIN	652	2813
PLANT (VEGETATION)	653	2836
PLASTIC	654	2840
POISON	655	2847
POLICE	656	2852
PRICE	657	2959
RAIN (PRECIPITATION)	658	3100
REED	659	3137
REEF	660	3138
RELIGION	661	3175
BATTERY	662	318
BAY	663	320
RESIN	664	3205
BEE	665	325
RIVER	666	3253
ROAD	667	3258
ROCK	668	3266
RODENT	669	3268
ROOT	670	3269
SAND	671	3305
EARLY	672	331892
SCHOOL	673	3320
MOUTH	674	332000
FAECES (EXCREMENT)	675	332125
SHIT (DEFECATE)	676	332137
AXE	677	333200
BEARD	678	333455
BRIGHT	679	333539
BREAK (DESTROY OR GET DESTROYED)	680	333586
DESTROY	681	333618
SIDE	682	333652
PERSON	683	333730
OWN	684	333811
DECIDE	685	333851
EASY	686	333916
NOTHING	687	333997
LUNG	688	334158
BETWEEN	689	334412
BOTTOM	690	334481
SEASON	691	3345
BRING	692	334503
FROM	693	334719
GET	694	334733
GO	695	334831
STIR	696	334889
CONTAIN	697	334982
WISE	698	334990
SAD	699	335013
CARRY	700	335263
SLOW	701	335287
CATCH	702	335306
SOON	703	335437
CLEAN	704	335501
GO UP (ASCEND)	705	335553
DARK	706	335607
REMEMBER	707	335793
SHINE	708	335797
TEACH	709	335855
WHEEL	710	335923
TALL	711	335942
RICH	712	336015
STEAL	713	336072
SEED	714	3361
SHOUT	715	336249
GROAN	716	336417
SWEET	717	336426
PAY	718	336535
FIND	719	336790
GOOD LUCK	720	336810
LOW	721	336887
ATTACK	722	337168
PLACE (POSITION)	723	337267
READ	724	337421
OLD PERSON	725	337925
WHILE	726	338120
WHICH	727	338269
FIRST	728	338524
DAWN	729	338616
SNAKE	730	3388
BEVERAGE	731	339
EARN	733	339161
MAKE	734	339200
OWL	735	339205
YARD	736	339642
LIGHT (IGNITE)	737	339690
THING	738	339816
FEED	739	340030
SHIP	740	3403
DRIVE	741	340699
END (OF SPACE)	742	340747
END (OF TIME)	743	340750
EGG	744	340828
SHELF	745	340859
SHOP	746	3409
BICYCLE	747	341
SOW SEEDS	748	341201
ENTER	749	341348
DROP	750	341382
SHRUB	751	3414
STORE	752	341452
PUPIL (STUDENT)	753	341470
HURRY	754	341511
DENY	755	341655
DEPEND	756	341672
BUTTON	757	342095
HERON	758	342235
SILVER	759	3424
KNOT	760	342406
COVER	761	342543
OUTSIDE	762	342558
SKIN	763	3430
SUIT	764	343200
MOVE	765	343359
MENSTRUATION	766	343457
CORPSE	767	343500
LUNCH	768	343542
ROOF	769	344031
EARRING	770	344234
HAT	771	344283
BELT	772	344311
HAVE	773	344354
CABBAGE	774	344475
TRUMPET	775	344567
TRUNK OF TREE	776	344683
FLUTE	777	344824
SMOKE (EXHAUST)	778	3451
PART	779	345219
OUR	780	345304
FEAR (FRIGHT)	781	345325
DEFEAT	782	345406
VICTORY	783	345436
SNOW	784	3455
STRONG	785	345510
SAILCLOTH	786	345771
SAIL	787	345774
SOAP	788	3458
PEOPLE	789	345923
READY	790	346236
STRANGER	791	346995
BOIL (OF LIQUID)	792	347033
BOIL (OF SKIN)	793	347037
PEN	794	347193
TROUT	795	347439
NIPPLE	796	348030
TESTICLES	797	348064
JAW	798	348120
WRIST	799	348173
THIGH	800	348189
RIB	801	348225
ADAM'S APPLE	802	348242
ANKLE	803	348298
WOMB	804	348317
SPINE	805	348411
BLANKET	806	348520
SKILLED	807	348581
DRIP (FALL IN GLOBULES)	808	348656
TROUSERS	809	349559
LOCUST	810	349672
SOUL	811	349815
SLAVE	812	350300
DO	813	351006
DRESS UP	814	351289
GOVERNMENT	815	351462
HALF	816	352085
THEY	817	352331
WILLOW	818	352435
STOMACH	819	352530
LAMB	820	352601
POPLAR	821	353334
HOW MANY	822	353440
SORCERER	823	353553
WITCH	824	353642
AWAKE	825	353802
BRANCH (BIFURCATION)	826	353982
ROLL	827	354681
RACCOON	828	354847
RAFTER	829	355194
SOOT	830	3554
BASE	831	355706
BEAN	832	355931
ENDURE	833	355939
BUTTOCKS	834	356264
CHAPTER	835	356636
SCREWDRIVER	836	356932
BLUE	837	357132
REMAINS	838	357288
ERR	839	357907
CORMORANT	840	358081
FISHING SPEAR	841	358355
LIQUOR	842	358484
SPIDER	843	3588
KIND (THING)	844	359363
MURDER	845	359371
TIGER	846	8437
THIRSTY	847	359725
THIRST	848	359542
SPRING (OF WATER)	849	3596
SQUARE	850	3599
STABLE	851	3602
PRIEST	852	360238
ALTAR	853	361044
KETTLE	854	361382
SEIZE	855	362509
HIRE	856	362921
STONE	857	3633
STORM	858	3635
STOVE	859	3637
CAUSE	860	364159
JUDGE	861	365034
SUGAR	862	3664
EDGE	863	366432
PUMPKIN	864	366683
FAME	865	367378
WIN	866	367675
GLOVE	867	369021
BANANA	868	369665
BLADE	869	370359
BREATH	870	370376
RATTLESNAKE	871	370629
TAR	872	3708
TAX	873	3714
CANDY	874	371969
SHOEMAKER	875	372056
ARCH	876	372196
MASON	877	372205
HELL	878	372550
COUGH	879	373675
REPEAT	880	374372
TAILOR	881	374399
PARROT	882	374495
TERMITE	883	3747
SHARE	884	374731
OPPOSITE	885	374758
PARAKEET	886	375199
BITTER	887	375671
POISONOUS	888	375775
FLAME	889	376152
MULE	890	377499
TIDE	891	3777
TIME	892	3779
TIN (METAL)	893	3780
TOAD	894	3784
TORTOISE	895	3788
ANACONDA (WATER BOA)	896	379150
SWALLOW	897	380335
TRADE	898	3812
PRESIDENT	899	381596
TRAIN	900	3834
ADOBE	901	383952
ADULTERY	902	383985
ASPEN	903	384856
BERRY	904	384870
BORING	905	385276
TREE	906	3854
OLD WOMAN	907	385678
DRUM	908	386380
GARBAGE	909	387223
DEATH	910	387598
TEMPLE	911	388190
COYOTE	912	388687
CROW	913	388727
SCULPTOR	914	388881
SINK (BASIN)	915	389091
LINEN	916	389134
ORNAMENT	917	391992
INCLINATION	918	392007
CHILI PEPPER	919	392603
GRAPE	920	393668
VALLEY	921	3938
PEAR	922	393831
LOVE	923	395193
VEGETABLES	924	3953
CASSAVA	925	395385
RICE	926	395506
MANIOC	927	395809
EMBRACE	928	395892
VERMIN	929	3962
VILLAGE	930	3968
MILLET	931	397763
BARLEY	932	398106
WALL (OF HOUSE)	933	3989
BUFFALO	934	398978
WAR	935	3990
STALLION	936	399816
BIRD	937	400
MARE	938	400028
HORN (INSTRUMENT)	939	401769
STRAIN	940	402886
MEAD	941	403676
HONEY	942	404630
WATERFALL	943	4079
SALMON	944	408626
SPEAR	945	408915
BLOOD	946	411
STREAM	947	411075
WATER	948	4118
WATER LEECH	949	412005
SEAGULL	950	412090
WEAPONS	951	4128
WEATHER	952	4129
RAPE	953	413697
WELL	954	4138
GREASY	955	413848
FLEE	956	414377
WHALE	957	4147
WILD ANIMAL	958	4150
WAGON	959	415600
WIND	960	4160
PEBBLES	961	416275
WOMAN	962	4165
BOOK	963	417
WOOL	964	4174
WORLD	965	4181
BRAKE	966	418778
YEAST	967	4188
ACORN	968	419370
CIGARETTE	969	419443
COCONUT	970	419639
MUST	971	419789
BE ABLE	972	419859
NOODLE	973	419869
TOBACCO	974	420209
SPINACH	975	420508
WEAR	976	420726
ARROW	977	420887
WAVE	978	421112
FARMER	979	421671
HEEL	980	422122
ELBOW	981	422180
LIME (FRUIT)	982	422609
CONVICT	983	422713
WORK (LABOUR)	984	4228
VINEGAR	985	423392
TOMATO	986	423688
REMAIN	987	423795
ACQUIT	988	424928
CLEAR	989	425679
CREEK (TIDAL)	990	4259
FRY	991	425934
CLIFF	992	4261
RIVER BED	993	4264
BOW	994	427040
QUIVER	995	427098
DEAF	996	428203
BAOBAB TREE	997	428797
PUT	998	429615
JOINT	999	430011
ANXIETY	1000	430287
BLACKSMITH	1001	430574
STATUE	1002	430779
PERMIT	1003	431335
MUSCLE	1004	431414
TWINS	1005	431713
BRICK	1006	432
COW	1007	432006
BULL	1008	432142
CHESTNUT TREE	1009	4323
BOUNDARY	1010	432931
BRIDGE	1011	433
LATCH	1012	433601
FRESHWATER EEL	1013	433736
OR	1014	433943
SOIL	1015	434212
DRIZZLE	1016	434291
APPEARANCE	1017	434826
MEMORY	1018	435393
RIGHT	1019	436024
HANDKERCHIEF	1020	436343
TOWEL	1021	436437
BOOTY	1022	437280
STUMP OF TREE	1023	438953
CHARACTER	1024	439341
WHISTLE	1025	440386
LOW TIDE	1026	440739
BUG	1027	441
YAWN	1028	441371
JEWEL	1029	441479
NECESSARY	1030	441514
ON PURPOSE	1031	441581
CITIZEN	1032	4418
GRIND	1033	441895
DEFENDANT	1034	442442
GOOD	1035	443659
OWNER	1036	443850
ELF	1037	444093
TEACHER	1038	445262
SHOW	1039	446099
HAIR	1040	446278
INCREASE	1041	447326
CARPENTER	1042	447386
BRAID	1043	447700
PILLOW	1044	447708
POET	1045	448577
SHUT	1046	448880
PURSUE	1047	450119
LINE	1048	451773
MOLAR TOOTH	1049	451991
MOTHER-IN-LAW	1050	452350
CAN	1051	452618
LIGHT (WEIGHT)	1052	452743
HUNTER	1053	453168
SMALLPOX	1054	453618
FATHER-IN-LAW	1055	454081
SON-IN-LAW	1056	454149
DAUGHTER-IN-LAW	1057	454163
STEPDAUGHTER	1058	454184
STEPSON	1059	454195
CHILD-IN-LAW	1060	454216
ARMOUR	1061	454297
LAW	1062	4549
NEPHEW	1063	454945
SHIELD	1064	456348
SPIDER WEB	1065	456539
CRIME	1066	4568
JUDGMENT	1067	4571
COURT	1068	4578
GLUE	1069	46
BUS	1070	461
HOOK	1071	461013
PRISONER	1072	461201
CAPTIVE	1073	461214
FISHHOOK	1074	461552
TRAP (PITFALL)	1075	464297
EMERGE (APPEAR)	1076	465364
WHEAT	1077	466721
MAIN	1078	467005
FEEL	1079	467089
VULGAR	1080	467490
BILL	1081	468867
MERCHANT	1082	470229
MESS	1083	470273
CALL	1084	470997
FOLLOW	1085	471020
WORK (ACTIVITY)	1086	471303
CONCEIVE	1087	474203
SINK (DESCEND)	1088	474485
FRAXINUS	1089	474721
BE BORN	1090	474983
SALTY	1091	475116
HOPE	1092	475239
MIDDLE	1093	475332
FASTEN	1094	475820
LET GO OR SET FREE	1095	476248
SONG	1096	476597
ABANDON	1097	478269
WEIGH	1098	478489
RESIDE	1099	478515
COOK (SOMETHING)	1100	479132
SUFFER	1101	479346
CLIMB	1102	479387
SACRIFICE	1103	479450
NURSE	1104	479578
CAMP	1105	480116
FALL ASLEEP	1106	480264
GO OUT	1107	480460
UNCOVER	1108	480525
WOUND	1109	480931
SHARK	1110	481253
CAR	1111	482
SUCCEED	1112	483003
WRAP	1113	483089
BULLET	1114	483313
SPEECH	1115	4834
DAMAGE	1116	485920
LIKE	1117	486031
ACCUSTOM	1118	486067
DIVIDE	1119	486237
HONEST	1120	486712
SECRET	1121	486825
WAGES	1122	487077
PREGNANT	1123	489482
PIPE	1124	489864
BALD	1125	490061
