CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	ENGLISH	POLISH_POS	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN	POLISH_DOMINANCE_MEAN	POLISH_ORIGIN_MEAN	POLISH_SIGNIFICANCE_MEAN	POLISH_CONCRETENESS_MEAN	POLISH_IMAGEABILITY_MEAN	POLISH_AOA_MEAN	POLISH_VALENCE_MEAN_FEMALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_DOMINANCE_MEAN_FEMALE	POLISH_ORIGIN_MEAN_FEMALE	POLISH_SIGNIFICANCE_MEAN_FEMALE	POLISH_CONCRETENESS_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_AOA_MEAN_FEMALE	POLISH_VALENCE_MEAN_MALE	POLISH_AROUSAL_MEAN_MALE	POLISH_DOMINANCE_MEAN_MALE	POLISH_ORIGIN_MEAN_MALE	POLISH_SIGNIFICANCE_MEAN_MALE	POLISH_CONCRETENESS_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_AOA_MEAN_MALE	LINE_IN_SOURCE
1208	CAT	kot	cat	N	5.8	3.36	5.98	4.62	3.34	1.66	8.4	5.76	5.92	3.36	6.16	4.6	3	1.28	8.6	4.72	5.68	3.36	5.8	4.64	3.68	2.04	8.2	6.8	1358
1220	TAIL	ogon	tail	N	4.86	3.34	4.66	5.92	2.68	2.12	7.74	6.42	4.88	3.6	4.96	6	2.76	1.08	7.8	5.52	4.84	3.08	4.36	5.84	2.6	3.16	7.68	7.32	2248
1221	NOSE	nos	nose	N	5.16	3.18	5.14	5.74	3.74	1.88	8.02	5.88	5.24	3.04	5.4	5.6	3.4	1.2	8.4	5.4	5.08	3.32	4.88	5.88	4.08	2.56	7.64	6.36	2098
1223	HEART	serce	heart	N	6.94	4.68	5.94	2.66	5.4	2.68	7.9	6.22	7.48	5.36	6.08	2.92	5.92	2.12	8.2	6.08	6.4	4	5.8	2.4	4.88	3.24	7.6	6.36	3326
1247	EAR	ucho	ear	N	5.24	3.32	5.06	5.5	3.4	1.94	8.12	5.44	5.24	3.28	5.32	5.96	3.24	1.56	8.32	4.84	5.24	3.36	4.8	5.04	3.56	2.32	7.92	6.04	3995
1248	EYE	oko	eye	N	5.36	3.1	5.72	5.72	3.72	1.84	8.4	5.84	5.52	3.44	5.96	5.76	3.88	1.36	8.56	5.4	5.2	2.76	5.48	5.68	3.56	2.32	8.24	6.28	2264
1252	HOUSE	dom	home/ house	N	7.32	2.92	6.42	4.98	5.42	2.6	8.08	5.02	7.52	2.84	6.48	5.36	6.4	1.76	8.32	4.4	7.12	3	6.36	4.6	4.44	3.44	7.84	5.64	568
1255	SNOWING	śnieżyć	to snow	V	5.2	4.02	4.72	5.2	2.78	3.74	7.04	8.1	5.32	4.16	4.88	5.6	3	3.32	7.36	8.24	5.08	3.88	4.56	4.8	2.56	4.16	6.72	7.96	3772
1261	SING	śpiewać	to sing	V	6.82	4.38	5.54	4.76	4.24	3.96	7.6	5.72	7.08	4.72	5.44	4.6	4.8	3.6	8.04	5.28	6.56	4.04	5.64	4.92	3.68	4.32	7.16	6.16	3775
127	EXTINGUISH	gasić	to extinguish	V	5.3	3.92	5.74	5.62	3.46	3.54	7.06	7.88	5.16	4.28	5.76	5.88	3.52	2.88	7.4	8.12	5.44	3.56	5.72	5.36	3.4	4.2	6.72	7.64	829
1273	CANDLE	świeczka	candle	N	5.62	3.24	5.28	5.54	3.58	1.875	8.16	7.4	5.8	3.28	5.68	5.68	3.76	1.4	8.4	6.72	5.44	3.2	4.88	5.4	3.4	2.391304348	7.92	8.08	3791
1280	FALL	spadać	to fall	V	3.84	4.98	3.52	4.92	4.2	4.08	7.04	6.88	3.68	5.24	3.48	5	4.56	3.48	7.28	6.6	4	4.72	3.56	4.84	3.84	4.68	6.8	7.16	3469
1290	ELEPHANT	słoń	elephant	N	5.86	3.1	5.94	5.92	2.64	1.54	8.24	6.82	5.72	3.08	6.12	6.12	2.6	1.32	8.52	6.28	6	3.12	5.76	5.72	2.68	1.76	7.96	7.36	3423
1297	LEG	noga	leg	N	5.28	3.06	5.22	5.44	3.34	1.56	7.88	6.16	5.2	3.36	5.48	5.6	3.48	1.16	8.04	5.36	5.36	2.76	4.96	5.28	3.2	1.96	7.72	6.96	2091
1302	FORK	widelec	fork	N	5.18	2.88	5.22	5.76	3.2	1.74	8.14	6.62	5.68	3.24	6.08	6.24	3.24	2.92	7	12.44	5.76	3.56	5.48	6.24	3.04	3.84	6.88	11.52	4228
1313	MOON	księżyc	moon	N	6.5	3.44	5.78	5.14	3.9	2.14	8.183673469	6.78	6.76	4.16	5.84	5.44	3.8	1.4	8.6	7.04	6.24	2.72	5.72	4.84	4	2.88	7.75	6.52	1426
