CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_FREQUENCY	DUTCH_CD	DUTCH_SUBTITLE_FREQUENCY	DUTCH_FREQUENCY_LOG	DUTCH_SUBTITLE_CD	DUTCH_CD_LOG	LINE_IN_SOURCE
100	FAITHFUL	trouw	2e+03	1e+03	52.3446	3.3598	16.9517	3.1364	1305
1007	COW	koe	8e+02	5e+02	18.5459	2.9096	5.7249	2.6656	2964
1019	RIGHT	rechts	3e+03	2e+03	58.679	3.4094	18.8848	3.1833	1194
1025	WHISTLE	fluiten	2e+02	2e+02	4.6651	2.3118	2.1314	2.238	8310
1030	NECESSARY	nodig	5e+04	8e+03	1038.0197	4.657	95.7745	3.8882	130
1035	GOOD	goed	2e+05	8e+03	3488.1092	5.1834	99.5539	3.905	48
1038	TEACHER	leraar	1e+03	7e+02	29.6597	3.1133	8.6617	2.8451	2041
1040	HAIR	haar	1e+05	8e+03	2975.8683	5.1144	97.0632	3.894	55
1069	GLUE	lijmen	4e+01	4e+01	0.9833	1.6435	0.4957	1.6128	23774
1070	BUS	bus	3e+03	1e+03	64.8305	3.4527	16.3569	3.1209	1104
1088	SINK (DESCEND)	zinken	4e+02	3e+02	9.6045	2.6243	3.3209	2.4298	4872
1098	WEIGH	wegen	9e+02	7e+02	20.5811	2.9547	8.7113	2.8476	2739
1102	CLIMB	klimmen	6e+02	4e+02	13.1719	2.7612	5.4151	2.6415	3850
1111	CAR	auto	2e+04	5e+03	457.9983	4.3017	58.6369	3.6751	255
1117	LIKE	lijken	4e+03	3e+03	95.9308	3.6228	35.0682	3.4519	819
112	TURTLE	schildpad	2e+02	1e+02	4.3678	2.2833	1.3879	2.0531	8712
1120	HONEST	eerlijk	8e+03	4e+03	172.3782	3.8773	48.8724	3.596	533
1123	PREGNANT	zwanger	3e+03	1e+03	62.7724	3.4387	15.6753	3.1024	1130
1125	BALD	kaal	4e+02	3e+02	8.2324	2.5575	3.4944	2.4518	5471
1129	PAINFUL	pijnlijk	7e+02	6e+02	16.099	2.8482	7.3234	2.7723	3321
1133	MATCH	lucifer	3e+02	2e+02	6.4487	2.4518	2.4535	2.2989	6548
1135	KICK	schoppen	6e+02	5e+02	13.4463	2.7701	6.2701	2.705	3802
1136	RABBIT	konijn	8e+02	3e+02	18.866	2.917	4.2751	2.5391	2930
1147	PURE	puur	1e+03	9e+02	23.3481	3.0095	10.5452	2.9304	2496
1150	THUNDER	donder	2e+03	1e+03	38.0522	3.2214	13.7546	3.0457	1688
1156	OPEN	openen	2e+03	1e+03	36.1999	3.1998	14.6344	3.0726	1752
1157	BECAUSE	omdat	4e+04	7e+03	869.3918	4.58	91.2887	3.8673	144
119	DIVE	duiken	7e+02	4e+02	16.0533	2.847	5.4523	2.6444	3328
1190	HARE	haas	1e+02	7e+01	2.1725	1.9823	0.8426	1.8388	14137
1198	MANY	talrijk	4e+01	3e+01	0.8232	1.5682	0.4089	1.5315	26449
1200	HUSBAND	echtgenoot	2e+03	1e+03	36.177	3.1995	12.2677	2.9961	1755
1201	FEATHER	veer	2e+02	1e+02	3.4302	2.179	1.1896	1.9868	10300
1202	BIG	uitgestrekt	4e+01	4e+01	0.9605	1.6335	0.5204	1.6335	24016
1206	BARKING	blaffen	2e+02	1e+02	3.6131	2.2014	1.5985	2.1139	10001
1207	YOUNG	jong	4e+03	2e+03	91.6088	3.6028	30.6568	3.3936	858
1208	CAT	kat	2e+03	1e+03	52.8477	3.364	12.2924	2.9969	1291
1209	I	ik	2e+06	8e+03	39883.0334	6.2416	99.8017	3.9061	1
121	SPIN	spinnen	3e+02	1e+02	6.3115	2.4425	1.772	2.1584	6662
1210	HEAVY	zwaar	4e+03	3e+03	80.838	3.5485	31.0781	3.3995	938
1215	THOU	jij	2e+05	8e+03	4471.2917	5.2912	99.1945	3.9034	32
1216	MOTHER	moeder	3e+04	6e+03	652.4898	4.4554	73.0731	3.7707	187
1217	FATHER	vader	3e+04	6e+03	795.6199	4.5415	73.829	3.7752	156
1220	TAIL	staart	8e+02	6e+02	17.9513	2.8954	7.0384	2.7551	3039
1221	NOSE	neus	3e+03	2e+03	70.0444	3.4863	24.5725	3.2975	1045
1223	HEART	hart	9e+03	4e+03	196.3666	3.9339	46.2701	3.5723	482
1225	DAY (NOT NIGHT)	dag	4e+04	7e+03	848.5591	4.5695	90.8922	3.8655	148
1226	YEAR	jaar	3e+04	7e+03	762.6673	4.5231	87.2367	3.8476	162
1229	OLD	oud	8e+03	4e+03	183.2633	3.9039	50.7063	3.612	504
1230	DIRTY	smerig	1e+03	9e+02	24.3543	3.0278	10.7559	2.939	2406
1231	NEW	nieuw	5e+03	3e+03	119.8507	3.7195	41.1276	3.5211	673
1233	NIGHT	nacht	9e+03	4e+03	204.439	3.9514	51.7348	3.6208	466
1234	SMOOTH	vlot	3e+02	2e+02	6.4259	2.4502	2.689	2.3385	6561
1235	WHO	wie	8e+04	8e+03	1829.4548	4.9031	98.3271	3.8996	84
1236	WHAT	wat	5e+05	8e+03	10991.4556	5.6818	99.8885	3.9064	10
1238	WHEN	wanneer	2e+04	6e+03	458.8215	4.3024	79.4548	3.8071	254
1239	HOW	hoe	1e+05	8e+03	3216.3928	5.1481	99.5663	3.905	51
