CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_OMEGAWIKI_WKB	AROUSAL_LANGUAGE_OMEGAWIKI_WKB	DOMINANCE_LANGUAGE_OMEGAWIKI_WKB	VALENCE_LANGUAGE_FAMILY_OMEGAWIKI_WKB	AROUSAL_LANGUAGE_FAMILY_OMEGAWIKI_WKB	DOMINANCE_LANGUAGE_FAMILY_OMEGAWIKI_WKB	VALENCE_MEAN_OMEGAWIKI_WKB	AROUSAL_MEAN_OMEGAWIKI_WKB	DOMINANCE_MEAN_OMEGAWIKI_WKB	LINE_IN_SOURCE
100	FAITHFUL	faithful	7.31	3.65	6.8	7.31	3.65	6.8	7.31	3.65	6.8	1276
1000	ANXIETY	anxiety	2.485	5.96	3.76	2.485	5.96	3.76	2.485	5.96	3.76	1774
1002	STATUE	statue	6.5	3.48	5.62	6.5	3.48	5.62	6.5	3.48	5.62	6544
1003	PERMIT	allow	5.67645161290323	3.59290322580645	5.40322580645161	5.64875	3.60625	5.39125	5.64875	3.60625	5.39125	2315
1007	COW	cow	2.84	5.27	5.75	2.84	5.27	5.75	2.84	5.27	5.75	2320
1010	BOUNDARY	boundary	4.68	4.3	4.74	4.68	4.3	4.74	4.68	4.3	4.74	4273
1014	OR	or	5.64185714285714	3.77357142857143	6.114	5.64033333333333	3.75533333333333	6.13566666666666	5.64210526313312	3.7910526315623	6.09052631576273	3738
1017	APPEARANCE	appearance	5.41571428571429	3.99285714285714	4.94714285714286	5.41571428571429	3.99285714285714	4.94714285714286	5.642	3.662	5.174	1163
1019	RIGHT	right	5.91205128205128	4.05974358974359	6.00948717948718	6.56416666666628	4.38416666666639	6.56083333333294	6.41299999999953	4.26099999999966	6.44099999999953	3314
1024	CHARACTER	character	5.68	3.19	5.97	5.68	3.19	5.97	5.68	3.19	5.97	3527
1027	BUG	bug	3.57382352941177	5.70382352941176	4.49735294117647	3.67784615384615	5.49407692307692	4.73715384615385	3.648	5.48133333333333	4.75866666666667	77
1030	NECESSARY	necessary	5.02755145797599	4.11563679245283	4.95577830188679	5.03495867768595	4.12882231404959	4.97231404958678	5.00125	4.13526785714286	4.93035714285714	2363
1031	ON PURPOSE	on purpose	5.25741301954491	3.99789124968112	6.09364396798183	5.25958978797057	4.01221029857205	6.09928256166162	5.2579946929492	3.97410538286581	6.08126611068991	2382
1032	CITIZEN	citizen	5.48	3.7	5.58	5.48	3.7	5.58	5.48	3.7	5.58	586
1033	GRIND	grind	4.25	4	4.14	4.25	4	4.14	4.25	4	4.14	6354
1035	GOOD	good	6.85	5.1	6.73	6.85	5.1	6.73	6.85	5.1	6.73	3846
1036	OWNER	owner	4.27166666666667	4.26666666666667	4.85333333333333	4.5075	4.1875	4.99	4.5075	4.1875	4.99	5441
1038	TEACHER	teacher	5.81375	3.649375	5.038125	5.75125	3.783125	4.639375	5.845	3.5825	5.2375	5316
1039	SHOW	show	5.53714285714286	4.26607142857143	5.94214285714286	5.618	4.219	5.99183333333333	5.54909090909091	4.28681818181818	5.94068181818182	2445
1041	INCREASE	increase	7.22	5.1	5.44	7.22	5.1	5.44	7.22	5.1	5.44	1255
1044	PILLOW	pillow	5.9	2.76	6.44	5.9	2.76	6.44	5.9	2.76	6.44	5479
1046	SHUT	close	5.32254058968405	3.45009124458297	5.7491856734141	5.0507565231923	3.72389828003745	5.70160559278574	5.05662031258754	3.71753881670347	5.69142172085286	694
1047	PURSUE	pursue	3.98	5.67454545454545	4.87272727272727	4.204	5.164	4.856	4.14333333333333	5.15333333333333	4.93	4757
1048	LINE	line	4.796	3.998	4.771	4.9575	3.8725	4.86	4.9575	3.8725	4.86	3323
1052	LIGHT (WEIGHT)	lightweight	6.55	3.52	5.89	6.55	3.52	5.89	6.55	3.52	5.89	6406
