CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_FREQUENCY	DUTCH_CD	DUTCH_FREQUENCY_PM	DUTCH_FREQUENCY_LOG	DUTCH_SUBTITLE_CD	DUTCH_CD_LOG	LINE_IN_SOURCE
1515	TEN	tien	9052	4142	207.0002	3.9568	51.3259	3.6173	461
1518	STUPID	stom	4544	2772	103.9117	3.6575	34.3494	3.4429	762
1519	RUN	hardlopen	110	67	2.5155	2.0453	0.8302	1.8325	12768
1522	SOCK	sok	136	96	3.11	2.1367	1.1896	1.9868	11007
1524	WINE	wijn	2643	1374	60.4399	3.4223	17.026	3.1383	1166
153	GREY	grauw	22	22	0.5031	1.3617	0.2726	1.3617	36066
1533	BE HUNGRY	hongeren	25	22	0.5717	1.415	0.2726	1.3617	33315
1535	SWORD	zwaard	1639	510	37.4805	3.2148	6.3197	2.7084	1701
1536	UNDERSTAND	begrijpen	4884	3087	111.6868	3.6889	38.2528	3.4897	716
1537	SPRINGTIME	lente	713	444	16.3048	2.8537	5.5019	2.6484	3286
1539	BASKET	mand	188	138	4.2992	2.2765	1.71	2.143	8828
1543	SNAIL	slak	104	76	2.3783	2.0212	0.9418	1.8865	13258
1547	SOUP	bouillon	56	40	1.2806	1.7559	0.4957	1.6128	20134
1548	UGLY	lelijk	1278	914	29.2252	3.1069	11.3259	2.9614	2063
1552	GLOOMY	somber	301	266	6.8832	2.48	3.2962	2.4265	6215
1554	MAN	man	61388	7533	1403.8146	4.7881	93.3457	3.877	101
1558	SIMILAR	vergelijkbaar	64	63	1.4635	1.8129	0.7807	1.8062	18323
156	RED	ros	100	49	2.2868	2.0043	0.6072	1.699	13623
1560	FACE	gezicht	8030	3985	183.6292	3.9048	49.3804	3.6005	503
1564	LAZY	lui	2085	1351	47.6796	3.3193	16.741	3.131	1425
1566	GUN	pistool	4488	1709	102.6311	3.6521	21.1772	3.233	775
1567	DOOR	deur	10822	4618	247.4764	4.0343	57.2243	3.6645	401
1569	CHEESE	kaas	999	656	22.845	3	8.1289	2.8176	2533
1570	EQUAL	gelijk	14427	5902	329.9152	4.1592	73.1351	3.7711	320
1571	SELL	verkopen	3960	2243	90.5569	3.5978	27.7943	3.351	863
1572	SURPRISED	verrast	939	791	21.473	2.9731	9.8017	2.8987	2660
1574	FLOAT	drijven	555	442	12.6917	2.7451	5.4771	2.6464	3966
1579	BE	bestaand	23	22	0.526	1.3802	0.2726	1.3617	35318
1580	ONLY	enig	2263	1748	51.7501	3.3549	21.6605	3.2428	1322
1585	SLEEP	slapen	9149	4185	209.2184	3.9614	51.8587	3.6218	455
1586	SMELL (PERCEIVE)	ruiken	1120	905	25.612	3.0496	11.2144	2.9571	2306
1592	CHEST	borst	1165	881	26.6411	3.0667	10.917	2.9455	2246
1593	DEEP	diep	2991	2123	68.3979	3.476	26.3073	3.3272	1063
1597	AIRPLANE	vliegtuig	3932	1560	89.9166	3.5947	19.3309	3.1934	870
1601	WEAK	zwak	1548	1193	35.3995	3.1901	14.7831	3.077	1779
1602	WAKE UP	opstaan	1821	1307	41.6424	3.2605	16.1958	3.1166	1586
1607	HATE	haten	1142	872	26.1151	3.058	10.8055	2.941	2275
1608	LISTEN	luisteren	4347	2932	99.4068	3.6383	36.3321	3.4673	796
1609	IDEA	idee	21121	6620	482.9929	4.3247	82.0322	3.8209	237
1613	COLOR	kleur	1735	1235	39.6758	3.2395	15.3036	3.092	1639
1616	CLOTH	doek	386	264	8.827	2.5877	3.2714	2.4232	5205
1620	SON	zoon	15226	3950	348.1866	4.1826	48.9467	3.5967	306
1622	SHIRT	shirt	966	624	22.0904	2.9854	7.7323	2.7959	2592
1623	SPEAK	praten	28086	6897	642.2678	4.4485	85.4647	3.8387	191
1624	EMPTY	leeg	2700	1986	61.7433	3.4315	24.6097	3.2982	1147
1625	DEAD	dood	43386	7154	992.1467	4.6374	88.6493	3.8546	136
1627	CHAIN	ketting	837	492	19.1404	2.9232	6.0967	2.6928	2892
1628	SQUIRREL	eekhoorn	265	141	6.06	2.4249	1.7472	2.1523	6884
1629	EVENING	avond	7898	3651	180.6107	3.8976	45.2416	3.5625	509
163	BLACK	zwart	2506	1588	57.307	3.3992	19.6778	3.2011	1212
1631	FAST	snel	20273	6509	463.6009	4.3069	80.6568	3.8136	251
1633	FLAT	plat	830	675	18.9804	2.9196	8.3643	2.8299	2912
1634	HUNDRED	honderd	2097	1475	47.954	3.3218	18.2776	3.1691	1414
1639	BEER	bier	2333	1304	53.3508	3.3681	16.1586	3.1156	1279
164	KANGAROO	kangoeroe	68	32	1.555	1.8388	0.3965	1.5185	17653
1641	SILK	zijde	822	607	18.7974	2.9154	7.5217	2.7839	2937
1645	SHORT	kort	2078	1677	47.5195	3.3179	20.7807	3.2248	1429
1646	GIRL	meisje	16737	5007	382.74	4.2237	62.0446	3.6997	287
1650	WATCH	horloge	1232	716	28.1733	3.091	8.8724	2.8555	2132
1653	BLIND	blind	1557	1003	35.6053	3.1926	12.4287	3.0017	1772
1654	LIGHTNING	bliksem	465	327	10.6336	2.6684	4.052	2.5159	4540
1659	DOLL	pop	1045	465	23.897	3.0195	5.7621	2.6684	2439
1663	BED	bed	10492	4309	239.93	4.0209	53.3953	3.6345	413
1672	WRITE	schrijven	4225	2149	96.6169	3.6259	26.6295	3.3324	813
1673	ARM	arm	3466	2173	79.2601	3.54	26.9269	3.3373	956
1689	SMOKE (INHALE)	roken	1919	1241	43.8835	3.2833	15.3779	3.0941	1527
1702	HOLY	heilig	534	420	12.2115	2.7284	5.2045	2.6243	4089
1703	SIX	zes	8739	4162	199.8426	3.9415	51.5737	3.6194	473
1704	SEVEN	zeven	4527	2546	103.523	3.6559	31.5489	3.406	765
1705	EIGHT	acht	4857	2735	111.0694	3.6865	33.891	3.4371	721
1706	ELEVEN	elf	1217	818	27.8302	3.0856	10.1363	2.9133	2169
1707	TWELVE	twaalf	2033	1396	46.4904	3.3084	17.2986	3.1452	1456
1708	THIRTEEN	dertien	577	402	13.1948	2.7619	4.9814	2.6053	3847
1709	FIFTEEN	vijftien	1268	917	28.9965	3.1035	11.3631	2.9628	2074
1710	TWENTY	twintig	2468	1592	56.438	3.3925	19.7274	3.2022	1232
1713	EIGHTEEN	achttien	469	357	10.725	2.6721	4.4238	2.5539	4517
1714	NINETEEN	negentien	236	191	5.3968	2.3747	2.3668	2.2833	7489
1715	THIRTY	dertig	1419	990	32.4495	3.1523	12.2677	2.9961	1910
