CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SENSES	LINE_IN_SOURCE
1097	ABANDON	abandon (V)	to stay;to destroy	1
1251	BELLY	abdomen	belly	2
2527	ABILITY	ability	able;to know;strong;luck	4
972	BE ABLE	may	able;to know	3807
3866	ABORTION	abortion	sick	12
1741	ABOVE	over	top	4262
303	ABSTAIN FROM FOOD	abstain (V)	obstacle;to endure	21
1953	ABUSE	abuse (V)	to curse	27
1542	ACCOMPANY	accompany (V)	to follow;to help;together	37
1814	ACCUSE	accuse (V)	to curse;to deceive	46
1815	ACHE	ache (V)	sick;to die	49
1906	SOUR	acid	gall;sour;bitter;to rot	52
968	ACORN	acorn	to paint;tree;grain	56
3892	ACQUIRE (SOMETHING)	acquire (V)	to take	58
2670	ACROSS	across	to bend;side	59
1861	ACTIVE	active	quick;to know	63
802	ADAM'S APPLE	adam's apple	throat;neck	64
2882	ADD	add (V)	layer;many;to count;two;together;to bind	65
2022	ADMIT	admit (V)	to think	81
917	ORNAMENT	adornment	cloth	87
902	ADULTERY	adultery	to play	88
290	ADZE	adze	knife;to beat	93
2214	AFFAIR	affair	to work;to make	96
1419	FEAR (BE AFRAID)	fear (V)	to fear;to shake;to praise;to follow	2252
1685	AFTER	after	back;time;behind;to follow	106
2093	AFTERWARDS	afterwards	to follow;time	108
204	AGAIN	again	big;to follow;two;to roll;many	109
2469	AGAINST	against	obstacle	110
1789	AGE	age	time;year;moon;old	111
2112	OLD (AGED)	aged	old;to tire	112
3643	AGREE	agree (V)	to speak;true;to think;together	120
3644	AGREEMENT	agreement	debt	123
27	AIR	air	wind;to blow;face;sky	131
404	ALCOHOL (FERMENTED DRINK)	fermented drink	beer	2282
3867	ALCOHOLIC (PERSON)	alcoholic	beer	137
1558	SIMILAR	alike	similar;together	143
1422	BE ALIVE	alive	to live	144
98	ALL	everything	all	2078
1003	PERMIT	permit (V)	to give;to speak	4433
1964	ALONE	alone	one;pronoun	158
2576	ALREADY	already	time	161
853	ALTAR	altar	chair	163
1676	ALWAYS	always	shape;time	166
65	AMBUSH	ambush	trap;to hide	169
2987	AMOUNT	amount	time	170
1669	ANCESTORS	ancestor	to praise;time	175
1577	AND	and	big;time;many	178
82	ANGER	anger	anger;lung;silly;gall;to curse	181
1826	ANGRY	angry	anger;grief;to curse;war;strong;to fear	183
619	ANIMAL	animal	deer;elephant;meat;horse;marten;sheep	185
803	ANKLE	ankle	foot;bone	188
9	ANNOUNCE	announce (V)	to speak;to call	191
2892	MAKE ANGRY (ANNOY)	annoy (V)	devil;heavy;grief;to tire;to curse	193
2223	BE ANGRY	annoyed	grief	195
197	OTHER	another	pronoun	197
1275	ANSWER	reply (V)	to speak	5011
587	ANT	ant	insect;worm	199
3674	ANTELOPE	antelope	deer	200
1935	ANUS	anus	genitals;behind;below;hole	201
1648	ANVIL	anvil	metal	202
1000	ANXIETY	anxiety	to fear;shame	203
3869	ANXIOUS	anxious	grief;to think	204
1076	EMERGE (APPEAR)	emerge (V)	big;top;high;side;to make;to swell;wide;to wake;to grow	7069
1017	APPEARANCE	appearance	face;shape;to shine;to measure	213
1320	APPLE	apple	fruit	215
1778	APPROACH	approach (V)	near;to go;to reach	221
3730	APRICOT	apricot	grain	223
2046	APRON	apron	to cover;cloth	224
876	ARCH	arc	bow;to bend	226
1673	ARM	arms	sharp	236
3149	ARMLET	armlet	clothes	233
1061	ARMOUR	armour	skin;war	234
1886	ARMPIT	armpit	hand;hole	235
1561	ARMY	army	war;many	237
1568	ARRANGE	arrange (V)	to carry;to make;to put;to want;to follow;together;shape;to take	240
1387	ARRIVE	reach (V)	to reach;to go;to touch;to bind	4894
977	ARROW	arrow	bow;sharp;stick;edge;to cut;war	246
3997	ARTICHOKE	artichoke	vegetable	249
705	GO UP (ASCEND)	mount (V)	top;vehicle;to run	3962
646	ASH	ash	tree	257
1894	ASHAMED	ashamed	red;shame	259
1309	ASK (INQUIRE)	question (V)	to speak	4828
834	BUTTOCKS	ass	horse	266
3638	ASSEMBLE (GET TOGETHER)	assemble (V)	group;to swell;together	271
3837	ASTRINGENT	astringent	bitter;sour	280
1461	AT	at	to be	282
2915	AT FIRST	at first	face	286
1963	IMMEDIATELY	at once	quick	288
3894	ATTACH	attach (V)	to bind;to put;similar;to meet;to adhere	294
3899	ATTACKING	attack (V)	thief;together;to take;to follow;to curse	296
1908	ATTENTIVE	attentive	grief;to think;to learn	300
2410	GOOD-LOOKING	attractive	to want	303
2851	AUGUST	august	to praise	305
1272	AUNT	mother's younger sister	relative	3953
1637	AUTHORITY	authority	to praise	308
1276	AUTUMN	autumn	time;rain	309
3639	AVOID	avoid (V)	shame;obstacle;to fear	312
1590	WAIT (FOR)	await (V)	to wait	313
825	AWAKE	awake	to wake;shape	314
278	AWL	awl	stick;thorn;needle	319
677	AXE	hatchet	knife	2902
1769	AXLE	axle	to roll;sharp	324
1291	BACK	back	back;body;side;breast;belly;end;behind;middle	326
2323	BACK (PART)	back part	back	328
805	SPINE	backbone	back;mountain	331
1292	BAD	bad	bad;rough;thief;to deceive;anger;sick;to tire;big	334
3717	BADGER	badger	marten;wolf	341
