CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_FREQUENCY	ENGLISH_CD	ENGLISH_FREQUENCY_PM	ENGLISH_SUBTITLE_CD	ENGLISH_FREQUENCY_LOG	ENGLISH_CD_LOG	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	40	39	0.7843137254901961	0.4649499284692418	1.6127838567197355	1.6020599913279623	16793
10	FIREWOOD	firewood	77	65	1.5098039215686274	0.7749165474487363	1.8920946026904804	1.8195439355418688	12495
100	FAITHFUL	faithful	465	353	9.117647058823529	4.208392942298522	2.66838591669	2.5490032620257876	4144
1000	ANXIETY	anxiety	345	265	6.764705882352941	3.15927515498331	2.5390760987927767	2.424881636631067	5072
1001	BLACKSMITH	blacksmith	107	50	2.0980392156862746	0.5960896518836434	2.03342375548695	1.7075701760979363	14549
1002	STATUE	statue	540	317	10.588235294117647	3.779208392942299	2.7331972651065692	2.5024271199844326	4478
1003	PERMIT	allow	2263	1660	44.372549019607845	19.790176442536957	3.354876422516234	3.2203696324513946	1175
1004	MUSCLE	muscle	694	528	13.607843137254902	6.294706723891274	2.8419848045901137	2.7234556720351857	3021
1005	TWINS	twins	770	474	15.098039215686274	5.650929899856939	2.8870543780509568	2.6766936096248664	3268
1006	BRICK	brick	519	255	10.176470588235293	3.040057224606581	2.716003343634799	2.4082399653118496	5208
1007	COW	cow	1301	728	25.50980392156863	8.679065331425846	3.114610984232173	2.8627275283179747	2364
1008	BULL	bull	1403	665	27.50980392156863	7.927992370052456	3.1473671077937864	2.823474229170301	2534
1009	CHESTNUT TREE	buckeye	9	7	0.17647058823529413	0.08345255126371007	1	0.9030899869919435	35829
101	BOAST	boast	54	52	1.0588235294117647	0.619933237958989	1.7403626894942439	1.724275869600789	14233
1010	BOUNDARY	boundary	69	59	1.3529411764705883	0.7033857892226991	1.845098040014257	1.7781512503836436	13237
1011	BRIDGE	bridge	2331	1046	45.705882352941174	12.470195517405818	3.3677285460869766	3.0199466816788423	1745
1012	LATCH	latch	98	73	1.9215686274509804	0.8702908917501193	1.99563519459755	1.8692317197309762	11564
1013	FRESHWATER EEL	eel	73	52	1.4313725490196079	0.619933237958989	1.8692317197309762	1.724275869600789	14267
1014	OR	or	86970	8239	1705.2941176470588	98.22365283738675	4.939374463658483	3.9159272116971158	79
1016	DRIZZLE	drizzle	22	21	0.43137254901960786	0.2503576537911302	1.3617278360175928	1.3424226808222062	23161
1017	APPEARANCE	appearance	591	498	11.588235294117647	5.9370529327610875	2.77232170672292	2.6981005456233897	3155
1018	MEMORY	memory	2477	1514	48.568627450980394	18.04959465903672	3.3941013020400446	3.180412632838324	1285
