CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_AoA_MEAN	LINE_IN_SOURCE
10	FIREWOOD	柴火	9.785714285714286	1363
1001	BLACKSMITH	铁匠	10.91304347826087	14204
1002	STATUE	雕像	10.19047619047619	3085
1003	PERMIT	允许	10.3	17850
1004	MUSCLE	肌肉	10.130434782608695	6384
1008	BULL	公牛	8.68421053	4748
101	BOAST	吹牛	8.842105263157896	2136
1017	APPEARANCE	样子	8.708333333333334	16697
1019	RIGHT	右边	6	17512
1021	TOWEL	毛巾	6.52631579	9490
1025	WHISTLE	哨子	9.227272727272727	12371
1030	NECESSARY	必须	9.08695652173913	630
1031	ON PURPOSE	故意	9.090909090909092	4998
1038	TEACHER	老师	6.142857142857143	8565
1039	SHOW	展示	9.904761904761905	18111
1041	INCREASE	增加	7.3	18035
1042	CARPENTER	木匠	10.185185185185185	9976
1044	PILLOW	枕头	6.681818181818182	18409
1045	POET	诗人	10.7	12761
1046	SHUT	关闭	6.904761904761905	5055
1047	PURSUE	追求	12.6	19322
1050	MOTHER-IN-LAW	岳母	14.294117647058824	17816
1053	HUNTER	猎人	9	8987
1054	SMALLPOX	天花	12.9	14061
1055	FATHER-IN-LAW	岳父	14.095238095238095	17815
1063	NEPHEW	侄子	11.45	18671
1064	SHIELD	屏蔽	13.476190476190476	10801
1066	CRIME	犯罪	9.954545454545455	3728
1068	COURT	法庭	13.368421052631579	3622
107	OMEN	兆头	13.363636363636363	18299
1072	PRISONER	犯人	9.75	3727
1075	TRAP (PITFALL)	陷阱	11.210526315789474	15592
1076	EMERGE (APPEAR)	出现	8.375	1944
1077	WHEAT	小麦	9.904761904761905	15799
1080	VULGAR	粗俗	11.590909090909092	2246
1082	MERCHANT	商人	12.105263157894736	12258
1084	CALL	呼唤	8.904761904761905	5812
1085	FOLLOW	跟随	10.458333333333334	4670
1086	WORK (ACTIVITY)	干活	8.347826086956522	4451
1087	CONCEIVE	构思	11.941176470588236	4885
1090	BE BORN	出生	7	1930
1095	LET GO OR SET FREE	释放	13.263157894736842	13044
1096	SONG	歌曲	7.380952380952381	4605
1100	COOK (SOMETHING)	烹饪	11	10564
1104	NURSE	护士	9.304347826086957	5874
1105	CAMP	营地	13	17217
1106	FALL ASLEEP	睡着	6.545454545454546	13483
1109	WOUND	伤口	7	12230
1111	CAR	汽车	5.882352941176471	11049
1112	SUCCEED	成功	8.428571428571429	1630
1114	BULLET	子弹	9.090909090909092	19384
1115	SPEECH	演讲	10.222222222222221	16607
1117	LIKE	喜欢	9.526315789473685	15345
1119	DIVIDE	划分	12.090909090909092	5922
1120	HONEST	诚实	9.3	1670
1121	SECRET	保密	11.090909090909092	364
1122	WAGES	工资	11.608695652173912	4716
1123	PREGNANT	怀孕	12.35	5998
1127	SEND	发送	10.68421052631579	3579
1128	ORDER	顺序	10.4	13492
1129	PAINFUL	痛苦	9.368421052631579	14371
1133	MATCH	火柴	6.217391304347826	6273
1136	RABBIT	兔子	5	14511
1138	FAIRY	仙人	10.454545454545455	15473
1139	LEOPARD	豹子	8.181818181818182	422
1145	SWAMP	沼泽	11.681818181818182	18291
1146	AUBERGINE	茄子	7.708333333333333	11284
1149	ORPHAN	孤儿	9.736842105263158	4912
1150	THUNDER	雷电	8.047619047619047	8613
1153	CATTLE	黄牛	13.789473684210526	6096
1155	CAVE	山洞	7.0476190476190474	12166
1156	OPEN	打开	6.421052631578948	2363
1158	STEP	台阶	7.75	13758
1160	THIEF	小偷	7.95	15818
1162	INTENTION	意图	13.2	17038
117	IMITATE	模仿	9.375	9882
1171	MIRROR	镜子	7.8	7633
1172	SHOOT	射击	11.333333333333334	12407
1173	EYEBROW	眉毛	7.35	9525
1174	YESTERDAY	昨天	6.481481481481482	19645
1175	GHOST	幽灵	11.68	17382
1182	NOISE	噪音	10.19047619047619	18011
1183	PALM OF HAND	手掌	5.105263157894737	13135
1189	ULCER	溃疡	12.842105263157896	8405
119	DIVE	潜水	10.68421052631579	11150
1193	STEAM	蒸汽	11.421052631578947	18476
1195	GIVE BIRTH	分娩	15.952380952380953	3985
1199	WIFE	妻子	9.454545454545455	10885
12	MIDDAY	中午	6.851851851851852	18879
1200	HUSBAND	丈夫	11.789473684210526	18245
1201	FEATHER	羽毛	8	17591
1205	TONGUE	舌头	5.85	12376
1207	YOUNG	年轻	10.545454545454545	10212
121	SPIN	旋转	6.2631578947368425	16307
1210	HEAVY	沉重	11.7	1596
1216	MOTHER	母亲	4.590909090909091	9958
1217	FATHER	父亲	3.857142857142857	4252
1218	ROPE	绳子	5.2105263157894735	12637
1220	TAIL	尾巴	8.904761904761905	14921
1221	NOSE	鼻子	4.909090909090909	585
1223	HEART	心脏	8.875	15984
1224	LIVER	肝脏	10.5	4397
1225	DAY (NOT NIGHT)	白天	5.814814814814815	167
1226	YEAR	岁月	11.863636363636363	13696
1227	BOARD	木板	6.176470588235294	9968
1228	EARTH (SOIL)	土地	7.913043478260869	14495
123	FOREHEAD	额头	7.954545454545454	3462
1230	DIRTY	肮脏	10.095238095238095	91
1232	WARM	暖和	7.3478260869565215	10318
1233	NIGHT	晚上	6.68	14749
1234	SMOOTH	光滑	10.391304347826088	5150
1245	BUTTER	牛油	12.125	10267
1247	EAR	耳朵	6.052631578947368	3502
1248	EYE	眼睛	6.888888888888889	16592
125	SWEAT (SUBSTANCE)	汗水	7.142857142857143	5461
1251	BELLY	肚子	5.809523809523809	3314
1252	HOUSE	房子	7.095238095238095	3819
1253	RAIN (RAINING)	下雨	7.636363636363637	15461
1255	SNOWING	下雪	7	15458
1257	WING	翅膀	6.764705882352941	1779
1258	FINGERNAIL	指甲	6.285714285714286	18723
1261	SING	歌唱	6.238095238095238	4600
1262	BROTHER	兄弟	8.19047619047619	16154
1263	SISTER	姊妹	10.090909090909092	19394
1264	CHANGE	更改	9.782608695652174	4684
1266	BRIDE	新娘	10.91304347826087	16025
127	EXTINGUISH	熄灭	10.5	15310
1273	CANDLE	蜡烛	6.761904761904762	8456
1275	ANSWER	回答	7.333333333333333	6132
1278	VOMIT	呕吐	7.411764705882353	10360
1280	FALL	坠落	11.727272727272727	19334
1281	PRISON	监狱	10.25	6786
1283	TODAY	今天	7	7330
1284	BANK	银行	11.263157894736842	17094
1285	IMPORTANT	重要	9.631578947368421	18986
1286	HOT	热水	6.666666666666667	11755
1289	BABY	婴儿	6.523809523809524	17189
1290	ELEPHANT	大象	8.08695652173913	2512
1291	BACK	后背	8.25	5762
1293	MISTAKE	错误	6.523809523809524	2313
1295	STICK	拐杖	8.65	5046
1298	NEWSPAPER	报纸	7.636363636363637	416
1299	COFFEE	咖啡	10.421052631578947	7914
1300	COUNTRY	国家	6.833333333333333	5289
1303	FINGER	手指	5.722222222222222	13136
1304	CHILD (YOUNG HUMAN)	儿童	6.380952380952381	3499
1305	CHIMNEY	烟囱	8.714285714285714	16498
1307	LANGUAGE	语言	8.363636363636363	17607
1308	DOUBT	疑虑	11.130434782608695	16939
131	FESTIVAL	节日	6.947368421052632	7201
1310	CLEVER	聪明	8.73684211	2223
1312	FOX	狐狸	6.84210526	5824
1313	MOON	月亮	5.5	17808
1320	APPLE	苹果	6	10796
1321	BOTTLE	瓶子	6.7368421052631575	10809
1322	BREAKFAST	早饭	5.25	17984
1325	FRIEND	朋友	9.25	10567
1329	TOMORROW	明天	9	9844
133	WEAVE	编织	11.666666666666666	694
1330	DEFEND	守卫	11	13148
1331	SHEEP	绵羊	8.576923076923077	9676
1332	NEIGHBOUR	邻居	6.523809523809524	8995
1333	NECK	脖子	6.3478260869565215	934
1335	WHITE	白色	6.684210526315789	165
1338	PEACE	和平	9.619047619047619	5629
1339	MORNING	早晨	6.863636363636363	17982
134	FAULT	过失	11.142857142857142	5355
1342	SUMMER	夏天	7.565217391304348	15469
1343	SUN	太阳	5.9523809523809526	13779
1346	THROAT	喉咙	8.9	5757
1349	CHURCH	教堂	10	7121
