CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	VALENCY_MEAN_MEN	VALENCY_MEAN_WOMEN	VALENCY_MEAN_ALL	AROUSAL_MEAN_MEN	AROUSAL_MEAN_WOMEN	AROUSAL_MEAN_ALL	IMAGEABILITY_MEAN_MEN	IMAGEABILITY_MEAN_WOMEN	IMAGEABILITY_MEAN_ALL	POLISH_FREQUENCY	POLISH_FREQUENCY_CD	LINE_IN_SOURCE
1194	BEAVER	bóbr	biber	1.00	0.92	0.96	2.07	1.85	1.96	6.29	6.46	6.37	187	0	378
1944	GOD	bóg	gott	1.18	1.56	1.41	3.00	2.81	2.89	2.82	3.63	3.30	20312	0	917
1783	PAIN	ból	schmerz	-1.89	-2.50	-2.30	3.56	3.22	3.33	6.00	6.17	6.11	8567	0	2104
1749	TAKE	brać	nehmen	0.00	-0.09	-0.04	1.73	2.73	2.15	6.00	5.82	5.92	5878	0	1660
1262	BROTHER	brat	bruder	1.64	2.00	1.81	2.71	3.00	2.85	5.57	6.77	6.15	15772	0	436
25	DIRT	brud	schmutz	-1.71	-2.08	-1.88	2.79	2.83	2.81	5.93	5.75	5.85	528	0	2107
2995	TONE (MUSIC)	brzmieć	ton	1.36	1.08	1.23	2.21	2.33	2.27	4.79	4.92	4.85	521	0	2439
1855	BIRCH	brzoza	birke	0.67	0.73	0.69	2.00	1.73	1.88	6.73	6.73	6.73	22	0	390
1840	BUILD	budować	bauen	1.60	0.94	1.19	2.80	2.06	2.33	5.90	5.94	5.93	856	0	263
3174	WAKE UP (SOMEONE)	budzić	wecken	-1.56	-0.83	-1.07	3.67	1.89	2.48	6.22	6.00	6.07	740	0	2741
1381	SHOE	but	schuh	0.11	0.61	0.44	1.56	1.39	1.44	6.44	6.72	6.63	3659	0	2126
1321	BOTTLE	butelka	flasche	0.64	-0.08	0.31	2.21	1.92	2.08	6.43	5.92	6.19	997	0	737
1008	BULL	byczy	bulle	0.50	0.50	0.50	2.21	2.00	2.12	5.07	3.83	4.50	27	0	444
578	KISS	całować	küssen	2.07	2.38	2.22	3.64	3.92	3.78	6.64	6.77	6.70	1184	0	1260
2366	ONION	cebulowy	zwiebel	0.33	0.39	0.37	2.33	1.50	1.78	5.56	5.78	5.70	32	0	2898
657	PRICE	cena	preis	-0.64	-0.31	-0.44	1.91	1.69	1.78	5.64	6.13	5.93	2555	0	1852
1784	WANT	chcieć	wollen	1.33	1.67	1.56	3.33	2.61	2.85	5.22	5.17	5.19	2608	0	2808
1368	BREAD	chleb	brot	1.31	1.62	1.46	1.54	1.92	1.73	7.00	6.62	6.81	1986	0	434
1366	BOY	chłopiec	junge	0.47	0.82	0.62	1.53	1.64	1.58	6.07	6.18	6.12	7325	0	1081
1489	CLOUD	chmura	wolke	0.64	0.56	0.59	2.27	2.06	2.15	6.55	6.56	6.56	456	0	2806
3147	HAMSTER	chomik	hamster	0.80	0.76	0.78	2.20	1.82	1.96	6.20	6.59	6.44	167	0	956
2623	FLAG	chorągiew	fahne	0.64	0.31	0.48	2.64	1.85	2.26	6.43	5.92	6.19	27	0	676
1847	SICK	chory	krank	-1.64	-2.15	-1.89	2.43	3.38	2.89	6.14	6.08	6.11	6919	0	1222
2900	PROTECT	chronić	schützen	1.44	1.00	1.26	2.56	2.36	2.48	5.81	5.09	5.52	6287	0	2135
2242	BEETLE	chrząszcz	käfer	0.20	0.18	0.19	1.60	1.73	1.65	6.40	6.55	6.46	24	0	1086
2219	LEAN (MEAT)	chudy	mager	0.21	-0.08	0.08	1.86	2.50	2.15	5.86	5.75	5.81	810	0	1426
3455	COMMEND	chwalić	loben	0.86	1.85	1.33	2.57	3.00	2.78	5.79	5.15	5.48	446	0	1377
101	BOAST	chwalipięta	prahlen	-1.50	-2.17	-1.81	2.21	2.92	2.54	4.93	5.42	5.15	27	0	1844
1480	BODY	ciało	leib	1.29	1.46	1.37	2.71	2.69	2.70	6.50	6.62	6.56	16781	0	1301
1455	PULL	ciągnąć	ziehen	0.91	-0.06	0.33	2.64	1.56	2.00	5.00	5.69	5.41	1211	0	2861
48	BE SILENT	cichy	still	0.36	-0.08	0.15	1.64	1.58	1.62	6.07	4.75	5.46	1074	0	2316
1388	SHADE	cień	schatten	0.57	0.23	0.41	1.86	2.38	2.11	6.21	6.54	6.37	1782	0	2054
1232	WARM	ciepły	warm	1.82	2.44	2.19	2.55	3.00	2.81	5.73	6.38	6.11	683	0	2733
1679	LOAD	ciężar	last	-0.45	-1.25	-0.93	2.73	2.25	2.44	5.27	5.81	5.59	1038	0	1275
1272	AUNT	ciotka	tante	0.57	0.17	0.38	2.14	2.00	2.08	6.43	5.50	6.00	1348	0	2381
