CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	VALENCY_MEAN_MEN	VALENCY_MEAN_WOMEN	VALENCY_MEAN_ALL	AROUSAL_MEAN_MEN	AROUSAL_MEAN_WOMEN	AROUSAL_MEAN_ALL	IMAGEABILITY_MEAN_MEN	IMAGEABILITY_MEAN_WOMEN	IMAGEABILITY_MEAN_ALL	POLISH_FREQUENCY	POLISH_FREQUENCY_CD	LINE_IN_SOURCE
1663	BED	łóżko	bett	1.79	2.15	1.96	2.50	2.54	2.52	6.86	6.92	6.89	3428	0	363
994	BOW	łuk	bogen	0.31	0.38	0.35	1.46	2.00	1.73	6.46	6.08	6.27	405	0	411
1378	SPOON	łyżka	löffel	0.19	0.27	0.22	1.31	1.18	1.26	6.88	6.45	6.70	209	0	1383
1651	TEAR (OF EYE)	łza	träne	-1.00	-0.45	-0.78	2.88	2.09	2.56	6.38	6.09	6.26	287	0	2464
2848	MAY (MONTH)	maj	mai	1.93	2.09	2.00	2.87	3.00	2.92	5.87	5.91	5.88	1262	0	1437
1350	MONKEY	małpa	affe	0.79	0.69	0.74	2.21	2.08	2.15	6.50	6.54	6.52	1303	0	63
2924	A LITTLE	mały	wenig	-0.07	0.62	0.26	1.43	1.92	1.67	5.93	5.77	5.85	25889	0	2771
2398	MANGO	mango	mango	0.55	1.13	0.89	2.45	1.94	2.15	5.45	6.69	6.19	324	0	1451
3085	CARROT	marchwiowy	möhre	0.64	1.62	1.11	1.57	2.08	1.81	5.64	6.77	6.19	9	0	1560
1292	BAD	marny	schlecht	-1.40	-1.12	-1.22	2.10	1.76	1.89	4.50	4.65	4.59	416	0	2096
538	MULTITUDE	masa	masse	0.40	0.24	0.30	1.40	1.88	1.70	4.70	5.18	5.00	1055	0	1470
1245	BUTTER	maślany	butter	0.91	0.56	0.70	2.09	1.81	1.93	5.18	5.56	5.41	34	0	455
1216	MOTHER	matka	mutter	1.57	2.46	2.00	3.07	3.54	3.30	6.86	6.92	6.89	23301	0	1616
2766	WATERMELON	melon	melone	0.73	1.00	0.85	2.13	1.45	1.85	6.07	6.45	6.23	344	0	1499
950	SEAGULL	mewa	möwe	0.69	1.00	0.85	1.31	1.62	1.46	6.77	6.15	6.46	100	0	1594
1554	MAN	mężczyzna	mann	0.21	1.92	1.00	1.36	3.75	2.46	6.57	6.50	6.54	10140	0	1454
249	FOG	mgła	nebel	0.50	-0.75	-0.08	2.43	2.67	2.54	6.57	6.17	6.38	678	0	1652
1825	COPPER	miedziany	kupfer	0.21	0.50	0.35	1.79	1.75	1.77	5.71	5.58	5.65	39	0	1255
1370	MONTH	miesiąc	monat	0.06	0.36	0.19	1.63	1.36	1.52	5.13	4.91	5.04	7506	0	1566
363	DWELL (LIVE, RESIDE)	mieszkać	wohnen	1.13	1.27	1.19	2.31	2.09	2.22	5.88	5.45	5.70	3610	0	2803
1856	SOFT	miękki	weich	0.80	1.91	1.27	2.00	2.27	2.12	6.00	6.36	6.15	621	0	2751
634	MEAT	mięso	fleisch	1.38	0.18	0.89	2.50	1.64	2.15	6.81	6.36	6.63	2623	0	740
245	BROOM	miotła	besen	-0.10	0.00	-0.04	1.60	1.65	1.63	5.90	6.76	6.44	102	0	341
942	HONEY	miód	honig	1.64	1.58	1.62	2.50	2.50	2.50	6.43	6.75	6.58	866	0	1028
383	MASTER	mistrz	meister	1.71	1.77	1.74	2.93	2.85	2.89	5.29	5.69	5.48	3735	0	1494
635	MILK	mleczny	milch	0.23	1.38	0.81	1.46	1.92	1.69	6.00	5.69	5.85	107	0	1523
1481	HAMMER	młotek	hammer	0.57	0.23	0.41	2.07	1.85	1.96	6.57	6.62	6.59	544	0	955
1474	SEA	morze	meer	2.18	2.56	2.41	3.27	3.25	3.26	6.36	6.94	6.70	2751	0	1487
1011	BRIDGE	most	brücke	0.64	1.15	0.89	1.93	2.23	2.07	6.79	6.77	6.78	2501	0	435
638	MOTORCYCLE	motocykl	motorrad	0.69	1.00	0.85	2.31	2.46	2.38	6.85	6.77	6.81	492	0	1591
1115	SPEECH	mowa	rede	1.00	0.50	0.67	2.11	1.44	1.67	5.33	4.89	5.04	2799	0	1924
972	BE ABLE	móc	können	1.93	1.08	1.54	3.07	2.75	2.92	4.86	4.42	4.65	4094	0	1206
1623	SPEAK	mówić	sprechen	0.38	0.82	0.56	1.88	2.45	2.11	6.25	5.91	6.11	31311	0	2265
1583	BRAIN	mózg	gehirn	1.38	0.82	1.15	2.06	2.27	2.15	6.38	5.82	6.15	5353	0	845
1504	FLY (INSECT)	mucha	fliege	-0.47	-0.27	-0.38	2.40	1.36	1.96	6.53	6.18	6.38	459	0	742
2829	MUSSELS	muszla	muschel	0.30	1.00	0.74	1.90	1.76	1.81	6.20	6.59	6.44	100	0	1604
1491	MOUSE	mysz	maus	0.71	-0.31	0.22	1.93	2.54	2.22	6.71	6.38	6.56	990	0	1480
2975	THOUGHT	myśl	gedanke	0.86	1.31	1.07	2.07	2.23	2.15	4.00	3.15	3.59	10287	0	827
1913	PRESS	naciskać	drücken	-1.07	-1.25	-1.15	2.43	3.25	2.81	4.14	5.25	4.65	509	0	530
1135	KICK	nadepnąć	treten	-0.85	-1.00	-0.92	2.00	2.54	2.27	5.77	6.15	5.96	54	0	2481
590	NAKED	nagi	nackt	1.14	0.50	0.85	3.07	3.33	3.19	6.50	6.25	6.38	934	0	1631
2006	FILL	napełniać	füllen	0.78	0.78	0.78	2.11	1.67	1.81	5.44	6.17	5.93	51	0	801
1038	TEACHER	nauczyciel	lehrer	0.56	0.56	0.56	2.89	1.78	2.15	6.00	6.11	6.07	2070	0	1295
1405	NAME	nazwisko	name	0.07	0.25	0.15	1.79	1.67	1.73	5.29	5.00	5.15	11389	0	1638
180	CALL BY NAME	nazywać	nennen	0.86	1.00	0.93	2.07	2.00	2.04	4.64	4.92	4.78	2872	0	1669
1161	THREAD	nić	faden	0.27	0.45	0.35	1.60	1.45	1.54	6.53	6.36	6.46	281	0	673
1732	SKY	niebo	himmel	2.25	1.27	1.85	2.44	1.73	2.15	6.19	6.55	6.33	4539	0	1011
1699	SUNDAY	niedziela	sonntag	1.29	1.75	1.50	2.43	2.50	2.46	5.07	6.50	5.73	889	0	2231
1607	HATE	nienawidzić	hassen	-1.86	-2.46	-2.15	2.93	3.62	3.26	5.43	5.46	5.44	994	0	965
1233	NIGHT	noc	nacht	0.70	1.29	1.07	2.10	2.53	2.37	6.20	6.76	6.56	27252	0	1628
1221	NOSE	nos	nase	0.38	-0.09	0.19	1.50	1.27	1.41	6.69	6.36	6.56	4279	0	1646
700	CARRY	nosić	tragen	0.09	-0.06	0.00	1.73	1.50	1.59	4.91	6.00	5.56	3767	0	2458
1328	SCISSORS	nożyczki	schere	0.07	0.00	0.04	1.79	2.17	1.96	6.00	6.58	6.27	498	0	2068
1352	KNIFE	nóż	messer	-0.93	-1.45	-1.15	2.20	2.64	2.38	6.73	6.55	6.65	4352	0	1507
119	DIVE	nurkować	tauchen	1.31	0.92	1.12	2.23	2.15	2.19	6.08	5.69	5.88	232	0	2396
928	EMBRACE	obejmować	umarmen	1.50	1.71	1.63	2.80	2.82	2.81	5.60	6.00	5.85	94	0	2528
3303	PICTURE (PAINTING)	obraz	bild	0.87	0.91	0.88	1.67	1.64	1.65	6.13	6.18	6.15	5602	0	385
2960	LONGING (WISH)	ochota	lust	1.30	1.65	1.52	2.50	2.71	2.63	4.30	5.29	4.93	148	0	1408
2978	DISTANCE	odległość	entfernung	0.06	0.00	0.04	2.38	1.91	2.19	5.75	5.45	5.63	1743	0	598
2948	GAP (DISTANCE)	odstęp	abstand	-0.07	-0.08	-0.08	1.43	1.67	1.54	5.50	4.33	4.96	82	0	39
3	BRAVE	odważny	mutig	2.07	2.36	2.19	2.73	3.00	2.85	5.47	6.00	5.69	1427	0	1614
1377	VISIT	odwiedzać	besuchen	1.43	1.31	1.37	2.86	2.77	2.81	5.86	5.85	5.85	689	0	353
1445	TURN (SOMETHING)	odwracać	wenden	-0.21	-0.17	-0.19	1.93	1.25	1.62	5.36	4.83	5.12	201	0	2770
221	FIRE	ogień	feuer	1.71	0.54	1.15	3.14	3.31	3.22	6.71	6.08	6.41	8155	0	719
496	CUCUMBER	ogórek	gurke	0.31	0.69	0.50	1.31	1.38	1.35	6.38	6.85	6.62	113	0	940
1217	FATHER	ojciec	vater	1.79	0.75	1.31	2.86	2.92	2.88	6.50	6.17	6.35	41463	0	2580
1375	WINDOW	okno	fenster	0.89	0.50	0.63	2.00	1.17	1.44	6.22	6.72	6.56	6019	0	707
1248	EYE	oko	auge	0.79	0.62	0.70	1.64	1.77	1.70	6.64	6.77	6.70	7487	0	208
2980	AREA	okolica	gegend	0.50	0.69	0.59	1.79	2.15	1.96	5.43	5.77	5.59	685	0	836
2292	GLASSES	okulary	brille	-0.23	0.23	0.00	1.15	1.46	1.31	6.92	6.77	6.85	2720	0	431
1088	SINK (DESCEND)	opadać	sinken	-0.64	-0.75	-0.69	2.21	2.33	2.27	4.86	5.67	5.23	50	0	2195
1253	RAIN (RAINING)	opady	regnen	0.29	-1.08	-0.35	2.21	2.17	2.19	5.79	6.08	5.92	136	0	1938
3131	SUNBATHE	opalony	sonnen	0.94	1.27	1.07	2.25	2.09	2.19	6.31	6.09	6.22	97	0	2229
1711	TELL	opowiadać	erzählen	1.20	1.27	1.23	2.40	1.82	2.15	6.00	5.45	5.77	1307	0	655
1752	LEAVE	opuszczać	verlassen	-1.57	-1.67	-1.62	3.00	2.83	2.92	5.07	5.17	5.12	859	0	2622
1905	EAGLE	orzeł	adler	1.62	1.08	1.35	2.08	2.08	2.08	6.85	6.85	6.85	1356	0	58
1396	SHARP	ostry	scharf	0.18	-0.81	-0.41	3.00	2.19	2.52	5.27	5.88	5.63	1588	0	2053
694	GET	otrzymywać	erhalten	1.36	1.33	1.35	2.64	3.08	2.85	5.71	5.50	5.62	151	0	627
1156	OPEN	otwierać	öffnen	0.79	1.31	1.04	2.43	2.38	2.41	5.93	6.15	6.04	1688	0	1702
1331	SHEEP	owca	schaf	0.60	0.71	0.67	1.70	1.65	1.67	6.30	6.76	6.59	361	0	2046
843	SPIDER	pająk	spinne	-0.90	-1.53	-1.30	2.30	3.00	2.74	6.70	6.76	6.74	608	0	2255
1689	SMOKE (INHALE)	palarnia	rauchen	-1.86	-2.00	-1.92	2.43	2.75	2.58	6.00	6.33	6.15	19	0	1913
1303	FINGER	palec	finger	0.31	0.15	0.23	1.31	1.46	1.38	6.62	6.23	6.42	3041	0	731
2955	STATE (POLITICS)	państwo	staat	0.29	0.67	0.46	2.00	2.08	2.04	5.57	5.67	5.62	5220	0	2276
1385	PEPPER	paprykowy	paprika	0.69	0.92	0.81	1.77	1.85	1.81	6.00	6.00	6.00	4	0	1744
882	PARROT	papuga	papagei	1.18	0.75	0.93	2.73	2.13	2.37	6.09	6.81	6.52	255	0	1742
772	BELT	pasek	gürtel	0.11	0.67	0.48	2.22	1.56	1.78	5.89	6.61	6.37	731	0	942
2544	SHEPHERD	pasterz	hirte	0.23	0.85	0.54	1.54	1.46	1.50	6.54	6.00	6.27	157	0	1015
31	PAN	patelnia	pfanne	0.70	0.65	0.67	2.50	1.94	2.15	6.70	6.88	6.81	80	0	1784
3382	PEACOCK	paw	pfau	0.86	1.25	1.04	2.29	2.58	2.42	6.21	6.42	6.31	178	0	1786
502	NAIL (TOOL)	paznokieć	nagel	-0.07	0.08	0.00	1.79	1.58	1.69	6.71	6.50	6.62	237	0	1633
2965	PAW	pazur	kralle	-0.21	-0.33	-0.27	2.29	2.17	2.23	6.21	6.25	6.23	253	0	1221
3094	PAINTBRUSH	pędzel	pinsel	0.14	0.54	0.33	1.29	1.85	1.56	6.50	6.69	6.59	101	0	1803
1838	NAVEL	pępek	nabel	0.78	0.28	0.44	2.44	1.33	1.70	6.44	6.39	6.41	139	0	1621
671	SAND	piasek	sand	1.07	1.08	1.07	2.36	2.54	2.44	6.50	6.69	6.59	1050	0	2028
1401	DRINK	pić	trinken	1.30	0.76	0.96	2.60	2.18	2.33	6.50	6.71	6.63	4859	0	2488
859	STOVE	piekarnik	ofen	0.36	0.88	0.67	2.09	2.38	2.26	6.09	6.63	6.41	195	0	1700
1559	MONEY	pieniądze	geld	1.14	1.00	1.07	2.50	2.92	2.70	6.57	6.38	6.48	35593	0	855
344	TREE TRUNK	pień	stamm	0.73	-0.06	0.26	1.64	1.31	1.44	6.00	6.56	6.33	258	0	2279
1592	CHEST	pierś	brust	1.82	0.75	1.19	3.18	2.25	2.63	6.18	6.44	6.33	703	0	438
1374	RING	pierścionek	ring	1.00	1.00	1.00	2.50	3.15	2.81	6.43	6.85	6.63	2222	0	1976
1892	TOUCH	pieścić	berühren	1.81	1.73	1.78	3.75	2.82	3.37	6.56	5.73	6.22	139	0	339
980	HEEL	pięta	ferse	0.00	0.06	0.04	1.78	1.17	1.37	5.89	6.56	6.33	84	0	711
3407	FILE (TOOL)	pilnik	feile	-0.50	0.08	-0.23	2.00	1.25	1.65	6.43	6.25	6.35	64	0	705
1948	SAW	piła	säge	-0.67	-1.11	-0.96	2.67	2.06	2.26	6.33	6.39	6.37	667	0	2021
1845	BALL	piłka	ball	1.21	0.83	1.04	3.29	2.25	2.81	6.64	6.83	6.73	2453	0	245
1654	LIGHTNING	piorun	blitz	0.43	-0.62	-0.07	3.14	3.46	3.30	6.50	6.08	6.30	776	0	401
1096	SONG	piosenka	lied	1.85	2.08	1.96	2.54	3.15	2.85	6.46	6.54	6.50	3234	0	1353
1201	FEATHER	pióro	feder	0.90	0.82	0.85	1.80	1.76	1.78	6.40	6.47	6.44	946	0	696
1672	WRITE	pisać	schreiben	0.57	1.00	0.78	2.29	2.38	2.33	6.57	6.46	6.52	3680	0	2118
1566	GUN	pistolet	pistole	-0.14	-1.17	-0.62	2.64	2.83	2.73	6.50	6.58	6.54	4826	0	1808
1639	BEER	piwo	bier	1.80	0.88	1.22	2.80	2.47	2.59	6.70	6.76	6.74	6740	0	380
718	PAY	płacić	zahlen	-0.19	-0.55	-0.33	2.44	2.09	2.30	6.25	6.00	6.15	2760	0	2827
1839	CRY	płakać	weinen	-1.29	-2.25	-1.73	3.21	3.92	3.54	6.00	6.58	6.27	2796	0	2756
603	COAT	płaszcz	mantel	0.07	0.27	0.15	1.33	1.18	1.27	6.40	6.36	6.38	2309	0	1456
889	FLAME	płomienny	flamme	0.50	1.15	0.81	2.43	2.77	2.59	4.79	5.54	5.15	32	0	736
1428	BURNING	płonąć	brennen	-1.14	-1.23	-1.19	3.29	3.31	3.30	6.07	5.77	5.93	122	0	426
2003	FLOW	płynąć	fließen	1.45	1.06	1.22	2.91	2.75	2.81	5.45	6.50	6.07	855	0	744
2952	SLAB	płyta	platte	1.00	0.83	0.92	2.43	1.50	2.00	6.50	6.42	6.46	587	0	1821
1557	BEGINNING	początek	anfang	1.10	1.29	1.22	2.70	2.47	2.56	5.30	5.29	5.30	6450	0	110
196	DONATE	podarować	schenken	1.93	2.00	1.96	3.00	3.45	3.19	6.40	6.00	6.23	331	0	2067
855	SEIZE	podejmować	ergreifen	0.71	0.38	0.56	2.50	2.62	2.56	4.93	4.23	4.59	755	0	626
1044	PILLOW	poduszka	kissen	1.79	2.42	2.08	2.43	2.00	2.23	6.57	6.83	6.69	335	0	1149
1045	POET	poetycki	dichter	1.14	1.33	1.23	2.50	2.83	2.65	5.00	4.67	4.85	64	0	496
1039	SHOW	pokazywać	zeigen	0.73	0.55	0.65	2.27	1.64	2.00	6.33	5.55	6.00	1136	0	2844
2319	LID (COVER, CAP)	pokrywka	deckel	0.06	0.00	0.04	1.19	1.00	1.11	6.75	5.91	6.41	30	0	479
1730	CHEEK	policzek	wange	0.43	0.50	0.46	1.71	2.00	1.85	6.00	6.33	6.15	575	0	2730
12	MIDDAY	południe	mittag	0.36	0.92	0.63	1.71	1.92	1.81	5.86	5.92	5.89	4202	0	1550
1897	HELP	pomagać	helfen	2.00	2.55	2.23	2.47	2.64	2.54	6.00	5.91	5.96	2595	0	986
986	TOMATO	pomidorowy	tomate	1.07	0.69	0.89	2.00	2.23	2.11	6.21	6.54	6.37	129	0	2438
3467	HELP (ASSISTANCE)	pomocny	hilfe	2.07	1.77	1.93	2.86	2.00	2.44	5.07	5.23	5.15	698	0	1008
1522	SOCK	pończocha	strumpf	0.64	0.77	0.70	2.21	2.31	2.26	6.50	6.38	6.44	23	0	2342
646	ASH	popiół	asche	-0.11	-0.67	-0.48	2.44	1.50	1.81	6.56	6.44	6.48	508	0	174
699	SAD	posępny	traurig	-1.43	-1.58	-1.50	2.07	2.08	2.08	5.71	5.67	5.69	97	0	2470
203	MARRY	poślubić	heiraten	0.71	1.92	1.27	3.14	3.67	3.38	6.14	6.42	6.27	2009	0	981
202	STRENGTH	potężny	stärke	0.82	0.81	0.81	2.91	2.63	2.74	5.36	6.38	5.96	1615	0	2283
1458	SAY	powiedzieć	sagen	0.55	0.50	0.52	2.09	2.13	2.11	5.18	5.88	5.59	88535	0	2022
27	AIR	powietrze	luft	0.77	1.62	1.19	1.77	2.00	1.88	6.15	5.85	6.00	5226	0	1399
2968	REASON	powodować	grund	0.21	-0.42	-0.08	2.14	2.08	2.12	3.86	3.42	3.65	414	0	930
256	FOOD	pożywienie	nahrung	1.70	1.24	1.41	2.50	2.12	2.26	6.20	6.53	6.41	350	0	1636
984	WORK (LABOUR)	praca	arbeit	1.19	0.55	0.93	3.31	2.91	3.15	6.75	5.36	6.19	13648	0	157
1086	WORK (ACTIVITY)	pracować	arbeiten	0.60	0.65	0.63	2.90	2.53	2.67	6.10	6.24	6.19	12801	0	158
1638	TRUTH	prawdziwy	wahrheit	1.57	2.23	1.89	1.93	3.00	2.44	5.36	4.31	4.85	10345	0	2723
2982	GIFT	prezent	geschenk	1.79	2.17	1.96	3.79	3.25	3.54	5.36	6.17	5.73	8448	0	876
2886	PRODUCE	produkować	herstellen	1.00	0.54	0.78	2.29	2.08	2.19	5.79	5.69	5.74	277	0	1000
1828	ASK (REQUEST)	prosić	bitten	-0.13	-0.36	-0.23	2.60	2.55	2.58	5.73	5.64	5.69	7449	0	394
738	THING	przedmiot	ding	-0.30	0.18	0.00	1.50	1.41	1.44	5.80	5.76	5.78	929	0	505
1951	PASS	przemijać	vergehen	-1.13	-1.27	-1.19	2.53	2.64	2.58	5.27	4.55	4.96	7	0	2613
2976	VIOLENCE	przemoc	gewalt	-1.93	-2.50	-2.19	3.14	3.75	3.42	6.00	4.58	5.35	1530	0	890
1704	SEVEN	przesiewać	sieben	0.07	0.00	0.04	1.07	1.83	1.42	5.57	4.83	5.23	10	0	2183
1452	PUSH	przesuwać	schieben	0.00	0.36	0.15	1.63	1.64	1.63	6.06	5.64	5.89	173	0	2074
2883	DISTURB	przeszkadzać	stören	-1.64	-1.56	-1.59	2.91	2.56	2.70	5.09	5.81	5.52	2315	0	2324
1446	COME	przychodzić	kommen	0.79	0.83	0.81	1.64	2.42	2.00	5.64	5.92	5.77	2392	0	1195
1668	GRIEF	przygnębiony	kummer	-1.33	-1.78	-1.63	2.44	2.11	2.22	6.22	5.39	5.67	499	0	1248
1325	FRIEND	przyjaciel	freund	2.43	2.85	2.63	3.43	3.62	3.52	6.64	6.08	6.37	12811	0	785
665	BEE	pszczoła	biene	-0.10	0.47	0.26	2.90	2.35	2.56	6.50	6.82	6.70	395	0	379
937	BIRD	ptak	vogel	1.23	1.15	1.19	1.69	2.15	1.92	6.85	6.46	6.65	2039	0	2679
1075	TRAP (PITFALL)	pułapka	falle	-1.00	-1.18	-1.07	2.81	2.91	2.85	5.50	5.18	5.37	1934	0	682
1309	ASK (INQUIRE)	pytać	fragen	0.20	0.47	0.37	2.20	2.12	2.15	5.10	5.94	5.63	2594	0	772
1495	HAPPY	radosny	froh	2.09	2.56	2.37	3.00	3.25	3.15	6.09	6.63	6.41	321	0	792
2524	JOY	radość	freude	2.30	2.71	2.56	3.40	3.65	3.56	6.00	6.24	6.15	2121	0	781
1109	WOUND	ranić	wunde	-1.73	-2.09	-1.88	3.00	3.09	3.04	5.40	5.18	5.31	363	0	2815
2008	RESCUE	ratować	retten	2.11	1.89	1.96	3.56	2.94	3.15	5.78	6.00	5.93	2610	0	1965
745	SHELF	regał	regal	0.10	0.41	0.30	1.30	1.29	1.30	6.10	6.53	6.37	60	0	1929
1277	HAND	ręka	hand	0.43	0.77	0.59	1.43	2.15	1.78	6.79	6.54	6.67	3639	0	957
1219	WORM	robak	wurm	-0.21	-1.33	-0.73	2.00	2.83	2.38	6.21	6.67	6.42	459	0	2822
734	MAKE	robić	machen	1.21	0.77	1.00	2.71	2.00	2.37	5.93	5.08	5.52	43294	0	1415
2977	WORKER	robotnik	arbeiter	0.27	0.00	0.15	1.93	1.45	1.73	6.27	6.45	6.35	170	0	159
194	FAMILY	rodzinny	familie	2.00	2.54	2.26	2.86	3.00	2.93	5.86	5.46	5.67	1112	0	686
979	FARMER	rolniczy	bauer	0.21	0.42	0.31	1.79	1.58	1.69	5.43	4.75	5.12	48	0	264
479	GROW	rosnąć	wachsen	1.13	1.45	1.27	2.47	1.73	2.15	5.80	6.00	5.88	424	0	2710
747	BICYCLE	rower	fahrrad	1.44	1.67	1.59	3.00	2.67	2.78	6.56	6.67	6.63	1554	0	679
2933	CONVERSATION	rozmawiać	gespräch	1.71	1.83	1.77	2.43	3.33	2.85	6.57	6.00	6.31	16481	0	882
2870	RECOGNIZE (SOMEBODY)	rozpoznać	erkennen	0.57	0.46	0.52	2.29	1.92	2.11	4.86	4.46	4.67	1108	0	632
1562	MIND	rozum	verstand	1.63	1.27	1.48	2.31	2.00	2.19	4.94	4.09	4.59	1834	0	2649
1536	UNDERSTAND	rozumieć	verstehen	1.40	1.71	1.59	2.20	2.29	2.26	5.30	5.59	5.48	1780	0	2652
227	FISH	ryba	fisch	1.07	0.45	0.81	1.87	1.45	1.69	6.53	6.73	6.62	2104	0	733
633	MARKET	rynek	markt	0.54	0.15	0.35	1.77	1.77	1.77	5.54	5.62	5.58	1465	0	1461
1456	THROW	rzucać	werfen	-0.27	-0.63	-0.48	2.82	2.31	2.52	5.64	6.25	6.00	1296	0	2773
3729	LETTUCE	sałatka	salat	0.79	1.85	1.30	2.00	2.23	2.11	6.64	6.77	6.70	514	0	2024
1964	ALONE	samotność	allein	-2.38	-2.15	-2.27	2.69	2.62	2.65	6.23	5.69	5.96	878	0	83
34	STAIRS	schody	treppe	-0.60	0.12	-0.15	1.90	1.94	1.93	6.50	6.35	6.41	1264	0	2479
1986	DISEASE	schorowany	krankheit	-1.71	-1.91	-1.80	2.64	3.45	3.00	5.14	5.64	5.36	37	0	1223
2374	DREAM	sen	traum	2.56	2.33	2.41	2.56	2.28	2.37	6.11	6.39	6.30	8638	0	2468
2950	MEANING	sens	sinn	1.29	0.83	1.08	2.57	2.42	2.50	3.21	3.92	3.54	5127	0	2196
1223	HEART	serce	herz	1.67	1.78	1.74	3.11	2.61	2.78	5.89	6.72	6.44	19848	0	1001
1569	CHEESE	serowy	käse	0.71	1.31	1.00	2.29	1.77	2.04	5.71	5.77	5.74	93	0	1118
861	JUDGE	sędzia	richter	-1.11	-0.44	-0.67	2.78	2.22	2.41	6.22	5.56	5.78	3057	0	1973
1185	VULTURE	sęp	geier	-1.46	-1.38	-1.42	2.08	2.00	2.04	6.54	6.08	6.31	116	0	847
2604	NOOSE	sidła	schlinge	-1.00	-1.50	-1.33	3.22	2.28	2.59	5.22	5.67	5.52	231	0	2101
1416	SIT	siedzieć	sitzen	-0.08	0.38	0.15	1.62	1.08	1.35	6.31	6.15	6.23	6651	0	2206
341	SICKLE	sierp	sichel	-0.14	-0.25	-0.19	2.36	1.25	1.85	6.43	5.58	6.04	87	0	2178
2851	AUGUST	sierpień	august	1.55	2.06	1.85	3.18	3.25	3.22	5.27	6.56	6.04	243	0	209
785	STRONG	silny	stark	1.60	2.09	1.81	2.67	2.45	2.58	5.93	5.91	5.92	4844	0	2282
1263	SISTER	siostra	schwester	2.00	2.38	2.22	3.09	3.19	3.15	6.18	6.69	6.48	11210	0	2145
3353	SIEVE (TOOL)	sitko	sieb	0.00	0.28	0.19	1.78	1.33	1.48	6.44	6.61	6.56	22	0	2182
629	LEATHER	skóra	leder	0.36	0.54	0.44	1.71	2.00	1.85	6.64	6.77	6.70	1950	0	1291
2373	SKIN (OF FRUIT)	skórka	schale	0.21	-0.08	0.08	1.43	2.17	1.77	5.79	5.92	5.85	97	0	2050
3122	PAINT (SOMETHING)	skreślać	streichen	-1.40	-0.41	-0.78	2.30	1.76	1.96	5.00	6.12	5.70	25	0	2338
1465	BOX	skrzynia	kiste	0.63	-0.18	0.30	1.69	1.55	1.63	6.75	6.45	6.63	468	0	1150
1601	WEAK	słaby	schwach	-1.79	-1.50	-1.65	2.29	3.08	2.65	5.07	5.25	5.15	2880	0	2136
1091	SALTY	słony	salzig	-0.44	0.11	-0.07	2.33	1.50	1.78	5.89	5.39	5.56	90	0	2026
1290	ELEPHANT	słoń	elefant	1.14	1.17	1.15	2.07	2.08	2.08	6.71	6.67	6.69	613	0	581
1343	SUN	słońce	sonne	1.57	2.75	2.12	2.86	3.00	2.92	6.43	6.83	6.62	5861	0	2228
1599	WORD	słowo	wort	0.50	0.62	0.56	1.43	2.31	1.85	5.00	5.69	5.33	14161	0	2811
3087	PACIFIER	smoczek	nuckel	1.09	0.94	1.00	2.55	2.00	2.22	6.55	6.75	6.67	68	0	1691
3099	SOFA	sofa	sofa	1.21	1.08	1.15	1.57	1.83	1.69	6.50	6.58	6.54	135	0	2220
735	OWL	sowa	eule	0.54	1.00	0.77	1.62	1.85	1.73	6.69	6.69	6.69	323	0	665
1585	SLEEP	spać	schlafen	1.79	2.33	2.04	2.64	2.08	2.38	6.14	6.83	6.46	13508	0	2088
1280	FALL	spadać	fallen	-0.79	-1.23	-1.00	3.14	3.62	3.37	5.86	6.00	5.93	1354	0	683
809	TROUSERS	spodnie	hose	0.43	0.69	0.56	1.43	1.38	1.41	6.50	6.62	6.56	4008	0	1034
258	CALM	spokojny	ruhig	1.82	1.50	1.63	2.09	1.94	2.00	5.64	6.19	5.96	2012	0	2001
3458	SILENCE	spokój	ruhe	1.82	2.25	2.07	2.55	1.75	2.07	5.27	5.81	5.59	33746	0	1999
698	WISE	sposób	weise	0.73	0.44	0.56	1.82	1.50	1.63	3.18	4.13	3.74	44599	0	2757
1831	MEET	spotykać	treffen	0.93	1.75	1.31	2.71	3.00	2.85	5.43	5.58	5.50	2247	0	2473
1600	SKIRT	spódnica	rock	0.64	1.75	1.15	2.07	1.92	2.00	6.36	6.75	6.54	156	0	1984
1269	NO	sprzeciw	nein	0.07	0.00	0.04	2.71	2.69	2.70	5.64	5.77	5.70	2140	0	1667
1571	SELL	sprzedawać	verkaufen	-0.20	0.53	0.26	2.40	2.00	2.15	5.50	5.94	5.78	1465	0	2619
759	SILVER	srebrny	silber	1.00	0.92	0.96	2.07	2.08	2.08	6.36	6.25	6.31	460	0	2190
1442	STAND	stać	stehen	-0.53	0.00	-0.31	1.73	1.64	1.69	6.40	6.55	6.46	18883	0	2295
2939	FLOCK (OF ANIMALS)	stado	herde	0.10	0.41	0.30	1.60	2.12	1.93	5.50	6.35	6.04	924	0	994
740	SHIP	statek	schiff	1.00	0.45	0.78	2.19	1.73	2.00	6.50	6.73	6.59	11364	0	2077
2058	STOOL	stołek	hocker	0.20	0.09	0.15	1.40	1.09	1.27	6.13	6.73	6.38	197	0	1022
1775	TABLE	stół	tisch	0.50	0.27	0.41	1.19	1.36	1.26	6.88	6.82	6.85	2288	0	2426
682	SIDE	strona	seite	0.36	0.31	0.33	1.64	1.31	1.44	5.27	6.31	5.89	3300	0	2164
