CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	LINE_IN_SOURCE
1111	CAR	coche	2.9800	1	8	1334
1119	DIVIDE	dividir	6.8800	2	10	2161
112	TURTLE	tortuga	3.2600	1	8	6573
1121	SECRET	secreto	5.2200	1	10	6013
1124	PIPE	pipa	5.7800	2	10	5124
1125	BALD	calvo	5.7800	1	10	954
1133	MATCH	cerilla	6.1400	2	11	1176
1134	DIVORCE	divorcio	7.9000	5	11	2165
1136	RABBIT	conejo	2.8800	1	7	1484
1143	OVEN	horno	5.9400	2	11	3323
1144	WITNESS	testigo	8.5600	5	11	6476
1145	SWAMP	pantano	7.1400	3	11	4802
1150	THUNDER	trueno	4.8400	1	9	6680
1153	CATTLE	ganado	6.1800	1	11	2991
1155	CAVE	cueva	4.7200	2	9	1769
1156	OPEN	abrir	3.1800	1	7	24
1157	BECAUSE	porque	3.6200	1	9	5243
1158	STEP	paso	3.9200	1	10	4881
1160	THIEF	ladrón	5.5200	1	9	3738
1161	THREAD	hilo	4.2800	1	9	3288
1162	INTENTION	propósito	9.3600	5	11	5409
1169	OX	buey	6.0600	3	11	866
1171	MIRROR	espejo	3.7800	1	8	2514
1173	EYEBROW	ceja	4.2600	1	8	1139
1174	YESTERDAY	ayer	3.9400	1	9	616
1175	GHOST	fantasma	5.8000	1	11	2742
1181	PALM TREE	palmera	4.0000	1	9	4782
1185	VULTURE	buitre	6.7200	3	11	871
1188	CHARCOAL	carbón	5.1800	1	11	1039
1192	THREATEN	amenazar	8.0200	3	11	295
1198	MANY	mucho	3.9200	1	7	4401
1199	WIFE	esposa	4.9200	2	11	2534
12	MIDDAY	mediodía	5.2200	2	9	4175
1200	HUSBAND	esposo	6.2000	1	11	2535
1201	FEATHER	pluma	5.4800	2	11	5173
1202	BIG	grande	4.0200	1	10	3104
1203	LONG	largo	5.2600	1	9	3757
1204	BARK	corteza	7.5600	3	11	1647
1205	TONGUE	lengua	3.2200	1	6	3800
1206	BARKING	ladrar	3.8600	1	8	3735
1208	CAT	gato	2.4000	1	5	3014
1209	I	yo	2.5400	1	11	7011
121	SPIN	girar	5.1800	2	9	3055
1210	HEAVY	pesado	5.1200	2	9	5047
1211	HE	él	2.9600	1	10	2261
1212	WE	nosotros	4.2200	1	8	4558
1213	YOU	vosotros	6.0200	1	11	6983
1214	THIS	este	4.1800	1	10	2577
1215	THOU	usted	6.0200	1	11	6741
1216	MOTHER	mamá	1.1200	1	2	4031
1217	FATHER	papá	1.7400	1	7	4810
1218	ROPE	cuerda	4.3600	2	8	1759
1219	WORM	gusano	3.6800	1	6	3155
1220	TAIL	cola	4.0800	1	7	1359
1221	NOSE	nariz	2.5400	1	5	4472
1222	PENIS	pene	6.5000	1	11	4955
1223	HEART	corazón	4.5400	2	10	1606
1224	LIVER	hígado	8.7000	4	11	3281
1225	DAY (NOT NIGHT)	día	3.6200	1	8	2042
1226	YEAR	año	3.5000	1	9	381
1227	BOARD	tabla	4.9200	2	9	6325
1228	EARTH (SOIL)	suelo	3.1400	1	8	6276
1229	OLD	viejo	3.9600	1	10	6907
123	FOREHEAD	frente	3.9200	1	10	2908
1230	DIRTY	sucio	3.5000	1	7	6266
1231	NEW	nuevo	4.4600	1	8	4589
1233	NIGHT	noche	3.2200	1	7	4540
1234	SMOOTH	liso	4.7800	1	10	3881
1235	WHO	quien	4.5400	1	10	5533
1236	WHAT	que	3.0000	1	8	5506
1237	WHERE	donde	3.0000	1	8	2194
1238	WHEN	cuando	4.6000	1	10	1727
1239	HOW	como	4.2400	1	9	1417
1240	NOT	no	1.8600	1	5	4536
1242	FEW	poco	2.9400	1	6	5184
1243	WIDE	ancho	5.7900	1	10	321
1244	THICK	grueso	6.2000	2	11	3130
1246	SMALL	chico	3.4600	1	8	1218
1247	EAR	oreja	2.6400	1	8	4703
1248	EYE	ojo	2.7200	1	8	4659
1250	JAGUAR	tigre	3.2800	1	7	6497
1251	BELLY	barriga	3.2400	1	8	693
1252	HOUSE	house	7.3000	3	11	3337
1256	HEAD	cabeza	3.1200	1	7	899
1258	FINGERNAIL	uña	3.8000	1	10	6735
1261	SING	cantar	3.2200	1	6	1012
1262	BROTHER	hermano	2.4200	1	6	3259
1263	SISTER	hermana	2.9600	1	6	3257
1264	CHANGE	cambiar	5.3200	1	8	965
1265	HIGH	alto	3.4400	1	7	269
1267	NARROW	estrecho	6.9000	1	11	2600
127	EXTINGUISH	apagar	3.7800	1	7	386
1272	AUNT	tía	3.1200	1	8	6482
1273	CANDLE	vela	4.1600	2	8	6824
1274	SALT	sal	4.6000	1	10	5928
1276	AUTUMN	otoño	4.7200	1	10	4732
1277	HAND	mano	2.2200	1	6	4058
1280	FALL	caer	3.2200	1	8	923
1281	PRISON	cárcel	6.0200	1	10	1042
1283	TODAY	hoy	3.4000	1	10	3338
1286	HOT	caliente	3.1800	1	8	944
1287	COLD	fría	3.4600	1	9	2915
1288	CAP	gorro	3.6400	1	8	3089
1289	BABY	criatura	6.9200	3	11	1691
1290	ELEPHANT	elefante	3.3600	1	11	2272
1291	BACK	espalda	3.9000	1	8	2494
1292	BAD	malo	3.3600	1	8	4026
1295	STICK	palo	4.5200	1	11	4783
1297	LEG	pierna	3.9800	1	9	5092
1298	NEWSPAPER	periódico	5.5900	1	11	5002
13	DECEIT	engaño	6.6600	2	11	2359
1300	COUNTRY	país	6.2800	2	10	4763
1301	FOOT	pie	2.4200	1	7	5084
1302	FORK	tenedor	3.2800	1	8	6425
1303	FINGER	dedo	2.3200	1	5	1865
1304	CHILD (YOUNG HUMAN)	niño	2.4400	1	6	4532
1305	CHIMNEY	chimenea	5.2800	2	11	1223
1306	QUEEN	reina	4.2800	2	10	5689
1309	ASK (INQUIRE)	preguntar	4.5400	1	9	5298
1312	FOX	zorro	4.6800	1	11	7036
1313	MOON	luna	3.8000	1	8	3974
1316	TENT	toldo	7.2000	1	11	6537
1318	CHICKEN	pollo	3.6400	1	8	5215
1320	APPLE	manzana	2.7200	1	5	4073
1321	BOTTLE	botella	3.6600	1	8	823
1322	BREAKFAST	desayuno	3.2400	1	9	1953
1323	CLOCK	reloj	4.3800	1	9	5708
1324	SLIP	tobogán	3.4600	1	10	6525
1326	DOWN	abajo	2.9600	1	6	2
1327	UNCLE	tío	4.4600	1	11	6505
1329	TOMORROW	mañana	3.7000	1	6	4076
1330	DEFEND	defender	5.8800	2	10	1868
1331	SHEEP	oveja	3.5000	1	10	4738
1333	NECK	cuello	3.5000	1	8	1752
1335	WHITE	blanco	3.0800	1	7	768
1336	EAT	comer	1.7000	1	4	1405
1338	PEACE	paz	5.5400	2	9	4916
134	FAULT	culpa	6.3600	2	11	1774
1340	WITH	con	3.7800	1	11	1459
1342	SUMMER	verano	4.1400	1	7	6857
1343	SUN	sol	2.9200	1	6	6197
1346	THROAT	garganta	4.0600	2	9	3005
1347	NAPE (OF NECK)	nuca	6.8800	2	11	4577
1348	BOAR (MALE PIG)	jabalí	6.8600	3	11	3642
1350	MONKEY	mono	2.9000	1	7	4346
1352	KNIFE	cuchillo	3.9800	1	10	1751
1353	HOUR	hora	4.9400	2	9	3317
1355	LAUGH	reír	3.0200	1	7	5692
1357	DAUGHTER	hija	3.5800	2	8	3285
1358	ENEMY	enemigo	6.3400	2	11	2344
136	HERE	aquí	2.8200	1	8	439
1360	DUCK	pato	3.0600	1	8	4901
1361	TOOL	herramienta	6.6000	3	10	3266
1362	STREET	calle	4.0400	1	8	947
1363	VOICE	voz	3.5200	1	8	6989
1367	CROSS	cruz	5.1400	1	10	1713
1368	BREAD	pan	2.3200	1	6	4787
1369	GOLD	oro	5.4200	1	10	4720
137	COCA	coca	9.6400	1	11	1331
1370	MONTH	mes	4.5000	1	8	4217
1371	KNEE	rodilla	3.6200	1	9	5840
1375	WINDOW	ventana	3.2000	1	6	6849
1376	NOW	ahora	4.4800	1	11	194
1378	SPOON	cuchara	3.2200	1	6	1749
1379	TELEPHONE	teléfono	3.1600	1	6	6394
1380	TOOTH	diente	3.1600	1	6	2070
1381	SHOE	zapato	2.7800	1	6	7024
