CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
1376	NOW	现在	88120	2626.8	4.95	6227	99.74	3.79	56
1378	SPOON	勺子	153	4.56	2.18	109	1.75	2.04	8887
138	BATHE	洗澡	948	28.26	2.98	677	10.84	2.83	2512
1380	TOOTH	牙	1221	36.4	3.09	717	11.48	2.86	2057
1381	SHOE	鞋子	1183	35.26	3.07	688	11.02	2.84	2117
1382	NEEDLE (FOR SEWING)	針	7	0.21	0.85	1	0.02	0.0	42002
1383	GRANDFATHER	祖父	430	12.82	2.63	250	4.0	2.4	4499
1384	SECOND	第二	6379	190.15	3.8	3336	53.44	3.52	527
1386	LION	狮子	428	12.76	2.63	209	3.35	2.32	4512
1387	ARRIVE	到达	1917	57.14	3.28	1076	17.24	3.03	1450
1388	SHADE	影子	342	10.19	2.53	256	4.1	2.41	5239
139	GUMS	牙龈	24	0.72	1.38	20	0.32	1.3	24817
1390	WRONG	错	36166	1078.09	4.56	5950	95.31	3.77	122
1391	TOWN	城	2428	72.38	3.39	1234	19.77	3.09	1198
1392	LOUSE	虱	32	0.95	1.51	20	0.32	1.3	21340
1393	HORN (ANATOMY)	犄角	14	0.42	1.15	12	0.19	1.08	31589
1394	BONE	骨	782	23.31	2.89	473	7.58	2.67	2904
1395	ROUND	圆	716	21.34	2.85	401	6.42	2.6	3081
1396	SHARP	锋利	152	4.53	2.18	127	2.03	2.1	8908
1398	DRY	干枯	29	0.86	1.46	25	0.4	1.4	22724
1399	CLAY	黏土	10	0.3	1.0	5	0.08	0.7	35940
140	PADDY FIELD	稻田	22	0.66	1.34	11	0.18	1.04	25840
1400	THIN (SLIM)	痩	4	0.12	0.6	3	0.05	0.48	50632
1401	DRINK	喝	14004	417.45	4.15	4206	67.37	3.62	264
1402	BREAST	乳房	310	9.24	2.49	185	2.96	2.27	5635
1403	BITE	咬	2304	68.68	3.36	1158	18.55	3.06	1252
1404	STRAIGHT	直	1762	52.52	3.25	1092	17.49	3.04	1552
1405	NAME	名	9950	296.6	4.0	3522	56.42	3.55	362
1406	FAR	元	1945	57.98	3.29	791	12.67	2.9	1434
1407	BREATHE	呼吸	2435	72.59	3.39	1375	22.02	3.14	1195
1408	HEAR	听见	2592	77.27	3.41	1602	25.66	3.2	1129
1409	SEE	见	29340	874.61	4.47	5856	93.8	3.77	147
141	BURN (SOMETHING)	燃烧	564	16.81	2.75	344	5.51	2.54	3705
1410	KNOW (SOMETHING)	知道	196745	5864.84	5.29	6238	99.92	3.79	23
1411	LIE (REST)	趟	1519	45.28	3.18	1172	18.77	3.07	1755
1412	RUDE	蛮横	23	0.69	1.36	22	0.35	1.34	25170
1413	PLAY	玩儿	485	14.46	2.69	258	4.13	2.41	4130
1414	SQUEEZE	掐	382	11.39	2.58	305	4.89	2.48	4891
1415	THINK (REFLECT)	思考	1214	36.19	3.08	889	14.24	2.95	2073
1416	SIT	坐	14204	423.41	4.15	4706	75.38	3.67	261
1417	KILL	殺	3	0.09	0.48	2	0.03	0.3	56300
1418	DIG	掘	155	4.62	2.19	50	0.8	1.7	8780
1419	FEAR (BE AFRAID)	害怕	6346	189.17	3.8	3009	48.2	3.48	529
142	RETURN HOME	回归	447	13.32	2.65	344	5.51	2.54	4369
1420	COUNT	数	2707	80.69	3.43	1634	26.17	3.21	1101
1421	SUCK	啜	16	0.48	1.2	13	0.21	1.11	29903
1422	BE ALIVE	活	11509	343.08	4.06	4038	64.68	3.61	311
1423	FIGHT	斗	837	24.95	2.92	423	6.78	2.63	2761
