CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_VALENCE_MEAN	SPANISH_AROUSAL_MEAN	LINE_IN_SOURCE
10	FIREWOOD	leña	5.65	4.45	8003
100	FAITHFUL	fiel	8.15	3.45	5912
1001	BLACKSMITH	herrero	4.75	5	6724
1002	STATUE	estatua	5.25	4.48	5429
1003	PERMIT	permitir	6.3	5	10119
1004	MUSCLE	músculo	5.7	5.35	9073
1005	TWINS	gemelos	5.8	5.4	6345
1006	BRICK	ladrillo	4.55	5.1	7887
1007	COW	vaca	5.9	4.08	13534
1008	BULL	toro	4.3	6	13180
1010	BOUNDARY	límite	4.3	6	8099
1011	BRIDGE	puente	6.25	5.4	10974
1012	LATCH	cerrojo	4.85	5.25	2504
1016	DRIZZLE	llovizna	5.75	4.3	8173
1019	RIGHT	derecha	4.55	5.15	4001
102	COMMON COLD (DISEASE)	catarro	3.3	6.15	2368
1021	TOWEL	toalla	5.8	4.4	13117
1022	BOOTY	botín	5.3	6.25	1841
1025	WHISTLE	silbar	5.55	4.8	12311
1029	JEWEL	joya	6.45	4.95	7797
1030	NECESSARY	necesario	5.65	5.4	9166
1033	GRIND	moler	4.8	5.4	8874
1035	GOOD	bueno	7.6	3.7	1907
1036	OWNER	dueño	4.65	5.8	4677
1038	TEACHER	profesor	5.75	5.3	10792
1039	SHOW	mostrar	6.25	5.55	8978
1042	CARPENTER	carpintero	5.25	5.25	2293
1044	PILLOW	almohada	7.58	1.8	605
1045	POET	poeta	7.25	4.2	10406
1046	SHUT	cerrar	3.45	4.5	2500
1047	PURSUE	perseguir	3.8	6.65	10136
1048	LINE	línea	5.2	4.35	8115
1051	CAN	lata	5.15	5.05	7934
1059	STEPSON	hijastro	4.8	4.55	6760
1061	ARMOUR	armadura	4.7	5.5	1066
1062	LAW	ley	4.65	5.5	8036
1063	NEPHEW	sobrino	6.85	4.7	12431
1064	SHIELD	escudo	5.53	5.4	5269
1067	JUDGMENT	juicio	3.1	6.75	7821
1068	COURT	tribunal	3.55	5.55	13347
1069	GLUE	pegar	2.35	7.05	9976
1070	BUS	autobús	4.68	5.4	1370
1071	HOOK	gancho	4.55	5.55	6297
