CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_KNOWN_PERCENTAGE	ENGLISH_ICONICITY_MEAN	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible		2.1	2693
10	FIREWOOD	firewood		5.1	4952
100	FAITHFUL	faithful		4.4	4720
1000	ANXIETY	anxiety		4	539
1001	BLACKSMITH	blacksmith		4.083333333333333	1231
1002	STATUE	statue		4.333333333333333	12415
1003	PERMIT	allow		4.1	362
1004	MUSCLE	muscle		3.7	8527
1005	TWINS	twin		4.090909090909091	13638
1006	BRICK	brick		5	1523
1007	COW	cow		5.2	2880
1008	BULL	bull		4.4	1620
101	BOAST	boast		4	1338
1010	BOUNDARY	boundary		3.4545454545454546	1438
1011	BRIDGE	bridge		4.454545454545454	1526
1012	LATCH	latch		4.3	7416
1013	FRESHWATER EEL	eel		4.1	4165
1014	OR	or		2.909090909090909	8975
1016	DRIZZLE	drizzle		6	4022
1017	APPEARANCE	appearance		3.1	570
1018	MEMORY	memory		2.6	8114
1019	RIGHT	right		3.2	10950
102	COMMON COLD (DISEASE)	common		2.8181818181818183	2442
1020	HANDKERCHIEF	handkerchief		4	5915
1021	TOWEL	towel		1.9	13383
1024	CHARACTER	character		2.7	1999
1025	WHISTLE	whistle		4.6	14500
1027	BUG	bug		4.2727272727272725	1605
1028	YAWN	yawn		4.7272727272727275	14715
1029	JEWEL	jewel		4.636363636363637	7170
1030	NECESSARY	necessary		2.6	8626
1032	CITIZEN	citizen		3.3076923076923075	2175
1033	GRIND	grind		4.9	5757
1034	DEFENDANT	defendant		2.727272727272727	3295
1035	GOOD	good		4.2	5627
1036	OWNER	owner		3.5	9113
1037	ELF	elf		4.6	4223
1038	TEACHER	teacher		3.727272727272727	12996
1039	SHOW	show		3.7	11680
1040	HAIR	hair		4	5880
1041	INCREASE	increase		3.5	6650
1042	CARPENTER	carpenter		3.5	1847
1043	BRAID	braid		3.7	1468
1044	PILLOW	pillow		2.7	9574
1045	POET	poet		3.7	9729
1046	SHUT	close		3.9	2277
1047	PURSUE	pursue		3.272727272727273	10266
1048	LINE	line		5	7617
1049	MOLAR TOOTH	molar		2.2	8350
105	MATTRESS	mattress		3.8181818181818183	8036
1053	HUNTER	hunter		3.8181818181818183	6348
1054	SMALLPOX	smallpox		4.3	11941
1058	STEPDAUGHTER	stepdaughter		3.727272727272727	12450
1061	ARMOUR	armor		3.9	654
1062	LAW	law		4.7	7440
1063	NEPHEW	nephew		3.5	8662
1064	SHIELD	shield		3.6	11624
1065	SPIDER WEB	web		4.9	14410
1066	CRIME	crime		3.1	2967
1067	JUDGMENT	judgment		4.5	7208
1068	COURT	court		3.5384615384615383	2862
1069	GLUE	glue		4.6	5582
107	OMEN	omen		3.7	8922
1070	BUS	bus		3.25	1673
1071	HOOK	hook		4.9	6236
1072	PRISONER	prisoner		3.7	10032
1075	TRAP (PITFALL)	trap		4.6	13454
1076	EMERGE (APPEAR)	appear		3.909090909090909	569
1077	WHEAT	wheat		3.8181818181818183	14455
1078	MAIN	main		3	7868
1079	FEEL	feel		4.1	4832
108	RUDDER	rudder		3.1538461538461537	11073
1080	VULGAR	vulgar		5.083333333333333	14280
1081	BILL	bill		2.5	1176
1082	MERCHANT	merchant		4	8131
1084	CALL	call		5.384615384615385	1743
1085	FOLLOW	follow		4	5114
1086	WORK (ACTIVITY)	activity		3.6	148
1087	CONCEIVE	conceive		3.1	2531
1088	SINK (DESCEND)	sink		4.6	11784
109	FOREIGN	foreign		2.8	5154
1090	BE BORN	born		3.4545454545454546	1415
1091	SALTY	salty		4.5	11161
1092	HOPE	hope		3.9	6247
1093	MIDDLE	middle		5.090909090909091	8179
1094	FASTEN	fasten		4.7272727272727275	4774
1095	LET GO OR SET FREE	release		3.4166666666666665	10678
1096	SONG	song		3.4	12095
1097	ABANDON	abandon		3.8	3
1098	WEIGH	weigh		2.5	14427
11	DARKNESS	darkness		4.6	3176
110	MOTOR	motor		4.818181818181818	8452
1100	COOK (SOMETHING)	cook		4.2727272727272725	2755
1101	SUFFER	suffer		3.8	12694
1102	CLIMB	climb		4.3	2249
1103	SACRIFICE	sacrifice		3.909090909090909	11120
1104	NURSE	nurse		4.8	8799
1105	CAMP	camp		3.7	1761
1107	GO OUT	out		4.3	9034
1108	UNCOVER	uncover		3.8181818181818183	13743
1109	WOUND	wound		3.6666666666666665	14667
1110	SHARK	shark		4.5	11587
1111	CAR	car		3.1	1817
1112	SUCCEED	succeed		2.8181818181818183	12677
1113	WRAP	wrap		4.2727272727272725	14673
1114	BULLET	bullet		4.9	1623
1115	SPEECH	speech		5.071428571428571	12192
1117	LIKE	like		2.6	7592
1119	DIVIDE	divide		4.1	3873
112	TURTLE	turtle		4.090909090909091	13609
1120	HONEST	honest		3.1	6219
1121	SECRET	secret		2.7	11402
1122	WAGES	salary		2.7	11147
1123	PREGNANT	pregnant		3	9940
1124	PIPE	pipe		4.5	9597
1125	BALD	bald		4.6	912
1127	SEND	send		3.5833333333333335	11465
1128	ORDER	order		3.1	8990
1129	PAINFUL	painful		3.2142857142857144	9147
113	SHORE	shore		3.5	11663
1132	BEAM	beam		5	1035
1133	MATCH	match		3.923076923076923	8018
1134	DIVORCE	divorce		3.7	3882
1135	KICK	kick		5.9	7280
1136	RABBIT	rabbit		4.4	10349
1138	FAIRY	fairy		4.636363636363637	4718
1139	LEOPARD	leopard		3.1818181818181817	7527
1140	FATIGUE	fatigue		5.4	4788
1141	PITY	pity		3.2	9619
1142	URINE	urine		4.833333333333333	14036
1143	OVEN	oven		2.3	9063
1144	WITNESS	witness		2.8	14598
1145	SWAMP	swamp		4.2	12814
1146	AUBERGINE	eggplant		2.4	4176
1147	PURE	pure		4.9	10251
1148	BRUISE	bruise		4.4	1580
1149	ORPHAN	orphan		2.6	9015
1150	THUNDER	thunder		4.8	13217
1151	VEIL	veil		2.8	14123
1153	CATTLE	cattle		3.4	1903
1154	OLIVE	olive		2.8	8919
1155	CAVE	cave		4.8	1916
1156	OPEN	open		4.7272727272727275	8943
1157	BECAUSE	because		3.5454545454545454	1057
1158	STEP	step		3.6	12447
1159	FART	fart		4.636363636363637	4765
1160	THIEF	thief		3.8333333333333335	13152
1161	THREAD	thread		2.272727272727273	13183
1162	INTENTION	intention		4	6942
1163	BRIBE (AMOUNT)	bribe		4.3	1521
1165	MOUSTACHE	moustache		3.7	8471
1167	GRUEL	gruel		4.583333333333333	5801
1169	OX	ox		2.9	9114
117	IMITATE	imitate		2.75	6462
1171	MIRROR	mirror		4.1	8246
1172	SHOOT	shoot		5.2727272727272725	11657
1173	EYEBROW	eyebrow		5.4	4675
1174	YESTERDAY	yesterday		3.6363636363636362	14727
1175	GHOST	ghost		4.5	5502
1176	SPADE	spade		2.8823529411764706	12146
1177	DIARRHEA	diarrhea		3.7	3568
1178	NOSTRIL	nostril		4.2	8757
118	BEWITCH	bewitch		5	1148
1182	NOISE	noise		3.6923076923076925	8731
1183	PALM OF HAND	palm		3.7	9168
1184	DIMINISH	diminish		4.1	3611
1185	VULTURE	vulture		4.5	14283
1187	GOOSE	goose		4.5	5639
1188	CHARCOAL	charcoal		2.7	2004
1189	ULCER	ulcer		4	13669
119	DIVE	dive		4.4	3862
1190	HARE	hare		2.3636363636363638	5955
1192	THREATEN	threaten		4.1	13186
1193	STEAM	steam		5.2	12430
1194	BEAVER	beaver		3.090909090909091	1055
1197	BABOON	baboon		4	866
1198	MANY	many		3.3	7948
1199	WIFE	wife		2.8181818181818183	14534
