CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE	PORTUGUESE_VALENCE_MEAN	PORTUGUESE_AROUSAL_MEAN	PORTUGUESE_DOMINANCE_MEAN	PORTUGUESE_POS	LINE_IN_SOURCE
100	FAITHFUL	leal	7.591836734693877	3.8205128205128194	6.142857142857142	ADJ	263
1002	STATUE	estátua	5.42	3.8297872340425543	5.136363636363636	N	989
1007	COW	vaca	5.1132075471698135	3.733333333333333	5.05	N	552
1029	JEWEL	jóia	6.3999999999999995	4.609756097560977	5.769230769230769	N	237
1035	GOOD	bom	7.380952380952381	4.531250000000001	4.64	ADJ/ADV/INT/N	761
1038	TEACHER	professor	5.729166666666667	3.9999999999999996	4.75	N	1003
1071	HOOK	gancho	5.000000000000001	3.9545454545454546	5.374999999999999	N	771
1092	HOPE	esperança	7.423728813559322	3.4468085106382973	6.177777777777776	N	789
1098	WEIGH	pesar	3.3243243243243246	4.928571428571429	4.2857142857142865	N/V	653
1110	SHARK	tubarão	4.222222222222222	5.870967741935484	3.8214285714285716	N	603
1134	DIVORCE	divórcio	2.660714285714285	5.937499999999999	4.170731707317072	N	128
1136	RABBIT	coelho	5.803571428571428	3.809523809523809	5.052631578947369	N	525
1142	URINE	urina	3.9615384615384626	4.829268292682928	5.405405405405405	N	614
1143	OVEN	forno	5.574468085106383	3.9756097560975614	5.218750000000001	N	995
1160	THIEF	ladrão	2.54	7.023255813953488	3.7567567567567566	ADJ/N	433
1199	WIFE	esposa	5.740740740740741	4.372093023255814	4.7941176470588225	N/N/V/V	1025
1208	CAT	gato	6.34920634920635	3.9399999999999995	5.659090909090908	N	502
1216	MOTHER	mãe	7.842105263157896	3.3478260869565224	6.048780487804879	N	284
1217	FATHER	pai	7.280000000000002	4.585365853658538	5.4324324324324325	N	159
1223	HEART	coração	6.843750000000001	4.909090909090908	5.2857142857142865	N	782
1228	EARTH (SOIL)	terra	6.230769230769233	3.9999999999999996	5.750000000000001	N	134
1230	DIRTY	sujo	2.7500000000000004	5.162162162162161	5.3125	ADJ/N	588
1234	SMOOTH	liso	4.840909090909092	3.71875	4.733333333333333	ADJ	978
124	THORN	espinho	3.7173913043478257	5.432432432432432	4.0857142857142845	N	434
1245	BUTTER	manteiga	5.393442622950818	3.8999999999999995	5.404255319148937	N	57
1252	HOUSE	casa	7.4347826086956506	3.3243243243243255	5.833333333333334	N	561
1260	DAY (24 HOURS)	dia	6.688524590163933	4.41304347826087	5.750000000000001	N	712
1262	BROTHER	irmão	7.160000000000001	4.422222222222221	5.585365853658537	ADJ/N	52
1276	AUTUMN	outono	5.3921568627450975	3.487804878048781	4.973684210526316	N	29
1277	HAND	mão	5.9361702127659575	3.685714285714286	5.696969696969696	N	773
1279	FAT (OBESE)	gordo	3.511111111111112	5.108108108108109	4.2	ADJ/N	158
1281	PRISON	prisão	2.525423728813561	5.304347826086956	3.7317073170731705	N	327
1287	COLD	frio	4.489361702127661	4.421052631578947	4.875	ADJ/N	689
129	CHOKE	sufocar	2.173076923076923	7.177777777777778	3.305555555555556	V	416
1293	MISTAKE	erro	3.193548387096773	5.999999999999999	4.42857142857143	N	874
13	DECEIT	engano	3.2307692307692304	5.261904761904762	4.444444444444443	N	714
1301	FOOT	pé	5.083333333333334	3.615384615384616	4.8085106382978715	N	752
1302	FORK	garfo	5.266666666666666	3.1750000000000003	5.558823529411765	N	558
1303	FINGER	dedo	5.156862745098041	3.613636363636364	5.135135135135134	N	747
1304	CHILD (YOUNG HUMAN)	criança	7.639999999999999	5.050000000000001	5.72972972972973	N	70
1306	QUEEN	rainha	5.688888888888889	4.0	5.3030303030303045	N	946
1323	CLOCK	relógio	5.349206349206351	4.6428571428571415	4.634615384615386	N	684
1335	WHITE	branco	6.25	2.697674418604651	5.78048780487805	ADJ/N	540
1336	EAT	comer	6.87719298245614	4.720930232558141	5.138888888888889	N/V	136
1337	PIG	porco	4.327272727272726	4.227272727272727	4.833333333333332	ADJ/N	931
1338	PEACE	paz	7.821428571428571	2.470588235294118	6.208333333333334	N	306
1343	SUN	sol	7.9811320754717014	4.586956521739131	5.820512820512819	N	530
1361	TOOL	ferramenta	5.321428571428573	4.204081632653062	5.61904761904762	N	1009
1369	GOLD	ouro	6.293103448275861	4.448979591836736	5.511111111111109	N	189
1370	MONTH	mês	5.243243243243244	3.852941176470588	4.733333333333332	N	281
1375	WINDOW	janela	6.16	3.6250000000000004	5.702702702702703	N	493
1382	NEEDLE (FOR SEWING)	agulha	3.942307692307693	4.76923076923077	4.9444444444444455	N	891
1386	LION	leão	5.5681818181818175	5.333333333333332	4.333333333333334	N	516
1388	SHADE	sombra	4.96969696969697	3.767857142857142	4.879999999999999	N	383
1391	TOWN	cidade	5.800000000000001	4.382978723404256	5.111111111111112	N	73
1402	BREAST	seio	6.138888888888888	4.87878787878788	5.666666666666666	N	51
1405	NAME	nome	5.326530612244897	3.9743589743589745	5.3611111111111125	N	887
1422	BE ALIVE	vivo	7.907407407407407	5.555555555555557	6.666666666666667	ADJ/N	632
1424	YELLOW	amarelo	5.760000000000002	3.5853658536585358	5.099999999999999	ADJ/N	543
1425	GREEN	verde	6.666666666666666	3.3	4.666666666666666	ADJ/N	192
1427	BEAUTIFUL	bonito	7.404255319148937	4.357142857142857	5.210526315789475	ADJ/N	197
1430	STAR	estrela	7.137254901960782	3.4545454545454537	5.174999999999999	N	407
1472	KEY	chave	5.351851851851853	3.6046511627906974	4.700000000000001	N	827
1476	CHAIR	cadeira	5.228571428571429	3.7333333333333343	4.685714285714286	N	66
1480	BODY	corpo	6.0212765957446805	4.837837837837839	5.513513513513516	N	662
1481	HAMMER	martelo	4.688888888888887	3.775	5.5151515151515165	N	196
1510	CHIN	queixo	5.017241379310347	3.692307692307692	4.829787234042553	N	681
1517	WASP	vespa	4.017857142857143	5.695652173913046	3.775	N	482
1524	WINE	vinho	5.760000000000002	4.85	5.62857142857143	N	494
1530	BOWL	tigela	5.15	3.4193548387096775	5.1111111111111125	N	49
1534	FEVER	febre	2.5945945945945943	5.492537313432836	3.761904761904763	N	745
1537	SPRINGTIME	primavera	7.5777777777777775	4.323529411764707	5.903225806451611	N	987
1538	SCORPION	escorpião	4.2452830188679265	5.86046511627907	3.94871794871795	N	970
1548	UGLY	feio	3.037735849056604	4.478260869565216	4.170731707317073	ADJ/N	458
1554	MAN	homem	6.324999999999999	5.176470588235294	5.451612903225806	N	535
1559	MONEY	dinheiro	6.754385964912279	4.9799999999999995	5.282608695652173	N	280
156	RED	vermelho	5.361702127659575	5.075000000000001	5.806451612903227	ADJ/N	568
1561	ARMY	exército	4.458333333333333	5.228571428571427	4.437500000000001	N	23
1562	MIND	mente	6.236363636363636	3.9374999999999996	5.822222222222223	N	871
1564	LAZY	preguiçoso	4.274193548387099	4.173913043478262	3.658536585365854	ADJ/N	837
1565	HEAVEN	céu	7.529411764705883	2.75	4.250000000000001	N	203
1567	DOOR	porta	4.977777777777778	3.826086956521739	4.694444444444444	N	130
1575	COCKROACH	barata	3.8387096774193545	5.625000000000002	4.953488372093023	N	75
1585	SLEEP	dormir	7.375	1.9682539682539684	6.499999999999998	V	397
