CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_ANEW	GERMAN_AROUSAL_MEAN_BAWL	GERMAN_DOMINANCE_MEAN	GERMAN_POTENCY_MEAN	GERMAN_IMAGEABILITY_MEAN	GERMAN_POS	LINE_IN_SOURCE
1007	COW	Kuh	0.4	3.4	2.15	6	4.65	6.65	S	559
1035	GOOD	gut	1.47	4.75	2.04	6.06	5.3	2.65	A	766
1038	TEACHER	Lehrer	0.05	4.5	2.44	4.94	5.72	4.95454545	S	1004
1044	PILLOW	Kissen	1.65	3.2	1.65	6.25	3.56	5.86363636	S	326
1066	CRIME	Verbrechen	-2.03	7.1	3.57	4.69	6.58	4.8461538462	S	707
1070	BUS	Bus	0.06	3.95	2.49	5.63	4.8	6.2083333333	S	546
1096	SONG	Lied	1.6	4.3	1.94	6.13	4.8	4.1111111111	S	982
1103	SACRIFICE	Opfer	-2.1	6.75	3.9	4.38	3.43	3.5	S	623
1111	CAR	Auto	0.2	4.35	2.36	5.94	5.1	6.44	S	556
1120	HONEST	ehrlich	2.2	4.45	2.11	6.31	6.37	2.67	A	222
1134	DIVORCE	Scheidung	-1.81	6.15	3.98	4.13	6.13	4.16	S	135
1142	URINE	Harn	-0.93	4.55	2.73	5.19	4.48	4.55	S	622
1160	THIEF	Dieb	-1.8	5.6	3.5	4.13	5.8	4.6666666667	S	442
1175	GHOST	Geist	1.1	4.3	2.83	4.88	5.23	4	S	416
1189	ULCER	Geschwür	-2.13	7.05	3.69	4.44	6.35	5.05	S	468
1199	WIFE	Ehefrau	1.27	4.8	2.5	5.19	6.04	4.8095238095	S	1025
1200	HUSBAND	Ehemann	0.93	4.6	2.62	4.88	5.99	4.619047619	S	417
1207	YOUNG	jung	1.13	5	2.69	5.44	5.44	4.380952381	A	1032
1208	CAT	Katze	1.45	4.05	2.11	6.75	3.8	6.18181818	S	509
