CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	POLISH_VALENCE_MEAN_MALE	POLISH_VALENCE_MEAN_FEMALE	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN_MALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_AROUSAL_MEAN	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN	LINE_IN_SOURCE
924	VEGETABLES	warzywo	gemüse	0.22	1.11	0.81	2.22	1.67	1.85	5.67	6.56	6.26	2476
933	WALL (OF HOUSE)	ściana	wand	-0.06	0.09	0.0	1.75	1.27	1.56	6.44	6.18	6.33	2226
935	WAR	wojna	krieg	-1.75	-2.67	-2.26	3.42	3.73	3.59	5.38	5.7	5.56	2565
937	BIRD	ptak	vogel	1.23	1.15	1.19	1.69	2.15	1.92	6.85	6.46	6.65	1826
938	MARE	klacz	stute	0.73	0.91	0.81	2.4	1.64	2.08	6.47	6.64	6.54	699
942	HONEY	miód	honig	1.64	1.58	1.62	2.5	2.5	2.5	6.43	6.75	6.58	1062
946	BLOOD	krew	blut	-0.18	-0.19	-0.19	3.27	2.13	2.59	6.73	6.75	6.74	805
947	STREAM	strumień	bach	1.22	1.33	1.3	2.78	2.28	2.44	6.33	6.61	6.52	2143
948	WATER	woda	wasser	1.4	1.36	1.38	2.2	1.55	1.92	6.47	6.73	6.58	2564
951	WEAPONS	broń	waffe	-0.2	-1.59	-1.07	2.6	2.88	2.78	6.2	6.53	6.41	169
958	WILD ANIMAL	bestia	bestie	-0.87	-1.36	-1.08	3.07	3.09	3.08	6.07	5.82	5.96	100
960	WIND	wiatr	wind	0.29	-0.08	0.12	2.5	2.75	2.62	5.0	6.25	5.58	2508
962	WOMAN	kobieta	frau	2.09	1.31	1.63	3.82	2.19	2.85	6.82	6.81	6.81	723
963	BOOK	książka	buch	1.43	2.15	1.78	2.29	2.62	2.44	6.93	6.46	6.7	830
965	WORLD	świat	welt	1.62	2.0	1.81	2.46	2.46	2.46	6.31	6.0	6.15	2257
969	CIGARETTE	papieros	zigarette	-1.56	-1.5	-1.52	2.33	2.22	2.26	6.67	6.61	6.63	1447
976	WEAR	nosić	tragen	0.09	-0.06	0.0	1.73	1.5	1.59	4.91	6.0	5.56	1233
977	ARROW	strzała	pfeil	0.5	-0.25	0.15	2.07	1.67	1.88	6.29	6.25	6.27	2144
978	WAVE	fala	welle	0.5	1.12	0.89	2.4	2.41	2.41	6.3	6.35	6.33	444
984	WORK (LABOUR)	praca	arbeit	1.19	0.55	0.93	3.31	2.91	3.15	6.75	5.36	6.19	1687
985	VINEGAR	ocet	essig	0.07	-1.23	-0.56	1.64	1.85	1.74	6.5	5.15	5.85	1279
994	BOW	łuk	bogen	0.31	0.38	0.35	1.46	2.0	1.73	6.46	6.08	6.27	952
998	PUT	kłaść	legen	0.46	0.08	0.27	1.62	1.31	1.46	5.62	6.08	5.85	715
