CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_CONCRETENESS_MEAN	FRENCH_CONTEXT_AVAILABILITY_MEAN	FRENCH_VALENCE_MEAN	FRENCH_AROUSAL_MEAN	LINE_IN_SOURCE
1004	MUSCLE	muscle	4.3	3.6	3.875	2.7241379310344827	958
1006	BRICK	brique	4.7	3.566666666666667	3.466666666666667	2.3793103448275863	153
1007	COW	vache	4.84	4.133333333333334	3.566666666666667	2.303030303030303	1589
1011	BRIDGE	pont	4.566666666666666	4.033333333333333	3.7666666666666666	2.3793103448275863	1155
1014	OR	ou	1.6	2.1	3.2	2.5454545454545454	1027
1019	RIGHT	droite	2.6666666666666665	3.2666666666666666	3.4	2.735294117647059	463
102	COMMON COLD (DISEASE)	rhume	3.28	3.6333333333333333	1.8	3.303030303030303	1265
1033	GRIND	moudre	3.413793103448276	2.9	3.3125	2.3793103448275863	943
1035	GOOD	bon	2.28	2.933333333333333	4.366666666666666	2.1515151515151514	111
1040	HAIR	cheveux	4.766666666666667	4.1	3.7333333333333334	2.206896551724138	268
1048	LINE	ligne	3.2	3.1666666666666665	3.3	2.5294117647058822	813
1062	LAW	loi	2.52	3.066666666666667	3.033333333333333	3.090909090909091	829
1069	GLUE	colle	3.9	2.966666666666667	2.9655172413793105	2.7586206896551726	334
1070	BUS	bus	4.7	4.533333333333333	3.3666666666666667	2.8620689655172415	176
1075	TRAP (PITFALL)	piège	3.32	3.533333333333333	1.9	3.9411764705882355	1091
1077	WHEAT	blé	4.466666666666667	3.2666666666666666	3.9310344827586206	2.413793103448276	98
1081	BILL	compte	2.68	3.3	3.066666666666667	2.6666666666666665	339
1085	FOLLOW	suivre	2.466666666666667	2.8333333333333335	3.3666666666666667	2.689655172413793	1450
1090	BE BORN	naître	2.8	3.6666666666666665	4.53125	2.5172413793103448	965
1109	WOUND	plaie	3.966666666666667	3.6333333333333333	1.7333333333333334	3.689655172413793	1112
1111	CAR	voiture	4.833333333333333	4.4	3.8125	3.0344827586206895	1642
1114	BULLET	balle	4.68	3.8	3.533333333333333	3.1176470588235294	57
112	TURTLE	tortue	4.733333333333333	3.7333333333333334	3.5517241379310347	1.8275862068965518	1526
1124	PIPE	pipe	4.8	3.6666666666666665	2.896551724137931	2.3793103448275863	1105
1125	BALD	chauve	3.8666666666666667	3.7333333333333334	2.103448275862069	2.7241379310344827	258
113	SHORE	rive	3.7666666666666666	2.7333333333333334	3.40625	1.9310344827586208	1275
1132	BEAM	poutre	4.8	3.066666666666667	3.15625	2.4827586206896552	1176
1136	RABBIT	lapin	4.8	4.3	4.03125	2	783
1138	FAIRY	fée	3.103448275862069	3.933333333333333	4.275862068965517	1.8620689655172413	510
1139	LEOPARD	léopard	4.88	3.533333333333333	3.5	2.8823529411764706	795
1143	OVEN	four	4.733333333333333	3.8	3.5172413793103448	2.8620689655172415	580
1147	PURE	pur	1.76	2.966666666666667	4.4	1.9393939393939394	1209
1155	CAVE	grotte	4.366666666666666	3.433333333333333	3.103448275862069	2.5172413793103448	682
1161	THREAD	fil	4.2	3.2	3.206896551724138	2.310344827586207	531
1162	INTENTION	but	2.433333333333333	3.3333333333333335	3.8275862068965516	3.2758620689655173	178
1169	OX	boeuf	4.8	3.8	3.625	2.4482758620689653	105
1174	YESTERDAY	hier	2.1666666666666665	2.9	2.71875	2.2413793103448274	711
1176	SPADE	bêche	4.241379310344827	2.7	3	2.5517241379310347	78
1182	NOISE	bruit	2.92	3.7666666666666666	2	3.764705882352941	163
1183	PALM OF HAND	paume	4.28	3.2333333333333334	3.1	2.5294117647058822	1060
1187	GOOSE	oie	4.833333333333333	3.7	3.1	2.2758620689655173	1011
1190	HARE	lièvre	4.866666666666666	3.7333333333333334	3.625	2.3793103448275863	811
120	PITCHER	cruche	4.333333333333333	2.7333333333333334	2.4375	2.689655172413793	398
1201	FEATHER	plume	4.633333333333334	3.6	3.9375	1.3103448275862069	1133
1202	BIG	grand	2.466666666666667	2.9	3.896551724137931	2.5517241379310347	660
1203	LONG	long	2.433333333333333	1.8666666666666667	3.2413793103448274	2.8275862068965516	831
1205	TONGUE	langue	3.7666666666666666	3.6666666666666665	4.125	2.586206896551724	782
1207	YOUNG	jeune	2.3	3.3333333333333335	4.310344827586207	2.206896551724138	744
1208	CAT	chat	4.9	4.4	3.7666666666666666	2.0689655172413794	252
1209	I	je	2.2666666666666666	2.3	3.1875	2.310344827586207	739
1210	HEAVY	lourd	2.533333333333333	3.1	2.3	2.7586206896551726	842
1211	HE	il	1.6333333333333333	1.8	3.2413793103448274	2.6551724137931036	730
1212	WE	nous	1.8666666666666667	2.2	3.6551724137931036	1.9655172413793103	997
1213	YOU	vous	2.1666666666666665	2	3.6551724137931036	2.7241379310344827	1649
1215	THOU	tu	1.6333333333333333	2.2	3.6333333333333333	2.3448275862068964	1579
1216	MOTHER	mère	4.2	4.333333333333333	4.586206896551724	1.9655172413793103	894
1217	FATHER	père	4	4.466666666666667	4.34375	2.4827586206896552	1075
1218	ROPE	corde	4.766666666666667	3.8333333333333335	2.8666666666666667	2.9310344827586206	347
