CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_AOA_MEAN	CHINESE_FAMILIARITY_MEAN	CHINESE_IMAGEABILITY_MEAN	CHINESE_CONCRETENESS_MEAN	CHINESE_FREQUENCY_LOG	CHINESE_STROKE	LINE_IN_SOURCE
1219	WORM	蟲	2.714285714		6.095238095	6.3	1.677096284	18	4201
1220	TAIL	尾	2.952380952		5.727272727	5.7368	2.353070182	7	3704
1221	NOSE	鼻	2.238095238		6.571428571	6.5263	1.745782341	14	4374
1223	HEART	心	1.80952381		6.428571429	6.1	3.33820142	4	3780
1224	LIVER	肝	4.333333333		5.636363636	6.4211	1.696422655	7	541
1226	YEAR	年	2.095238095		3.181818182	4.1	3.729917711	5	3743
1228	EARTH (SOIL)	土	1.857142857		5.636363636	5.45	2.411518513	3	3594
1230	DIRTY	髒	4.526315789		5.476190476	5.15	0.864426845	23	2693
1231	NEW	新	3.047619048		3.318181818	4.1	3.368426163	13	3195
1232	WARM	暖	3.047619048		4.227272727	4.9	1.710429665	13	3871
1233	NIGHT	夜	2.80952381		5.714285714	5.35	2.392630171	8	3617
1234	SMOOTH	平	2.428571429		4.909090909	4.25	3.055963527	5	3742
1235	WHO	誰	3.238095238		3.136363636	2.65	2.076886636	15	183
1240	NOT	不	1.476190476		3.954545455	3.85	3.914813658	4	3335
1241	SOME	些	3.285714286		2.363636364	1.5263	2.743778094	8	3379
1243	WIDE	寬	3.761904762		5.090909091	4.25	1.805437457	15	1222
1244	THICK	厚	3		5.136363636	5.15	1.987896961	9	3520
1246	SMALL	小	1.666666667		4.727272727	4.8	3.262259059	3	3697
1247	EAR	耳	1.666666667		6.285714286	6.6842	2.099881564	6	4133
1248	EYE	眼	2		6.333333333	6.8333	2.643238017	11	1627
125	SWEAT (SUBSTANCE)	汗	2.857142857		5.571428571	5.35	1.612501641	6	91
1251	BELLY	腹	4.19047619		5.727272727	6.0526	1.693613193	13	1532
1252	HOUSE	房	2.904761905		5.5	5.4	2.742625646	8	1197
1254	HANDLE	柄	4.3		4.545454545	5.3	1.013263587	9	2214
1256	HEAD	頭	1.952380952		5.590909091	6.5263	3.086582979	16	3175
1257	WING	翼	3.571428571		6.181818182	5.95	1.797559299	17	498
1261	SING	唱	2.476190476		5.272727273	5.65	2.518554181	11	1738
1265	HIGH	高	2.19047619		5.227272727	4.75	3.294997377	10	4354
1267	NARROW	窄	4.142857143		5.227272727	4.6	1.594879029	10	182
1274	SALT	鹽	3.428571429		5.681818182	6.1053	1.537602524	24	1515
1275	ANSWER	答	2.952380952		3.727272727	4.25	2.238653226	12	1169
1276	AUTUMN	秋	2.476190476		5.272727273	5.05	2.040200985	9	4079
1277	HAND	手	1		6.571428571	6.7368	3.330471425	4	3815
1279	FAT (OBESE)	胖	2.904761905		6	5.55	1.29532072	9	470
1280	FALL	掉	3.333333333		4.136363636	3.85	1.989207051	11	209
1286	HOT	熱	2.714285714		5.714285714	4.85	2.75881164	15	860
1287	COLD	冷	2.619047619		5.045454545	5.3	2.396418259	7	1702
1290	ELEPHANT	象	2.904761905		6.428571429	5.7895	2.441742496	12	4239
1291	BACK	背	2.761904762		5.818181818	5.4	2.347425543	9	872
1292	BAD	壞	3.285714286		4.454545455	3.75	2.184755104	19	1639
1294	ZERO	零	2.476190476		4.181818182	4.8	2.297197232	13	1159
1295	STICK	棍	3.761904762		5.5	6	1.556366174	12	767
1297	LEG	腿	2.523809524		5.954545455	6.4211	1.900017246	14	421
1301	FOOT	腳	2.380952381		6.272727273	6.4737	2.548531464	13	1545
1302	FORK	叉	2.761904762		6.227272727	5.55	1.328679173	3	3526
1304	CHILD (YOUNG HUMAN)	孩	2.666666667		5.181818182	4.9	2.318157986	9	1577
1309	ASK (INQUIRE)	問	2.238095238		4	4.75	3.150460219	11	863
1311	VERY	很	2.666666667		1.428571429	1.8421	2.931065579	9	1557
1314	QUIET	靜	3.142857143		3.681818182	4	2.182093745	16	1929
133	WEAVE	織	4.238095238		4.818181818	4.25	2.299182181	18	1615
1333	NECK	頸	2.857142857		6.090909091	6.3158	1.890867652	16	3256
1335	WHITE	白	1.80952381		6.19047619	5.5	2.744384519	5	4037
1336	EAT	吃	2.047619048		5.318181818	5.5	2.455491452	6	1637
1337	PIG	豬	2.285714286		6.8	6.9474	2.02775801	15	1922
1342	SUMMER	夏	2.666666667		5.318181818	5.5	2.216538912	10	3613
1343	SUN	日	1.3		5.590909091	5.2	3.627307937	4	3852
1350	MONKEY	猴	3.142857143		5.863636364	6.6316	1.336766827	12	2544
1352	KNIFE	刀	2.571428571		6.454545455	6.4737	2.220257149	2	3467
1355	LAUGH	笑	2.2		5.818181818	6.2632	2.69047799	10	4094
1362	STREET	街	3.095238095		6	5.4	2.698262346	12	1488
1369	GOLD	金	2.904761905		6.380952381	5.65	3.152187722	8	4295
1370	MONTH	月	1.476190476		6.363636364	6.15	3.313854565	4	3884
1371	KNEE	膝	3.333333333		5.904761905	6.1053	1.447037564	15	1951
1372	MEDICINE	藥	3.333333333		5.636363636	6.4211	2.446871772	19	1240
1373	TEA	茶	2.80952381		6.5	6.4211	2.131941144	10	4180
1380	TOOTH	牙	1.904761905		6.571428571	6.5789	2.276954834	4	3992
1381	SHOE	鞋	2.619047619		6.181818182	6.5789	2.038718027	15	329
1382	NEEDLE (FOR SEWING)	針	3.095238095		6.238095238	6.1	2.139830684	10	1968
1387	ARRIVE	到	2.80952381		2.545454545	2.7	3.575433133	8	3475
1391	TOWN	城	3.476190476		5.227272727	5.6316	2.767932699	10	1838
1392	LOUSE	虱	5.142857143		4.636363636	5.25	-0.081962024	8	4197
1393	HORN (ANATOMY)	角	3.19047619		5.045454545	5.6	2.801296336	7	4223
1394	BONE	骨	3.047619048		6.380952381	6.05	2.152995894	10	4353
1395	ROUND	圓	2.333333333		5.727272727	6.1579	2.096457897	13	119
1396	SHARP	尖	3.238095238		6.238095238	5.3	2.01382578	6	3699
1398	DRY	干	3.761904762		3.409090909	2.2105	1.874609147	3	3741
1400	THIN (SLIM)	瘦	3.523809524		5.454545455	5.5263	1.605077623	15	11
1401	DRINK	喝	2.857142857		5.590909091	4.65	1.866166872	12	609
1403	BITE	咬	2.714285714		5.409090909	5.3	1.691258011	9	791
1404	STRAIGHT	直	2.476190476		5.136363636	4.85	2.967080844	8	4050
1405	NAME	名	2.142857143		2.523809524	3.9	3.40987844	6	3547
1406	FAR	遠	2.714285714		4.5	3.9	2.514564131	14	919
1408	HEAR	聽	2.80952381		4.636363636	4.6	2.537366979	22	4139
141	BURN (SOMETHING)	燒	3.333333333		5.409090909	5.35	2.202723353	16	1825
1411	LIE (REST)	躺	3.619047619		5.454545455	5.1	1.277934631	15	600
1413	PLAY	玩	2.095238095		4.681818182	4.55	2.4892206630000002	8	1701
1414	SQUEEZE	壓	3.761904762		5.090909091	4.75	2.564663015	17	891
1416	SIT	坐	2.428571429		5.476190476	5.3	2.388476921	7	3599
1417	KILL	殺	3.904761905		5.636363636	5.55	2.559448111	11	3219
1418	DIG	挖	3.952380952		5	4.75	1.475894304	9	2021
1419	FEAR (BE AFRAID)	怕	2.428571429		3.909090909	3.3	2.310451243	8	1526
1421	SUCK	吮	4.714285714		4	4.5	-0.029255674	7	3117
1422	BE ALIVE	活	2.857142857		2.954545455	3.7	2.990821354	9	1695
1423	FIGHT	斗	3.523809524		3.5	2.7	1.306345488	4	3841
1424	YELLOW	黃	2.571428571		4.772727273	5.05	2.784649223	12	4368
1425	GREEN	綠	2.571428571		5.590909091	5.65	2.036163972	14	1828
1426	EXPENSIVE	貴	3.238095238		4.5	3.75	2.317655879	12	4246
1427	BEAUTIFUL	美	2.571428571		4.090909091	5.05	3.241848765	9	4122
1429	FULL	滿	3.333333333		4.772727273	4.45	2.737412066	14	1531
1430	STAR	星	2.095238095		6.476190476	6.15	2.969837566	9	3863
1432	CUT	砍	4		4.954545455	4.9	1.107917519	9	2090
1434	STAB	刺	4.047619048		5.619047619	5.6	2.220047531	8	3246
1436	SCRATCH	抓	3.15		5.409090909	5.2	1.55701005	7	98
1437	SPLIT	劈	4.5		5.045454545	5.1579	1.082774484	15	950
1439	SWIM	游	2.714285714		5.318181818	5.2632	1.965752381	12	2086
1440	SPIT	吐	3.142857143		5.318181818	4.65	1.585340263	6	298
1441	FLY (MOVE THROUGH AIR)	飛	2.952380952		5.727272727	5.6	2.685720375	9	4344
1442	STAND	站	2.666666667		5.318181818	5.45	2.706411649	10	1556
1443	WALK	走	1.904761905		4.727272727	4.65	2.920036728	7	4258
1444	TURN AROUND	轉	3.285714286		4.909090909	4.15	2.785942446	18	1706
