CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	NODE	DEGREE	WEIGHTED_DEGREE	EDGES	LINE_IN_SOURCE
101	BOAST	BOAST	2368	0	0		14742
1010	BOUNDARY	BOUNDARY	2526	40	99	A;D;R;I;A;N;:;1;;;B;A;R;R;I;E;R;:;1;;;B;O;R;D;E;R;:;6;;;B;O;R;O;U;G;H;:;1;;;C;O;M;M;U;N;I;S;M;:;1;;;C;O;N;D;I;T;I;O;N;:;1;;;C;O;N;D;I;T;I;O;N;S;:;2;;;C;O;U;N;T;R;I;E;S;:;1;;;C;O;U;N;T;R;Y;:;2;;;C;O;U;N;T;Y;:;2;;;C;R;I;C;K;E;T;:;4;;;D;I;S;P;U;T;E;:;1;;;D;I;T;C;H;:;1;;;D;I;V;I;S;I;O;N;:;1;;;D;O;T;S;:;1;;;E;D;G;E;:;1;4;;;E;N;D;:;1;;;F;E;N;C;E;:;8;;;F;I;E;L;D;:;3;;;F;O;U;N;D;R;Y;:;1;;;G;R;A;I;N;:;1;;;G;U;A;R;D;:;1;;;H;E;L;L;:;1;;;H;E;R;E;:;1;;;I;N;F;I;N;I;T;Y;:;1;;;L;A;Y;E;R;:;3;;;L;I;M;I;T;:;6;;;L;I;N;E;:;1;8;;;L;I;N;E;S;:;1;;;M;A;P;:;1;;;P;A;R;I;S;H;:;3;;;P;E;R;I;M;E;T;E;R;:;1;;;R;I;V;E;R;:;1;;;R;O;A;D;:;1;;;R;U;N;:;1;;;S;T;A;T;E;:;1;;;S;T;R;E;E;T;:;1;;;T;E;R;R;I;T;O;R;Y;:;1;;;U;P;S;E;T;:;1;;;W;A;L;L;:;1	14918
1011	BRIDGE	BRIDGE	2703	37	97	A;C;R;O;S;S;:;4;;;A;R;C;H;:;1;;;B;A;I;L;E;Y;:;1;;;B;I;D;:;1;;;B;U;I;L;T;:;1;;;C;A;R;:;1;;;C;A;R;D;:;2;;;C;A;R;D;S;:;9;;;C;A;S;T;L;E;:;1;;;C;O;N;T;R;A;C;T;:;2;;;C;R;O;S;S;:;3;;;E;N;D;:;1;;;F;A;S;C;I;S;T;:;1;;;F;O;R;T;H;:;3;;;G;A;M;E;:;2;;;G;A;P;:;6;;;I;N;N;:;1;;;I;R;O;N;:;1;;;K;W;A;I;:;6;;;L;O;N;D;O;N;:;1;;;N;O;:;1;;;O;V;E;R;:;5;;;P;L;A;Y;E;R;:;1;;;P;O;K;E;R;:;1;;;Q;U;A;Y;:;1;;;R;A;I;L;W;A;Y;:;2;;;R;I;V;E;R;:;2;0;;;S;E;V;E;R;N;:;1;;;S;T;O;N;E;:;1;;;S;T;R;E;A;M;:;1;;;S;T;R;E;E;T;:;2;;;T;A;Y;:;1;;;T;R;U;M;P;:;1;;;T;U;N;N;E;L;:;2;;;V;I;A;D;U;C;T;:;3;;;W;A;D;E;:;1;;;W;A;T;E;R;:;5	15115
1012	LATCH	LATCH	11578	0	0		1756
1014	OR	OR	14436	33	99	A;L;I;V;E;:;1;;;A;L;T;E;R;N;A;T;I;V;E;:;3;;;A;L;T;E;R;N;A;T;I;V;E;L;Y;:;1;;;A;M;:;1;;;A;N;D;:;1;6;;;B;U;T;:;4;;;D;A;T;E;:;1;;;D;E;C;L;I;N;E;:;1;;;E;I;T;H;E;R;:;1;5;;;E;L;S;E;:;1;0;;;F;O;R;:;2;;;G;O;L;D;:;5;;;H;O;W;:;1;;;I;F;:;4;;;I;N;:;1;;;K;I;N;G;:;1;;;M;A;Y;B;E;:;3;;;M;E;:;1;;;N;E;I;T;H;E;R;:;2;;;N;E;V;E;R;:;1;;;N;O;R;:;5;;;N;O;T;:;6;;;N;O;W;:;4;;;O;P;T;I;O;N;:;1;;;O;R;A;N;G;E;:;1;;;O;T;H;E;R;:;1;;;P;I;G;:;1;;;R;A;M;P;A;N;T;:;1;;;T;H;E;M;:;1;;;T;H;E;N;:;1;;;U;G;L;Y;:;1;;;W;H;A;T;:;1;;;W;H;E;N;:;1	4932
1018	MEMORY	MEMORY	12808	48	97	A;I;D;:;2;;;B;A;D;:;3;;;B;A;N;K;:;1;;;B;R;A;I;N;:;3;;;B;R;I;E;F;:;1;;;C;E;L;L;S;:;1;;;C;R;A;D;L;E;:;1;;;E;X;A;M;S;:;1;;;F;A;C;E;S;:;1;;;F;A;L;L;I;B;L;E;:;1;;;F;I;N;A;L;S;:;1;;;F;O;R;G;E;T;:;7;;;F;O;R;G;E;T;T;I;N;G;:;1;;;F;R;I;E;N;D;S;:;1;;;G;L;A;N;D;:;1;;;G;O;O;D;:;2;;;H;E;A;D;:;2;;;H;O;P;E;L;E;S;S;:;1;;;L;A;N;E;:;4;;;L;I;G;H;T;:;1;;;L;O;S;S;:;4;;;L;O;S;T;:;2;;;M;A;N;:;1;;;M;I;N;D;:;1;0;;;N;O;:;1;;;N;O;N;E;:;1;;;N;O;S;T;A;L;G;I;A;:;1;;;N;O;W;:;1;;;P;A;S;T;:;1;;;P;O;O;R;:;1;;;R;E;C;A;L;L;:;2;;;R;E;F;L;E;C;T;I;O;N;S;:;1;;;R;E;M;E;M;B;E;R;:;4;;;R;E;M;E;M;B;E;R;I;N;G;:;1;;;S;A;D;:;1;;;S;H;O;R;T;:;1;;;S;I;G;H;T;:;1;;;S;O;U;V;E;N;I;R;:;1;;;S;T;O;R;A;G;E;:;1;;;S;T;O;R;E;:;1;;;T;E;S;T;:;9;;;T;H;I;N;K;:;5;;;T;H;O;U;G;H;T;:;4;;;T;H;O;U;G;H;T;S;:;1;;;T;I;M;E;:;1;;;T;R;A;I;N;I;N;G;:;2;;;W;O;R;D;:;1;;;W;O;R;K;:;1	3123
1019	RIGHT	RIGHT	17161	20	100	A;H;E;A;D;:;1;;;A;W;A;Y;:;4;;;B;L;U;E;:;1;;;C;I;V;I;L;:;1;;;C;O;M;M;O;N;:;1;;;C;O;R;R;E;C;T;:;1;;;H;E;R;E;:;1;;;J;U;S;T;I;C;E;:;1;;;L;E;F;T;:;3;3;;;N;O;W;:;1;;;O;.;K;.;:;1;;;O;N;:;1;;;P;E;R;S;O;N;:;1;;;P;L;A;C;E;:;1;;;R;I;G;H;T;:;1;;;S;O;R;T;:;1;;;T;U;R;N;:;4;;;U;P;:;1;;;W;I;N;G;:;2;;;W;R;O;N;G;:;4;2	7960
1021	TOWEL	TOWEL	21110	35	98	B;A;S;I;N;:;1;;;B;A;T;H;:;1;2;;;B;R;U;S;H;:;1;;;C;L;E;A;N;:;4;;;C;L;O;T;H;:;2;;;C;O;L;O;U;R;S;:;1;;;C;O;T;T;O;N;:;1;;;D;R;Y;:;2;0;;;F;A;C;E;:;3;;;F;L;A;N;N;E;L;:;4;;;G;R;E;E;N;:;1;;;H;A;N;D;:;3;;;H;A;N;D;S;:;1;;;M;O;N;G;E;R;:;1;;;P;O;T;S;:;1;;;R;A;C;K;:;3;;;R;A;I;L;:;8;;;R;A;I;N;:;1;;;R;I;N;G;:;1;;;R;O;L;L;:;1;;;R;O;L;L;E;R;:;1;;;R;U;B;:;1;;;R;U;I;N;:;1;;;S;O;A;P;:;6;;;S;T;A;I;N;:;1;;;S;W;I;M;:;1;;;S;W;I;M;M;I;N;G;:;2;;;T;E;A;:;2;;;T;H;R;O;W;:;1;;;W;A;I;L;:;1;;;W;A;S;H;:;5;;;W;A;S;H;I;N;G;:;1;;;W;A;T;E;R;:;1;;;W;E;T;:;3;;;W;H;I;T;E;:;1	12349
1025	WHISTLE	WHISTLE	22698	35	99	B;L;O;W;:;7;;;C;A;L;L;:;1;;;C;A;N;&;#;3;9;;;T;:;1;;;D;O;G;:;1;;;F;A;R;T;:;1;;;F;L;U;T;E;:;2;;;F;O;O;T;B;A;L;L;:;1;;;H;A;P;P;Y;:;1;;;K;E;T;T;L;E;:;1;;;L;I;P;:;1;;;L;I;P;S;:;1;;;L;O;U;D;:;2;;;M;E;:;1;;;M;O;U;T;H;:;2;;;N;O;I;S;E;:;1;;;N;O;W;:;1;;;P;E;N;N;Y;:;3;;;P;U;P;P;E;T;:;1;;;R;E;F;E;R;E;E;:;1;;;S;H;A;R;P;:;1;;;S;H;O;U;T;:;2;;;S;H;R;I;E;K;:;1;;;S;H;R;I;L;L;:;1;;;S;I;N;G;:;2;;;S;O;N;G;:;1;;;S;O;U;N;D;:;2;;;S;T;E;A;M;:;1;;;S;T;O;P;:;2;9;;;T;I;N;:;1;;;T;R;A;C;K;:;1;;;T;R;A;I;N;:;1;5;;;T;U;N;E;:;8;;;W;A;T;E;R;:;1;;;W;I;N;D;:;1;;;W;O;L;F;:;2	14111
1029	JEWEL	JEWEL	11056	47	99	B;A;N;G;L;E;:;1;;;B;E;A;U;T;Y;:;2;;;B;O;X;:;2;;;B;R;A;C;E;L;E;T;:;1;;;B;R;I;G;H;T;:;2;;;C;A;S;E;:;1;;;C;A;S;K;E;T;:;1;;;C;L;E;O;P;A;T;R;A;:;1;;;C;R;O;W;N;:;5;;;D;I;A;M;O;N;D;:;1;7;;;D;I;A;M;O;N;D;S;:;1;;;G;E;M;:;9;;;G;I;R;L;F;R;I;E;N;D;:;1;;;G;L;I;S;T;E;N;:;1;;;G;L;O;W;:;1;;;G;O;L;D;:;2;;;H;A;N;D;S;O;M;E;:;1;;;J;E;S;U;S;:;1;;;J;I;M;M;Y;:;1;;;L;E;S;S;:;1;;;L;O;T;U;S;:;1;;;M;O;R;R;I;S;:;1;;;N;E;C;K;L;A;C;E;:;1;;;O;C;E;A;N;:;1;;;O;P;A;L;:;3;;;P;E;A;R;L;:;2;;;P;R;E;C;I;O;U;S;:;2;;;P;R;I;C;E;:;1;;;P;R;I;C;E;L;E;S;S;:;1;;;R;I;C;H;E;S;:;1;;;R;I;N;G;:;7;;;R;U;B;Y;:;4;;;S;A;P;P;H;I;R;E;:;1;;;S;H;I;N;E;:;1;;;S;H;O;P; ;W;I;N;D;O;W;:;1;;;S;K;U;L;L;:;1;;;S;P;A;R;K;L;E;:;3;;;S;T;O;N;E;:;1;;;T;H;I;E;F;:;3;;;T;O;P;A;Z;:;1;;;V;A;L;U;A;B;L;E;:;1;;;W;A;L;L;I;S;:;1;;;W;A;R;R;I;S;:;2;;;W;A;T;C;H;:;1;;;W;E;A;L;T;H;:;2;;;W;O;M;A;N;:;2;;;W;O;R;T;H;:;1	1177
