CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AUDITORY_MEAN	ENGLISH_GUSTATORY_MEAN	ENGLISH_HAPTIC_MEAN	ENGLISH_INTEROCEPTIVE_MEAN	ENGLISH_OLFACTORY_MEAN	ENGLISH_VISUAL_MEAN	ENGLISH_FOOT_ACTION_MEAN	ENGLISH_HAND_ACTION_MEAN	ENGLISH_HEAD_ACTION_MEAN	ENGLISH_MOUTH_ACTION_MEAN	ENGLISH_TORSO_ACTION_MEAN	ENGLISH_PERCEPTUAL_STRENGTH_MAX	ENGLISH_PERCEPTUAL_STRENGTH_AGGREGATED	ENGLISH_PERCEPTUAL_EXCLUSIVITY	ENGLISH_PERCEPTUAL_DOMINANT	ENGLISH_ACTION_STRENGTH_MAX	ENGLISH_ACTION_STRENGTH_AGGREGATED	ENGLISH_ACTION_EXCLUSIVITY	ENGLISH_ACTION_DOMINANT	ENGLISH_SENSORIMOTOR_STRENGTH_MAX	ENGLISH_SENSORIMOTOR_STRENGTH_AGGREGATED	ENGLISH_SENSORIMOTOR_EXCLUSIVITY	ENGLISH_SENSORIMOTOR_DOMINANT	ENGLISH_PERCEPTUAL_KNOWN_PERCENTAGE	ENGLISH_ACTION_KNOWN_PERCENTAGE	ENGLISH_PERCEPTUAL_AOA_MEAN	ENGLISH_ACTION_AOA_MEAN	LINE_IN_SOURCE
10	FIREWOOD	FIREWOOD	1.529411765	0.176470588	3.882352941	0.588235294	2.764705882	4.764705882	0.9	3.5	2.1	0.4	0.6	4.764705882	5.76505498	0.334763948	Visual	3.5	3.759708179	0.413333333	Hand_arm	4.764705882	6.255208919	0.216366158	Visual	1	1	39.05882353	35.8	12870
100	FAITHFUL	FAITHFUL	2.058823529	0	0.117647059	2.529411765	0.058823529	2.235294118	0.181818182	0.227272727	2.136363636	1.363636364	0.636363636	2.529411765	3.30438349	0.361344538	Interoceptive	2.136363636	2.324600945	0.43	Head	2.529411765	3.650372308	0.219082909	Interoceptive	1	1	38.29411765	35.68181818	12276
1000	ANXIETY	ANXIETY	1.631578947	0.263157895	0.473684211	4.473684211	0.263157895	1.894736842	1.526315789	1.526315789	2.842105263	1.736842105	1.421052632	4.473684211	4.654301043	0.467836257	Interoceptive	2.842105263	3.367212766	0.156976744	Head	4.473684211	5.1801232	0.233236152	Interoceptive	1	1	41.16666667	34	1334
1001	BLACKSMITH	BLACKSMITH	1.866666667	0	0.666666667	0	0.133333333	3.2	0.842105263	2.842105263	2.368421053	0.789473684	1.631578947	3.2	3.407680531	0.545454545	Visual	2.842105263	3.46704627	0.242236025	Hand_arm	3.2	4.331129426	0.223146562	Visual	0.9375	1	37.46666667	36.68421053	3140
1002	STATUE	STATUE	0.315789474	0.210526316	2	0.368421053	0.210526316	4.526315789	0.526315789	1.105263158	2.210526316	0.263157895	0.736842105	4.526315789	4.654444617	0.565517241	Visual	2.210526316	2.334076612	0.402173913	Head	4.526315789	4.842405795	0.345991561	Visual	1	1	40.68421053	40.26315789	32587
1003	PERMIT	ALLOW	2.352941176	0.352941176	0.411764706	2.176470588	0.588235294	2.117647059	0.238095238	1.095238095	2	1.666666667	0.333333333	2.352941176	3.212400364	0.25	Auditory	2	2.409795219	0.330357143	Head	2.352941176	3.612517393	0.158613445	Auditory	1	1	34	40.33333333	869
1004	MUSCLE	MUSCLE	0.0625	0.25	2.875	2.25	0.0625	3.125	3.833333333	4.5	2	1.388888889	2.833333333	3.125	4.034861705	0.355072464	Visual	4.5	5.655384304	0.213740458	Hand_arm	4.5	6.270630461	0.191431995	Hand_arm	1	1	39	39.61111111	22288
1005	TWINS	TWINS	2.333333333	0.055555556	1.333333333	0.166666667	0.777777778	4.333333333	1.052631579	1.684210526	3.894736842	1.631578947	1.157894737	4.333333333	4.593433496	0.475308642	Visual	3.894736842	4.139235606	0.301675978	Head	4.333333333	5.516078572	0.232222222	Visual	1	0.95	33.27777778	39.52631579	35729
1006	BRICK	BRICK	0.363636364	0	3.242424242	0.121212121	0.181818182	4.090909091	0.210526316	1.315789474	0.736842105	0.052631579	0.052631579	4.090909091	4.6815949	0.511363636	Visual	1.315789474	1.390360581	0.533333333	Hand_arm	4.090909091	4.722119573	0.394554684	Visual	1	1	37.78787879	41.42105263	3946
1007	COW	COW	2.75	1.25	2.15	0.45	2.4	3.95	0.285714286	1.761904762	2	0.857142857	0.428571429	3.95	4.765630871	0.27027027	Visual	2	2.421637337	0.321428571	Head	3.95	4.965558625	0.200416721	Visual	1	1	37.15	34.42857143	7462
1008	BULL	BULL	2.210526316	0	2.210526316	0.052631579	1.473684211	4.631578947	0.842105263	1.684210526	2.157894737	0.789473684	1.052631579	4.631578947	4.988750527	0.437810945	Visual	2.157894737	2.575369334	0.209677419	Head	4.631578947	5.207771829	0.270769231	Visual	0.95	1	32.57894737	38.31578947	4175
1009	CHESTNUT TREE	BUCKEYE	0.5	0.75	0.6875	0.1875	0.25	3.8125	0	0.272727273	1.181818182	0.363636364	0	3.8125	3.832893717	0.585858586	Visual	1.181818182	1.197914959	0.65	Head	3.8125	3.871506878	0.476224273	Visual	0.842105263	0.578947368	38.3125	37.18181818	4121
101	BOAST	BOAST	4.444444444	0.277777778	0.333333333	0.944444444	0	2.555555556	0.2	0.3	1.55	3.55	0.3	4.444444444	4.723413771	0.519480519	Auditory	3.55	3.647436744	0.56779661	Mouth	4.444444444	5.35903064	0.307455803	Auditory	1	1	39.27777778	36.95	3434
1010	BOUNDARY	BOUNDARY	0.882352941	0	1.647058824	0.235294118	0.352941176	3.294117647	2.1875	2.375	2.25	1.25	1.375	3.294117647	3.447018533	0.513761468	Visual	2.375	3.414453266	0.119205298	Hand_arm	3.294117647	4.32255374	0.207840408	Visual	1	0.941176471	35.88235294	36.375	3705
1011	BRIDGE	BRIDGE	0.588235294	0.176470588	1.176470588	0.352941176	0.235294118	4.294117647	2.421052632	1.263157895	1.842105263	0.263157895	1.210526316	4.294117647	4.328092861	0.603448276	Visual	2.421052632	2.894458433	0.308270677	Foot_leg	4.294117647	4.722555939	0.29787234	Visual	0.944444444	1	34.4375	39.21052632	3956
1012	LATCH	LATCH	2.058823529	0	3.411764706	0.352941176	0	4.117647059	0.136363636	2.727272727	1.227272727	0.318181818	0.045454545	4.117647059	4.909007486	0.414201183	Visual	2.727272727	2.809189958	0.602040816	Hand_arm	4.117647059	5.19827187	0.286032689	Visual	1	1	38.29411765	35.68181818	19538
1013	FRESHWATER EEL	EEL	0.111111111	1	2.055555556	0	0.333333333	3.555555556	0.578947368	1.315789474	2.736842105	0.894736842	0.736842105	3.555555556	3.795400968	0.503937008	Visual	2.736842105	2.888028543	0.344537815	Head	3.555555556	4.286512929	0.266959385	Visual	1	1	41.38888889	40.10526316	10789
1014	OR	OR	0.5625	0.0625	0.0625	0.0625	0.0625	0.625	0.058823529	0.352941176	2.058823529	1	0.176470588	0.625	0.750722683	0.391304348	Visual	2.058823529	2.138263891	0.548387097	Head	2.058823529	2.168675032	0.393347795	Head	1	0.894736842	37.8125	37.70588235	23720
1016	DRIZZLE	DRIZZLE	1.764705882	0.470588235	2.705882353	0.647058824	0.588235294	4.176470588	0.65	2.2	2.05	0.35	0.75	4.176470588	4.621949392	0.357954545	Visual	2.2	2.714530713	0.308333333	Hand_arm	4.176470588	4.91507928	0.233992806	Visual	1	1	39.29411765	37.4	10419
1017	APPEARANCE	APPEARANCE	0.25	0	0.85	0.4	0.25	4.8	1.6	1.65	3.35	1.35	1.75	4.8	4.810241083	0.732824427	Visual	3.35	3.779838977	0.206185567	Head	4.8	5.488179849	0.295384615	Visual	1	1	36.75	33.75	1400
1018	MEMORY	MEMORY	1.052631579	0.473684211	0.421052632	2.842105263	0.526315789	1.315789474	0.380952381	0.571428571	4.285714286	0.857142857	0.428571429	2.842105263	2.989906302	0.365079365	Interoceptive	4.285714286	4.30289206	0.598540146	Head	4.285714286	4.738508384	0.296818442	Head	1	1	33.52631579	36.80952381	21191
1019	RIGHT	RIGHT	1.541666667	0.125	0.708333333	2.041666667	0.25	2.833333333	1.2	2.5	2.35	1.3	0.7	2.833333333	3.280167822	0.361111111	Visual	2.5	3.203345297	0.223602484	Hand_arm	2.833333333	4.084930677	0.174169346	Visual	1	1	38.33333333	37.65	28905
102	COMMON COLD (DISEASE)	COMMON	1	0.210526316	0.368421053	0.842105263	0.210526316	2.684210526	0.263157895	0.631578947	2.578947368	1.421052632	0.421052632	2.684210526	2.759166772	0.465346535	Visual	2.578947368	2.730918622	0.435643564	Head	2.684210526	3.458628637	0.232673267	Visual	1	1	32.55555556	39.57894737	6233
1020	HANDKERCHIEF	KERCHIEF	0.458333333	0	2.166666667	0.166666667	0.25	3.208333333	0.421052632	2.263157895	2.473684211	1.315789474	0.315789474	3.208333333	3.511864498	0.513333333	Visual	2.473684211	3.076286384	0.317829457	Head	3.208333333	4.168338122	0.246047763	Visual	0.96	0.863636364	41.25	35.31578947	19148
1021	TOWEL	TOWEL	0.52173913	0	4.130434783	0.260869565	0.52173913	4.347826087	2.619047619	3.904761905	2.523809524	0.714285714	2.952380952	4.347826087	5.347998512	0.444444444	Visual	3.904761905	4.927986248	0.25093633	Hand_arm	4.347826087	6.48426142	0.19326339	Visual	1	1	36.82608696	37.80952381	35099
1022	BOOTY	BOOTY	0.428571429	0.357142857	2.357142857	0.035714286	0.321428571	4.035714286	1.045454545	1.863636364	2.136363636	0.318181818	1.227272727	4.035714286	4.290545973	0.530805687	Visual	2.136363636	2.679892936	0.275862069	Head	4.035714286	4.614044387	0.283153298	Visual	1	1	40.78571429	37.13636364	3629
1024	CHARACTER	CHARACTER	2	0.111111111	0.722222222	1.111111111	0.555555556	2.833333333	0.761904762	1.238095238	2.333333333	1.571428571	0.761904762	2.833333333	3.196697983	0.371212121	Visual	2.333333333	2.685454062	0.235714286	Head	2.833333333	3.733306724	0.194444444	Visual	1	1	34	38.38095238	5116
1025	WHISTLE	WHISTLE	4.875	0	1.3125	1.0625	0	2.3125	0.095238095	0.619047619	2.428571429	4.285714286	0.666666667	4.875	5.087581295	0.509803922	Auditory	4.285714286	4.539976451	0.517647059	Mouth	4.875	6.084539672	0.276082926	Auditory	1	1	37.6875	38.71428571	38922
1026	LOW TIDE	LOW TIDE	2	0.1875	0.875	0.875	1.125	3.6875	1.235294118	1.117647059	2.294117647	0.411764706	0.823529412	3.6875	3.934595153	0.4	Visual	2.294117647	2.518965603	0.32	Head	3.6875	4.252384925	0.23919598	Visual	1	1	43	36.23529412	20390
1027	BUG	BUG	2.19047619	0.571428571	2.571428571	0.333333333	0.238095238	4.19047619	1.421052632	2.210526316	2.421052632	1.105263158	0.631578947	4.19047619	4.662160224	0.391509434	Visual	2.421052632	3.088628242	0.22972973	Head	4.19047619	5.076165167	0.220992152	Visual	1	1	35	40.94736842	4151
1028	YAWN	YAWN	3.588235294	0.058823529	0.411764706	3	0.058823529	3.529411765	0.05	0.6	1.65	4.55	0.55	3.588235294	4.894249733	0.331491713	Auditory	4.55	4.627170639	0.608108108	Mouth	4.55	6.002834717	0.24934811	Mouth	1	1	36	37.15	39570
1029	JEWEL	JEWEL	0.526315789	0.052631579	2.894736842	0.421052632	0.052631579	4.368421053	0.1	2.25	2.7	0.25	0.3	4.368421053	4.759853377	0.518987342	Visual	2.7	3.145336174	0.464285714	Head	4.368421053	5.179572968	0.310136157	Visual	0.95	0.952380952	31.73684211	39.15	18927
1030	NECESSARY	NECESSARY	1.65	0.4	0.5	2	0.1	2.55	0.1875	0.625	1.875	0.6875	0.25	2.55	3.081594019	0.340277778	Visual	1.875	1.929467263	0.465517241	Head	2.55	3.315525419	0.226327945	Visual	1	0.888888889	36.85	37.5	22543
1032	CITIZEN	CITIZEN	2.5	0	0.357142857	0.785714286	0	3.5	1.5	1.85	3.15	2.5	1.55	3.5	3.893669595	0.49	Visual	3.15	3.921628137	0.156398104	Head	3.5	4.92339207	0.197819943	Visual	1	1	39.71428571	38.1	5550
