ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	GLOSS_IN_SOURCE	LINKED_CONCEPTS	TARGET_CONCEPTS	SHIFTS	DOMAIN	ALIAS	DEFINITION
Zalizniak-2024-4583-1100	1100	239	FLOWER	flower	flower	"[{""ID"": ""Zalizniak-2024-4583-1632"", ""NAME"": ""leaf"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4553"", ""NAME"": ""yolk"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2691"", ""NAME"": ""smallpox"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4257"", ""NAME"": ""toy"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-428"", ""NAME"": ""colour"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2693"", ""NAME"": ""smell (n.)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1063"", ""NAME"": ""fire"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2099"", ""NAME"": ""plant (biol.)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-719"", ""NAME"": ""cunning person"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1787"", ""NAME"": ""May"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 4, ""DerivationByFamily"": 2}, {""ID"": ""Zalizniak-2024-4583-1814"", ""NAME"": ""menstruation"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 2, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2691"", ""NAME"": ""smallpox"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-603"", ""NAME"": ""comb (of a bird)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-228"", ""NAME"": ""beautiful"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1063"", ""NAME"": ""fire"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1212"", ""NAME"": ""girl"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-211"", ""NAME"": ""bastard"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-107"", ""NAME"": ""April"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 3, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2099"", ""NAME"": ""plant (biol.)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Plants		
Zalizniak-2024-4583-1103	1103	777	FLUTE	flute	flute	"[{""ID"": ""Zalizniak-2024-4583-3024"", ""NAME"": ""throat"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-1113"", ""NAME"": ""fool"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		N/a		
Zalizniak-2024-4583-1104	1104	1504	FLY (INSECT)	fly (n.)	fly (n.)	"[{""ID"": ""Zalizniak-2024-4583-1458"", ""NAME"": ""insect"", ""Polysemy"": 3, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1895"", ""NAME"": ""mosquito, gnat"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-238"", ""NAME"": ""bee"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}]"		Animals		
Zalizniak-2024-4583-1107	1107	1647	FOAL	foal	foal	"[{""ID"": ""Zalizniak-2024-4583-519"", ""NAME"": ""child"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-1767"", ""NAME"": ""March"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}]"		N/a		young horse, especially just after birth or less than a year old
Zalizniak-2024-4583-1108	1108	1768	FOAM	foam	foam	"[{""ID"": ""Zalizniak-2024-4583-91"", ""NAME"": ""ant"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2774"", ""NAME"": ""spit, saliva"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-242"", ""NAME"": ""beer"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1694"", ""NAME"": ""liver"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1730"", ""NAME"": ""lung"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 3, ""DerivationByFamily"": 3}]"		Natural objects		
Zalizniak-2024-4583-1112	1112	256	FOOD	food	food	"[{""ID"": ""Zalizniak-2024-4583-360"", ""NAME"": ""bread"", ""Polysemy"": 10, ""PolysemyByFamily"": 5, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1799"", ""NAME"": ""meat"", ""Polysemy"": 7, ""PolysemyByFamily"": 7, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-56"", ""NAME"": ""alive"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-3024"", ""NAME"": ""throat"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2406"", ""NAME"": ""rice"", ""Polysemy"": 9, ""PolysemyByFamily"": 4, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-2406"", ""NAME"": ""rice"", ""Polysemy"": 4, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Natural objects		
Zalizniak-2024-4583-1113	1113	1438	FOOL	fool	fool	"[{""ID"": ""Zalizniak-2024-4583-2477"", ""NAME"": ""sad"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-823"", ""NAME"": ""donkey"", ""Polysemy"": 4, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	[]		Human being		
Zalizniak-2024-4583-1114	1114	1301	FOOT	foot	foot	"[{""ID"": ""Zalizniak-2024-4583-1907"", ""NAME"": ""mountain foot"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 1, ""DerivationByFamily"": 1}]"	"[{""ID"": ""Zalizniak-2024-4583-337"", ""NAME"": ""bottom"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-247"", ""NAME"": ""beginning"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1724"", ""NAME"": ""lower part"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1907"", ""NAME"": ""mountain foot"", ""Polysemy"": 6, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Body parts		
Zalizniak-2024-4583-1117	1117	2098	FOOT OR LEG	foot/leg	foot/leg	"[{""ID"": ""Zalizniak-2024-4583-1405"", ""NAME"": ""hoof"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-354"", ""NAME"": ""branch (of a river)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1307"", ""NAME"": ""handle, gripe"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-207"", ""NAME"": ""basis"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2819"", ""NAME"": ""stem (of a plant)"", ""Polysemy"": 3, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1591"", ""NAME"": ""knee"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-328"", ""NAME"": ""bone"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2600"", ""NAME"": ""shin"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-585"", ""NAME"": ""cock (of a gun)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2821"", ""NAME"": ""step (of a staircase, step-ladder)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1914"", ""NAME"": ""mouth (of a river)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1542"", ""NAME"": ""jack (playing card)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-3121"", ""NAME"": ""to be in vertical position, to stand"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-2222"", ""NAME"": ""plantain (Plantago)"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 2, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-354"", ""NAME"": ""branch (of a river)"", ""Polysemy"": 3, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1316"", ""NAME"": ""hare (Lepus)"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-207"", ""NAME"": ""basis"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4463"", ""NAME"": ""wheel"", ""Polysemy"": 3, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-985"", ""NAME"": ""foot-wear"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1914"", ""NAME"": ""mouth (of a river)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Body parts		
Zalizniak-2024-4583-1119	1119	318	FOOTPRINT	footprint, track	footprint, track	"[{""ID"": ""Zalizniak-2024-4583-249"", ""NAME"": ""behind"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1351"", ""NAME"": ""heel (of a foot)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2417"", ""NAME"": ""road"", ""Polysemy"": 5, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1785"", ""NAME"": ""matter, affair"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2641"", ""NAME"": ""sign, designation"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-1887"", ""NAME"": ""moose"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2521"", ""NAME"": ""scar"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2417"", ""NAME"": ""road"", ""Polysemy"": 3, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Natural objects		
Zalizniak-2024-4583-1122	1122	2818	FORD (CROSSING)	ford	ford	[]	[]		Natural objects		
Zalizniak-2024-4583-1123	1123	446	LOWER ARM	forearm	forearm	[]	[]		N/a		part of the arm between the wrist and the elbow
Zalizniak-2024-4583-1124	1124	123	FOREHEAD	forehead	forehead	"[{""ID"": ""Zalizniak-2024-4583-2636"", ""NAME"": ""side (n.)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2846"", ""NAME"": ""stone (piece of rock)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1381"", ""NAME"": ""hill"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1910"", ""NAME"": ""mountain slope"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2668"", ""NAME"": ""skull"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1333"", ""NAME"": ""head"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-1309"", ""NAME"": ""happiness, luck"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2873"", ""NAME"": ""stubborn"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1166"", ""NAME"": ""front part"", ""Polysemy"": 13, ""PolysemyByFamily"": 4, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1381"", ""NAME"": ""hill"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-1910"", ""NAME"": ""mountain slope"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-222"", ""NAME"": ""bear (Ursus)"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 3, ""DerivationByFamily"": 1}]"		Body parts		
Zalizniak-2024-4583-1125	1125	109	FOREIGN	foreign	foreign	[]	[]		Non-physical		
Zalizniak-2024-4583-1128	1128	420	FOREST	forest	forest	"[{""ID"": ""Zalizniak-2024-4583-3614"", ""NAME"": ""to hunt"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1906"", ""NAME"": ""mountain"", ""Polysemy"": 16, ""PolysemyByFamily"": 6, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1611"", ""NAME"": ""land (vs. sea)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2941"", ""NAME"": ""tree"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4523"", ""NAME"": ""wood, timber"", ""Polysemy"": 6, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-3614"", ""NAME"": ""to hunt"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 6, ""DerivationByFamily"": 2}, {""ID"": ""Zalizniak-2024-4583-4491"", ""NAME"": ""wild, untamed"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-222"", ""NAME"": ""bear (Ursus)"", ""Polysemy"": 2, ""PolysemyByFamily"": 1, ""Derivation"": 3, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-4233"", ""NAME"": ""toilet"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4516"", ""NAME"": ""wolf"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-72"", ""NAME"": ""ambush"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 2, ""DerivationByFamily"": 1}]"		Natural objects		
Zalizniak-2024-4583-1130	1130	1938	FORTRESS	fortress	fortress	"[{""ID"": ""Zalizniak-2024-4583-1698"", ""NAME"": ""lock (n.)"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2289"", ""NAME"": ""prison"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-2289"", ""NAME"": ""prison"", ""Polysemy"": 4, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Artifacts		
Zalizniak-2024-4583-1131	1131	1716	FORTY	forty	forty	[]	"[{""ID"": ""Zalizniak-2024-4583-1762"", ""NAME"": ""many, much"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}]"		N/a		40
Zalizniak-2024-4583-1137	1137	1312	FOX	fox (Vulpes vulpes)	fox (Vulpes vulpes)	"[{""ID"": ""Zalizniak-2024-4583-719"", ""NAME"": ""cunning person"", ""Polysemy"": 15, ""PolysemyByFamily"": 6, ""Derivation"": 3, ""DerivationByFamily"": 2}]"	"[{""ID"": ""Zalizniak-2024-4583-582"", ""NAME"": ""coati"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2070"", ""NAME"": ""opossum"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4369"", ""NAME"": ""vagina"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-587"", ""NAME"": ""cockroach"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-719"", ""NAME"": ""cunning person"", ""Polysemy"": 7, ""PolysemyByFamily"": 3, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2252"", ""NAME"": ""police officer"", ""Polysemy"": 0, ""PolysemyByFamily"": 0, ""Derivation"": 1, ""DerivationByFamily"": 1}, {""ID"": ""Zalizniak-2024-4583-2670"", ""NAME"": ""skunk"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Animals		
Zalizniak-2024-4583-1143	1143	3055	SWINDLE	fraud, cheat	fraud, cheat	[]	[]		N/a		
Zalizniak-2024-4583-1147	1147	530	FRECKLE	freckle	freckle	"[{""ID"": ""Zalizniak-2024-4583-1249"", ""NAME"": ""grain, seed"", ""Polysemy"": 3, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	[]		Body parts		
Zalizniak-2024-4583-1148	1148	2316	FREE	free	free	"[{""ID"": ""Zalizniak-2024-4583-444"", ""NAME"": ""can, to be able"", ""Polysemy"": 2, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-444"", ""NAME"": ""can, to be able"", ""Polysemy"": 6, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-509"", ""NAME"": ""cheap"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-1149"", ""NAME"": ""free of charge"", ""Polysemy"": 5, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-358"", ""NAME"": ""brave"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Non-physical		
Zalizniak-2024-4583-1149	1149	130	GRATIS (OF CHARGE)	free of charge	free of charge	"[{""ID"": ""Zalizniak-2024-4583-4370"", ""NAME"": ""vain, in vain"", ""Polysemy"": 14, ""PolysemyByFamily"": 7, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2647"", ""NAME"": ""simple"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-4370"", ""NAME"": ""vain, in vain"", ""Polysemy"": 3, ""PolysemyByFamily"": 2, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Non-physical		
Zalizniak-2024-4583-1150	1150	4086	FREEDOM	freedom	freedom	[]	[]		N/a		
Zalizniak-2024-4583-1153	1153	243	FRESH	fresh	fresh	"[{""ID"": ""Zalizniak-2024-4583-1977"", ""NAME"": ""new"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4458"", ""NAME"": ""wet"", ""Polysemy"": 3, ""PolysemyByFamily"": 3, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-594"", ""NAME"": ""cold"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	"[{""ID"": ""Zalizniak-2024-4583-25"", ""NAME"": ""active"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}]"		Other physical		
Zalizniak-2024-4583-1154	1154	2195	FRESH (OF WATER)	fresh (of water)	fresh (of water)	"[{""ID"": ""Zalizniak-2024-4583-594"", ""NAME"": ""cold"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-4406"", ""NAME"": ""vulgar"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 0, ""DerivationByFamily"": 0}, {""ID"": ""Zalizniak-2024-4583-2923"", ""NAME"": ""sweet (taste)"", ""Polysemy"": 6, ""PolysemyByFamily"": 4, ""Derivation"": 0, ""DerivationByFamily"": 0}]"	[]		Other physical		
Zalizniak-2024-4583-1155	1155	1692	FRIDAY	Friday	Friday	[]	"[{""ID"": ""Zalizniak-2024-4583-4450"", ""NAME"": ""week"", ""Polysemy"": 1, ""PolysemyByFamily"": 1, ""Derivation"": 1, ""DerivationByFamily"": 1}]"		Time		
