CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_CONCRETENESS_MEAN	LINE_IN_SOURCE
100	FAITHFUL	trouw	2.6666666666666665	25537
1002	STATUE	standbeeld	4.666666666666667	23514
1006	BRICK	baksteen	4.933333333333334	1855
1007	COW	koe	5	12924
1011	BRIDGE	brug	4.733333333333333	4031
1013	FRESHWATER EEL	paling	4.733333333333333	18470
1019	RIGHT	rechts	3.4	20417
1020	HANDKERCHIEF	zakdoek	4.866666666666666	29386
1025	WHISTLE	fluiten	4.4	7802
1030	NECESSARY	nodig	1.6666666666666667	16407
1035	GOOD	goed	1.4666666666666666	9236
1038	TEACHER	leraar	3.1333333333333333	14008
1040	HAIR	haar	4.733333333333333	9639
1044	PILLOW	kussen	4.466666666666667	13498
1069	GLUE	lijmen	3.7333333333333334	14217
1070	BUS	bus	4.733333333333333	4194
1088	SINK (DESCEND)	zinken	3.8	29722
1098	WEIGH	wegen	4	28704
110	MOTOR	motor	4.133333333333334	15828
1100	COOK (SOMETHING)	koken	4.133333333333334	12980
1102	CLIMB	klimmen	3.933333333333333	12687
1111	CAR	auto	5	1685
1117	LIKE	lijken	2.1333333333333333	14208
112	TURTLE	schildpad	4.666666666666667	21834
1120	HONEST	eerlijk	1.6666666666666667	6763
1123	PREGNANT	zwanger	4.133333333333334	29982
1125	BALD	kaal	4.533333333333333	11877
1129	PAINFUL	pijnlijk	2.8666666666666667	19062
1133	MATCH	lucifer	4.866666666666666	14526
1135	KICK	schoppen	3.8	21963
1136	RABBIT	konijn	4.933333333333334	13037
1146	AUBERGINE	aubergine	4.866666666666666	1662
1147	PURE	puur	2.3333333333333335	20122
1150	THUNDER	donder	4.066666666666666	6018
1154	OLIVE	olijf	4.8	16686
1156	OPEN	openen	3.8666666666666667	17702
1157	BECAUSE	omdat	1.1333333333333333	16700
1168	HAWTHORN	meidoorn	4.615384615384615	15112
1171	MIRROR	spiegel	4.933333333333334	23155
1181	PALM TREE	palmboom	4.8	18479
119	DIVE	duiken	4.533333333333333	6541
1190	HARE	haas	4.666666666666667	9665
1193	STEAM	damp	4.2	5243
1198	MANY	veel	1.7692307692307692	26366
1200	HUSBAND	echtgenoot	3.066666666666667	6671
1201	FEATHER	veer	4.733333333333333	26380
1202	BIG	groot	3.2	9546
1204	BARK	schors	4.6	21976
1206	BARKING	blaffen	4.142857142857143	3277
1207	YOUNG	jong	2.4	11782
1208	CAT	kat	4.866666666666666	12156
1209	I	ik	2.8	10968
121	SPIN	spinnen	4	23200
1210	HEAVY	zwaar	3.2666666666666666	29948
1215	THOU	jij	2.4	11748
1216	MOTHER	moeder	3	15619
1217	FATHER	vader	3.1333333333333333	26189
1220	TAIL	staart	4.666666666666667	23416
1221	NOSE	neus	4.933333333333334	16302
1223	HEART	hart	4.733333333333333	9888
1225	DAY (NOT NIGHT)	dag	3	5195
1226	YEAR	jaar	2.066666666666667	11647
1228	EARTH (SOIL)	aarde	3.6666666666666665	329
1229	OLD	oud	3.2	18162
123	FOREHEAD	voorhoofd	4.666666666666667	27939
1230	DIRTY	vies	3	27482
1231	NEW	nieuw	1.9333333333333333	16344
1232	WARM	warm	3.466666666666667	28476
1233	NIGHT	nacht	3.8	15996
1234	SMOOTH	smeuïg	3.1333333333333333	22719
1235	WHO	wie	1.0666666666666667	29015
1236	WHAT	wat	1.1333333333333333	28521
1237	WHERE	waar	1.2	28310
1238	WHEN	wanneer	1.4	28442
1239	HOW	hoe	1.1428571428571428	10342
1240	NOT	niet	1.2	16334
1241	SOME	sommige	1.6	22963
1242	FEW	enkele	1.8666666666666667	7039
1243	WIDE	wijd	3.4	29035
1244	THICK	dik	4.2	5779
1245	BUTTER	boter	4.666666666666667	3735
1246	SMALL	klein	2.7333333333333334	12604
1247	EAR	oor	4.8	17592
1248	EYE	oog	5	17564
1251	BELLY	buik	4.533333333333333	4089
1252	HOUSE	huis	4.933333333333334	10717
1255	SNOWING	sneeuwen	4.2	22777
1256	HEAD	hoofd	4.8	10495
1261	SING	zingen	4.266666666666667	29719
1262	BROTHER	broer	3.3333333333333335	3985
1263	SISTER	zus	3.066666666666667	29929
1265	HIGH	hoog	3.1333333333333333	10540
1267	NARROW	smal	4	22682
1268	YES	ja	1.5333333333333334	11644
1269	NO	nee	2.466666666666667	16186
127	EXTINGUISH	blussen	3.8666666666666667	3473
1270	WHY	waarom	1	28344
1272	AUNT	tante	3.1333333333333333	24467
1273	CANDLE	kaars	5	11883
1274	SALT	zout	4.8	29883
1275	ANSWER	antwoorden	3.1333333333333333	1398
1277	HAND	hand	4.866666666666666	9757
1280	FALL	vallen	3.8	26238
1285	IMPORTANT	belangrijk	1.5333333333333334	2367
1286	HOT	heet	3.8	9990
1287	COLD	koud	3.7333333333333334	13202
1288	CAP	muts	5	15916
1289	BABY	baby	4.666666666666667	1781
