CONCEPTICON_ID	CONCEPTICON_GLOSS	TURKISH	TURKISH_VALENCE_MEAN	TURKISH_AROUSAL_MEAN	TURKISH_HAPPINESS_MEAN	TURKISH_ANGER_MEAN	TURKISH_SADNESS_MEAN	TURKISH_FEAR_MEAN	TURKISH_DISGUST_MEAN	TURKISH_CONCRETENESS_MEAN	LINE_IN_SOURCE
1070	BUS	OTOBÜS	3.675	4.775	21.20588235	46.63333333	39.06451613	37.77419355	48.07142857	89.97058824	1856
1111	CAR	ARABA	5.421052632	4.578947368	55.63636364	19.375	10.83333333	32.625	8.375	94.81081081	384
1136	RABBIT	TAVŞAN	6.684210526	5.540540541	57.26666667	7.363636364	11.21875	16.53125	7	89.39393939	249
1201	FEATHER	TÜY	5.2	4.314285714	31.0625	20.23333333	24.80645161	14.93333333	31.96774194	85.24242424	1598
1223	HEART	KALP	6.763157895	5.473684211	77.36666667	23.56666667	36.2	27.66666667	13.37931034	54.5483871	819
1247	EAR	KULAK	5.083333333	4.166666667	24.64705882	19.67647059	19.53125	19.57575758	23.27272727	83.47222222	1367
1252	HOUSE	EV	7.5	6.475	85.40540541	14.14285714	29.54285714	21.05555556	8.342857143	75.5625	378
1280	FALL	DÜŞMEK	2.973684211	5.631578947	10.67741935	40.6969697	60.61290323	64.87878788	29	56.65714286	1533
1298	NEWSPAPER	GAZETE	5.342857143	4	33.2962963	33.21428571	36.25925926	24.53846154	29.14814815	88.84848485	1538
1301	FOOT	AYAK	4.441176471	3.735294118	18.22222222	5.923076923	12	10.92	40.07407407	93.40625	1761
1302	FORK	ÇATAL	5.35	4.2	30.6	12.56666667	10.16666667	20.25806452	12.74193548	92.84210526	775
1313	MOON	AY	6.722222222	5.027777778	65.96551724	13.03333333	28.03448276	17.03333333	9.333333333	82.87878788	477
1320	APPLE	ELMA	6.236842105	4.894736842	56.96969697	9.257142857	4.823529412	7.257142857	9.457142857	90	490
1323	CLOCK	SAAT	4.638888889	4.388888889	25.65625	17.42857143	24.48387097	32.6875	8.518518519	70.5483871	399
1335	WHITE	BEYAZ	6.236842105	5.078947368	59.31428571	13.23529412	24.20588235	24.88235294	15.57575758	56.76470588	975
1336	EAT	YEMEK	7.756756757	6.243243243	81.35483871	15.19354839	16.06451613	13.68965517	15.75862069	85	991
1343	SUN	GÜNEŞ	7.571428571	6.4	84.1875	9.5	12.02941176	7.515151515	5.393939394	86.65625	136
1352	KNIFE	BIÇAK	2.96875	5.6875	10.46666667	42.8	40.71428571	61.8	25.75862069	90.75	1440
1378	SPOON	KAŞIK	5.425	3.8	32.46666667	9.419354839	10.12903226	10.64516129	14.87096774	94.38888889	930
1381	SHOE	AYAKKABI	5.027777778	3.945945946	49.65517241	12.65517241	14.35714286	9.851851852	12.32142857	89.54545455	736
1386	LION	ASLAN	5.90625	5.096774194	36.14285714	17.37931034	9.896551724	46.37931034	11.51724138	95.12903226	674
1403	BITE	ISIRMAK	3.444444444	5.916666667	29.73529412	61.38709677	35.76666667	58.67741935	44.06666667	81.11764706	1807
141	BURN (SOMETHING)	YANMAK	2.333333333	6.222222222	7.060606061	44.27272727	69.61764706	74.25	39.0625	71.0625	1744
1430	STAR	YILDIZ	6.72972973	5.083333333	66.08823529	10.80555556	15.11111111	13.63888889	6.416666667	73.51428571	209
1456	THROW	ATMAK	4.823529412	4.176470588	10.72	24.875	34.53846154	24.64	12.29166667	63.40740741	735
1472	KEY	ANAHTAR	5.525	4.25	37.61764706	8.419354839	9.5	9.870967742	7.375	86.5	275
