CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_ACCURACY_PERCENTAGE	DUTCH_PREVALENCE	LINE_IN_SOURCE
809	TROUSERS	broek	0.991561181434599	1.83819446394075	7361
816	HALF	half	1	1.95996398454005	17782
819	STOMACH	maag	0.99645390070922	1.90532691700172	26648
820	LAMB	lam	0.992277992277992	1.84751998311607	24884
825	AWAKE	wakker	0.996268656716418	1.90262455879301	50772
837	BLUE	blauw	0.987341772151899	1.78630039552946	6027
846	TIGER	tijger	0.995967741935484	1.89826417798707	44919
847	THIRSTY	dorst	0.988142292490119	1.79577917337171	11402
850	SQUARE	vierkant	1	1.95996398454005	49153
857	STONE	steen	0.98780487804878	1.79176428737852	42523
864	PUMPKIN	pompoen	1	1.95996398454005	35207
868	BANANA	banaan	0.991525423728814	1.83773343226694	3586
871	RATTLESNAKE	ratelslang	0.992307692307692	1.84790985511622	36703
887	BITTER	bitter	0.986206896551724	1.77313163800561	5943
900	TRAIN	trein	0.996153846153846	1.90095663955188	45770
905	BORING	saai	0.991735537190083	1.84044808575045	38642
906	TREE	boom	0.984790874524715	1.7571201115324	6712
908	DRUM	trommel	1	1.95996398454005	46012
919	CHILI PEPPER	chili	0.926640926640927	1.31240879969873	8387
920	GRAPE	druif	1	1.95996398454005	11803
922	PEAR	peer	0.996138996138996	1.90074129065413	33958
926	RICE	rijst	1	1.95996398454005	37772
928	EMBRACE	knuffelen	0.996138996138996	1.90074129065413	23442
93	DRAW MILK	melken	0.992307692307692	1.84790985511622	27639
937	BIRD	vogel	1	1.95996398454005	49785
942	HONEY	honig	0.546875	0.111856106569543	19166
943	WATERFALL	waterval	0.995918367346939	1.89755215600904	51123
944	SALMON	zalm	0.996031746031746	1.89918860415455	52797
946	BLOOD	bloed	1	1.95996398454005	6148
948	WATER	water	1	1.95996398454005	51032
96	CRAWL	kruipen	0.988	1.79408251138	24368
961	PEBBLES	kiezel	0.972	1.62953411031879	22621
962	WOMAN	vrouw	1	1.95996398454005	50502
963	BOOK	boek	1	1.95996398454005	6398
964	WOOL	wol	0.988188976377953	1.79633694888769	52348
969	CIGARETTE	sigaret	0.992673992673993	1.85274153330972	40138
970	COCONUT	kokosnoot	0.992217898832685	1.84673199488188	23624
971	MUST	moeten	0.996268656716418	1.90262455879301	28499
972	BE ABLE	kunnen	0.996062992125984	1.89964048901349	24493
975	SPINACH	spinazie	0.996062992125984	1.89964048901349	41829
977	ARROW	pijl	0.996323529411765	1.90342359907808	34410
978	WAVE	golf	1	1.95996398454005	16982
985	VINEGAR	azijn	0.986622073578595	1.77791351486957	3266
986	TOMATO	tomaat	1	1.95996398454005	45296
991	FRY	bakken	0.99618320610687	1.90138266532575	3461
996	DEAF	doof	0.996108949416342	1.90030583467227	11173
