CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PAVIO_NORMS	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_FAMILIARITY_MEAN	LINE_IN_SOURCE
1311	VERY	VERY	0	1.63	6.78	2197
1312	FOX	FOX	351	6.73	5.29	835
1313	MOON	MOON	0	6.22	6.57	1355
1314	QUIET	QUIET	0	3.75	6.45	1680
132	SAUCE	SAUCE	751	5.80	4.89	1814
1320	APPLE	APPLE	44	6.73	6.43	108
1321	BOTTLE	BOTTLE	105	6.57	6.31	242
1323	CLOCK	CLOCK	169	6.50	6.48	393
1324	SLIP	SLIP	0	4.94	5.84	1911
1325	FRIEND	FRIEND	355	6.37	6.70	844
1331	SHEEP	SHEEP	0	6.03	5.02	1868
1335	WHITE	WHITE	0	5.84	6.57	2264
1339	MORNING	MORNING	0	5.97	6.66	1360
134	FAULT	FAULT	323	2.83	5.96	764
1340	WITH	WITH	0	2.22	6.80	2286
1349	CHURCH	CHURCH	160	6.63	5.96	367
1352	KNIFE	KNIFE	0	0.00	6.38	1169
1353	HOUR	HOUR	437	3.60	6.73	1021
1356	NUMBER	NUMBERS	0	5.25	6.55	1427
136	HERE	HERE	0	1.88	6.69	983
1361	TOOL	TOOL	855	5.77	5.94	2109
1362	STREET	STREET	814	6.57	6.58	1989
1364	HEALTHY	HEALTH	412	4.10	6.33	973
1366	BOY	BOY	109	6.57	6.90	247
1368	BREAD	BREAD	0	6.25	6.83	253
1369	GOLD	GOLD	385	6.47	6.10	908
1370	MONTH	MONTH	587	4.37	6.38	1353
1374	RING	RING	0	0.00	6.18	1768
1375	WINDOW	WINDOW	917	6.37	6.59	2276
1376	NOW	NOW	0	1.56	6.75	1422
1379	TELEPHONE	TELEPHONE	0	0.00	6.63	2052
138	BATHE	BATH	0	5.75	6.53	182
1381	SHOE	SHOES	772	6.63	6.57	1875
1382	NEEDLE (FOR SEWING)	NEEDLE	0	5.81	5.96	1398
1385	PEPPER	PEPPER	652	6.27	6.08	1534
1386	LION	LION	0	6.50	5.36	1231
1388	SHADE	SHADOW	767	5.63	5.63	1861
1390	WRONG	WRONG	0	2.94	6.50	2299
1392	LOUSE	LICE	526	5.57	3.69	1217
1393	HORN (ANATOMY)	HORN	0	0.00	5.27	1009
1395	ROUND	ROUND	0	5.41	6.16	1786
1396	SHARP	SHARP	0	4.97	6.12	1866
1398	DRY	DRY	0	4.13	6.55	627
1401	DRINK	DRINK	0	5.22	6.87	624
1402	BREAST	BREAST	113	6.77	5.91	255
1404	STRAIGHT	STRAIGHT	0	4.50	6.44	1986
1406	FAR	FAR	0	3.59	6.41	755
1408	HEAR	HEAR	0	3.53	6.54	974
1409	SEE	SEE	0	3.16	6.80	1836
1412	RUDE	RUDE	0	3.63	5.90	1792
1416	SIT	SIT	0	4.56	6.49	1895
1422	BE ALIVE	LIVE	0	4.13	6.71	1236
1424	YELLOW	YELLOW	0	5.97	5.94	2303
1425	GREEN	GREEN	394	6.60	6.55	928
1426	EXPENSIVE	EXPENSIVE	0	3.78	6.73	726
1427	BEAUTIFUL	BEAUTIFUL	0	5.38	6.53	186
1429	FULL	FULL	0	4.41	6.39	857
1430	STAR	STAR	806	6.70	6.09	1964
144	MACHINE	MACHINE	542	6.00	5.89	1262
1442	STAND	STAND	0	4.16	6.50	1961
1446	COME	COME	0	2.56	6.71	413
1447	GIVE	GIVE	0	3.38	6.64	894
1448	HOLD	HOLD	0	3.22	6.46	1000
1450	ROOM	ROOM	0	5.56	6.76	1781
1452	PUSH	PUSH	0	3.69	6.04	1665
1457	SEW	SEW	0	4.75	5.57	1859
1459	IF	IF	0	1.38	6.85	1047
146	SUGAR CANE	CANE	132	6.43	4.82	306
1460	IN	IN	0	2.50	6.94	1066
1461	AT	AT	0	1.38	6.79	136
1464	LADDER	LADDER	0	0.00	5.47	1179
1466	EXACT	EXACT	0	2.31	6.46	708
1467	CIRCLE	CIRCLE	162	6.23	6.08	370
1468	LOOK FOR	SEARCH	0	3.47	5.73	1830
1471	WINTER	WINTER	919	6.53	6.74	2279
1472	KEY	KEY	0	0.00	6.52	1159
1474	SEA	SEA	756	6.73	5.63	1829
1476	CHAIR	CHAIR	148	6.63	6.83	344
1477	KEEP	KEEP	0	2.03	6.52	1154
1480	BODY	BODY	100	6.40	6.72	232
1481	HAMMER	HAMMER	402	6.73	5.47	946
1482	SHOULDER	SHOULDER	0	5.94	6.09	1880
1485	BELOW OR UNDER	BELOW	0	2.69	6.06	200
1489	CLOUD	CLOUD	0	0.00	5.92	397
1493	ONE	ONE	0	3.91	6.77	1461
1495	HAPPY	HAPPY	0	4.72	6.71	955
1496	GRANDMOTHER	GRANDMOTHER	389	6.43	5.85	916
1502	GOAT	GOAT	0	0.00	4.90	905
1506	MEASURE	MEASURE	0	3.38	5.54	1304
1507	FRUIT	FRUIT	0	5.53	6.19	853
1508	KING	KING	503	6.27	5.58	1164
1509	MOSQUITO	MOSQUITO	591	6.53	5.15	1361
