CONCEPTICON_GLOSS	CONCEPTICON_ID	NUMBER
ZERO	1294	0
ONE	1493	1
TWO	1498	2
THREE	492	3
FOUR	1500	4
FIVE	493	5
SIX	1703	6
SEVEN	1704	7
EIGHT	1705	8
NINE	1483	9
TEN	1515	10
ELEVEN	1706	11
TWELVE	1707	12
THIRTEEN	1708	13
FOURTEEN	2451	14
FIFTEEN	1709	15
SIXTEEN	2454	16
SEVENTEEN	2453	17
EIGHTEEN	1713	18
NINETEEN	1714	19
TWENTY	1710	20
TWENTY ONE	1734	21
TWENTY FOUR	1736	24
TWENTY FIVE	1738	25
TWENTY SIX	3476	26
TWENTY SEVEN	3477	27
TWENTY EIGHT	3478	28
TWENTY NINE	3479	29
THIRTY	1715	30
THIRTY ONE	3480	31
THIRTY TWO	3481	32
THIRTY THREE	3482	33
THIRTY FOUR	3483	34
THIRTY FIVE	3484	35
THIRTY SIX	3485	36
THIRTY SEVEN	3486	37
THIRTY EIGHT	3487	38
THIRTY NINE	3488	39
FORTY	1716	40
FORTY ONE	3556	41
FORTY TWO	3557	42
FORTY THREE	3489	43
FORTY FOUR	3490	44
FORTY FIVE	3491	45
FORTY SIX	3558	46
FORTY SEVEN	3559	47
FORTY EIGHT	3492	48
FORTY NINE	3560	49
FIFTY	1717	50
FIFTY ONE	3561	51
FIFTY TWO	3562	52
FIFTY THREE	3493	53
FIFTY FOUR	3563	54
FIFTY FIVE	3494	55
FIFTY SIX	3564	56
FIFTY SEVEN	3565	57
FIFTY EIGHT	3566	58
FIFTY NINE	3567	59
SIXTY	1718	60
SIXTY ONE	3568	61
SIXTY TWO	3569	62
SIXTY THREE	3495	63
SIXTY FOUR	3570	64
SIXTY FIVE	3571	65
SIXTY SIX	3572	66
SIXTY SEVEN	3573	67
SIXTY EIGHT	3574	68
SIXTY NINE	3575	69
SEVENTY	1721	70
SEVENTY ONE	3576	71
SEVENTY TWO	3496	72
SEVENTY THREE	3497	73
SEVENTY FOUR	3577	74
SEVENTY FIVE	3578	75
SEVENTY SIX	3579	76
SEVENTY SEVEN	3580	77
SEVENTY EIGHT	3581	78
SEVENTY NINE	3582	79
EIGHTY	1722	80
EIGHTY ONE	3583	81
EIGHTY TWO	3584	82
EIGHTY THREE	3498	83
EIGHTY FOUR	3585	84
EIGHTY FIVE	3586	85
EIGHTY SIX	3587	86
EIGHTY SEVEN	3588	87
EIGHTY EIGHT	3589	88
EIGHTY NINE	3590	89
NINETY	1724	90
NINETY ONE	3499	91
NINETY TWO	3591	92
NINETY THREE	3592	93
NINETY FOUR	3593	94
NINETY FIVE	3594	95
NINETY SIX	3500	96
NINETY SEVEN	3595	97
NINETY EIGHT	3596	98
NINETY NINE	3501	99
HUNDRED	1634	100
ONE HUNDRED AND ONE	3502	101
ONE HUNDRED AND THREE	3783	103
ONE HUNDRED AND TWO	3770	102
ONE HUNDRED AND EIGHT	3784	108
ONE HUNDRED AND TEN	3503	110
ONE HUNDRED AND ELEVEN	3771	111
ONE HUNDRED AND TWENTY	3504	120
ONE HUNDRED AND TWENTY THREE	3164	123
ONE HUNDRED AND THIRTY THREE	3505	133
ONE HUNDRED AND FORTY	3506	140
ONE HUNDRED AND FORTY FOUR	3507	144
ONE HUNDRED AND FIFTY	3508	150
ONE HUNDRED AND SIXTY	3509	160
ONE HUNDRED AND EIGHTY	3510	180
TWO HUNDRED	2676	200
TWO HUNDRED AND ONE	3511	201
TWO HUNDRED AND TWO	3785	202
TWO HUNDRED AND TEN	3772	210
TWO HUNDRED AND SIXTEEN	3512	216
TWO HUNDRED AND THIRTY ONE	3786	231
TWO HUNDRED AND FORTY	3787	240
TWO HUNDRED AND FIFTY	3788	250
THREE HUNDRED	3513	300
THREE HUNDRED AND FOUR	3789	304
THREE HUNDRED AND NINETY NINE	3514	399
FOUR HUNDRED	3515	400
FIVE HUNDRED	3516	500
SIX HUNDRED	3517	600
SEVEN HUNDRED	3518	700
EIGHT HUNDRED	3519	800
NINE HUNDRED	3520	900
NINE HUNDRED AND NINETY NINE	3521	999
THOUSAND	1843	1000
ONE THOUSAND AND ONE	3773	1001
ONE THOUSAND AND TWO	3774	1002
ONE THOUSAND AND TWENTY SEVEN	3790	1027
ONE THOUSAND AND SIXTY	3775	1060
ONE THOUSAND TWO HUNDRED	3791	1200
ONE THOUSAND TWO HUNDRED AND TWENTY ONE	3522	1221
ONE THOUSAND TWO HUNDRED AND NINETY SIX	3523	1296
TWO THOUSAND	3524	2000
TWO THOUSAND AND TWO	3776	2002
THREE THOUSAND	3525	3000
FOUR THOUSAND	3526	4000
FIVE THOUSAND	3527	5000
SIX THOUSAND	3792	6000
SEVEN THOUSAND	3528	7000
SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX	3529	7776
EIGHT THOUSAND	3793	8000
NINE THOUSAND	3530	9000
TEN THOUSAND	2078	10000
FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX	3531	46656
ONE HUNDRED THOUSAND	3532	100000
ONE MILLION	3533	1000000
TWO MILLION	3794	2000000
TEN MILLION	3597	10000000
ONE HUNDRED MILLION	3598	100000000
BILLION	3599	1000000000
TEN BILLION	3600	10000000000
ONE HUNDRED BILLION	3601	1E+11
TRILLION	3602	1E+12
		
