CONCEPTICON_ID	CONCEPTICON_GLOSS	RUSSIAN	RUSSIAN_POS	SEMANTIC_CATEGORY	LINE_IN_SOURCE
1000	ANXIETY	тревога	существительное	Страх	884
1047	PURSUE	преследовать	глагол	Грусть	642
1092	HOPE	надеяться	глагол	Радость	363
1103	SACRIFICE	жертва	существительное	Грусть	191
1109	WOUND	рана	существительное	Грусть	730
1116	DAMAGE	повредить	глагол	Злость	577
1117	LIKE	любить	глагол	Радость	329
1141	PITY	жалость	существительное	Грусть	185
1192	THREATEN	угрожать	глагол	Страх	917
1223	HEART	сердце	существительное	Злость	778
1261	SING	петь	глагол	Радость	561
1286	HOT	горячий	прилагательное	Злость	147
134	FAULT	вина	существительное	Грусть	75
1355	LAUGH	смеяться	глагол	Радость	809
1417	KILL	убивать	глагол	Грусть	904
1419	FEAR (BE AFRAID)	бояться	глагол	Страх	48
1421	SUCK	сосать	глагол	Грусть	825
1422	BE ALIVE	живой	прилагательное	Радость	196
1430	STAR	звезда	существительное	Радость	231
1445	TURN (SOMETHING)	перевернуть	глагол	Грусть	541
1451	SMILE	улыбаться	глагол	Радость	951
1463	DRUNK	пьяный	прилагательное	Радость	685
1495	HAPPY	счастливый	прилагательное	Радость	858
150	WORRY	беспокоиться	глагол	Страх	21
1574	FLOAT	плавать	глагол	Радость	567
1594	FLOUR	мука	существительное	Грусть	352
1607	HATE	ненавидеть	глагол	Злость	409
1651	TEAR (OF EYE)	слеза	существительное	Грусть	798
1668	GRIEF	горе	существительное	Грусть	139
1674	POOR	бедный	прилагательное	Грусть	9
1679	LOAD	тяжесть	существительное	Грусть	902
174	PROUD	гордый	прилагательное	Радость	138
1776	SHAME	стыд	существительное	Грусть	854
1783	PAIN	боль	существительное	Грусть	42
1786	DRY UP	сохнуть	глагол	Грусть	828
1813	TASTY	вкусный	прилагательное	Радость	76
1826	ANGRY	злой	прилагательное	Злость	246
1839	CRY	плакать	глагол	Грусть	568
1847	SICK	больной	прилагательное	Грусть	44
1856	SOFT	мягкость	существительное	Радость	361
1863	AMAZING	удивительный	прилагательное	Удивление	927
1875	REGRET	сожалеть	глагол	Грусть	820
1899	MAD	безумный	прилагательное	Злость	15
1906	SOUR	кислый	прилагательное	Грусть	305
2016	JEALOUSY	ревность	существительное	Грусть	753
2102	BURN	жечь	глагол	Грусть	195
2223	BE ANGRY	сердиться	глагол	Злость	777
2434	TRAGEDY	трагедия	существительное	Грусть	880
2465	DISGUST	отвращение	существительное	Злость	521
249	FOG	туман	существительное	Грусть	898
2504	DIFFERENT	необычный	прилагательное	Удивление	416
251	SHARPEN (SOMETHING)	точить	глагол	Грусть	876
252	FRIGHTEN	пугать	глагол	Страх	677
2524	JOY	радость	существительное	Радость	692
2561	HURT (SENSE PAIN)	болеть	глагол	Грусть	41
2573	FEELING (EMOTION)	чувство	существительное	Радость	999
258	CALM	спокойный	прилагательное	Радость	830
2715	DESPISE	презирать	глагол	Злость	637
2869	BOTHER (HARASS)	беспокоить	глагол	Страх	20
2892	MAKE ANGRY (ANNOY)	сердить	глагол	Злость	776
2932	COLD (CHILL)	холод	существительное	Злость	995
2941	HAPPINESS	счастье	существительное	Радость	859
2958	LAUGHTER	смех	существительное	Радость	804
3033	SCARED	испуганный	прилагательное	Страх	292
3080	SPLIT OPEN	колоть	глагол	Злость	309
3425	JOKE	шутка	существительное	Радость	1012
3703	STICKY	липкий	прилагательное	Грусть	326
3844	CONTEMPT	презрение	существительное	Злость	638
3845	DISAPPOINTMENT	разочарование	существительное	Грусть	722
3846	EXCITEMENT	волнение	существительное	Страх	90
3847	INTEREST (FEELING)	интерес	существительное	Удивление	286
3848	SURPRISE (FEELING)	удивление	существительное	Удивление	930
3915	PRIDE	гордость	существительное	Радость	137
3916	PLEASURE	удовольствие	существительное	Радость	938
3954	FRIENDSHIP	дружба	существительное	Радость	177
3955	HOSTILITY	враждебность	существительное	Злость	115
3974	UNHAPPY	несчастный	прилагательное	Грусть	425
40	ENVY	зависть	существительное	Злость	205
500	CRUEL	жестокий	прилагательное	Злость	192
501	LIFT	поднимать	глагол	Радость	590
52	SHIVER	дрожать	глагол	Страх	175
56	BAD LUCK	беда	существительное	Грусть	8
584	DIFFICULT	трудный	прилагательное	Грусть	892
600	STRANGE	странный	прилагательное	Удивление	845
630	LIGHT (RADIATION)	свет	существительное	Радость	767
655	POISON	яд	существительное	Злость	1018
694	GET	достать	глагол	Грусть	172
699	SAD	грустить	глагол	Грусть	150
717	SWEET	сладкий	прилагательное	Радость	796
720	GOOD LUCK	удача	существительное	Радость	924
730	SNAKE	змея	существительное	Злость	254
781	FEAR (FRIGHT)	страх	существительное	Страх	846
8	CURSE	проклинать	глагол	Злость	667
82	ANGER	гнев	существительное	Злость	132
833	ENDURE	вытерпеть	глагол	Грусть	129
845	MURDER	убийство	существительное	Грусть	907
857	STONE	камень	существительное	Грусть	302
862	SUGAR	сахар	существительное	Радость	766
878	HELL	ад	существительное	Грусть	3
887	BITTER	горький	прилагательное	Грусть	144
905	BORING	скучный	прилагательное	Грусть	795
