NUMBER	ENGLISH	Imagery mean	Imagery SD	AOA mean	AOA_SD	Familiarity mean	Familiarity SD	Concreteness mean	Concreteness SD	Meaning uncertainty	Thorndike-Lorge frequency
1	abandonment	3.54	1.85	5.44	1.07	3.59	1.03	2.63	1.42	0	3
2	abatement	1.95	1.21	6.44	0.64	2.94	1.27	2.37	1.42	0	1
3	abdomen	5.27	1.57	5.56	0.86	4.17	1.58	6.2	1.04	0	7
4	ability	3.43	1.7	4.53	0.96	5.39	1.29	2.69	1.49	0	49
5	abode	4.36	1.81	5.53	1.01	2.96	1.09	4.89	1.69	0	16
6	abridgement	2.46	1.48	6.44	0.76	3.03	1.19	2.77	1.44	0	1
7	abscess	4.97	1.52	5.33	1.05	3.92	1.33	5.63	1.33	0	1
8	absolution	2.62	1.57	6.08	0.98	3.72	1.17	2.27	1.29	0	1
9	abundance	3.92	1.89	5.19	1.13	4.48	1.23	2.57	1.46	0	23
10	abyss	4.19	2.19	5.97	0.76	2.9	1.14	4.91	1.76	0	5
11	acceleration	4.92	1.58	5.36	0.92	4.99	1.22	3.6	1.76	0	1
12	accident	5.24	1.5	3.29	0.91	5.64	1.18	4.29	1.68	0	50
13	accommodation	4.72	1.73	5.36	1.11	5.33	1.22	4.8	1.72	0.17	9
14	accordance	2.43	1.35	5.44	1.01	4.31	1.23	2.6	1.64	0	11
15	accumulation	3.6	1.76	5.39	1.03	4.51	1.47	2.77	1.12	0	5
16	accuser	3.49	1.69	5.11	0.94	3.63	1.36	4.34	1.77	0	2
17	acidity	4.38	2.03	6.22	0.82	3.99	1.8	3.89	1.8	0	1
18	acre	4.7	1.98	4.11	0.84	4.27	1.33	4.77	1.88	0	50
19	act	4.35	1.71	3.19	0.74	5.7	1.21	3.86	1.62	1.6	100
20	actuality	2.19	1.27	5.86	0.92	3.61	1.19	2.34	1.24	0	1
21	adder	5.89	1.41	3.56	0.96	3.61	1.84	6.51	1.05	0	2
22	addition	3.41	1.57	3.14	0.67	5.51	1.2	3.29	1.74	1.18	50
23	adherence	3.32	1.71	6.03	0.76	3.75	1.24	2.54	1.2	0	2
24	adjournment	3.11	1.96	6.06	0.91	3.27	1.23	3.06	1.62	0	1
25	administration	4.19	1.6	5.61	0.68	5.02	1.19	3.29	1.68	0	49
26	admission	3.95	1.72	4.58	0.95	4.82	1.29	3	1.6	0.38	15
27	adolescence	4.73	1.84	5.97	0.83	4.44	1.41	2.57	1.34	0	1
28	adultery	5	1.87	5.83	1.01	4.56	1.33	3.06	1.47	0	2
29	adventurer	5.03	1.59	4.06	0.98	4.02	1.12	4.77	1.55	0	6
30	advice	3.57	1.65	4.25	0.79	5.83	0.92	3.06	1.59	0	50
31	aerial	5.73	1.57	4.28	1.22	4.81	1.14	5.4	1.68	1.36	9
32	affection	4.86	1.63	4.67	0.88	5.01	1.24	2.74	1.73	0	37
33	affirmation	3.19	1.52	5.83	1.05	3.32	1.08	2.29	1.45	0	1
34	affright	2.38	1.79	6.56	0.64	2.19	1	2.14	1.1	0	5
35	afternoon	5.19	1.71	2.81	1.15	6.55	0.74	4.14	1.78	0	100
36	age	4.97	2.05	2.58	0.55	6.2	1.04	3.57	1.75	0.66	100
37	agency	3.72	1.54	5.53	0.96	4.2	1.45	4.37	1.71	0	32
38	aggressor	3.89	2	5.89	0.99	3.59	1.13	4.51	1.81	0	1
39	agony	5	1.69	4.61	1.04	5.01	1.13	3.41	1.7	0	24
40	ague	2.3	1.77	6.61	0.86	1.96	1.03	3.68	1.79	0	2
41	aim	3.89	1.58	3.44	0.98	5.93	1.05	2.97	1.65	0.95	50
42	airship	5.51	1.64	4.06	1.1	3.32	1.33	6.17	1.06	0	5
43	alacrity	1.95	1.41	6.78	0.42	2.45	1.02	2.59	1.5	0	1
44	albatross	5.89	1.37	5.28	1.1	3.09	1.23	6.57	0.73	0	1
45	alchemist	4	2.03	6.64	0.63	2.62	1.04	4.77	1.84	0	1
46	algae	4.3	2.24	6.31	0.81	3.17	1.65	5.71	1.6	0	1
47	alias	3	1.77	5.61	0.92	3.84	1.27	2.17	1.36	0	1
48	alkali	4.38	2.12	6.33	0.58	3.91	1.82	4.49	1.95	0	3
49	allegation	2.97	1.64	6.31	0.78	3.83	1.02	2.63	1.42	0	1
50	allegory	2.19	1.77	6.5	0.69	3.24	1.47	2.53	1.58	0	1
51	allotment	4.76	1.68	4.86	1.08	4.2	1.23	5.23	1.66	0.45	2
52	ally	4.59	1.78	4.46	1.29	4.1	1.65	5.03	1.54	0	23
53	aloes	2.51	2.11	6.81	0.52	1.62	0.82	3.76	2.04	0	1
54	alphabet	5.05	2.01	2.44	0.68	4.93	1.35	4.63	1.97	0	7
55	altitude	4.78	1.68	5.34	1.01	4.2	1.29	3.77	1.61	0	14
56	aluminium	5.11	1.72	5.14	0.86	4.53	1.46	6.34	0.92	0	6
57	amateur	4.03	1.76	5.22	0.85	5.02	1.12	3.94	1.85	0	14
58	ambition	3.97	1.72	4.83	0.96	5.19	1.49	2.17	1.16	0	42
59	amendment	3.11	1.5	5.97	0.91	4.33	1.35	3.23	1.69	0	26
60	amethyst	5.16	1.91	5.67	1.18	2.85	1.21	6.03	1.3	0	2
61	amity	2.11	1.31	6.56	0.68	2	0.63	2.69	1.74	0	2
62	amount	3.17	1.69	3.92	0.89	5.75	1.08	2.91	1.46	0	100
63	amplitude	3.95	1.69	6.5	0.73	3.74	1.59	3.11	1.53	0	1
64	analogy	2.73	1.8	6.17	0.83	4.17	1.39	2.34	1.19	0	3
65	anecdote	3.19	2.09	6.19	0.81	3.55	1.26	3.4	1.48	0	7
66	angel	5.78	1.4	2.42	0.68	4.62	1.48	4.06	1.97	0	47
67	animal	5.73	1.48	2.22	0.58	6.12	1.05	6.29	1	0	100
68	ankle	5.97	1.44	2.64	0.79	5.61	1.28	6.57	0.77	0	21
69	annex	4.41	1.64	5.36	1.11	3.9	1.25	4.8	1.53	0	6
70	announcement	3.87	1.91	4.64	0.92	5.19	1.11	3.71	1.47	0	11
71	answer	3.72	2.05	2.94	0.66	6.16	0.78	3.77	1.67	0.81	100
72	antagonism	3.84	2.06	6.36	0.71	4.17	1.27	2.8	1.6	0	3
73	anteroom	3.81	2.08	6.29	1.06	2.41	0.78	5.34	1.79	0	2
74	anticipation	4.41	2.12	5.72	0.87	4.92	1.19	2.8	1.51	0	8
75	antique	5.62	1.32	4.39	0.89	4.7	1.28	5.23	1.53	0	9
76	anybody	3.35	2.11	3.06	0.75	5.91	1.09	3.43	1.99	0	50
77	apartment	5.24	1.5	5.22	1.06	4.13	1.32	5.97	1.13	0	49
78	aperture	4.3	1.49	6.39	0.76	3.56	1.36	4.83	1.68	0	5
79	apology	4.06	1.91	4.06	0.81	5.1	1.33	3.06	1.51	0	8
80	appeal	4.08	1.74	4.31	0.89	5.14	1.17	3.31	1.45	1.1	50
81	apple	6.35	1.05	2.11	0.61	6.15	0.86	6.8	0.4	0	50
82	appointment	3.92	1.68	4.25	1.12	5.41	1.31	3.4	1.5	0	26
83	approach	3.35	1.63	4.44	0.86	5.08	1.07	3.2	1.45	0.77	50
84	approval	3.81	1.77	4.69	0.99	5.26	1.3	2.57	1.38	0	14
85	apricot	5.97	1.38	3.86	0.92	4.28	1.73	6.76	0.49	0	6
86	arbiter	2.3	1.43	6.64	0.63	2.77	1.19	4.09	1.78	0	1
87	arch	5.76	1.24	3.67	0.71	4.6	1.36	5.6	1.53	0.62	34
88	archery	5.56	1.66	4.33	0.97	3.51	1.35	4.86	1.55	0	2
89	area	4	1.96	3.92	1.09	5.64	1.28	4.03	1.66	0	50
90	aristocracy	4.76	1.4	5.69	1.05	4.01	1.3	3.74	1.64	0	6
91	arm	6.03	1.46	1.92	0.72	6.41	0.86	6.46	0.81	0.47	100
92	armour	5.42	1.57	4	1	4.06	1.3	6.23	1.1	0	37
93	army	5.7	1.45	3.17	0.93	5.38	1.07	5.6	1.34	0	100
94	arrangement	3.22	1.46	4.89	1.01	5.25	1.2	3.03	1.59	0	45
95	arrival	4.25	1.82	3.94	0.91	5.48	1.41	3.26	1.44	0	36
96	article	4.27	1.95	4.06	0.79	5.33	1.31	4.97	1.46	0.97	100
97	artifice	2.46	1.52	6.37	0.96	2.52	0.93	3.94	1.93	0	3
98	asbestos	5.19	1.57	5.78	0.79	4.27	1.3	6.09	1.4	0	1
99	ash	5.43	1.53	3.43	0.9	4.8	1.45	6.57	0.77	0.85	37
100	aspect	2.39	1.36	5.47	1.04	4.82	1.5	2	1.04	0	27
101	assemble	4.19	1.71	4.17	0.76	4.82	1.23	4	1.69	0	35
102	assent	3.51	1.93	5.75	1.01	3.25	1.23	3.06	1.62	0	13
103	assistance	3.54	1.85	4.64	1.03	5.34	1.19	2.8	1.35	0	26
104	assortment	3.73	1.59	4.08	1.12	4.92	1.15	3.56	1.54	0	4
105	aster	2.3	1.72	6.31	0.91	2.05	1.12	4.6	2.19	0	3
106	astrolabe	1.56	1.42	6.97	0.16	1.26	0.61	3.97	2.42	0	1
107	astronomy	4.89	1.39	4.89	1.15	3.91	1.31	4.29	1.75	0	5
108	athlete	5.97	1.13	4.28	0.87	4.82	1.23	5.71	1.3	0	6
109	atmosphere	4.57	2.02	5.17	0.8	5.33	1.19	3.94	2	0.77	38
110	atrocity	4.19	2.04	5.89	0.81	3.72	1.39	2.94	1.43	0	2
111	attempt	3.08	1.76	3.92	0.68	5.58	1.27	3.09	1.48	0	100
112	attitude	3.24	1.87	4.81	0.81	5.57	1.14	2.66	1.74	0	50
113	audience	5.61	1.42	4.25	0.95	5.11	1.27	5.37	1.48	0	42
114	audit	2.59	1.53	6.42	0.76	3.26	1.42	3.74	1.64	0	1
115	aunt	5.76	1.46	2.33	0.82	5.36	1.27	5.71	1.61	0	50
116	aurora	3.51	2.11	6.36	1.11	2.54	1.14	3.46	1.73	0	3
117	author	4.59	1.58	4.14	0.95	5.54	1.29	5.17	1.5	0	50
118	automobile	6.19	1.2	4.83	1.36	3.48	1.37	6.54	0.8	0	50
119	autumn	6.28	1.02	2.78	0.82	5.33	1.33	4.31	1.8	0	49
120	avenue	5.54	1.44	3.72	0.9	4.86	1.36	5.4	1.62	0	50
121	aviator	4.51	1.99	5.75	1.06	2.72	1.03	5.11	1.79	0	9
122	avowal	2.14	1.51	6.42	0.98	2.15	0.88	2.26	1.36	0	1
123	awkwardness	3.95	1.84	5.22	0.79	4.12	1.29	2.51	1.38	0	2
124	axe	6.03	1.44	3.11	0.61	4.61	1.51	6.6	0.68	0	35
125	babe	5.68	1.56	3.03	1.17	3.7	1.47	5.91	1.3	0	16
126	back	5.3	2.01	2.25	0.64	6.06	1.17	6.11	1.21	0.54	100
127	background	4.38	1.71	4	0.94	5.46	1.16	3.63	1.69	0	25
