CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_HAPPINESS_MEAN	SPANISH_DISGUST_MEAN	SPANISH_ANGER_MEAN	SPANISH_FEAR_MEAN	SPANISH_SADNESS_MEAN	SPANISH_POS	LINE_IN_SOURCE
1238	WHEN	cuándo	1.4200	1.1500	1.3500	1.4000	1.3000	PRONOUN	2731
1239	HOW	cómo	1.7500	1.1500	1.0500	1.1000	1.2000	PRONOUN	2170
1242	FEW	poco	1.7000	1.5000	1.5000	1.5500	2.5500	ADVERB	7700
1248	EYE	ojo	2.4000	1.5500	1.2000	1.2500	1.2500	NOUN	7043
1250	JAGUAR	jaguar	2.4500	1.0500	1.3200	3.5300	1.2500	NOUN	5822
1251	BELLY	barriga	2.1500	1.8500	1.6500	1.4500	2.0000	NOUN	1181
1255	SNOWING	nevar	3.7000	1.0000	1.1500	1.4000	1.2000	VERB	6853
1256	HEAD	cabeza	1.9000	1.6000	1.0500	1.0500	1.1500	NOUN	1467
1257	WING	ala	2.5800	1.0500	1.1500	1.2500	1.1000	NOUN	330
1264	CHANGE	cambiar	2.8000	1.2500	1.5000	1.8500	1.8400	VERB	1550
127	EXTINGUISH	apagar	1.4500	1.2500	1.7000	1.1500	2.1000	VERB	658
1272	AUNT	tía	3.6500	1.0000	1.1500	1.2000	1.2500	NOUN	9773
1274	SALT	sal	1.7000	1.4000	1.0500	1.1000	1.1000	NOUN	8954
1275	ANSWER	contestar	2.0000	1.4000	1.5500	1.5000	1.2500	VERB	2480
1278	VOMIT	vomitar	1.1000	4.5000	3.1500	2.4000	2.7500	VERB	10422
1283	TODAY	hoy	2.6000	1.2000	1.2000	1.2000	1.7500	ADVERB	5120
1286	HOT	caliente	3.2000	1.2000	1.8500	1.7500	1.3500	ADJECTIVE	1521
1287	COLD	fría	1.6000	1.7500	1.8500	1.5500	2.1000	ADJECTIVE	4610
129	CHOKE	sofocar	1.5500	1.8000	1.9500	2.2500	2.3000	VERB	9311
1291	BACK	espalda	2.0500	1.1000	1.1000	1.2500	1.2000	NOUN	3935
1297	LEG	pierna	2.0500	1.1000	1.1000	1.0000	1.0000	NOUN	7582
1300	COUNTRY	país	2.0500	1.5000	1.3500	1.3000	1.5500	NOUN	7201
1309	ASK (INQUIRE)	preguntar	1.9000	1.1500	1.4500	1.6500	1.0000	VERB	7890
1316	TENT	toldo	1.9500	1.1500	1.1500	1.0000	1.1500	NOUN	9827
1318	CHICKEN	pollo	3.0500	1.6500	1.0000	1.0500	1.1000	NOUN	7731
1322	BREAKFAST	desayuno	3.3000	1.0000	1.0000	1.0000	1.0500	NOUN	3019
1324	SLIP	resbalar	1.3500	1.6500	2.4500	2.6300	2.3000	VERB	8697
1326	DOWN	abajo	1.3500	1.2500	1.4000	1.3000	1.5500	ADVERB	5
1329	TOMORROW	mañana	2.9000	1.0500	1.1500	1.3500	1.3500	NOUN	6247
1332	NEIGHBOUR	vecino	2.2500	1.6000	1.4500	1.1500	1.2000	NOUN	10200
1333	NECK	cuello	2.3000	1.4500	1.1500	1.1500	1.3500	NOUN	2768
1347	NAPE (OF NECK)	nuca	2.0000	1.2000	1.4500	1.4500	1.4000	NOUN	6934
1353	HOUR	hora	1.8000	1.1000	1.2000	1.3000	1.5000	NOUN	5091
136	HERE	aquí	2.7500	1.0500	1.1000	1.2000	1.1000	ADVERB	743
1363	VOICE	voz	3.3000	1.3000	1.8500	1.4500	1.2000	NOUN	10427
1366	BOY	muchacho	2.7500	1.1500	1.3000	1.2500	1.1500	NOUN	6709
1368	BREAD	pan	3.0500	1.1000	1.0500	1.0000	1.2500	NOUN	7230
1371	KNEE	rodilla	1.6500	1.2000	1.3000	1.1000	1.2500	NOUN	8857
1376	NOW	ahora	2.4000	1.2500	1.2500	1.4000	1.3500	ADVERB	318
1384	SECOND	segundo	2.0500	1.4500	1.6000	1.5000	1.8500	ADJECTIVE	9071
1385	PEPPER	pimienta	2.0500	1.6000	1.1000	1.3000	1.0000	NOUN	7590
1393	HORN (ANATOMY)	cuerno	1.2500	2.0000	1.9000	2.9500	2.2000	NOUN	2771
1394	BONE	hueso	2.1000	1.9500	1.2000	1.4000	1.4000	NOUN	5127
14	YOKE	yugo	1.7900	1.9300	2.3600	2.3300	2.3300	NOUN	10461
1401	DRINK	beber	3.0000	1.1000	1.2500	1.4000	1.3000	VERB	1222
1404	STRAIGHT	recto	1.6500	2.3000	1.2500	1.2000	1.3000	ADJECTIVE	8451
1408	HEAR	oír	2.6000	1.2000	1.1500	1.3500	1.1500	VERB	7039
1409	SEE	ver	3.1500	1.0500	1.0500	1.4500	1.1000	VERB	10250
1410	KNOW (SOMETHING)	saber	3.2000	1.1100	1.1500	1.3000	1.1000	VERB	8926
1414	SQUEEZE	exprimir	2.1000	1.4000	1.6000	1.4500	1.5000	VERB	4244
1415	THINK (REFLECT)	pensar	2.8000	1.2000	1.4000	1.3500	1.5500	VERB	7438
1416	SIT	sentar	2.6000	1.1500	1.0500	1.0500	1.0500	VERB	9125
1418	DIG	cavar	1.3500	1.5500	1.4000	1.5500	1.4000	VERB	1773
1420	COUNT	contar	2.2500	1.0500	1.2500	1.1000	1.1500	VERB	2470
1421	SUCK	chupar	2.6000	3.0500	1.3000	1.2000	1.2000	VERB	1911
1428	BURNING	arder	1.4500	1.6500	2.3000	3.4000	3.1500	VERB	770
1429	FULL	lleno	2.3500	1.4500	1.7500	1.5500	1.5500	ADJECTIVE	6113
1432	CUT	cortar	1.2000	1.8000	1.8000	2.2000	2.4500	VERB	2627
1436	SCRATCH	rascar	1.9500	1.8000	1.6500	1.0500	1.0500	VERB	8306
1439	SWIM	nadar	3.6500	1.3000	1.1000	1.3000	1.1000	VERB	6771
1442	STAND	parado	1.3500	1.8500	2.4500	2.6500	3.0000	VERB	7270
1443	WALK	andar	2.9500	1.0500	1.1500	1.0000	1.2000	VERB	559
1446	COME	venir	2.1500	1.2000	1.2500	1.2500	1.1000	VERB	10237
1448	HOLD	sostener	1.7000	1.1000	1.5500	1.5500	1.4000	VERB	9373
1452	PUSH	empujar	1.6000	1.8500	3.0500	1.5500	2.1500	VERB	3632
1453	WASH	lavar	1.6000	1.0000	1.3000	1.1000	1.1000	VERB	5965
1457	SEW	coser	1.9500	1.2500	1.3000	1.2500	1.2500	VERB	2639
1458	SAY	decir	2.3000	1.0500	1.0500	1.4000	1.0500	VERB	2859
1463	DRUNK	ebrio	1.9500	2.9000	2.2600	2.8000	2.6000	ADJECTIVE	3487
1468	LOOK FOR	buscar	2.5000	1.1000	1.7500	1.3500	1.4000	VERB	1446
1469	WEEK	semana	2.5500	1.2000	1.1500	1.1000	1.1500	NOUN	9081
1470	FOLD	doblar	1.7500	1.1500	1.4000	1.3500	1.2000	VERB	3392
1471	WINTER	invierno	2.8000	1.5000	1.6000	1.1500	2.5000	NOUN	5757
1482	SHOULDER	hombro	2.0500	1.1500	1.0000	1.1500	1.3000	NOUN	5073
1484	OIL (ORGANIC SUBSTANCE)	aceite	2.2000	1.6500	1.3500	1.0500	1.2000	NOUN	93
1485	BELOW OR UNDER	debajo	1.6500	1.1500	1.1500	1.1500	1.6000	ADPOSITION	2831
1487	POUR	servir	1.2500	1.7000	1.5500	1.5000	1.7000	VERB	9161
1489	CLOUD	nube	2.9500	1.0500	1.1000	1.1500	1.3000	NOUN	6930
1493	ONE	one	1.4100	1.1100	1.1800	1.2000	1.0800	NOUN	7067
1494	DIE	morir	1.2000	2.5000	2.5500	4.3500	4.7500	VERB	6676
1498	TWO	dos	2.7000	1.1000	1.1000	1.0500	1.0000	DETERMINER	3447
1500	FOUR	cuatro	2.1000	1.0000	1.2500	1.0000	1.3000	DETERMINER	2749
1501	BORE	perforar	1.6500	2.1500	2.3500	1.9000	1.6500	VERB	7474
