CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_FREQUENCY	SPANISH_FREQUENCY_PM	SPANISH_FREQUENCY_LOG
1840	BUILD	edificar	9	2.8355	1.0000
1841	SUSPECT	sospechar	4	1.2602	0.6990
1843	THOUSAND	mil	3173	999.6849	3.5016
1844	BOAT	bote	35	11.0271	1.5563
1845	BALL	pelota	139	43.7933	2.1461
1846	RULE	gobernar	36	11.3422	1.5682
185	FIREPLACE	fogón	4	1.2602	0.6990
1850	COTTON	cotton	6	1.8904	0.8451
1851	POCKET	bolsillo	44	13.8626	1.6532
1853	DOVE	paloma	74	23.3144	1.8751
1855	BIRCH	abedul	1	0.3151	0.3010
1856	SOFT	suave	48	15.1229	1.6902
1857	CROCODILE	cocodrilo	5	1.5753	0.7782
1858	FISHERMAN	pescador	4	1.2602	0.6990
1859	THIRD	tercero	184	57.9710	2.2672
186	SHIN	espinilla	2	0.6301	0.4771
1867	COIN	moneda	76	23.9445	1.8865
1869	BUY	comprar	321	101.1342	2.5079
1870	ANCHOR	ancla	2	0.6301	0.4771
1871	CAMEL	camello	8	2.5205	0.9542
1874	SAUSAGE	salchicha	2	0.6301	0.4771
1879	DANCE	bailar	116	36.5469	2.0682
1884	HARD	duro	274	86.3264	2.4393
1887	CHEAP	barato	102	32.1361	2.0128
1888	PAIR	par	228	71.8336	2.3598
1890	BELIEVE	creer	198	62.3819	2.2989
1891	PUMA	puma	2	0.6301	0.4771
1892	TOUCH	tocar	158	49.7795	2.2014
1895	CLOTHES	ropa	113	35.6018	2.0569
1897	HELP	ayudar	207	65.2174	2.3181
1901	SHOVEL	pala	14	4.4108	1.1761
1902	BETRAY	traicionar	1	0.3151	0.3010
1903	SWELLING	hinchazón	3	0.9452	0.6021
1904	DROWN	ahogar	4	1.2602	0.6990
1905	EAGLE	águila	6	1.8904	0.8451
1909	SHAKE	sacudir	6	1.8904	0.8451
191	NUT	nuez	2	0.6301	0.4771
1914	DEBT	deuda	55	17.3283	1.7482
1917	TIE	atar	4	1.2602	0.6990
1920	DREAM (SOMETHING)	soñar	33	10.3970	1.5315
1921	PLOUGH	surcar	1	0.3151	0.3010
1922	LAND (DESCEND)	desembarcar	3	0.9452	0.6021
1923	ROUGH	áspero	2	0.6301	0.4771
1925	ARTERY	arteria	3	0.9452	0.6021
1927	BAMBOO	bambú	15	4.7259	1.2041
1929	STUDY	estudiar	323	101.7643	2.5105
1934	BEGGAR	mendigo	3	0.9452	0.6021
1937	THERE	allí	2643	832.7032	3.4223
1939	SWEAR	jurar	9	2.8355	1.0000
194	FAMILY	familia	997	314.1147	2.9991
1941	SOLDIER	soldado	24	7.5614	1.3979
1942	NEAR	cerca	459	144.6125	2.6628
1943	CROWN (OF HEAD)	corona	61	19.2187	1.7924
1945	IDOL	ídolo	20	6.3012	1.3222
1948	SAW	serrucho	2	0.6301	0.4771
195	MAT	mat	2	0.6301	0.4771
1950	BEECH	haya	1053	331.7580	3.0228
1959	RAW	crudo	11	3.4657	1.0792
1961	NECKLACE	collar	20	6.3012	1.3222
1962	ROAST (SOMETHING)	asar	8	2.5205	0.9542
1966	BUNCH	racimo	2	0.6301	0.4771
197	OTHER	otro	3491	1099.8740	3.5431
1970	CANOE	canoa	2	0.6301	0.4771
1971	FAN (OBJECT)	abanico	21	6.6163	1.3424
1972	KID	cabrito	3	0.9452	0.6021
1973	DEMON	demonio	28	8.8217	1.4624
1974	CENTIPEDE	ciempiés	1	0.3151	0.3010
1977	DEW	rocío	95	29.9307	1.9823
1981	WIDOWER	viudo	10	3.1506	1.0414
1982	WHIRLPOOL	remolino	3	0.9452	0.6021
1983	SNORE	roncar	4	1.2602	0.6990
199	FAMINE	hambre	160	50.4096	2.2068
1991	INTESTINES	intestinos	3	0.9452	0.6021
1992	MORE	más	16107	5074.6692	4.2070
1994	COLLARBONE	clavícula	1	0.3151	0.3010
1998	COMMAND	mandar	79	24.8897	1.9031
2	DUST	polvo	105	33.0813	2.0253
2001	PAINTING	dibujar	15	4.7259	1.2041
2002	DITCH	zanja	4	1.2602	0.6990
2005	MASK	máscara	18	5.6711	1.2788
2007	BOLT (OF LIGHTNING)	rayo	48	15.1229	1.6902
2008	RESCUE	salvar	64	20.1638	1.8129
2009	DOG	perro	189	59.5463	2.2788
2014	GO DOWN (DESCEND)	bajar	107	33.7114	2.0334
2017	MIX	mezclar	13	4.0958	1.1461
2019	HAMMOCK	hamaca	2	0.6301	0.4771
2023	CROWD	multitud	25	7.8765	1.4150
2024	PLOT	conspiración	5	1.5753	0.7782
203	MARRY	casarse	70	22.0542	1.8513
2030	DRAG	arrastrar	10	3.1506	1.0414
2058	STOOL	banco	169	53.2451	2.2304
2060	STORY	cuento	187	58.9162	2.2742
2070	COMB (VERB)	peinar	1	0.3151	0.3010
2076	SPROUT (VERB)	brotar	1	0.3151	0.3010
208	NASAL MUCUS (SNOT)	moco	2	0.6301	0.4771
210	LIFE	vida	2726	858.8532	3.4357
2106	MALE PERSON	varón	26	8.1916	1.4314
2108	RAINING OR RAIN	llover	23	7.2464	1.3802
211	CAST	fundir	4	1.2602	0.6990
213	FIN	aleta	19	5.9861	1.3010
2148	PICK	coger	269	84.7511	2.4314
215	LIE DOWN	acostarse	11	3.4657	1.0792
218	FINE (PENALTY)	multa	19	5.9861	1.3010
2206	RABIES	rabia	46	14.4928	1.6721
221	FIRE	fire	1	0.3151	0.3010
2235	CLEAN (SOMETHING)	limpiar	41	12.9175	1.6232
224	MORTAR	mortero	1	0.3151	0.3010
2240	CORAL SNAKE	coral	32	10.0819	1.5185
2246	BELL	campana	15	4.7259	1.2041
2252	PATH	camino	395	124.4486	2.5977
2260	FEMALE (OF PERSON)	hembra	18	5.6711	1.2788
227	FISH	pez	20	6.3012	1.3222
228	CARVE	tallar	2	0.6301	0.4771
2292	GLASSES	gafas	61	19.2187	1.7924
23	RYE	centeno	14	4.4108	1.1761
230	SWEEP	barrer	10	3.1506	1.0414
231	SHAVE	afeitar	2	0.6301	0.4771
232	FLEA	pulga	1	0.3151	0.3010
236	STEPMOTHER	madrastra	2	0.6301	0.4771
2366	ONION	cebolla	15	4.7259	1.2041
237	STEPFATHER	padrastro	4	1.2602	0.6990
239	FLOWER	flor	77	24.2596	1.8921
24	PRAY	orar	1	0.3151	0.3010
2407	BIRTHDAY	cumpleaños	63	19.8488	1.8062
2438	CAIMAN	caimán	1	0.3151	0.3010
244	LEFT	izquierdo	42	13.2325	1.6335
2440	PINEAPPLE	piña	15	4.7259	1.2041
245	BROOM	escoba	8	2.5205	0.9542
2458	PERSPIRE OR SWEAT	sudar	9	2.8355	1.0000
2481	FEMALE DOG	perra	52	16.3831	1.7243
249	FOG	neblina	2	0.6301	0.4771
2493	BOIL	hervir	6	1.8904	0.8451
251	SHARPEN (SOMETHING)	afilar	1	0.3151	0.3010
2548	BARREL	barril	8	2.5205	0.9542
256	FOOD	comida	209	65.8475	2.3222
2575	DO OR MAKE	hacer	4829	1521.4241	3.6839
2578	PENCIL	lápiz	19	5.9861	1.3010
258	CALM	calma	59	18.5885	1.7782
2580	HELICOPTER	helicóptero	19	5.9861	1.3010
2615	FLESH OR MEAT	carne	110	34.6566	2.0453
2618	CAMERA	cámara	302	95.1481	2.4814
2619	CARD	carnet	54	17.0132	1.7404
2623	FLAG	bandera	87	27.4102	1.9445
2627	ORANGE (FRUIT)	naranja	41	12.9175	1.6232
2638	FISHING	pescar	15	4.7259	1.2041
2648	HAIR (HEAD)	cabello	28	8.8217	1.4624
266	SCALE	escama	1	0.3151	0.3010
27	AIR	aire	266	83.8059	2.4265
271	SAUCER	platillo	6	1.8904	0.8451
272	TONGS	tenazas	1	0.3151	0.3010
273	DOUGH	masa	78	24.5747	1.8976
275	PEEL	pelar	6	1.8904	0.8451
277	SPINDLE	huso	1	0.3151	0.3010
2783	SCALES (MEASURE INSTRUMENT)	báscula	3	0.9452	0.6021
281	POST	poste	16	5.0410	1.2304
2831	PENGUIN	pingüino	6	1.8904	0.8451
288	FORGE	fragua	3	0.9452	0.6021
2900	PROTECT	guardar	45	14.1777	1.6628
2902	BRAWL (FIGHT)	pelear	20	6.3012	1.3222
2905	KNIT	tejer	2	0.6301	0.4771
2965	PAW	pata	27	8.5066	1.4472
297	CROOKED	torcido	4	1.2602	0.6990
298	SHRIEK	chillar	11	3.4657	1.0792
2991	SKI	esquiar	13	4.0958	1.1461
3	BRAVE	valiente	44	13.8626	1.6532
