CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_FREEDICT_NRCVAD	AROUSAL_LANGUAGE_FREEDICT_NRCVAD	DOMINANCE_LANGUAGE_FREEDICT_NRCVAD	VALENCE_LANGUAGE_FAMILY_FREEDICT_NRCVAD	AROUSAL_LANGUAGE_FAMILY_FREEDICT_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_FREEDICT_NRCVAD	VALENCE_MEAN_FREEDICT_NRCVAD	AROUSAL_MEAN_FREEDICT_NRCVAD	DOMINANCE_MEAN_FREEDICT_NRCVAD	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	0.231272727272727	0.719363636363636	0.535363636363636	0.231272727272727	0.719363636363636	0.535363636363636	0.2166	0.706	0.5056	8294
100	FAITHFUL	faithful	0.769123076923077	0.344692307692308	0.723753846153846	0.75671052631579	0.347815789473684	0.716657894736842	0.769217391304348	0.342826086956522	0.715695652173913	1692
1000	ANXIETY	anxiety	0.230966361545862	0.769902102299582	0.392494290504414	0.219641518187434	0.766073423054225	0.386231896209268	0.236448409136327	0.748846764440814	0.382905430918664	6105
1001	BLACKSMITH	blacksmith	0.478714285714286	0.468371428571429	0.572542857142857	0.504166666666667	0.449666666666667	0.566833333333333	0.444333333333333	0.4945	0.580333333333333	13279
1002	STATUE	statue	0.644142857142857	0.328142857142857	0.506	0.644142857142857	0.328142857142857	0.506	0.642666666666667	0.342666666666667	0.514833333333333	16469
1003	PERMIT	to permit	0.430913938478531	0.374287624629889	0.315089817729743	0.430915564252899	0.374282525883719	0.315100499426097	0.430913171171723	0.374288214126192	0.315090008455352	9444
1004	MUSCLE	muscle	0.494842105263158	0.546283400809717	0.628109311740891	0.518779487179487	0.5772	0.648358974358974	0.508888888888889	0.559659259259259	0.639	727
1005	TWINS	twin	0.604818181818182	0.366090909090909	0.495090909090909	0.60375	0.37325	0.49275	0.60375	0.37325	0.49275	6246
1006	BRICK	brick	0.430142857142857	0.227285714285714	0.414285714285714	0.43	0.2295	0.406	0.430333333333333	0.224333333333333	0.425333333333333	5444
1007	COW	cow	0.6635	0.245	0.422	0.6635	0.245	0.422	0.6635	0.245	0.422	13789
1008	BULL	bull	0.4378	0.4448	0.4584	0.428555555555556	0.423111111111111	0.437777777777778	0.443	0.457	0.47	6683
101	BOAST	boast	0.420307540821169	0.58877627761398	0.471200327806827	0.421123380207243	0.58162756853245	0.484155899557694	0.411183475005325	0.596159940614513	0.480960795132623	2078
1010	BOUNDARY	boundary	0.422516483516484	0.431131868131868	0.421659340659341	0.418285714285714	0.423071428571429	0.416190476190476	0.425708333333333	0.414875	0.412958333333333	1720
1011	BRIDGE	bridge	0.42	0.333	0.394	0.42	0.333	0.394	0.42	0.333	0.394	7613
1012	LATCH	latch	0.425848484848485	0.412333333333333	0.443272727272727	0.43184	0.42692	0.45864	0.428933333333333	0.427266666666667	0.4588	12384
1014	OR	or	0.63375834332256	0.405174211426676	0.462297819700397	0.624191318528778	0.405638327524122	0.455796480368718	0.640066717159542	0.41663721285523	0.46203088812593	13491
1015	SOIL	to soil	0.301949677251555	0.583858000965405	0.432484919618096	0.300043729892962	0.584671283751763	0.434135669422159	0.30066119061315	0.584931040096179	0.433004820594129	9541
