CONCEPTICON_GLOSS	CONCEPTICON_ID	BABELNET_ID	BABELNET_GLOSS	BABELNET_DEFINITION
CONTEMPTIBLE	1	00100362a	contemptible	Deserving of contempt or scorn
DUST	2	00029192n	dust	Fine powdery material such as dry earth or pollen that can be blown about in the air
BRAVE	3	00098827a	brave, courageous, bold	"Possessing or displaying courage; able to face and deal with danger or fear without flinching- Herman Melville- William Wordsworth"
COURTYARD	4	00023310n	courtyard, court, cortile	An area wholly or partly surrounded by walls or buildings
GAZELLE	5	00037556n	gazelle, Gazelles	Small swift graceful antelope of Africa and Asia having lustrous eyes
EARTHQUAKE	6	00029448n	earthquake, quake, seism	Shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
GATHER	7	00085289v	collect, gather, garner	Assemble or get together
CURSE	8	00082602v	beshrew, imprecate, anathemise, curse	"Wish harm upon; invoke evil upon"
ANNOUNCE	9	00082637v	announce, denote, enunciate	"Make known; make an announcement"
DARKNESS	11	00025233n	dark, darkness	Absence of light or illumination
MIDDAY	12	00044075n	midday, noon, noonday	The middle of the day
DECEIT	13	00025682n	deceit, deception, dissembling	The act of deceiving
YOKE	14	00081934n	yoke	Support consisting of a wooden frame across the shoulders that enables a person to carry buckets hanging from each end
OTTER	15	00059723n	otter	Freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
SLED	16	00072096n	sled, sledge, sleigh	"A vehicle mounted on runners and pulled by horses or dogs; for transportation over snow"
SCYTHE	20	00069941n	scythe	"An edge tool for cutting grass; has a long handle that must be held with both hands and a curved blade that moves parallel to the ground"
INTEND	22	00089804v	intend, mean, think	Have in mind as a purpose
RYE	23	00068664n	rye, Secale cereale	Hardy annual cereal grass widely cultivated in northern Europe where its grain is the chief ingredient of black bread and in North America for forage and soil improvement
PRAY	24	00091921v	pray	"Address a deity, a prophet, a saint or an object of worship; say a prayer"
UNPLEASANT	26	00113057a	unpleasant	Disagreeable to the senses, to the mind, or feelings
AIR	27	00002185n	air, Atmosphere of Earth, Earth's atmosphere	"A mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of"
MOISTEN	28	00087356v	drizzle, moisten	Moisten with fine drops
GELD	29	00086214v	geld, cut, castrate	Cut off the testicles (of male animals such as horses)
DISPEL	30	00083993v	disperse, scatter, break up, dispel	To cause to separate and go in different directions
PAN	31	00022422n	pan, cooking pan, Cookware and bakeware	Cooking utensil consisting of a wide metal vessel
NETTLE	33	00057378n	nettle	Any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae)
STAIRS	34	00073853n	stairs, steps	A flight of stairs or a flight of steps
TAMARIND	35	00075995n	tamarind, Tamarindus indica, tamarind tree	Long-lived tropical evergreen tree with a spreading crown and feathery evergreen foliage and fragrant flowers yielding hard yellowish wood and long pods with edible chocolate-colored acidic pulp
LIBERATE	37	00090318v	set free, liberate, free	Grant freedom to
KEEN	39	00096409a	acute, discriminating, incisive, keen	Having or demonstrating ability to recognize or draw fine distinctions
ENVY	40	00031073n	envy, enviousness	A feeling of grudging admiration and desire to have something that is possessed by another
IGNORE	41	00089582v	ignore	Fail to notice
STINKING	42	00102912a	funky, smelly, stinking	Offensively malodorous
INJURE	44	00089751v	injure, wound	Cause injuries or bodily harm to
EVIL	45	00102476a	malign, evil, malefic	Having or exerting a malignant influence
REFUSE	49	00086391v	decline, refuse	Show unwillingness towards
SORE	51	00072845n	sore	An open skin infection
SHIVER	52	00093639v	shiver, shudder, thrill	Tremble convulsively, as from fear or excitement
SPIRIT	53	00073430n	spirit	The vital principle or animating force within living things
SHRINK	54	00092592v	reduce, shrink	"Reduce in size; reduce physically"
WHISPER	55	00095747v	whisper	"Speak softly; in a low voice"
LIQUID	58	00106033a	liquid	"Existing as or having characteristics of a liquid; especially tending to flow"
ELECTRICITY	59	00030192n	electricity	A physical phenomenon associated with stationary or moving electrons and protons
OAT	60	00058415n	oat, Oats	"Annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')"
INDUCE	61	00084093v	bring on, induce	Cause to arise
RUMOUR	63	00043378n	hearsay, rumor, rumour	Gossip (usually a mixture of truth and untruth) passed around by word of mouth
