CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	FREQUENCY_COUNT	FREQUENCY_PER_MILLION	LG10_FREQUENCY
1007	COW	vaca	811.0	19.495192307692307	2.909556029241175
1008	BULL	toro	490.0	11.778846153846153	2.691081492122968
1011	BRIDGE	puente	1678.0	40.33653846153846	3.2250506961380485
1014	OR	o	83575.0	2009.014423076923	4.9220815816975545
1021	TOWEL	toalla	587.0	14.110576923076923	2.769377326076138
1025	WHISTLE	silbar	49.0	1.1778846153846154	1.6989700043360185
1043	BRAID	trenzar	7.0	0.16826923076923075	0.9030899869919434
1045	POET	poeta	380.0	9.134615384615385	2.580924975675619
1047	PURSUE	perseguir	311.0	7.475961538461538	2.4941545940184424
1063	NEPHEW	sobrino	890.0	21.39423076923077	2.9498777040368744
1065	SPIDER WEB	telaraña	56.0	1.346153846153846	1.7558748556724912
1068	COURT	tribunal	1179.0	28.341346153846153	3.071882007306125
1069	GLUE	pegar	328.0	7.884615384615384	2.517195897949974
1075	TRAP (PITFALL)	trampa	2497.0	60.02403846153846	3.3975924340381165
1077	WHEAT	trigo	210.0	5.0480769230769225	2.3242824552976926
1079	FEEL	sentir	5116.0	122.98076923076923	3.7090154169721172
108	RUDDER	timón	241.0	5.793269230769231	2.383815365980431
1085	FOLLOW	seguir	7480.0	179.8076923076923	3.8739596547433526
1091	SALTY	salado	62.0	1.4903846153846154	1.7993405494535815
1095	LET GO OR SET FREE	soltar	341.0	8.197115384615385	2.5340261060561344
1098	WEIGH	pesar	1911.0	45.9375	3.281487887940081
1102	CLIMB	trepar	126.0	3.0288461538461537	2.103803720955957
1103	SACRIFICE	ofrenda	106.0	2.548076923076923	2.0293837776852093
1107	GO OUT	salir	17219.0	413.9182692307692	4.236033147117635
1110	SHARK	tiburón	577.0	13.870192307692307	2.761927838420529
112	TURTLE	tortuga	437.0	10.504807692307692	2.6414741105040993
1121	SECRET	secreto	5434.0	130.625	3.7351995484223126
1124	PIPE	pipa	234.0	5.625	2.371067862271736
1132	BEAM	viga	66.0	1.5865384615384615	1.8260748027008262
1135	KICK	patear	383.0	9.206730769230768	2.5843312243675305
1144	WITNESS	testigo	1957.0	47.043269230769226	3.2918126874671185
1145	SWAMP	pantano	287.0	6.899038461538462	2.4593924877592306
1150	THUNDER	trueno	170.0	4.086538461538462	2.2329961103921536
1151	VEIL	velo	197.0	4.735576923076923	2.296665190261531
1157	BECAUSE	porque	70048.0	1683.8461538461538	4.845401939799069
1158	STEP	paso	6188.0	148.75	3.7916204826928133
1162	INTENTION	propósito	2776.0	66.73076923076923	3.443575879750257
1181	PALM TREE	palmera	50.0	1.2019230769230769	1.7075701760979363
119	DIVE	zambullirse	23.0	0.5528846153846154	1.380211241711606
1201	FEATHER	pluma	456.0	10.961538461538462	2.65991620006985
1209	I	yo	187763.0	4513.533653846153	5.273612328611326
1210	HEAVY	pesado	815.0	19.591346153846153	2.911690158753861
1213	YOU	vosotros	637.0	15.3125	2.804820678721162
1215	THOU	usted	36614.0	880.1442307692307	4.56365903847287
1217	FATHER	papá	31372.0	754.1346153846154	4.496556049496294
1222	PENIS	pene	1503.0	36.12980769230769	3.1772478362556233
1227	BOARD	tabla	550.0	13.221153846153845	2.741151598851785
1228	EARTH (SOIL)	tierra	8603.0	206.8028846153846	3.9347004017154243
1229	OLD	viejo	14252.0	342.5961538461538	4.153906285138867
1230	DIRTY	sucio	1489.0	35.793269230769226	3.173186268412274
1231	NEW	nuevo	24349.0	585.3125	4.386498965550653
1235	WHO	quien	16030.0	385.33653846153845	4.204960614115602
1236	WHAT	que	1404912.0	33771.92307692308	6.147649431152282
1242	FEW	poco	36391.0	874.7836538461538	4.561005923821898
1246	SMALL	pequeño	9595.0	230.64903846153845	3.982090239295793
1247	EAR	oreja	652.0	15.673076923076923	2.814913181275074
1248	EYE	ojo	2697.0	64.83173076923077	3.431041945335885
1250	JAGUAR	tigre	488.0	11.73076923076923	2.6893088591236203
1258	FINGERNAIL	uña	154.0	3.7019230769230766	2.1903316981702914
1272	AUNT	tía	2757.0	66.27403846153845	3.4405942618398306
1273	CANDLE	vela	439.0	10.552884615384615	2.643452676486187
1274	SALT	sal	4654.0	111.875	3.667919685317361
1276	AUTUMN	otoño	503.0	12.091346153846153	2.702430536445525
1278	VOMIT	vomitar	804.0	19.326923076923077	2.9057958803678683
129	CHOKE	sofocar	14.0	0.3365384615384615	1.1760912590556811
1295	STICK	palo	847.0	20.360576923076923	2.9283958522567137
1297	LEG	pierna	2143.0	51.51442307692307	3.3312247810207323
1298	NEWSPAPER	periódico	1557.0	37.42788461538461	3.1925674533365456
1300	COUNTRY	país	6920.0	166.34615384615384	3.8401688492407557
1301	FOOT	pie	4302.0	103.41346153846153	3.633771346082555
1302	FORK	tenedor	249.0	5.9855769230769225	2.397940008672037
1306	QUEEN	reina	2567.0	61.70673076923077	3.4095950193968156
1309	ASK (INQUIRE)	preguntar	2189.0	52.62019230769231	3.340444114840118
1312	FOX	zorro	345.0	8.29326923076923	2.5390760987927767
1316	TENT	toldo	24.0	0.5769230769230769	1.3979400086720375
1318	CHICKEN	pollo	1967.0	47.28365384615385	3.294025094095322
1323	CLOCK	reloj	2144.0	51.53846153846154	3.3314272965207428
1324	SLIP	resbalar	16.0	0.3846153846153846	1.2304489213782739
1327	UNCLE	tío	6301.0	151.46634615384616	3.79947839883798
1328	SCISSORS	tijeras	287.0	6.899038461538462	2.4593924877592306
1331	SHEEP	oveja	263.0	6.322115384615384	2.421603926869831
1332	NEIGHBOUR	vecino	962.0	23.125	2.9836262871245345
1338	PEACE	paz	6510.0	156.4903846153846	3.813647695346896
1342	SUMMER	verano	2948.0	70.86538461538461	3.469674772551798
1343	SUN	sol	3669.0	88.19711538461539	3.5646660642520893
1347	NAPE (OF NECK)	nuca	275.0	6.6105769230769225	2.4409090820652173
1355	LAUGH	reír	699.0	16.802884615384613	2.8450980400142565
1360	DUCK	pato	620.0	14.903846153846153	2.79309160017658
1363	VOICE	voz	4692.0	112.78846153846153	3.6714505542124938
1368	BREAD	pan	2007.0	48.24519230769231	3.3027637084729813
1369	GOLD	oro	2975.0	71.51442307692308	3.4736329268738406
1371	KNEE	rodilla	599.0	14.399038461538462	2.7781512503836434
1375	WINDOW	ventana	3046.0	73.22115384615384	3.483872454222673
1379	TELEPHONE	teléfono	9927.0	238.62980769230768	3.996861768490673
1381	SHOE	zapato	712.0	17.115384615384613	2.8530895298518653
1384	SECOND	segundo	10314.0	247.9326923076923	4.013469232309171
1385	PEPPER	pimienta	255.0	6.1298076923076925	2.408239965311849
1388	SHADE	sombra	820.0	19.71153846153846	2.9143431571194403
1392	LOUSE	piojo	18.0	0.43269230769230765	1.2787536009528289
1395	ROUND	redondo	99.0	2.379807692307692	2.0
1398	DRY	seco	628.0	15.096153846153845	2.7986506454452686
14	YOKE	yugo	28.0	0.673076923076923	1.462397997898956
1402	BREAST	senos	711.0	17.091346153846153	2.852479993636856
1404	STRAIGHT	recto	261.0	6.274038461538462	2.4183012913197452
1408	HEAR	oír	4094.0	98.41346153846153	3.612253906096437
1409	SEE	ver	45659.0	1097.5721153846152	4.659535907154217
141	BURN (SOMETHING)	quemar	493.0	11.850961538461538	2.6937269489236466
1410	KNOW (SOMETHING)	saber	20853.0	501.27403846153845	4.319189369204891
1415	THINK (REFLECT)	pensar	9694.0	233.02884615384613	3.986547813414724
1416	SIT	sentado	2057.0	49.44711538461538	3.3134453704264137
1419	FEAR (BE AFRAID)	temer	424.0	10.192307692307692	2.6283889300503116
1422	BE ALIVE	vivir	8469.0	203.58173076923077	3.9278834103307063
1425	GREEN	verde	2144.0	51.53846153846154	3.3314272965207428
1436	SCRATCH	rascar	29.0	0.6971153846153846	1.4771212547196624
1441	FLY (MOVE THROUGH AIR)	volar	2444.0	58.75	3.388278863459639
1442	STAND	parado	1349.0	32.42788461538461	3.130333768495006
1446	COME	venir	11920.0	286.53846153846155	4.076312687976857
1448	HOLD	sostener	328.0	7.884615384615384	2.517195897949974
1455	PULL	tirar	1095.0	26.322115384615383	3.0398105541483504
1459	IF	si	213897.0	5141.754807692308	5.330206723828075
1469	WEEK	semana	14455.0	347.47596153846155	4.160048139552875
1475	COMB	peine	98.0	2.355769230769231	1.9956351945975497
1476	CHAIR	silla	2307.0	55.45673076923077	3.363235804483694
1483	NINE	nueve	2708.0	65.09615384615384	3.432809005033168
1487	POUR	servir	1077.0	25.889423076923077	3.0326187608507196
1489	CLOUD	nube	399.0	9.591346153846153	2.602059991327962
1490	RAT	rata	951.0	22.860576923076923	2.978636948384474
1491	MOUSE	ratón	614.0	14.759615384615383	2.7888751157754164
1493	ONE	uno	38522.0	926.0096153846154	4.585720100693229
15	OTTER	nutria	42.0	1.0096153846153846	1.6334684555795864
1501	BORE	perforar	88.0	2.1153846153846154	1.9493900066449126
1503	SALIVA	saliva	248.0	5.961538461538462	2.396199347095736
1521	SEEM	parecer	2621.0	63.00480769230769	3.4186326873540653
1523	FORGET	olvidar	1476.0	35.480769230769226	3.1693804953119495
1524	WINE	vino	8255.0	198.4375	3.9167696842831354
1528	FORGIVE	perdonar	391.0	9.399038461538462	2.5932860670204567
1529	LAST (FINAL)	último	7491.0	180.0721153846154	3.874597768703199
1530	BOWL	tazón	302.0	7.259615384615384	2.481442628502305
1531	BRANCH	rama	253.0	6.081730769230769	2.404833716619938
1537	SPRINGTIME	primavera	1055.0	25.360576923076923	3.0236639181977933
154	UDDER	ubre	10.0	0.24038461538461536	1.041392685158225
1540	EYELASH	pestaña	32.0	0.7692307692307692	1.5185139398778873
1547	SOUP	sopa	1074.0	25.81730769230769	3.0314084642516237
1558	SIMILAR	semejante	492.0	11.826923076923077	2.6928469192772297
156	RED	rojo	2341.0	56.27403846153846	3.3695868907363438
1564	LAZY	perezoso	118.0	2.8365384615384612	2.0755469613925306
1566	GUN	pistola	2317.0	55.69711538461538	3.365113431627577
1567	DOOR	puerta	13681.0	328.8701923076923	4.13614958608853
1569	CHEESE	queso	1954.0	46.97115384615385	3.2911467617318855
157	DYE	teñir	13.0	0.3125	1.1461280356782377
1571	SELL	vender	2103.0	50.55288461538461	3.3230457354817013
1577	AND	y	688375.0	16547.47596153846	5.837825720386983
158	PUT ON	vestirse	143.0	3.4375	2.1583624920952493
1586	SMELL (PERCEIVE)	oler	536.0	12.884615384615385	2.7299742856995555
1588	TURN	virar	33.0	0.7932692307692307	1.5314789170422551
1592	CHEST	pecho	1619.0	38.918269230769226	3.2095150145426303
1595	SOUTH	sur	2712.0	65.1923076923077	3.4334497937615955
1599	WORD	palabra	7220.0	173.5576923076923	3.8585973449946924
1604	TEMPLES	sien	67.0	1.6105769230769231	1.8325089127062362
1607	HATE	odiar	242.0	5.8173076923076925	2.3856062735983117
1610	PROSTITUTE	prostituta	1241.0	29.831730769230766	3.0941215958405612
1616	CLOTH	tela	369.0	8.870192307692307	2.5682017240669945
1624	EMPTY	vacío	1297.0	31.177884615384613	3.11327469246435
1631	FAST	rápido	12506.0	300.625	4.097153149845959
1632	FLOOR	suelo	3181.0	76.46634615384615	3.502700175310563
1633	FLAT	plano	559.0	13.4375	2.7481880270062002
1635	OBEY	obedecer	182.0	4.375	2.2624510897304293
1641	SILK	seda	361.0	8.677884615384615	2.558708570533166
1642	NIECE	sobrina	439.0	10.552884615384615	2.643452676486187
1654	LIGHTNING	rayo	699.0	16.802884615384613	2.8450980400142565
1655	BLINK	parpadear	57.0	1.3701923076923077	1.7634279935629371
1662	CAPE	punta	927.0	22.283653846153847	2.967547976218862
1671	TOWER	torre	905.0	21.75480769230769	2.957128197676813
1674	POOR	pobre	3728.0	89.61538461538461	3.5715923833613066
1675	PROMISE	prometer	202.0	4.855769230769231	2.3074960379132126
1676	ALWAYS	siempre	39978.0	961.0096153846154	4.601831926852799
1678	HUT	rancho	404.0	9.711538461538462	2.6074550232146683
1680	HELMET	yelmo	3.0	0.07211538461538461	0.6020599913279623
1692	FRIDAY	viernes	2410.0	57.93269230769231	3.3821972103774534
1696	SURRENDER	rendirse	190.0	4.5673076923076925	2.281033367247727
17	EYELID	párpado	15.0	0.3605769230769231	1.2041199826559246
1700	SATURDAY	sábado	2049.0	49.25480769230769	3.3117538610557538
1702	HOLY	sagrado	662.0	15.913461538461538	2.8215135284047728
1703	SIX	seis	8141.0	195.6971153846154	3.9107310980433807
1704	SEVEN	siete	4470.0	107.45192307692308	3.6504046698680317
1705	EIGHT	ocho	3998.0	96.10576923076923	3.6019514041335214
1706	ELEVEN	once	728.0	17.5	2.8627275283179743
1709	FIFTEEN	quince	1006.0	24.182692307692307	3.003029470553618
1710	TWENTY	veinte	1461.0	35.12019230769231	3.164947372621841
1719	BURY	sepultar	23.0	0.5528846153846154	1.380211241711606
1728	ROTTEN	podrido	193.0	4.639423076923077	2.287801729930226
1735	TEAR (SHRED)	rasgar	20.0	0.4807692307692307	1.322219294733919
174	PROUD	orgulloso	2051.0	49.30288461538461	3.3121773564397783
1740	PINE	pino	190.0	4.5673076923076925	2.281033367247727
1756	WIDOW	viuda	491.0	11.802884615384615	2.69196510276736
176	BLOW (WITH MOUTH)	soplar	86.0	2.067307692307692	1.9395192526186182
1773	GRAVE	sepulcro	33.0	0.7932692307692307	1.5314789170422551
1776	SHAME	vergüenza	1754.0	42.16346153846154	3.2442771208018426
1781	THUMB	pulgar	315.0	7.572115384615384	2.4996870826184034
1786	DRY UP	secar	76.0	1.8269230769230769	1.8864907251724818
1787	LOOM	telar	30.0	0.7211538461538461	1.4913616938342726
1788	TELEVISION	tele	1030.0	24.759615384615383	3.0132586652835163
