CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_VALENCE_MEAN	SPANISH_AROUSAL_MEAN	LINE_IN_SOURCE
1053	HUNTER	cazador	3.53846153846154	7.08	204
1068	COURT	tribunal	3.84615384615385	6.77777777777778	1130
1092	HOPE	esperanza	7.80769230769231	4.38461538461539	402
1162	INTENTION	intención	6.14814814814815	6.68	617
1204	BARK	corteza	5.5	4.44	253
1302	FORK	tenedor	6.23333333333333	3.96	1098
1712	OATH	juramento	5.96296296296296	6.25925925925926	643
1792	PERJURY	perjurio	3.46428571428571	6.03571428571429	866
1858	FISHERMAN	pescador	6.40740740740741	5.12	872
1873	ANTHILL	hormiguero	4.67857142857143	6.03571428571429	545
1903	SWELLING	hinchazón	3.52	6.26923076923077	539
1986	DISEASE	enfermedad	2.53571428571429	7.92307692307692	375
2046	APRON	delantal	5.18518518518519	4.68	285
2297	DUSK	oscuridad	4.57142857142857	5.80769230769231	830
236	STEPMOTHER	madrastra	4.5	4.92	693
25	DIRT	suciedad	2.56	6.12	1072
2505	BEDROOM	habitación	6.6551724137931	4.48	523
2524	JOY	alegría	7.81481481481481	7.2	56
2527	ABILITY	capacidad	7.36666666666667	4.64	188
2546	BORDER	frontera	4.16666666666667	5.08	479
255	SERVANT	servidor	5.88461538461539	5.03846153846154	1043
2819	GRASSLAND	pradera	7.46666666666667	2.96	899
2941	HAPPINESS	felicidad	8	6.4	445
2977	WORKER	obrero	4.88888888888889	5.72	797
2978	DISTANCE	distancia	3.46428571428571	5.15384615384615	329
3086	COMPUTER	ordenador	6	4.16	822
3092	LIGHTER	mechero	5.7	5.24	712
3099	SOFA	sillón	6.73076923076923	3.34615384615385	1047
3107	WHISTLE (INSTRUMENT)	silbato	5.77777777777778	5.92307692307692	1046
3141	TAMBOURINE	pandereta	6.24	5.76923076923077	839
3202	CANNON	cañón	4.79310344827586	7.08	187
3333	BELIEF (RELIGIOUS)	creencia	7.07407407407407	5.4	258
34	STAIRS	escalera	5.39285714285714	4.84615384615385	391
3657	GRANARY	granero	5.30769230769231	4.2962962962963	510
394	SHAMAN (FOLK HEALER)	curandero	6.25925925925926	4.19230769230769	269
3955	HOSTILITY	hostilidad	4.77777777777778	6.48	549
3958	SOCIETY	sociedad	4.52	6.42307692307692	1056
4013	AMBULANCE	ambulancia	4.19230769230769	7.14814814814815	64
623	LAGOON	laguna	6.16	3.84	651
643	NEED (NOUN)	necesidad	5.03333333333333	5.8	774
647	PAINT (PIGMENTS)	pintura	6.92	4.30769230769231	878
652	PLAIN	llanura	5.89285714285714	4.03846153846154	681
667	ROAD	carretera	5.76923076923077	6	196
729	DAWN	madrugada	6.36	4.52	695
753	PUPIL (STUDENT)	estudiante	6.57692307692308	5.81481481481481	413
771	HAT	sombrero	6.3448275862069	3.88	1065
772	BELT	cinturón	5.25	5.53846153846154	221
875	SHOEMAKER	zapatero	6.14814814814815	5.92	1199
902	ADULTERY	adulterio	3.1	6.08	33
950	SEAGULL	gaviota	6.46153846153846	5.57692307692308	495
953	RAPE	violación	1.84615384615385	8.04	1180
979	FARMER	pastor	6.59259259259259	4.88888888888889	848
