CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_FREEDICT_WKB	AROUSAL_LANGUAGE_FREEDICT_WKB	DOMINANCE_LANGUAGE_FREEDICT_WKB	VALENCE_LANGUAGE_FAMILY_FREEDICT_WKB	AROUSAL_LANGUAGE_FAMILY_FREEDICT_WKB	DOMINANCE_LANGUAGE_FAMILY_FREEDICT_WKB	VALENCE_MEAN_FREEDICT_WKB	AROUSAL_MEAN_FREEDICT_WKB	DOMINANCE_MEAN_FREEDICT_WKB	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	3.4538493517895	4.92726168198161	3.96303095714058	3.45259699879314	4.92882410080256	3.96137140188735	3.33175335987504	4.89073480846558	3.94506477835884	8237
100	FAITHFUL	faithful	6.48862328962797	3.94862000888656	6.56142941206132	6.41632143145753	4.05106086891701	6.44674812990374	6.46779226160226	4.04867600772943	6.48842090968503	1688
1000	ANXIETY	anxiety	3.59569619821584	5.11040342230356	4.36256167696801	3.47848776360964	5.08459946025214	4.27086138607691	3.63736350536349	4.95029469652498	4.34155805506347	6065
1001	BLACKSMITH	smith	4.928	3.964	5.484	5.03666666666667	3.84333333333333	5.57	4.765	4.145	5.355	19017
1002	STATUE	statute	5.03697708578143	3.75957109283196	5.19287896592244	4.9865811965812	3.75025641025641	5.07940170940171	5.05410714285714	3.76553571428571	5.13071428571429	15038
1003	PERMIT	permit	5.84838259062572	3.78396328792427	5.67571115215885	5.80574285714286	3.99241714285714	5.70364571428571	5.86378771551724	3.83915409482759	5.72901400862069	5013
1004	MUSCLE	muscle	5.46676113360324	4.65429149797571	5.75995951417004	5.61051282051282	4.87338461538461	5.99179487179487	5.48162962962963	4.71637037037037	5.79896296296296	726
1005	TWINS	twin	5.52113636363636	3.70068181818182	5.0225	5.54	3.63178571428571	5.00607142857143	5.5475	3.640625	4.980625	6206
1006	BRICK	brick	5.01142857142857	3.18714285714286	5.6	5.01	3.15	5.5025	5.01333333333333	3.23666666666667	5.73	5412
1007	COW	cow	5.675	3.8	5.915	5.675	3.8	5.915	5.675	3.8	5.915	13584
1008	BULL	bull	4.75	4.036	6.026	4.83888888888889	3.94	5.93	4.7	4.09	6.08	6641
101	BOAST	brag	4.62593310796601	4.2575041633356	5.85375922715389	4.89638448863744	4.27812912718931	5.76195574270712	4.78413605736122	4.22579901615945	5.65487778845638	7252
1010	BOUNDARY	boundary	4.65422498065717	4.26030121278825	4.81459349452186	4.73252894369314	4.15967489895355	4.83871074065854	4.80669110780454	4.10209663000158	4.82798804172675	1716
1011	BRIDGE	bridge	5.68	3.25	5.38	5.68	3.25	5.38	5.68	3.25	5.38	7559
1012	LATCH	latch	4.82484848484848	3.55363636363636	4.88787878787879	4.8452	3.5732	4.9116	4.80733333333333	3.6	4.89866666666667	12250
1014	OR	or	6.07424631366966	4.29418738484675	5.6462388062143	6.01811727370775	4.30050742753101	5.63835768130966	6.0930110850354	4.42520449076449	5.67153735176746	13296
1015	SOIL	to soil	3.81677642910292	4.54129642946325	4.47490471509361	3.79358331312496	4.54170766257841	4.45991715450581	3.82196409042538	4.53994663534986	4.47439664502	9457
