CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SER_MEAN	LINE_IN_SOURCE
12	MIDDAY	noon	2.727272727272727	3337
1200	HUSBAND	husband	3.7	2512
1201	FEATHER	plume	3.2	3702
1202	BIG	great	1.4	2225
1203	LONG	long	2.272727272727273	2911
1204	BARK	bark	4.636363636363637	310
1205	TONGUE	tongue	4.2727272727272725	5314
1207	YOUNG	young	2.5454545454545454	5841
1208	CAT	kitty	3.909090909090909	2717
121	SPIN	spin	3.090909090909091	4782
1210	HEAVY	heavy	4.909090909090909	2368
1211	HE	he	1.4	2353
1212	WE	we	1.5	5659
1213	YOU	you	3.4545454545454546	5840
1214	THIS	these	1.2727272727272727	5219
1216	MOTHER	mother	5.2	3200
1217	FATHER	dad	4.0	1269
1218	ROPE	cord	1.9	1117
122	CART	cart	2.1818181818181817	752
1220	TAIL	tail	2.5	5128
1221	NOSE	nose	3.8181818181818183	3343
1223	HEART	heart	3.909090909090909	2361
1224	LIVER	liver	2.9	2884
1225	DAY (NOT NIGHT)	day	2.6	1300
1226	YEAR	year	1.7272727272727273	5822
1227	BOARD	plank	3.727272727272727	3670
1228	EARTH (SOIL)	soil	3.5	4704
1229	OLD	old	2.6	3401
123	FOREHEAD	forehead	3.4	1941
1230	DIRTY	dirty	5.090909090909091	1434
1231	NEW	new	1.9090909090909092	3304
1232	WARM	warm	3.909090909090909	5643
1233	NIGHT	night	4.181818181818182	3314
1234	SMOOTH	smooth	4.181818181818182	4655
1235	WHO	who	1.0909090909090908	5725
1236	WHAT	what	1.1818181818181819	5698
1237	WHERE	where	1.1818181818181819	5705
1238	WHEN	when	1.1818181818181819	5703
124	THORN	thorn	5.2	5232
1240	NOT	not	1.1	3345
1241	SOME	some	1.2	4716
1242	FEW	few	1.5454545454545454	1815
1244	THICK	thick	2.1666666666666665	5222
1245	BUTTER	butter	5.1	680
1246	SMALL	little	2.9	2882
1247	EAR	ear	3.0	1604
1248	EYE	eye	4.0	1729
1250	JAGUAR	jaguar	4.7	2630
1251	BELLY	belly	3.5454545454545454	385
1254	HANDLE	handle	2.2	2314
1256	HEAD	head	3.8181818181818183	2354
1259	WEDDING	wedding	4.7	5671
1261	SING	sing	4.2	4558
1262	BROTHER	brother	5.0	608
1263	SISTER	sister	5.4	4568
1264	CHANGE	alter	2.090909090909091	113
1267	NARROW	narrow	2.8	3270
1268	YES	yes	1.7	5829
1269	NO	no	1.7	3327
1271	DELIGHT	please	2.1	3685
1272	AUNT	aunt	3.0	237
1273	CANDLE	candle	4.2	717
1274	SALT	salt	4.0	4286
1275	ANSWER	answer	1.9	147
1276	AUTUMN	autumn	6.0	241
1278	VOMIT	puke	4.833333333333333	3892
128	MUMBLE	mumble	3.5454545454545454	3228
1280	FALL	fall	3.25	1748
1281	PRISON	jail	3.0	2631
1282	FAT (FROM ANIMALS)	lard	3.5833333333333335	2767
1283	TODAY	today	3.6363636363636362	5299
1284	BANK	bank	2.9166666666666665	297
1286	HOT	hot	3.8181818181818183	2475
1287	COLD	cold	3.909090909090909	993
1288	CAP	cap	1.5	729
1289	BABY	infant	5.2	2567
129	CHOKE	choke	4.454545454545454	865
1291	BACK	back	2.5	266
1293	MISTAKE	error	2.3636363636363638	1673
1294	ZERO	zero	4.2	5850
1295	STICK	stick	2.8	4916
1296	WALKING STICK	cane	2.5	720
1297	LEG	leg	2.8	2821
1299	COFFEE	coffee	5.181818181818182	988
