CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_HAPPINESS_MEAN	GERMAN_ANGER_MEAN	GERMAN_SADNESS_MEAN	GERMAN_FEAR_MEAN	GERMAN_DISGUST_MEAN	GERMAN_EMOTION_DOMINANT	LINE_IN_SOURCE
1772	ELK	elch	3.0	1.2857142857142858	1.4285714285714286		1.7142857142857142	HAP	380
1773	GRAVE	grab	1.15	1.9	3.9		3.45	SAD	599
1775	TABLE	tisch	1.5416666666666667	1.0833333333333333	1.0		1.0416666666666667	HAP	1679
1782	GUEST	gast	3.1904761904761907	1.7142857142857142	1.2380952380952381		1.380952380952381	HAP	526
1783	PAIN	schmerz	1.1904761904761905	2.6666666666666665	2.4285714285714284		3.0476190476190474	FEA	1480
1789	AGE	alter	2.3333333333333335	1.5714285714285714	1.9523809523809523		2.4761904761904763	FEA	69
1797	HEDGEHOG	igel	3.4	1.25	1.4		1.4	HAP	692
1821	BRUSH	bürste	1.4761904761904763	1.2380952380952381	1.0		1.0476190476190477	DIS	286
1825	COPPER	kupfer	1.8571428571428572	1.0	1.0476190476190477		1.0	HAP	858
1838	NAVEL	nabel	1.6818181818181819	1.2272727272727273	1.2272727272727273		1.3636363636363635	DIS	1128
1844	BOAT	boot	2.761904761904762	1.2380952380952381	1.2857142857142858		2.0	HAP	260
1845	BALL	ball	2.9047619047619047	1.3333333333333333	1.1904761904761905		1.2380952380952381	HAP	170
1848	QUARREL	zank	1.4	3.45	2.0		2.05	ANG	1914
1853	DOVE	taube	2.375	1.625	1.0833333333333333		1.1666666666666667	HAP	1654
1855	BIRCH	birke	2.5454545454545454	1.2272727272727273	1.7727272727272727		1.3181818181818181	HAP	238
1857	CROCODILE	krokodil	1.7	1.25	1.2		2.5	FEA	842
1864	HUNGER	hunger	1.125	1.75	1.25		1.7083333333333333	ANG	685
1871	CAMEL	kamel	2.25	1.6	1.45		1.5	HAP	727
1877	EAST	osten	2.125	1.875	1.625		1.4166666666666667	HAP	1199
1905	EAGLE	adler	3.64	1.24	1.32		2.16	HAP	44
1915	FIR	tanne	2.739130434782609	1.1304347826086956	1.2173913043478262		1.0869565217391304	HAP	1645
1936	DEER	hirsch	2.6818181818181817	1.0454545454545454	1.0454545454545454		1.3181818181818181	HAP	663
194	FAMILY	familie	3.65	1.6	1.55		1.35	HAP	430
1944	GOD	gott	2.75	1.9	1.5		1.65	HAP	598
1945	IDOL	figur	2.4	1.9	1.4		1.6	HAP	458
1948	SAW	säge	1.4761904761904763	1.7142857142857142	1.3333333333333333		2.9047619047619047	FEA	1430
2	DUST	staub	1.375	2.1666666666666665	1.1666666666666667		1.0416666666666667	ANG	1594
202	STRENGTH	stärke	2.772727272727273	1.0454545454545454	1.0		1.2272727272727273	HAP	1591
2025	PEA	erbse	2.0952380952380953	1.4285714285714286	1.380952380952381		1.1904761904761905	HAP	394
2052	BUCKET	eimer	1.4090909090909092	1.5	1.4090909090909092		1.4090909090909092	DIS	366
2058	STOOL	hocker	1.2272727272727273	1.0909090909090908	1.0		1.1363636363636365	HAP	671
2159	GROUND	boden	2.272727272727273	1.1818181818181819	1.1818181818181819		1.2424242424242424	HAP	253
221	FIRE	feuer	2.3	1.85	1.5		2.9	FEA	454
2242	BEETLE	käfer	2.05	1.3	1.3		1.35	DIS	720
2246	BELL	glocke	2.375	1.1666666666666667	1.0833333333333333		1.125	HAP	593
2247	CATERPILLAR	raupe	1.7083333333333333	1.1666666666666667	1.0		1.2083333333333333	DIS	1354
227	FISH	fisch	2.5	1.6	1.5		1.55	HAP	466
2292	GLASSES	brille	1.2380952380952381	1.7142857142857142	1.0		1.0952380952380953	ANG	268
23	RYE	roggen	2.272727272727273	1.0	1.0454545454545454		1.0	HAP	1405
2319	LID (COVER, CAP)	deckel	1.4090909090909092	1.1363636363636365	1.0909090909090908		1.0909090909090908	HAP	308
2352	DRAGONFLY	libelle	3.0476190476190474	1.0	1.0476190476190477		1.0952380952380953	HAP	923
2366	ONION	zwiebel	1.55	1.15	1.05		1.05	DIS	1955
2373	SKIN (OF FRUIT)	schale	1.4090909090909092	1.0	1.1363636363636365		1.0909090909090908	HAP	1450
2374	DREAM	traum	3.68	1.44	1.6		1.8	HAP	1705
