CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	LINE_IN_SOURCE
1262	BROTHER	brother	0.823	0.361	0.546	2204
1263	SISTER	sister	0.916	0.324	0.562	16077
1264	CHANGE	change	0.625	0.575	0.606	2796
1265	HIGH	high	0.684	0.510	0.614	8343
1266	BRIDE	bride	0.840	0.708	0.579	2147
1267	NARROW	narrow	0.260	0.368	0.356	11591
1268	YES	affirmative	0.854	0.589	0.816	343
127	EXTINGUISH	extinguish	0.240	0.576	0.482	6345
1271	DELIGHT	delight	0.949	0.666	0.647	4589
1272	AUNT	aunt	0.667	0.291	0.420	1177
1273	CANDLE	candle	0.602	0.221	0.344	2480
1274	SALT	salt	0.323	0.312	0.306	15278
1275	ANSWER	answer	0.537	0.373	0.661	729
1276	AUTUMN	autumn	0.765	0.204	0.450	1212
1277	HAND	hand	0.542	0.314	0.434	8020
1278	VOMIT	vomit	0.073	0.569	0.188	19353
128	MUMBLE	mumble	0.292	0.444	0.245	11486
1280	FALL	fall	0.177	0.657	0.221	6444
1281	PRISON	prison	0.112	0.677	0.491	13650
1282	FAT (FROM ANIMALS)	lard	0.427	0.239	0.179	9988
1283	TODAY	today	0.806	0.306	0.362	18050
1284	BANK	bank	0.562	0.327	0.675	1378
1285	IMPORTANT	important	0.827	0.630	0.836	8878
1286	HOT	hot	0.490	0.740	0.573	8550
1287	COLD	cold	0.398	0.538	0.348	3276
1288	CAP	cap	0.612	0.240	0.375	2516
1289	BABY	baby	0.837	0.365	0.455	1271
129	CHOKE	choke	0.167	0.788	0.676	2957
1290	ELEPHANT	elephant	0.531	0.510	0.615	5731
1291	BACK	back	0.438	0.353	0.336	1278
1292	BAD	bad	0.125	0.625	0.373	1307
1293	MISTAKE	mistake	0.208	0.585	0.102	11190
1295	STICK	stick	0.396	0.364	0.382	16908
1296	WALKING STICK	staff	0.745	0.274	0.627	16754
1297	LEG	leg	0.510	0.373	0.313	10110
1298	NEWSPAPER	newspaper	0.602	0.283	0.444	11736
1299	COFFEE	coffee	0.823	0.418	0.309	3248
13	DECEIT	deceit	0.020	0.696	0.343	4451
1300	COUNTRY	country	0.698	0.394	0.693	3976
1301	FOOT	foot	0.490	0.290	0.254	6956
1302	FORK	fork	0.406	0.300	0.529	7029
1303	FINGER	finger	0.321	0.264	0.291	6710
1304	CHILD (YOUNG HUMAN)	kids	0.837	0.500	0.417	9834
1305	CHIMNEY	chimney	0.583	0.286	0.225	2931
1306	QUEEN	queen	0.875	0.692	0.860	14070
