CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_RT_MEAN	LINE_IN_SOURCE
1224	LIVER	hígado	4.3600	532.2575	1294
1225	DAY (NOT NIGHT)	día	2.1600	516.5379	823
1226	YEAR	año	1.6400	503.8388	153
1227	BOARD	tabla	2.7000	519.4927	2480
1228	EARTH (SOIL)	tierra	2.5600	475.8934	2552
1229	OLD	viejo	2.5600	467.8351	2720
123	FOREHEAD	frente	2.3200	513.6650	1173
1233	NIGHT	noche	2.1600	509.7510	1769
1244	THICK	grueso	3.8000	535.3233	1250
1246	SMALL	chico	2.1200	476.7188	520
1247	EAR	oreja	1.4850	494.9071	1840
1248	EYE	ojo	1.4300	466.5291	1815
1252	HOUSE	casa	1.4300	479.8432	455
1256	HEAD	cabeza	1.9200	488.3426	369
1257	WING	ala	2.1786	541.3721	75
1258	FINGERNAIL	uña	2.3800	524.1156	2645
1261	SING	cantar	1.8800	504.1203	416
1267	NARROW	estrecho	3.4400	524.0097	1031
1274	SALT	sal	2.4000	491.4745	2313
1275	ANSWER	contestar	2.8000	518.1897	669
1276	AUTUMN	otoño	2.5000	521.6188	1855
1277	HAND	mano	1.4233	494.8903	1574
1278	VOMIT	vomitar	2.6000	543.4997	2748
1280	FALL	caer	2.4800	533.8630	379
1281	PRISON	cárcel	3.5769	499.5389	437
1288	CAP	gorro	1.8100	493.7780	1234
1289	BABY	criatura	4.2800	588.4293	717
1290	ELEPHANT	elefante	2.1500	558.7024	914
1295	STICK	palo	2.0571	508.9319	1876
1297	LEG	pierna	1.9200	510.2971	1998
1300	COUNTRY	país	3.0400	500.9994	1866
1301	FOOT	pie	1.4250	481.0109	1995
1302	FORK	tenedor	2.0233	575.4468	2522
1303	FINGER	dedo	1.1900	504.8363	785
1304	CHILD (YOUNG HUMAN)	niño	1.4444	509.6959	1766
1305	CHIMNEY	chimenea	2.5714	577.0900	521
1306	QUEEN	reina	2.1800	505.6820	2206
1308	DOUBT	dudar	3.4000	560.6055	885
1312	FOX	zorro	2.8100	508.2874	2764
1313	MOON	luna	2.0200	492.9997	1541
1316	TENT	toldo	3.9714	563.6356	2570
1318	CHICKEN	pollo	1.8500	462.3547	2042
1320	APPLE	manzana	1.8200	496.3403	1580
1321	BOTTLE	botella	2.0133	510.8791	336
1323	CLOCK	reloj	2.1833	525.1270	2217
1327	UNCLE	tío	2.1600	515.5321	2561
1329	TOMORROW	mañana	2.4400	483.6444	1582
1330	DEFEND	defender	3.6400	544.4415	786
1331	SHEEP	oveja	2.1200	466.6989	1856
1333	NECK	cuello	1.8148	526.0444	741
1335	WHITE	blanco	1.9600	488.6733	312
1336	EAT	comer	1.6800	489.7118	600
1338	PEACE	paz	2.9200	468.3189	1940
134	FAULT	culpa	3.6000	515.2406	754
1341	HEAT UP	calentar	2.9200	501.1097	389
1342	SUMMER	verano	2.5200	508.7186	2694
1343	SUN	sol	1.6033	485.0355	2416
1346	THROAT	garganta	3.1154	551.7127	1206
1347	NAPE (OF NECK)	nuca	3.4100	549.8238	1786
1348	BOAR (MALE PIG)	jabalí	3.7800	532.4800	1410
1350	MONKEY	mono	1.8300	489.8650	1687
1352	KNIFE	cuchillo	1.8100	534.8435	740
1353	HOUR	hora	2.6000	487.9827	1312
1355	LAUGH	reír	1.8000	521.8332	2208
1360	DUCK	pato	1.6171	478.9706	1929
1362	STREET	calle	2.2800	490.5165	394
1363	VOICE	voz	2.1600	481.1734	2752
1366	BOY	muchacho	2.6923	526.6654	1712
1368	BREAD	pan	1.5000	491.1142	1879
1369	GOLD	oro	3.5200	509.0885	1850
