CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_HUMOR_MEAN	ENGLISH_HUMOR_MEAN_MALE	ENGLISH_HUMOR_MEAN_FEMALE	ENGLISH_HUMOR_MEAN_YOUNG	ENGLISH_HUMOR_MEAN_OLD	LINE_IN_SOURCE
1207	YOUNG	young	2.382352941	2.090909091	2.52173913	2.25	2.571428571	4983
121	SPIN	spin	2.341463415	2.277777778	2.391304348	2.277777778	2.391304348	4070
1210	HEAVY	heavy	2.171428571	2.058823529	2.277777778	1.944444444	2.411764706	1974
1216	MOTHER	mother	2.189189189	2.277777778	2.105263158	2.380952381	1.9375	2692
1217	FATHER	dad	2	1.875	2.058823529	1.785714286	2.272727273	1069
1218	ROPE	ropes	1.914285714	1.888888889	1.941176471	1.833333333	2	3564
1219	WORM	worm	2.4	2.153846154	2.545454545	2.368421053	2.4375	4944
122	CART	cart	2.192307692	2.111111111	2.235294118	2.4375	1.8	611
1220	TAIL	tail	2.189189189	2.058823529	2.3	2.142857143	2.25	4357
1222	PENIS	penis	3.567567568	3.333333333	3.727272727	3.7	3.411764706	3023
1223	HEART	heart	2.090909091	2.210526316	2	2.166666667	2.038461538	1964
1224	LIVER	liver	2.34375	2.684210526	1.846153846	2.076923077	2.526315789	2411
1225	DAY (NOT NIGHT)	day	2.214285714	2.2	2.222222222	2	2.6	1096
1226	YEAR	year	1.870967742	1.909090909	1.85	1.6	2.125	4974
1227	BOARD	plank	2.684210526	2.764705882	2.619047619	2.315789474	3.052631579	3107
1228	EARTH (SOIL)	soil	2.371428571	2.416666667	2.347826087	2.7	1.933333333	4008
1229	OLD	old	2.047619048	1.75	2.230769231	1.777777778	2.25	2863
123	FOREHEAD	forehead	2.411764706	2.733333333	2.157894737	2.842105263	1.866666667	1569
1232	WARM	warm	1.954545455	2.375	1.714285714	2.076923077	1.777777778	4816
1233	NIGHT	night	1.916666667	2	1.875	1.944444444	1.888888889	2789
1234	SMOOTH	smooth	2.451612903	2.8125	2.066666667	2.588235294	2.285714286	3954
124	THORN	thorn	1.842105263	1.95	1.722222222	2	1.666666667	4450
1244	THICK	thick	2.648648649	3.071428571	2.391304348	2.833333333	2.473684211	4440
1245	BUTTER	butter	2.827586207	3.294117647	2.166666667	3.058823529	2.5	549
1246	SMALL	little	2.290322581	2.111111111	2.363636364	2.421052632	2.083333333	2410
1247	EAR	ear	2.275	2.384615385	2.222222222	2.444444444	2.136363636	1299
1248	EYE	eyes	2.333333333	2.705882353	1.846153846	2.352941176	2.307692308	1380
125	SWEAT (SUBSTANCE)	sweat	2.225806452	1.5625	2.933333333	2.066666667	2.375	4310
1250	JAGUAR	wildcat	2.171428571	2.166666667	2.173913043	2.176470588	2.166666667	4897
1251	BELLY	belly	3.379310345	3.2	3.473684211	3.266666667	3.5	257
1252	HOUSE	house	2.058823529	2.2	1.947368421	2	2.166666667	2072
1254	HANDLE	handle	2	1.923076923	2.058823529	2.058823529	1.923076923	1918
1256	HEAD	head	2.35	2.142857143	2.461538462	2	2.875	1950
1257	WING	wing	2.28	2.454545455	2.230769231	2.2	2.4	4912
1259	WEDDING	wedding	2.59375	2.916666667	2.4	2.428571429	2.909090909	4844
1262	BROTHER	brother	2.15625	2.166666667	2.15	2.142857143	2.166666667	488
1263	SISTER	sister	2.4375	2.2	2.545454545	2.0625	2.8125	3881
1264	CHANGE	change	2.323529412	1.833333333	2.590909091	2.19047619	2.538461538	655
1265	HIGH	high	2.611111111	2.444444444	2.777777778	2.933333333	2.380952381	2004
1266	BRIDE	bride	2.285714286	2.294117647	2.208333333	2.035714286	2.785714286	461
1271	DELIGHT	delight	2.939393939	3	2.882352941	2.894736842	3	1124
1272	AUNT	aunt	2.290322581	1.9	2.476190476	2.181818182	2.35	123
1273	CANDLE	candle	2.388888889	2.384615385	2.391304348	2.45	2.3125	582
1275	ANSWER	answer	2.175	2.294117647	2.136363636	1.9	2.45	71
1277	HAND	hand	2.153846154	2.153846154	2.153846154	2.15	2.157894737	1913
1278	VOMIT	puke	2.735294118	3.266666667	2.315789474	2.772727273	2.666666667	3292
1280	FALL	fall	1.972972973	2.176470588	1.8	2.130434783	1.714285714	1400
1281	PRISON	prison	1.676470588	1.769230769	1.619047619	1.789473684	1.533333333	3244
1284	BANK	bank	2.206896552	2.5	1.933333333	2.2	2.214285714	175
1287	COLD	cold	1.96969697	2	1.952380952	1.714285714	2.157894737	838
1288	CAP	cap	2.518518519	2.2	2.705882353	2.230769231	2.785714286	592
1289	BABY	infant	2.266666667	2.333333333	2.242424242	2.230769231	2.315789474	2125
129	CHOKE	choke	1.825	2	1.666666667	1.863636364	1.777777778	721
1291	BACK	back	2	2.2	1.8125	1.466666667	2.5	137
1292	BAD	bad	1.771428571	1.7	1.8	1.6875	1.842105263	149
1293	MISTAKE	error	2.175	2	2.269230769	2.318181818	2	1348
1295	STICK	stick	1.769230769	1.785714286	1.708333333	1.555555556	1.952380952	4196
1297	LEG	leg	2.384615385	2.5	2.32	2.238095238	2.555555556	2343
1299	COFFEE	coffee	2.325581395	2.428571429	2.227272727	2.04	2.722222222	831
1301	FOOT	foot	2.552631579	2.619047619	2.470588235	2.5	2.611111111	1555
1302	FORK	fork	2.518518519	2.333333333	2.666666667	2.625	2.363636364	1576
1303	FINGER	finger	2.757575758	3.166666667	2.523809524	2.615384615	2.85	1473
1305	CHIMNEY	chimney	2.285714286	2.294117647	2.28	2.411764706	2.2	710
1306	QUEEN	queen	2.677419355	2.666666667	2.684210526	2.307692308	2.944444444	3336
1308	DOUBT	doubt	2.114285714	2.153846154	2.090909091	1.9375	2.263157895	1226
131	FESTIVAL	party	3.033333333	3.230769231	2.882352941	2.333333333	3.5	2973
1313	MOON	moon	2.366666667	3	2.05	2.166666667	2.666666667	2670
1314	QUIET	quiet	2.060606061	2.0625	2.058823529	2.111111111	2	3346
1316	TENT	tent	2.25	2.5	2.111111111	2.166666667	2.3125	4419
1318	CHICKEN	chicken	2.805555556	2.857142857	2.772727273	2.772727273	2.857142857	702
1319	COWARD	coward	2.069767442	2.227272727	1.904761905	1.966666667	2.307692308	967
132	SAUCE	sauce	2.333333333	2.166666667	2.583333333	2.692307692	2.058823529	3639
1320	APPLE	apple	2.333333333	2.363636364	2.315789474	2.470588235	2.153846154	86
1322	BREAKFAST	breakfast	2.352941176	2.307692308	2.380952381	2	2.545454545	446
1324	SLIP	slip	2.586206897	2.5	2.647058824	2.388888889	2.909090909	3926
1325	FRIEND	friend	2.677419355	2.4	2.80952381	2.714285714	2.647058824	1618
1327	UNCLE	uncle	2.448275862	2.444444444	2.45	2.230769231	2.625	4683
1333	NECK	neck	2.323529412	2.333333333	2.315789474	2.15	2.571428571	2761
1334	GUTS	gut	2	2.083333333	1.875	2	2	1886
1335	WHITE	white	2.08	2.384615385	1.75	1.941176471	2.375	4883
1337	PIG	hog	2.9375	2.833333333	3.105263158	3	2.857142857	2026
1339	MORNING	morning	2.5	2.555555556	2.466666667	2.214285714	2.9	2682
134	FAULT	guilt	1.5	1.4375	1.5625	1.5	1.5	1865
1342	SUMMER	summer	2.344827586	2.428571429	2.318181818	2.533333333	2.142857143	4278
1344	RAM	ram	2.657894737	2.666666667	2.65	2.777777778	2.363636364	3385
1346	THROAT	throat	2.352941176	2.833333333	2.090909091	2.45	2.214285714	4458
1348	BOAR (MALE PIG)	boar	2.275862069	2	2.444444444	2.428571429	2.133333333	363
1349	CHURCH	church	2.026315789	2.142857143	1.958333333	2	2.058823529	738
1350	MONKEY	monkey	3.2	3.307692308	3.136363636	3	3.333333333	2662
1352	KNIFE	knife	1.84375	2	1.75	2.307692308	1.526315789	2268
1353	HOUR	hour	2.433333333	2.444444444	2.428571429	2.368421053	2.545454545	2071
1356	NUMBER	number	1.965517241	1.916666667	2	1.916666667	2	2835
1361	TOOL	wrench	2.6	2.428571429	2.692307692	2.421052632	2.761904762	4957
1362	STREET	street	1.886363636	1.894736842	1.88	1.782608696	2	4232
1363	VOICE	voice	2.066666667	2.133333333	2	2	2.166666667	4771
1364	HEALTHY	health	1.681818182	1.714285714	1.625	1.545454545	1.818181818	1960
1365	KITCHEN	kitchen	2.15625	2.1	2.181818182	2.1	2.25	2261
