CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_HUMOR_MEAN	ENGLISH_HUMOR_MEAN_MALE	ENGLISH_HUMOR_MEAN_FEMALE	ENGLISH_HUMOR_MEAN_YOUNG	ENGLISH_HUMOR_MEAN_OLD	LINE_IN_SOURCE
1543	SNAIL	snail	2.655172414	3.166666667	2.294117647	2.454545455	2.777777778	3962
1545	HOST	host	2.242424242	2	2.470588235	2.352941176	2.125	2065
1547	SOUP	broth	2.424242424	2.733333333	2.166666667	2.416666667	2.428571429	486
1549	TRIBE	tribe	2.307692308	2.6	2.125	2.615384615	2	4599
1551	FEMALE	female	2.068965517	2.230769231	1.9375	2	2.111111111	1440
1553	MALE	male	2.117647059	1.818181818	2.260869565	1.833333333	2.272727273	2495
1554	MAN	man	2.095238095	2.235294118	2	2	2.333333333	2503
1556	YOLK	yolk	2.823529412	3.076923077	2.666666667	3	2.684210526	4982
1559	MONEY	money	2.25	2.9	1.888888889	2	2.583333333	2659
156	RED	red	2.235294118	2.0625	2.388888889	2.411764706	2.058823529	3436
1561	ARMY	army	1.96969697	2.076923077	1.9	2.117647059	1.8125	96
1562	MIND	mind	2.233333333	2.307692308	2.176470588	2.444444444	2.142857143	2612
1563	PYTHON	python	2.272727273	2.291666667	2.25	2.19047619	2.347826087	3325
1565	HEAVEN	heaven	2	1.909090909	2.076923077	1.5	2.5	1973
1566	GUN	gun	1.44	1.666666667	1.3125	1.214285714	1.727272727	1875
1567	DOOR	doorway	1.973684211	1.7	2.352941176	1.863636364	2.125	1221
1569	CHEESE	cheese	2.818181818	2.470588235	3.037037037	2.68	3	689
157	DYE	dye	2.128205128	2.142857143	2.12	2.111111111	2.142857143	1297
1570	EQUAL	equal	2.153846154	2.076923077	2.230769231	2.25	2.071428571	1345
1571	SELL	sell	1.90625	2.1	1.818181818	1.875	1.9375	3738
1573	SWELL	swell	2.607142857	2.272727273	2.823529412	2.090909091	2.941176471	4319
1575	COCKROACH	roach	2.555555556	2.333333333	2.714285714	2.590909091	2.5	3533
1579	BE	will	2.042553191	2.368421053	1.821428571	2.15	1.962962963	4899
1583	BRAIN	brain	2.064516129	2.333333333	1.954545455	1.947368421	2.25	434
1584	BLISTER	blister	1.974358974	2.388888889	1.619047619	2.125	1.733333333	331
1585	SLEEP	sleep	2.296296296	2.142857143	2.461538462	2.375	2.181818182	3915
1587	SMELL (STINK)	stink	2.451612903	2.357142857	2.529411765	2.3125	2.6	4202
1588	TURN	turn	2.206896552	2.266666667	2.142857143	2.133333333	2.285714286	4653
1590	WAIT (FOR)	wait	1.833333333	1.727272727	1.894736842	1.882352941	1.769230769	4793
1592	CHEST	chest	2.225806452	2.466666667	2	2.3125	2.133333333	697
1593	DEEP	deep	2.117647059	1.8	2.368421053	1.944444444	2.3125	1119
1594	FLOUR	flour	2.216216216	2	2.363636364	2.238095238	2.1875	1530
1595	SOUTH	south	2.166666667	2.294117647	2.052631579	2	2.272727273	4025
1597	AIRPLANE	plane	2.066666667	2.083333333	2.055555556	2.125	2	3105
1598	NORTH	north	2.258064516	2.454545455	2.15	2.428571429	2.117647059	2816
1599	WORD	word	2.09375	1.666666667	2.35	1.416666667	2.5	4937
16	SLED	sled	2.454545455	2.4375	2.470588235	2.590909091	2.181818182	3913
160	SET (HEAVENLY BODIES)	set	2.142857143	2.181818182	2.117647059	1.7	2.388888889	3758
1600	SKIRT	skirt	2.244444444	2.526315789	2.038461538	1.956521739	2.545454545	3896
1603	MOSQUE	mosque	1.777777778	1.777777778	1.777777778	1.666666667	2	2689
1605	SKULL	skull	2.071428571	2.153846154	2	1.916666667	2.1875	3897
