CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
3552	GREET	打招呼	337	10.05	2.5276	291	4.66	2.4639	5296
3554	GOODBYE	欢送	13	0.39	1.1139	12	0.19	1.0792	31765
356	SHEARS	剪子	96	2.86	1.9823	56	0.9	1.7482	11747
357	HANG UP	挂	3463	103.23	3.5395	2075	33.24	3.317	896
3608	WARRIOR	武士	484	14.43	2.6848	167	2.67	2.2227	4141
3616	FAINT (PASS OUT)	晕厥	16	0.48	1.2041	14	0.22	1.1461	29684
3617	STUMBLE	绊倒	130	3.88	2.1139	111	1.78	2.0453	9837
3628	HONOR (SOMEBODY)	荣幸	1919	57.2	3.2831	1360	21.78	3.1335	1448
3629	HESITATE	犹豫	431	12.85	2.6345	367	5.88	2.5647	4494
363	DWELL (LIVE, RESIDE)	居住	342	10.19	2.534	290	4.65	2.4624	5242
3632	GENEROUS	大方	150	4.47	2.1761	139	2.23	2.143	8961
3634	STUBBORN	顽固	246	7.33	2.3909	207	3.32	2.316	6579
3635	ADULT	大人	2784	82.99	3.4447	748	11.98	2.8739	1075
3638	ASSEMBLE (GET TOGETHER)	聚齐	6	0.18	0.7782	6	0.1	0.7782	42357
3639	AVOID	避免	900	26.83	2.9542	756	12.11	2.8785	2602
364	SMEAR	传播	397	11.83	2.5988	256	4.1	2.4082	4753
3640	GOSSIP	闲话	69	2.06	1.8388	62	0.99	1.7924	14225
3642	COMPLAIN	抱怨	1117	33.3	3.0481	886	14.19	2.9474	2215
3643	AGREE	同意	5759	171.67	3.7603	2916	46.71	3.4648	576
3644	AGREEMENT	协议	1553	46.29	3.1912	878	14.06	2.9435	1720
3645	PERSUADE	说服	1552	46.26	3.1909	1140	18.26	3.0569	1721
3646	PROVERB	谚语	91	2.71	1.959	73	1.17	1.8633	12126
365	SPLASH	噴	2	0.06	0.301	1	0.02	0	59477
3650	APPLY (OINTMENT)	敷	132	3.93	2.1206	92	1.47	1.9638	9725
3654	TAKE OUT	取出	260	7.75	2.415	210	3.36	2.3222	6345
3657	GRANARY	谷仓	150	4.47	2.1761	90	1.44	1.9542	8985
3659	POLISH (SOMETHING)	擦亮	38	1.13	1.5798	34	0.54	1.5315	19669
3664	INHERIT	承	56	1.67	1.7482	50	0.8	1.699	16035
3665	TRAVEL	旅行	2112	62.96	3.3247	1177	18.85	3.0708	1350
3666	WANDER	徘徊	159	4.74	2.2014	139	2.23	2.143	8670
367	RIDE	骑	1423	42.42	3.1532	709	11.36	2.8506	1838
3670	PLUNDER	哄抢	2	0.06	0.301	2	0.03	0.301	60055
3674	ANTELOPE	羚羊	62	1.85	1.7924	43	0.69	1.6335	15107
3687	DESERT	沙漠	677	20.18	2.8306	361	5.78	2.5575	3213
369	OWE	欠	2623	78.19	3.4188	1593	25.52	3.2022	1123
3695	MOVEMENT	运动	1923	57.32	3.284	1092	17.49	3.0382	1446
3696	THROW AWAY	丢掉	548	16.34	2.7388	454	7.27	2.6571	3778
3701	HOLLOW	窪	1	0.03	0	1	0.02	0	93426
3703	STICKY	黏	93	2.77	1.9685	73	1.17	1.8633	12006
3704	ODOR (SMELL)	气味	455	13.56	2.658	311	4.98	2.4928	4310
371	PICK UP	捡	896	26.71	2.9523	629	10.08	2.7987	2611
3711	TIE (NOUN)	领带	511	15.23	2.7084	324	5.19	2.5105	3994
373	LONG AGO	古时候	8	0.24	0.9031	8	0.13	0.9031	38909
374	ONE TIME	下	51975	1549.34	4.7158	6171	98.85	3.7904	83
3746	VASE	花瓶	175	5.22	2.243	121	1.94	2.0828	8168
3747	SHAPE	形状	345	10.28	2.5378	258	4.13	2.4116	5211
376	FRAGRANT	香	981	29.24	2.9917	648	10.38	2.8116	2455
3762	SAFE	安全	9541	284.41	3.9796	3339	53.48	3.5236	369
3765	STORING POT	罐子	361	10.76	2.5575	210	3.36	2.3222	5064
377	LOUD	吵	2099	62.57	3.322	1437	23.02	3.1575	1355
378	PINCH	捏	337	10.05	2.5276	238	3.81	2.3766	5297
3780	PET	宠物	660	19.67	2.8195	426	6.82	2.6294	3278
379	BLUNT	鈍	1	0.03	0	1	0.02	0	77244
380	WRINKLED	皱	164	4.89	2.2148	143	2.29	2.1553	8496
3804	GRAPEFRUIT OR POMELO	柚子	24	0.72	1.3802	20	0.32	1.301	24800
3807	EYEBALL	眼球	215	6.41	2.3324	177	2.84	2.248	7208
3830	WALL	墙	1687	50.29	3.2271	987	15.81	2.9943	1620
3837	ASTRINGENT	涩	29	0.86	1.4624	26	0.42	1.415	22675
3839	BROAD BEAN	蚕豆	2	0.06	0.301	2	0.03	0.301	63809
3841	WINDMILL	风车	82	2.44	1.9138	39	0.62	1.5911	12842
3847	INTEREST (FEELING)	兴趣	3922	116.91	3.5935	2347	37.59	3.3705	795
3856	ITCH OR ITCHY OR ITCHING	痒	333	9.93	2.5224	249	3.99	2.3962	5344
3881	PISTOL	手枪	617	18.39	2.7903	391	6.26	2.5922	3454
3896	ROAR	咆哮	132	3.93	2.1206	99	1.59	1.9956	9746
3897	NATURE	本质	310	9.24	2.4914	270	4.32	2.4314	5644
390	PUNISHMENT	惩罚	1329	39.62	3.1235	906	14.51	2.9571	1945
3902	TRUST (SOMEBODY)	信任	3441	102.57	3.5367	1800	28.83	3.2553	899
3903	SYMPATHIZE	同情	832	24.8	2.9201	647	10.36	2.8109	2780
3914	TURQUOISE	青色	12	0.36	1.0792	12	0.19	1.0792	33237
395	PILL	丹	1069	31.87	3.029	219	3.51	2.3404	2290
3951	PANDA	熊猫	203	6.05	2.3075	56	0.9	1.7482	7456
3952	REFRIGERATOR	冰箱	739	22.03	2.8686	551	8.83	2.7412	3013
3953	CHARITY	慈善	1156	34.46	3.063	459	7.35	2.6618	2164
3954	FRIENDSHIP	友谊	651	19.41	2.8136	474	7.59	2.6758	3311
3955	HOSTILITY	敌意	140	4.17	2.1461	120	1.92	2.0792	9369
3956	DISPUTE	纠纷	129	3.85	2.1106	109	1.75	2.0374	9850
3957	SYSTEM	系统	3999	119.21	3.602	1575	25.23	3.1973	779
3958	SOCIETY	社会	1805	53.81	3.2565	1125	18.02	3.0512	1518
3959	RELATIONSHIP	关系	10567	315	4.024	4219	67.58	3.6252	335
3960	IDENTITY	身份	2954	88.06	3.4704	1624	26.01	3.2106	1013
3961	TEAM	团队	1377	41.05	3.1389	672	10.76	2.8274	1889
3962	DISCIPLINE	纪律	226	6.74	2.3541	163	2.61	2.2122	6964
3963	SCENERY	风景	385	11.48	2.5855	314	5.03	2.4969	4856
3964	SPLENDOR	光彩	193	5.75	2.2856	173	2.77	2.238	7690
3966	CONCEPT	概念	356	10.61	2.5514	298	4.77	2.4742	5101
3967	CONTENT	内容	1332	39.71	3.1245	928	14.86	2.9675	1942
3968	EFFECT	作用	1739	51.84	3.2403	1242	19.89	3.0941	1563
3970	PROCESS	过程	1673	49.87	3.2235	1226	19.64	3.0885	1630
3971	METHOD	办法	8059	240.23	3.9063	3701	59.28	3.5683	424
3972	EXCITED	兴奋	2504	74.64	3.3986	1538	24.64	3.187	1167
3973	DEPRESSED	沮丧	826	24.62	2.917	594	9.51	2.7738	2795
3975	NERVOUS	紧张	4855	144.72	3.6862	2443	39.13	3.3879	663
4	COURTYARD	院子	380	11.33	2.5798	285	4.57	2.4548	4902
40	ENVY	忌妒	41	1.22	1.6128	30	0.48	1.4771	18896
404	ALCOHOL (FERMENTED DRINK)	酒	6338	188.93	3.802	2594	41.55	3.414	530
406	OLD MAN	老头儿	48	1.43	1.6812	36	0.58	1.5563	17420
41	IGNORE	忽略	499	14.87	2.6981	431	6.9	2.6345	4057
411	GOURD	冬瓜	18	0.54	1.2553	16	0.26	1.2041	27818
412	CARRY IN HAND	捧	163	4.86	2.2122	139	2.23	2.143	8521
413	CARRY ON SHOULDER	挑	1689	50.35	3.2276	1173	18.79	3.0693	1614
419	SEVERE	厉害	2532	75.48	3.4035	1657	26.54	3.2193	1156
42	STINKING	臭	2499	74.49	3.3978	1374	22.01	3.138	1169
420	FOREST	丛林	401	11.95	2.6031	229	3.67	2.3598	4726
421	RETREAT	撤退	503	14.99	2.7016	251	4.02	2.3997	4041
425	BE LATE	耽误	318	9.48	2.5024	289	4.63	2.4609	5536
427	YOUNGER SIBLING	弟妹	21	0.63	1.3222	16	0.26	1.2041	26132
43	LEAD (GUIDE)	牵	495	14.76	2.6946	387	6.2	2.5877	4081
430	TWIST	搓	77	2.3	1.8865	49	0.78	1.6902	13367
457	BLIND PERSON	瞎子	186	5.54	2.2695	125	2	2.0969	7855
458	DEAF PERSON	聋子	106	3.16	2.0253	87	1.39	1.9395	11059
460	BREAK (OF ROPE)	断	2246	66.95	3.3514	1496	23.96	3.1749	1277
471	UPPER LEG (THIGH)	大腿	291	8.67	2.4639	241	3.86	2.382	5852
476	CUP	杯	7541	224.79	3.8774	3094	49.56	3.4905	445
477	LATE	晚	7970	237.58	3.9015	3725	59.67	3.5711	429
478	LIP	唇	479	14.28	2.6803	277	4.44	2.4425	4170
479	GROW	成长	858	25.58	2.9335	666	10.67	2.8235	2718
480	PLATE	碟	393	11.72	2.5944	309	4.95	2.49	4792
484	CONDEMN	谴责	211	6.29	2.3243	171	2.74	2.233	7292
485	DISAPPEAR	消失	3263	97.27	3.5136	1979	31.7	3.2964	949
486	MINISTER	部长	539	16.07	2.7316	200	3.2	2.301	3831
487	SHY	害羞	541	16.13	2.7332	433	6.94	2.6365	3818
488	MANNER	方式	4711	140.43	3.6731	2707	43.36	3.4325	681
489	KIDNEY	肾脏	168	5.01	2.2253	79	1.27	1.8976	8365
49	REFUSE	拒绝	2880	85.85	3.4594	1840	29.47	3.2648	1045
491	CENTER	央	59	1.76	1.7709	5	0.08	0.699	15551
492	THREE	三	16916	504.26	4.2283	4765	76.33	3.6781	233
493	FIVE	五	5903	175.96	3.7711	2674	42.83	3.4272	563
495	REVENGE	报复	911	27.16	2.9595	643	10.3	2.8082	2568
496	CUCUMBER	黄瓜	91	2.71	1.959	54	0.86	1.7324	12139
497	SCAR	伤疤	281	8.38	2.4487	206	3.3	2.3139	6014
498	CALF OF LEG	小腿	49	1.46	1.6902	44	0.7	1.6435	17104
499	CURE	医治	87	2.59	1.9395	69	1.11	1.8388	12409
500	CRUEL	残酷	541	16.13	2.7332	461	7.38	2.6637	3814
501	LIFT	举起	233	6.95	2.3674	208	3.33	2.3181	6838
502	NAIL (TOOL)	钉子	208	6.2	2.3181	139	2.23	2.143	7352
503	FROG	青蛙	339	10.11	2.5302	143	2.29	2.1553	5272
504	LEARN	学习	2385	71.1	3.3775	1377	22.06	3.1389	1218
505	PARENTS	父母	5081	151.46	3.7059	2204	35.3	3.3432	640
506	MAIZE	玉米	661	19.7	2.8202	381	6.1	2.5809	3275
508	PERIOD	问号	29	0.86	1.4624	27	0.43	1.4314	22432
509	CERTAIN	一定	20273	604.33	4.3069	5274	84.48	3.7221	204
51	SORE	疮	32	0.95	1.5051	26	0.42	1.415	21407
511	BAOZI	包子	26	0.78	1.415	8	0.13	0.9031	23724
512	SEE A DOCTOR	看病	150	4.47	2.1761	111	1.78	2.0453	8963
513	THIS YEAR	今年	1802	53.72	3.2558	1064	17.04	3.0269	1522
514	LAST YEAR	去年	1897	56.55	3.2781	1292	20.7	3.1113	1469
515	NEXT YEAR	明年	634	18.9	2.8021	421	6.74	2.6243	3383
516	PERSON (CLASSIFIER)	个	173905	5184	5.2403	6239	99.94	3.7951	29
52	SHIVER	哆嗦	19	0.57	1.2788	15	0.24	1.1761	27741
522	WOLF	狼	1202	35.83	3.0799	452	7.24	2.6551	2091
53	SPIRIT	鬼魂	1321	39.38	3.1209	287	4.6	2.4579	1950
530	FRECKLE	雀斑	38	1.13	1.5798	25	0.4	1.3979	19717
537	TURBID	浑浊	11	0.33	1.0414	10	0.16	1	33892
539	NEST	窝	435	12.97	2.6385	353	5.65	2.5478	4465
54	SHRINK	缩	231	6.89	2.3636	173	2.77	2.238	6865
541	POETRY	诗歌	175	5.22	2.243	120	1.92	2.0792	8148
544	SPICY	辣	1689	50.35	3.2276	908	14.54	2.9581	1615
55	WHISPER	低语	48	1.43	1.6812	43	0.69	1.6335	17373
552	GROW UP	长大	1797	53.57	3.2545	1335	21.38	3.1255	1531
555	INFRINGE	侵犯	590	17.59	2.7709	385	6.17	2.5855	3568
558	PASS BY	经过	2251	67.1	3.3524	1650	26.43	3.2175	1267
56	BAD LUCK	恶运	8	0.24	0.9031	6	0.1	0.7782	38693
568	RISE (MOVE UPWARDS)	升起	243	7.24	2.3856	199	3.19	2.2989	6640
57	ATOP	上边	110	3.28	2.0414	92	1.47	1.9638	10833
570	STAND UP	起来	37205	1109.06	4.5706	5973	95.68	3.7762	117
571	STING	蜇	33	0.98	1.5185	20	0.32	1.301	21210
573	SWAY	摇晃	110	3.28	2.0414	91	1.46	1.959	10844
575	TREAD	踩	1044	31.12	3.0187	725	11.61	2.8603	2334
577	FOREFINGER	食指	56	1.67	1.7482	50	0.8	1.699	15978
578	KISS	吻	2773	82.66	3.4429	1257	20.13	3.0993	1084
579	BATTLE	战役	237	7.06	2.3747	175	2.8	2.243	6757
580	FUR	毛	2068	61.65	3.3156	1176	18.84	3.0704	1372
581	COME BACK	回来	22423	668.42	4.3507	5483	87.83	3.739	186
583	KIND OR POLITE	客气	2251	67.1	3.3524	1589	25.45	3.2011	1265
584	DIFFICULT	難	1	0.03	0	1	0.02	0	77279
585	BOOT	靴子	480	14.31	2.6812	254	4.07	2.4048	4164
586	GARDEN	花园	744	22.18	2.8716	423	6.78	2.6263	2994
587	ANT	蚂蚁	248	7.39	2.3945	126	2.02	2.1004	6545
59	ELECTRICITY	电	1551	46.23	3.1906	980	15.7	2.9912	1724
590	NAKED	裸体	599	17.86	2.7774	375	6.01	2.574	3518
592	PISS	撒尿	296	8.82	2.4713	235	3.76	2.3711	5792
593	POTATO	土豆	406	12.1	2.6085	247	3.96	2.3927	4687
594	PIECE	片	4597	137.03	3.6625	2420	38.76	3.3838	693
595	GROUNDNUT (PEANUT)	花生	305	9.09	2.4843	186	2.98	2.2695	5693
597	PHYSICIAN	医生	15679	467.38	4.1953	3079	49.32	3.4884	248
598	SHELL	贝	593	17.68	2.7731	271	4.34	2.433	3553
6	EARTHQUAKE	地震	486	14.49	2.6866	172	2.76	2.2355	4125
60	OAT	燕麦	53	1.58	1.7243	42	0.67	1.6232	16548
600	STRANGE	奇怪	5833	173.88	3.7659	3104	49.72	3.4919	571
601	LIE (MISLEAD)	撒谎	3663	109.19	3.5638	1978	31.68	3.2962	853
602	HIDE (CONCEAL)	隐瞒	976	29.09	2.9894	735	11.77	2.8663	2469
603	COAT	大衣	325	9.69	2.5119	209	3.35	2.3201	5444
604	GLASS	玻璃	1133	33.77	3.0542	708	11.34	2.85	2191
605	GRAIN	粟	7	0.21	0.8451	7	0.11	0.8451	40755
606	GRASS	草	743	22.15	2.871	513	8.22	2.7101	3001
607	GRASSHOPPER	蚱蜢	22	0.66	1.3424	17	0.27	1.2304	25786
609	HAIL	雹子	1	0.03	0	1	0.02	0	93307
613	HIGH TIDE	洪水	150	4.47	2.1761	81	1.3	1.9085	8969
614	HILL	小山	13	0.39	1.1139	11	0.18	1.0414	31971
615	HORSE	马	6796	202.58	3.8323	2729	43.71	3.436	489
616	HOSPITAL	医院	5391	160.7	3.7317	1994	31.94	3.2997	610
617	ICE	冰	1582	47.16	3.1992	871	13.95	2.94	1696
619	ANIMAL	动物	2636	78.58	3.4209	1239	19.85	3.0931	1116
620	INSECT	虫子	721	21.49	2.8579	249	3.99	2.3962	3067
621	IRON	铁	941	28.05	2.9736	632	10.12	2.8007	2519
622	ISLAND	岛	2950	87.94	3.4698	852	13.65	2.9304	1017
624	LAKE	湖泊	28	0.83	1.4472	23	0.37	1.3617	22878
625	LAMP	灯	1643	48.98	3.2156	998	15.99	2.9991	1650
627	LEAD (CHEMICAL ELEMENT)	鉛	1	0.03	0	1	0.02	0	79930
628	LEAF	葉	3	0.09	0.4771	1	0.02	0	52243
629	LEATHER	革	56	1.67	1.7482	47	0.75	1.6721	15988
630	LIGHT (RADIATION)	点	77665	2315.14	4.8902	6194	99.22	3.792	58
631	LIVESTOCK	牲畜	75	2.24	1.8751	51	0.82	1.7076	13561
632	LIZARD	四脚蛇	1	0.03	0	1	0.02	0	88883
633	MARKET	集市	88	2.62	1.9445	49	0.78	1.6902	12318
634	MEAT	肉	2456	73.21	3.3902	1292	20.7	3.1113	1184
635	MILK	牛奶	888	26.47	2.9484	530	8.49	2.7243	2632
636	MILL	磨坊	54	1.61	1.7324	31	0.5	1.4914	16361
637	MOSS	苔藓	20	0.6	1.301	15	0.24	1.1761	26519
639	MOUNTAIN	山峰	41	1.22	1.6128	35	0.56	1.5441	18842
640	MUD	泥	492	14.67	2.692	357	5.72	2.5527	4090
641	MUSHROOM	蘑菇	224	6.68	2.3502	133	2.13	2.1239	7009
642	MUSIC	音乐	4776	142.37	3.6791	1721	27.57	3.2358	677
644	OAK	橡木	38	1.13	1.5798	26	0.42	1.415	19562
645	OCEAN	海洋	452	13.47	2.6551	285	4.57	2.4548	4338
646	ASH	灰烬	100	2.98	2	83	1.33	1.9191	11503
647	PAINT (PIGMENTS)	漆	263	7.84	2.42	182	2.92	2.2601	6281
648	PAPER	论文	459	13.68	2.6618	248	3.97	2.3945	4287
65	AMBUSH	埋伏	182	5.43	2.2601	135	2.16	2.1303	7953
652	PLAIN	素	638	19.02	2.8048	397	6.36	2.5988	3364
653	PLANT (VEGETATION)	植物	434	12.94	2.6375	273	4.37	2.4362	4479
655	POISON	毒	1384	41.26	3.1411	751	12.03	2.8756	1882
657	PRICE	价	514	15.32	2.711	384	6.15	2.5843	3976
658	RAIN (PRECIPITATION)	雨	1312	39.11	3.1179	734	11.76	2.8657	1968
659	REED	芦苇	13	0.39	1.1139	8	0.13	0.9031	31978
