CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	SPANISH_AOA_ZSCORE	LINE_IN_SOURCE
1477	KEEP	mantener	7.1	2	13	-1.0714345720406402	3050
1487	POUR	servir	5.521739130434782	3	14	-1.6718387853778685	4184
1494	DIE	morir	6.18	2	15	-1.421422262239421	3165
150	WORRY	preocuparse	7.5	2	14	-0.9192660110846483	3514
1501	BORE	taladrar	8.89795918367347	4	16	-0.3874524179476365	4346
1506	MEASURE	medir	6.612244897959184	3	13	-1.2569870519818749	3093
1519	RUN	correr	3.9	2	7	-2.2887830596885737	1214
1521	SEEM	parecer	6.44	3	15	-1.3225126976180264	3311
1523	FORGET	olvidar	5.3	2	11	-1.756193096342603	3253
1528	FORGIVE	perdonar	5.56	2	17	-1.6572835317212082	3369
1532	SHEAR	trasquilar	9.191489361702128	4	18	-0.2757872559781938	4472
1536	UNDERSTAND	entender	5.42	2	12	-1.7105425280558053	2159
157	DYE	teñir	8.72	3	15	-0.45515190016887347	4383
1571	SELL	vender	5.94	2	11	-1.512723398813016	4565
1573	SWELL	hinchar	6.63265306122449	3	16	-1.2492233498922833	2657
1574	FLOAT	flotar	6.36	1	22	-1.3529464098092245	2502
1576	PILE UP	amontonar	8.6	3	19	-0.5008024684556713	374
158	PUT ON	calar	10.425531914893616	4	16	0.19366894271582258	787
1585	SLEEP	dormir	3.26	2	6	-2.5322527572181603	1896
1586	SMELL (PERCEIVE)	oler	4.48	2	11	-2.0681386463023856	3249
1587	SMELL (STINK)	apestar	6.2	2	11	-1.4138138341916213	457
1588	TURN	virar	8.83673469387755	2	18	-0.41074352421641086	4596
1590	WAIT (FOR)	esperar	5.24	1	12	-1.7790183804860014	2290
1602	WAKE UP	despertar	3.84	1	8	-2.3116083438319723	1703
1607	HATE	odiar	6.12	1	13	-1.4442475463828197	3241
1608	LISTEN	escuchar	4.36	2	9	-2.113789214589183	2266
161	MISS (A TARGET)	perder	4.86	2	15	-1.9235785133941936	3367
1621	SNEEZE	estornudar	4.76	2	13	-1.9616206536331917	2330
1623	SPEAK	hablar	3.38	2	10	-2.486602188931363	2629
1626	EXPLAIN	explicar	6.64	1	15	-1.2464284171400306	2401
1635	OBEY	obedecer	5.2	2	11	-1.7942352365816006	3219
1650	WATCH	mirar	3.82	1	8	-2.319216771879772	3132
1655	BLINK	parpadear	6.8	3	17	-1.185560992757634	3317
1672	WRITE	escribir	4.14	2	8	-2.197481923114979	2262
1675	PROMISE	prometer	5.92	2	12	-1.5203318268608157	3577
168	REST	descansar	5.489795918367347	2	14	-1.6839906669094027	1475
1689	SMOKE (INHALE)	fumar	6.28	2	12	-1.383380122000423	2547
1696	SURRENDER	rendirse	6.4	4	14	-1.3377295537136253	3929
1719	BURY	sepultar	11.354166666666666	5	17	0.5469414772933965	4177
1720	SIGN	firmar	7.06	3	15	-1.0866514281362394	2484
1735	TEAR (SHRED)	rasgar	9.1875	3	18	-0.2773048945515584	3662
1743	JOIN	juntar	5.06	2	10	-1.8474942329161979	2919
1749	TAKE	tomar	5.14	2	10	-1.8170605207249995	4408
175	BLOW (OF WIND)	soplar	4.56	2	9	-2.0377049341111877	4258
1750	CHOOSE	escoger	6.18	2	11	-1.421422262239421	2256
1766	FINISH	terminar	4.510204081632653	2	8	-2.05664836720979	4387
1778	APPROACH	acercarse	5.24	2	14	-1.7790183804860014	90
1786	DRY UP	secar	5.28	2	14	-1.7638015243904022	4146
180	CALL BY NAME	llamarse	4.4	2	13	-2.098572358493584	2991
1812	TRY	tratar	7.58	3	15	-0.8888322988934501	4478
1814	ACCUSE	acusar	9	3	15	-0.3486339074996795	150
1818	ADJUDICATE	juzgar	11.16	2	17	0.47307632166267577	2925
1819	LOOK	indagar	12.479166666666666	4	18	0.9749155549821231	2766
