ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE	LINKED_CONCEPTS
Rzymski-2020-4164-12	12	1010	BOUNDARY	BOUNDARY	45	425	535	1287	10	EDGE	5	28	28	"[{""ID"": ""Rzymski-2020-4164-1560"", ""NAME"": ""EDGE"", ""WordWeight"": 22, ""LanguageWeight"": 18, ""FamilyWeight"": 11}, {""ID"": ""Rzymski-2020-4164-1415"", ""NAME"": ""SIDE"", ""WordWeight"": 5, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-1471"", ""NAME"": ""END (OF TIME)"", ""WordWeight"": 8, ""LanguageWeight"": 7, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-1470"", ""NAME"": ""END (OF SPACE)"", ""WordWeight"": 14, ""LanguageWeight"": 12, ""FamilyWeight"": 7}, {""ID"": ""Rzymski-2020-4164-98"", ""NAME"": ""SHORE"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-13	13	1011	BRIDGE	BRIDGE	62	750	899	636	166	BRIDGE	2	15	15	"[{""ID"": ""Rzymski-2020-4164-1354"", ""NAME"": ""PORT"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-398"", ""NAME"": ""LADDER"", ""WordWeight"": 25, ""LanguageWeight"": 25, ""FamilyWeight"": 12}]"
Rzymski-2020-4164-14	14	1012	LATCH	LATCH	34	261	331	951	160	LOCK	3	22	22	"[{""ID"": ""Rzymski-2020-4164-511"", ""NAME"": ""LOCK"", ""WordWeight"": 19, ""LanguageWeight"": 19, ""FamilyWeight"": 15}, {""ID"": ""Rzymski-2020-4164-404"", ""NAME"": ""KEY"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-1189"", ""NAME"": ""PADLOCK"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}]"
Rzymski-2020-4164-15	15	1014	OR	OR	59	393	522	654	71	AND	2	6	6	"[{""ID"": ""Rzymski-2020-4164-495"", ""NAME"": ""AND"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-393"", ""NAME"": ""IF"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-16	16	1018	MEMORY	MEMORY	18	98	114	22	30	MIND	1	6	6	"[{""ID"": ""Rzymski-2020-4164-484"", ""NAME"": ""MIND"", ""WordWeight"": 10, ""LanguageWeight"": 10, ""FamilyWeight"": 6}]"
Rzymski-2020-4164-17	17	1019	RIGHT	RIGHT	102	1614	1700	1018	20	GOOD	4	32	32	"[{""ID"": ""Rzymski-2020-4164-337"", ""NAME"": ""STRAIGHT"", ""WordWeight"": 25, ""LanguageWeight"": 25, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-565"", ""NAME"": ""TRUE"", ""WordWeight"": 6, ""LanguageWeight"": 6, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-26"", ""NAME"": ""GOOD"", ""WordWeight"": 26, ""LanguageWeight"": 26, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-611"", ""NAME"": ""CORRECT (RIGHT)"", ""WordWeight"": 45, ""LanguageWeight"": 45, ""FamilyWeight"": 11}]"
Rzymski-2020-4164-18	18	102	COMMON COLD (DISEASE)	COMMON COLD (DISEASE)	58	554	645	779	79	NOSE	3	20	20	"[{""ID"": ""Rzymski-2020-4164-841"", ""NAME"": ""NASAL MUCUS (SNOT)"", ""WordWeight"": 12, ""LanguageWeight"": 12, ""FamilyWeight"": 10}, {""ID"": ""Rzymski-2020-4164-1567"", ""NAME"": ""COUGH"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-234"", ""NAME"": ""COLD"", ""WordWeight"": 15, ""LanguageWeight"": 15, ""FamilyWeight"": 7}]"
Rzymski-2020-4164-19	19	1021	TOWEL	TOWEL	51	406	488	101	33	CLOTHES	1	6	6	"[{""ID"": ""Rzymski-2020-4164-1186"", ""NAME"": ""RAG"", ""WordWeight"": 13, ""LanguageWeight"": 13, ""FamilyWeight"": 6}]"
Rzymski-2020-4164-20	20	1025	WHISTLE	WHISTLE	75	580	669	35	49	BLOW (OF WIND)	1	4	4	"[{""ID"": ""Rzymski-2020-4164-628"", ""NAME"": ""BLOW (OF WIND)"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}]"
Rzymski-2020-4164-21	21	1026	LOW TIDE	LOW TIDE	31	172	196	95	107	TIDE	1	3	3	"[{""ID"": ""Rzymski-2020-4164-1575"", ""NAME"": ""TIDE"", ""WordWeight"": 16, ""LanguageWeight"": 16, ""FamilyWeight"": 3}]"
