CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ENGLISH	ITALIAN_FAMILIARITY_MEAN	ITALIAN_IMAGEABILITY_MEAN	ITALIAN_CONCRETENESS_MEAN	ITALIAN_VALENCE_ALL_MEAN	ITALIAN_AROUSAL_ALL_MEAN	ITALIAN_DOMINANCE_ALL_MEAN	ITALIAN_VALENCE_FEMALE_MEAN	ITALIAN_AROUSAL_FEMALE_MEAN	ITALIAN_DOMINANCE_FEMALE_MEAN	ITALIAN_VALENCE_MALE_MEAN	ITALIAN_AROUSAL_MALE_MEAN	ITALIAN_DOMINANCE_MALE_MEAN	ITALIAN_POS	LINE_IN_SOURCE
1002	STATUE	statua	statue	7.35	8.3	8.3	6.5	4.875	6.0625	6.5	4.954545454545454	5.954545454545454	6.5		6.3	s	977
1018	MEMORY	memoria	memory	7.3	5.45	4.2	6.771428571428571	5.371428571428571	5.885714285714286	6.68	5.76	5.8	7.0		6.1	s	604
1020	HANDKERCHIEF	fazzoletto	kerchief	8.2	8.45	8.45	5.393939393939394	3.9696969696969697	5.818181818181818	5.476190476190476	4.142857142857143	5.761904761904762	5.25		5.916666666666667	s	365
1029	JEWEL	gioiello	jewel	7.4	8.35	7.7	6.8	5.4	5.857142857142857	7.0	5.8	5.72	6.3		6.2	s	436
1035	GOOD	buono	good	7.35	7.3	4.9	8.0	5.363636363636363	6.636363636363637	8.238095238095237	5.714285714285714	6.904761904761905	7.583333333333333		6.166666666666667	a	138
1038	TEACHER	insegnante	teacher	7.9	7.85	7.9	5.5	5.382352941176471	4.470588235294118	5.25	5.625	4.291666666666667	6.1		4.9	s	511
1044	PILLOW	cuscino	pillow	8.1	8.25	8.3	7.878787878787879	2.272727272727273	5.818181818181818	7.956521739130435	2.3043478260869565	5.869565217391305	7.7		5.7	s	261
1054	SMALLPOX	vaiolo	smallpox	4.0	5.2	5.3	2.340909090909091	6.409090909090909	3.3863636363636362	2.2941176470588234	6.323529411764706	3.3823529411764706	2.5		3.4	s	1075
1066	CRIME	crimine	crime	4.55	6.05	5.3	2.4838709677419355	7.0	3.903225806451613	2.4285714285714284	7.190476190476191	3.9047619047619047	2.6		3.9	s	251
1070	BUS	autobus	bus	8.1	8.25	8.3	4.852941176470588	5.117647058823529	5.264705882352941	4.875	5.333333333333333	4.791666666666667	4.8		6.4	s	86
1092	HOPE	speranza	hope	6.9	5.25	3.8	7.419354838709677	5.645161290322581	6.096774193548387	7.666666666666667	5.0	6.095238095238095	6.9		6.1	s	960
1096	SONG	canzone	song	8.15	7.3	6.8	8.0	6.333333333333333	6.696969696969697	8.08695652173913	6.478260869565218	6.6521739130434785	7.8		6.8	s	158
1100	COOK (SOMETHING)	cucinare	cook	8.15	8.2	7.7	7.5588235294117645	6.117647058823529	6.852941176470588	7.583333333333333	5.958333333333333	7.083333333333333	7.5		6.3	v	258
1104	NURSE	infermiere	nurse	7.4	8.2	7.95	4.575757575757576	5.636363636363637	4.242424242424242	4.318181818181818	5.863636363636363	4.2272727272727275	5.090909090909091		4.2727272727272725	s	499
1109	WOUND	cicatrice	scar	7.15	8.3	7.9	2.909090909090909	5.9772727272727275	4.568181818181818	2.676470588235294	5.970588235294118	4.470588235294118	3.7		4.9	s	197
1110	SHARK	squalo	shark	5.4	8.35	7.65	3.1666666666666665	7.027777777777778	3.5555555555555554	3.1153846153846154	7.076923076923077	3.5	3.3		3.7	s	972
1111	CAR	automobile	car	7.55	8.2	7.55	6.6	5.942857142857143	6.085714285714285	6.625	6.125	6.083333333333333	6.545454545454546		6.090909090909091	s	87
1114	BULLET	pallottola	bullet	4.55	6.5	7.15	2.606060606060606	5.96969696969697	4.212121212121212	2.3043478260869565	6.3478260869565215	4.3478260869565215	3.3		3.9	s	719
1120	HONEST	onesto	honest	7.3	5.75	4.65	7.771428571428571	5.228571428571429	6.6	7.8	5.56	6.44	7.7		7.0	a/s	690
113	SHORE	spiaggia	beach	8.25	8.25	8.05	8.030303030303031	5.181818181818182	6.121212121212121	8.090909090909092	5.454545454545454	5.863636363636363	7.909090909090909		6.636363636363637	s	962
1134	DIVORCE	divorzio	divorce	5.85	5.05	4.55	2.4571428571428573	6.485714285714286	4.457142857142857	2.36	6.44	4.72	2.7		3.8	s	308
1135	KICK	calciare	kick	5.2	7.2	5.9	5.277777777777778	6.055555555555555	5.611111111111111	5.269230769230769	6.384615384615385	5.423076923076923	5.3		6.1	v	143
1136	RABBIT	coniglio	rabbit	6.85	8.15	8.0	6.363636363636363	4.757575757575758	5.606060606060606	6.409090909090909	5.0	5.590909090909091	6.2727272727272725		5.636363636363637	s	229
1141	PITY	pietà	pity	5.6	5.55	3.0	3.0	5.0606060606060606	5.03030303030303	2.782608695652174	4.956521739130435	4.739130434782608	3.5		5.7	s	765
1142	URINE	urina	urine	7.45	7.9	7.95	4.818181818181818	4.121212121212121	4.818181818181818	4.782608695652174	4.304347826086956	4.956521739130435	4.9		4.5	s	1068
1145	SWAMP	palude	swamp	5.8	7.4	7.45	3.757575757575758	5.303030303030303	4.484848484848484	3.8181818181818183	5.363636363636363	4.5	3.6363636363636362		4.454545454545454	s	720
1160	THIEF	ladro	thief	5.05	7.9	7.6	2.4705882352941178	6.823529411764706	3.911764705882353	2.5416666666666665	6.833333333333333	3.8333333333333335	2.3		4.1	s	532
