CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	LINE_IN_SOURCE
100	FAITHFUL	faithful	0.671	310
1000	ANXIETY	anxiety	-0.814	3091
1003	PERMIT	allow	0.324	1018
1019	RIGHT	right	0.418	799
102	COMMON COLD (DISEASE)	common	0.352	951
1027	BUG	bug	-0.246	2034
1035	GOOD	good	0.514	605
1039	SHOW	show	0.040	1561
1046	SHUT	close	-0.030	1678
1047	PURSUE	chase	-0.258	2066
1053	HUNTER	hunter	0.000	1636
1062	LAW	law	0.137	1388
1066	CRIME	crime	-0.724	2966
1072	PRISONER	prisoner	-0.569	2741
1075	TRAP (PITFALL)	trap	-0.467	2530
1078	MAIN	main	0.000	1634
1084	CALL	call	0.300	1066
1085	FOLLOW	follow	0.086	1475
109	FOREIGN	foreign	-0.230	2005
1092	HOPE	hope	0.576	469
1097	ABANDON	abandon	-0.688	2915
11	DARKNESS	darkness	-0.479	2555
1101	SUFFER	suffer	-0.765	3026
1104	NURSE	nurse	0.203	1254
1109	WOUND	wound	-0.761	3021
1112	SUCCEED	succeed	0.597	434
1114	BULLET	bullet	-0.295	2133
1117	LIKE	like	0.488	648
1119	DIVIDE	divide	-0.066	1742
1120	HONEST	honest	0.740	197
1121	SECRET	secret	-0.250	2046
1128	ORDER	order	0.162	1340
1129	PAINFUL	painful	-0.785	3051
1134	DIVORCE	divorce	-0.622	2813
1135	KICK	kick	-0.338	2238
1140	FATIGUE	fatigue	-0.417	2427
1147	PURE	pure	0.757	186
1155	CAVE	cave	-0.172	1885
1156	OPEN	open	0.378	903
1172	SHOOT	shoot	-0.625	2819
1182	NOISE	noise	0.053	1541
1192	THREATEN	threaten	-0.811	3085
1202	BIG	great	0.771	162
1223	HEART	heart	0.491	647
1227	BOARD	board	-0.284	2115
1230	DIRTY	dirty	-0.618	2809
1232	WARM	warm	0.648	359
1248	EYE	eye	0.014	1600
127	EXTINGUISH	extinguish	-0.310	2169
1271	DELIGHT	please	0.507	618
1277	HAND	hand	0.179	1297
1280	FALL	fall	-0.232	2008
1281	PRISON	prison	-0.862	3138
1285	IMPORTANT	important	0.328	1011
1286	HOT	hot	0.042	1554
1287	COLD	cold	-0.342	2254
129	CHOKE	choke	-0.806	3078
1291	BACK	back	-0.179	1894
1292	BAD	bad	-0.521	2648
1293	MISTAKE	mistake	-0.493	2589
1295	STICK	stick	0.000	1623
13	DECEIT	deception	-0.873	3151
