CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_EMOTION_DOMINANT	ENGLISH_EMOTION_INTENSITY	LINE_IN_SOURCE
1438	FOOL	fool	disgust	0.461	2974
1439	SWIM	swim	anticipation	0.500	1914
144	MACHINE	machine	trust	0.289	9766
1440	SPIT	spit	disgust	0.570	2731
1441	FLY (MOVE THROUGH AIR)	flying	fear	0.281	4903
145	SORROWFUL	sorrowful	sadness	0.750	6620
1451	SMILE	smile	joy	0.750	5385
146	SUGAR CANE	cane	anger	0.250	1290
1463	DRUNK	intoxicated	disgust	0.594	2685
1465	BOX	case	fear	0.094	5164
1467	CIRCLE	circle	trust	0.430	9402
1468	LOOK FOR	seek	anticipation	0.586	1699
1479	DOLPHIN	dolphin	joy	0.348	6108
1482	SHOULDER	shoulder	trust	0.336	9681
1489	CLOUD	clouds	sadness	0.125	7707
1490	RAT	rat	disgust	0.633	2615
1494	DIE	die	fear	0.766	3639
1495	HAPPY	happy	anticipation	0.555	1770
150	WORRY	worry	anticipation	0.492	1934
1503	SALIVA	saliva	anticipation	0.297	2294
1506	MEASURE	measure	trust	0.516	9100
1509	MOSQUITO	mosquito	anger	0.219	1334
151	RAZOR	razor	fear	0.303	4855
1517	WASP	wasp	fear	0.500	4308
1519	RUN	run	fear	0.250	4956
1524	WINE	wine	joy	0.125	6421
1528	FORGIVE	forgive	trust	0.547	8944
153	GREY	grey	sadness	0.281	7546
1530	BOWL	mug	anger	0.467	850
1533	BE HUNGRY	hungry	anticipation	0.547	1801
1534	FEVER	fever	fear	0.469	4411
1538	SCORPION	scorpion	anger	0.333	1153
1541	CULTIVATE	cultivate	anticipation	0.508	1887
1548	UGLY	ugly	disgust	0.648	2598
1549	TRIBE	tribe	trust	0.586	8816
1550	PREVENT	prevent	fear	0.125	5139
1552	GLOOMY	gloomy	sadness	0.578	6951
1559	MONEY	money	anger	0.074	1456
1562	MIND	mind	disgust	0.086	3428
1565	HEAVEN	heaven	joy	0.721	5435
1566	GUN	gun	anger	0.576	525
1572	SURPRISED	surprised	surprise	0.867	7770
1573	SWELL	swell	trust	0.367	9603
1581	ALLIGATOR	alligator	fear	0.727	3705
1584	BLISTER	blister	disgust	0.594	2688
1587	SMELL (STINK)	stink	disgust	0.516	2845
1588	TURN	turn	disgust	0.133	3412
1590	WAIT (FOR)	wait	anticipation	0.523	1850
1599	WORD	word	trust	0.477	9234
1601	WEAK	weak	sadness	0.297	7531
