CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_IMAGEABILITY_SD	ENGLISH_AOA_MEAN	ENGLISH_AOA_SD	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FAMILIARITY_SD	ENGLISH_CONCRETENESS_MEAN	ENGLISH_CONCRETENESS_SD	ENGLISH_MEANING_UNCERTAINTY	ENGLISH_FREQUENCY	LINE_IN_SOURCE
1437	SPLIT	split	4.51	1.8	3.81		5.14	1.24	4.26	1.61	0.55	26	1632
1439	SWIM	swim	5.92	1.4	2.56		5.42	1.54	4.91	1.63	0	50	1707
1443	WALK	walk	5.05	1.9	2.06		6.66	0.54	4.74	1.48	0	100	1879
1448	HOLD	hold	4.24	1.75	2.67		6.07	1.13	4.29	1.73	1.07	100	822
1450	ROOM	room	5.59	1.48	2.44		6.7	0.69	6.14	1.1	0.67	100	1477
1451	SMILE	smile	6.33	0.91	2.08		6.2	1	5.26	1.46	0	100	1598
1453	WASH	wash	5.46	1.39	1.86		6.78	0.42	4.86	1.4	0	100	1885
1456	THROW	throw	4.73	1.9	2.64		5.62	1.21	3.89	1.82	0	50	1751
1462	POT	jar	5.89	1.56	2.42		5.77	1.34	6.43	0.87	0.17	43	943
1465	BOX	case	5.39	1.7	3.11		5.61	1.22	6.11	1.33	0.87	100	258
1467	CIRCLE	circle	5.84	1.52	2.14		6.01	1.15	5.17	1.83	0.47	100	296
1468	LOOK FOR	search	4.32	1.93	3.44		5.41	1.19	3.74	1.78	0	50	1525
1471	WINTER	winter	6.32	1.09	2.36		5.95	1.2	4.97	1.73	0	100	1917
1480	BODY	body	6.43	0.89	2.67		6.27	0.99	6.2	1.06	0.65	100	187
1481	HAMMER	hammer	6.19	1.37	2.78		4.85	1.46	6.63	0.76	0	34	779
1482	SHOULDER	shoulder	5.95	1.61	2.64		5.63	1.19	6.4	1.02	0.34	100	1565
1484	OIL (ORGANIC SUBSTANCE)	oil	6.24	1.26	3.03		5.47	1.32	6.31	1.06	0.39	100	1198
1488	FAUCET	tap	5.51	1.78	2.22		6.22	1.22	6.06	1.31	1.22	32	1719
1491	MOUSE	mouse	6.22	1.04	2.42		5.02	1.18	6.69	0.62	0	34	1134
1496	GRANDMOTHER	grandmother	6.16	1.26	2.08		4.98	1.58	6.17	1.36	0	48	751
