CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_IMAGEABILITY_SD	ENGLISH_AOA_MEAN	ENGLISH_AOA_SD	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FAMILIARITY_SD	ENGLISH_CONCRETENESS_MEAN	ENGLISH_CONCRETENESS_SD	ENGLISH_MEANING_UNCERTAINTY	ENGLISH_FREQUENCY	LINE_IN_SOURCE
2572	SENSE (PERCEIVE BY SENSES)	sense	3.78	1.8	3.36		6.19	1.12	3.23	1.67	1.55	100	1540
2573	FEELING (EMOTION)	emotion	4.84	1.79	4.92		5.52	1.08	2.49	1.84	0	34	565
2578	PENCIL	pencil	6.19	1.16	2.25		6.32	0.94	6.69	0.62	0	40	1263
2584	BENCH	bench	5.61	1.4	3.11		4.88	1.25	6.49	0.94	0.55	46	158
2587	DARTS	dart	6.03	1.15	3.92		4.96	1.25	6.43	0.77	0.72	33	426
2588	GLOBE	globe	5.95	1.21	3.64		4.52	1.5	5.29	1.86	0	41	736
2600	PYRAMID	pyramid	6.19	1.16	3.97		4.13	1.36	6.51	0.77	0	9	1382
2620	CARRIAGE	carriage	5.35	1.46	3.67		4.36	1.39	6.06	0.98	0.97	46	255
2623	FLAG	flag	6.03	1.37	2.58		4.98	1.54	6.37	1.07	0.45	50	658
2624	FRAME	frame	5.14	1.63	3.94		4.94	1.29	5.91	1.02	0.83	50	691
2626	NERVE	nerve	5.05	1.59	4.8		5.5	1.46	5.09	1.63	1.12	36	1160
2627	ORANGE (FRUIT)	orange	6.65	0.67	2.03		5.83	1.29	6.31	1.58	0.62	50	1207
2628	PLANT STEM	stalk	4.89	1.43	4.22		4.04	1.17	5.57	1.4	1.13	27	1644
263	HERDSMAN	herdsman	5.06	1.6	4.58		3.56	1.32	5.69	1.33	0	4	808
2630	WHIP	whip	5.89	1.2	3.97		4.15	1.42	6.34	0.83	0.55	41	1903
2656	MIDNIGHT	midnight	6.08	1.08	3.28		5.69	1.21	4.03	1.8	0	50	1096
2658	COAL	coal	5.87	1.4	2.78		5.2	1.29	6.43	0.93	0	100	314
273	DOUGH	dough	5.81	1.37	3.69		4.58	1.35	6.54	0.69	0	11	515
2765	CHERRY	cherry	6.03	1.28	3.17		4.86	1.33	6.6	0.72	0	35	284
2771	SHAWL	shawl	6.05	1.49	3.31		4.32	1.58	6.51	0.87	0	9	1555
2783	SCALES (MEASURE INSTRUMENT)	scale	4.65	1.85	3.97		5.37	1.22	4.8	1.75	2.34	50	1511
2805	BIRTH (ACCOUCHEMENT)	birth	5.46	1.72	3.28		5.03	1.34	4.8	1.65	0	50	172
281	POST	post	5.11	1.67	3.06		6.22	0.92	5.6	1.48	0.94	100	1323
2816	ECHO	echo	5.62	1.15	3.56		4.78	1.27	4.24	1.66	0	42	542
2819	GRASSLAND	prairie	5.32	1.34	4.33		3.83	1.27	5.97	1.11	0	25	1329
2824	KNUCKLE	knuckle	5.43	1.6	3.56		4.82	1.39	6.34	0.92	0.17	5	975
2829	MUSSELS	mussel	5.62	1.42	4.14		3.96	1.46	6.54	0.69	0	3	1142
2869	BOTHER (HARASS)	bother	3.75	2.06	3.22		5.83	1.2	2.57	1.5	1.67	30	196
287	CONE	cone	5.65	1.36	2.75		5.06	1.35	6.03	1.42	1.42	7	347
2879	SOUND (OF INSTRUMENT OR VOICE)	sound	4.84	1.57	3		6.27	0.84	4.69	1.54	0.34	100	1618
2885	HERD (SOMETHING)	herd	5.54	1.43	3.25		4.36	1.15	5.94	0.86	0	37	807
2886	PRODUCE	produce	3.73	1.54	4.31		5.56	1.13	4.4	1.62	0.98	100	1351
2887	THAW (DEW)	thaw	5.24	1.34	3.81		4.84	1.34	3.97	1.73	0	8	1737
2893	NOTICE (SOMETHING)	notice	4.73	1.77	3.69		6.34	1.01	4.97	1.86	0.99	100	1178
2894	TUMBLE (FALL DOWN)	tumble	4.57	1.5	3.5		4.44	1.31	4.14	1.53	0	30	1797
2902	BRAWL (FIGHT)	brawl	4.59	1.6	4.94		3.89	1.11	4.43	1.38	0	5	204
292	RUG	rug	6.24	1.32	2.33		5.33	1.46	6.4	0.9	0	40	1485
2931	BUSINESS	business	3.62	1.68	4.36		5.61	0.96	3.71	1.69	1.4	100	231
2939	FLOCK (OF ANIMALS)	flock	5.22	1.74	2.94		4.34	1.2	4.94	1.45	0	44	666
2941	HAPPINESS	happiness	5.22	1.56	3.33		5.83	1.11	2.69	1.65	0	50	783
2947	DAMAGE (INJURY)	damage	4.49	1.84	3.58		5.58	1.1	4.14	1.71	0	32	422
2951	POUCH	pouch	5.19	1.73	3.67		3.73	1.6	5.97	1.28	0	8	1326
2953	SLEEVE	sleeve	5.72	1.41	2.72		5.77	1.23	6.43	0.84	0	26	1591
2954	SLICE	slice	5.49	1.43	2.92		5.73	1.09	4.74	1.52	0	30	1592
2958	LAUGHTER	laughter	6.19	0.91	3.22		5.7	1.22	4.2	1.7	0	47	988
2963	NET	net	5.65	1.34	2.69		4.96	1.49	6.37	0.9	0.55	50	1161
2966	PERCH (FISH)	perch	4.68	1.53	4.14		3.96	1.35	6.06	1.01	0.99	23	1268
2968	REASON	reason	2.97	1.48	3.83		6.13	1.01	3.06	1.51	1.93	100	1407
2969	RIBBON	ribbon	5.69	1.43	2.86		4.8	1.39	6.34	0.92	0	36	1463
2971	SIN	sin	4.57	1.95	4		4.94	1.44	2.69	1.88	0	50	1579
2975	THOUGHT	thought	3.78	2.02	3.47		6.36	0.87	2.66	1.94	0	100	1747
2977	WORKER	worker	4.92	1.67	3.08		5.87	1.07	5.57	1.44	0	50	1927
2978	DISTANCE	distance	4.38	1.82	3.44		5.94	1.12	3.54	1.46	0	100	499
298	SHRIEK	shriek	5.3	1.52	4.06		4.2	1.37	4.54	1.59	0	26	1567
2980	AREA	area	4	1.96	3.92		5.64	1.28	4.03	1.66	0	50	89
2981	ITEM	item	3.62	1.96	4.06		5.27	1.26	4.37	1.68	0	26	939
2983	COMPANIONSHIP	company	4.32	1.58	4.36		5.73	1.08	4.34	1.64	1.66	100	334
2984	HEAP	heap	5	1.68	3.19		5.19	1.32	5.03	1.56	0	46	797
2985	HEIGHT	height	4.78	1.8	2.94		5.9	0.92	3.8	1.51	0	100	802
2987	AMOUNT	amount	3.17	1.69	3.92		5.75	1.08	2.91	1.46	0	100	62
2988	PATTERN	pattern	4.59	1.38	3.19		5.55	1.2	4.89	1.58	0.45	50	1254
2992	TIP (OF OBJECT)	tip	4.81	1.69	3.28		5.01	1.36	4.74	1.76	2.29	50	1759
300	RATTLE	rattle	5.16	1.64	2.61		4.62	1.45	5.54	1.63	1.72	28	1402
3006	SPACE (AVAILABLE)	space	5.3	1.71	3.19		5.73	1.21	4	1.76	0.93	100	1620
3025	BARN OR SHED	shed	6.08	1.38	2.31		5.24	1.17	6.46	0.97	0.54	45	1556
3049	COURAGE	courage	4.46	1.73	4.19		5.11	1.28	2.68	1.28	0	50	387
3064	RUST	stain	5.03	1.67	3.11		5.48	1.36	5.49	1.27	0	28	1643
3065	SADDLE	saddle	5.84	1.42	3.44		4.36	1.52	6.37	0.86	0	41	1491
3069	FALSE	fraud	3.7	1.57	5.19		4.15	1.29	3.29	1.6	0	10	694
3091	LEMON	lemon	6.43	0.97	2.8		5.12	1.42	6.66	0.58	0	27	1000
3096	RACKET	racket	5.46	1.55	3.86		4.85	1.4	5.91	1.44	1.25	10	1392
3104	THERMOMETER	thermometer	5.78	1.63	3.89		4.7	1.5	6.54	0.94	0	12	1741
3105	UMBRELLA	umbrella	6.05	1.39	3.06		4.78	1.45	6.6	0.76	0	13	1808
3123	PHOTOGRAPH (SOMETHING)	photograph	6.33	0.91	3.17		5.43	1.11	6.46	1	0	35	1285
3128	SHOWER (ACTION)	shower	5.87	1.45	3.42		6.04	0.93	6.14	1.12	1.12	41	1566
3134	TYPE (ON SOMETHING)	type	3.59	1.84	3.83		5.67	1.36	3.03	1.65	0.88	100	1804
3153	LORD	lord	4.92	1.92	3.42		4.88	1.39	4.57	2.03	0.71	100	1029
3168	DOWRY	dowry	3.97	1.76	5.56		3.23	1.21	4.17	1.76	0	2	517
3169	TREATY	treaty	3.27	1.52	5.36		3.72	1.27	3.63	1.66	0	50	1783
3179	CORAL ROCK	coral	5.62	1.76	4.34		3.72	1.65	6	1.29	0	19	374
318	FOOTPRINT	footstep	5.32	1.82	3.17		5.17	1.54	4.86	1.53	0	18	676
3197	SUSPICION	suspicion	3.92	1.96	4.78		4.7	1.34	2.54	1.27	0	28	1702
323	FAT (ORGANIC SUBSTANCE)	fat	6.03	1.3	2.36		6.04	1.23	5.66	1.33	1.14	100	633
3231	DEITY	deity	3.05	2	6.22		3.04	1.44	3	2.04	0	9	443
3232	PELT	pelt	5.14	1.61	4.39		3.72	1.39	5.2	1.74	1.51	6	1262
3252	PANCREAS	pancreas	4.59	1.85	6.56		3.96	1.64	6.03	1.18	0	1	1237
3263	LAP	lap	5.18	1.67	2.63		4.63	1.41	5.47	1.31	1.65	36	983
3268	QUESTION	question	4.22	1.86	3.14		6.05	0.92	3.83	1.66	0	100	1387
3269	PORCH	platform	5.35	1.49	3.86		4.98	1.17	5.74	1.42	0	35	1300
3276	SUNSHINE	sunlight	6.49	0.72	2.89		5.23	1.42	5.37	1.44	0	32	1692
3283	CAGE	cage	5.62	1.65	3		4.7	1.52	6.26	1.13	0.29	30	237
3287	BLOOM	bloom	5.08	1.51	4.03		4.17	1.45	5.46	1.32	0.17	35	182
3303	PICTURE (PAINTING)	painting	6.08	1.34	2.58		5.27	1.43	6.51	0.73	0.17	45	1232
3314	LYNX	lynx	5	1.79	5.11		3.02	1.06	6.31	0.98	0	7	1041
3317	ELM	elm	5.68	1.41	3.67		4.18	1.44	6.69	0.67	0	16	558
3327	AUTUMN OR HARVEST SEASON	harvest	5.68	1.32	3.22		4.66	1.27	5.6	1.1	0	48	789
3333	BELIEF (RELIGIOUS)	belief	3.59	1.9	4.47		5.54	1.28	2.65	1.64	0	39	156
3357	CUPBOARD	cabinet	5.3	1.45	3.83		4.72	1.26	6.26	1	0.85	26	235
3375	PATIENT (SICK PERSON)	patient	5.32	1.25	3.66		5.38	1.36	5.06	1.67	0.68	50	1253
3377	EMPEROR	emperor	5.08	1.53	4.4		3.79	1.45	5.51	1.57	0	45	566
338	RAKE	rake	5.38	1.51	3.36		4.39	1.37	6.51	0.77	0.45	13	1396
3396	BUILDING	building	5.41	1.5	3		6.17	0.85	6.03	1.11	0	100	223
3399	WAREHOUSE	warehouse	5.08	1.55	4.92		4.49	1.23	6.09	1.08	0	10	1883
3403	HORSE BARN	stable	5.87	1.4	2.92		5.1	1.4	6.34	1.37	0.85	39	1641
3405	RULER	ruler	5.49	1.73	3.11		5.71	1.21	5.83	1.61	0.72	32	1486
342	HAY	hay	6.03	1.35	2.97		4.86	1.33	6.6	0.59	0	46	794
3425	JOKE	joke	5.24	1.57	2.89		5.85	1.17	4.4	1.71	0	32	951
3427	DIRECTION	direction	3.97	1.89	3.81		5.69	1.09	3.26	1.46	0.54	100	480
343	VINE	vine	5.7	1.35	4.25		4.11	1.53	6.35	0.97	0	38	1866
344	TREE TRUNK	trunk	5.35	1.8	3.28		4.85	1.47	6.29	1	1.47	48	1793
345	SAP	sap	4.57	1.73	4.64		3.77	1.48	5.66	1.43	0.71	18	1503
3458	SILENCE	silence	5.19	1.71	3.33		5.62	1.15	3.69	1.72	0	100	1575
3468	KINDNESS	kindness	4.46	1.8	3.28		5.54	1.18	2.71	1.51	0	35	969
3470	LIAR	liar	4.35	1.83	3.08		5.23	1.28	4.34	1.53	0	8	1006
3533	ONE MILLION	million	4.46	1.84	4.19		5.19	1.4	3.66	1.96	0	100	1101
354	POUND	pound	5.7	1.67	3.08		6.65	0.71	5.69	1.58	0.88	100	1327
3554	GOODBYE	farewell	4.72	1.56	4.06		4.36	1.4	3.63	1.71	0	35	630
3608	WARRIOR	warrior	5.59	1.44	3.74		3.68	1.13	5.49	1.42	0	37	1884
3638	ASSEMBLE (GET TOGETHER)	assemble	4.19	1.71	4.17		4.82	1.23	4	1.69	0	35	101
3657	GRANARY	barn	5.95	1.39	2.89		4.66	1.49	6.49	0.97	0	45	137
3659	POLISH (SOMETHING)	polish	5	1.56	3.36		4.85	1.42	5.6	1.15	0.38	28	1311
3684	PECK	peck	5	1.49	3		4.71	1.31	4.43	1.82	0.94	13	1259
3689	BUBBLE	bubble	5.97	1.17	2.72		4.85	1.5	6.14	1.1	0.17	28	219
3697	DIP	dip	4.62	1.63	3.31		4.66	1.43	4.97	1.56	1.25	34	479
3704	ODOR (SMELL)	odour	5.62	1.51	4.61		4.54	1.36	4.89	1.74	0	27	1194
3723	NIGHTINGALE	nightingale	5.57	1.44	4.19		3.75	1.31	6.57	0.69	0	9	1168
3724	STORK	stork	5.76	1.42	3.56		3.93	1.35	6.49	0.81	0.47	8	1663
3730	APRICOT	apricot	5.97	1.38	3.86		4.28	1.73	6.76	0.49	0	6	85
3733	FERRY	ferry	5.87	1.21	3.78		4.49	1.47	6.15	1.06	0	11	642
3743	BRASS	brass	5.38	1.48	4.14		4.47	1.38	6.2	1.17	0.65	32	203
3746	VASE	vase	6.03	1.35	2.97		4.64	1.38	6.4	0.99	0	12	1850
3747	SHAPE	form	4.94	1.91	3.83		5.75	1.21	5.46	1.59	2.04	100	684
3777	CATFISH	catfish	5.16	1.68	4.11		3.54	1.37	6.63	0.64	0	2	262
3780	PET	pet	5.89	1.43	2.19		5.15	1.34	5.8	1.19	0.29	26	1279
3796	ALBATROSS	albatross	5.89	1.37	5.28		3.09	1.23	6.57	0.73	0	1	44
3801	DATE (FRUIT)	date	4.73	1.81	3.14		6.45	0.76	4.97	1.78	1.12	100	427
3809	SCREAM (PRODUCE A CRY)	scream	5.95	1.29	2.75		5.22	1.28	4.97	1.46	0	47	1521
381	BLAME	blame	3.62	1.71	3.28		5.41	1.14	2.86	1.53	0	50	176
3821	BROOK	brook	6.03	1.15	3.75		3.84	1.33	6.46	0.73	0	50	215
3846	EXCITEMENT	excitement	4.58	1.64	4		5.35	1.27	2.74	1.56	0	43	605
3848	SURPRISE (FEELING)	surprise	4.57	1.7	3.22		5.83	1.06	3.23	1.48	0	100	1699
3849	TRIUMPH	triumph	5.11	1.75	4.58		4.57	1.26	3.14	1.71	1.23	41	1789
385	RESPECT (SOMEBODY)	respect	3.49	1.88	4.33		5.71	1.11	2.71	1.58	0	50	1449
3874	KNOWLEDGE	knowledge	3.59	1.76	4.77		5.56	1.2	2.89	1.6	0	100	974
3877	DEPRESSION	depression	4.59	1.81	5.5		5.41	1.1	2.97	1.66	0.83	25	455
3878	DIAMOND	diamond	6.17	1.44	3.39		4.65	1.61	6.51	0.84	0	50	471
3881	PISTOL	rifle	6	1.12	3.22		4.3	1.53	6.37	1.17	0.17	31	1466
3896	ROAR	roar	5.32	1.51	2.78		4.71	1.57	4.49	1.56	0	50	1472
3897	NATURE	nature	5.27	1.6	3.42		5.7	1.19	4.23	1.88	0.67	100	1152
390	PUNISHMENT	punishment	4.24	1.81	3.42		5.15	1.2	3.6	1.73	0	34	1377
3902	TRUST (SOMEBODY)	trust	3.57	1.97	4		5.38	1.3	2.49	1.52	0.38	100	1794
3904	ENCOUNTER (MEET)	encounter	3.76	1.6	5.22		4.63	1.17	3.12	1.47	0	35	570
3916	PLEASURE	pleasure	5.46	1.67	3.94		5.67	1.24	3.29	1.67	0	100	1303
392	MAGIC	magic	4.64	1.83	2.81		4.81	1.45	2.46	1.5	0	39	1047
3953	CHARITY	charity	4.51	1.67	4.33		5.18	1.08	3.77	1.74	0.93	36	278
3954	FRIENDSHIP	friendship	5.41	1.5	3.83		5.67	1.09	3.34	1.82	0	50	699
3956	DISPUTE	dispute	4.27	1.65	5.22		5.2	1.04	3.51	1.57	0	40	496
3957	SYSTEM	system	3.46	1.78	4.61		5.88	0.99	3.57	1.81	0	100	1713
3958	SOCIETY	society	4.46	1.95	4.97		6.01	0.97	3.34	1.72	0	100	1606
3967	CONTENT	content	3.97	1.91	3.89		5.53	1.16	2.94	1.57	0.93	50	364
3968	EFFECT	effect	2.86	1.6	4.14		6.02	0.95	2.89	1.49	1.17	50	547
3969	RESULT	result	3.3	1.92	4.06		6.23	0.99	3.14	1.51	0	100	1452
3971	METHOD	method	2.78	1.71	4.81		5.62	1.13	3.17	1.5	0	100	1092
40	ENVY	envy	3.81	1.94	4.31		5.11	1.14	2.54	1.64	0	27	583
420	FOREST	forest	6.46	0.83	2.97		4.91	1.33	6.37	0.99	0	100	681
421	RETREAT	retreat	4.27	1.77	4.31		4.49	1.18	3.83	1.83	0.17	37	1455
43	LEAD (GUIDE)	guide	5.11	1.74	3.67		5.23	1.24	5.17	1.65	1.05	100	768
44	INJURE	harm	3.68	1.8	3.06		5.36	1.37	2.31	1.17	0	50	786
446	LOWER ARM	forearm	5.35	1.74	4.36		4.74	1.22	6.43	0.93	0	2	678
474	DRESS	dress	6.08	1.4	2.22		6.17	0.96	6.34	0.92	0.61	100	523
486	MINISTER	minister	5.76	1.38	3.42		5.1	1.22	5.63	1.6	0.56	50	1104
49	REFUSE	refuse	4.38	1.88	3.94		5.37	1.22	5.23	1.42	1	100	1423
495	REVENGE	revenge	4.35	1.77	4.67		4.89	1.34	3	1.39	0	29	1456
501	LIFT	lift	5.51	1.39	3.11		5.99	1.05	5.69	1.54	1.12	100	1010
503	FROG	frog	6.14	1.21	2.58		4.6	1.57	6.8	0.47	0	25	701
508	PERIOD	period	4.44	2.03	4.58		5.64	1.13	3.6	1.73	0.88	100	1271
52	SHIVER	shiver	5.84	1.3	3.08		5.17	1.5	4.69	1.47	0	26	1562
526	HOWL	howl	5.42	1.42	2.69		4.47	1.37	4.46	1.63	0	34	836
53	SPIRIT	spirit	5.3	1.33	3.89		5.17	1.28	3.34	2.22	1.46	100	1630
534	HUMP	hump	5.11	1.8	3.69		4.08	1.18	5.4	1.13	1.55	5	842
541	POETRY	poetry	4.89	1.54	3.86		4.87	1.37	4.46	1.87	0	26	1309
547	SURFACE	surface	4.59	1.7	3.78		5.73	1.2	4.6	1.78	0.54	50	1698
55	WHISPER	whisper	5.73	1.55	2.56		5.5	1.16	5.09	1.4	0	50	1905
571	STING	sting	5.59	1.4	2.61		4.8	1.61	5.31	1.53	0	28	1658
58	LIQUID	liquid	5.95	1.43	3.43		5.78	1.11	5.83	1.06	0	31	1017
585	BOOT	boot	6.35	0.99	2.51		5.85	1.24	6.49	0.81	0.45	37	192
586	GARDEN	garden	6.51	0.95	1.86		6.18	0.97	6.63	0.86	0	100	715
59	ELECTRICITY	electricity	4.92	1.55	4		6.01	0.92	4.37	1.79	0	18	554
593	POTATO	potato	6.22	1.26	2.33		6.52	0.65	6.69	0.52	0	50	1325
597	PHYSICIAN	physician	5.46	1.62	5.61		4.05	1.53	6.09	1.08	0	43	1286
603	COAT	coat	6.05	1.37	1.97		6.46	0.91	6.49	0.69	0.17	100	315
608	GULF	gulf	4.97	1.59	4.56		4.06	1.33	4.63	1.62	0	33	769
609	HAIL	hail	4.97	1.91	3.54		4.13	1.25	6.03	1.21	0.99	40	775
610	PORT	port	5.73	1.41	3.72		4.67	1.48	5.91	1.11	1.14	50	1319
612	HEAT	heat	5.46	1.6	2.78		6.08	0.92	4.69	1.69	0.17	100	799
614	HILL	hill	6.13	1.4	2.56		5.85	1.14	6.2	0.92	0	100	816
616	HOSPITAL	hospital	6	1.29	3.19		5.31	1.17	6.29	0.91	0	50	833
617	ICE	ice	6.41	0.82	2.61		5.64	1.24	6.57	0.8	0	100	850
619	ANIMAL	animal	5.73	1.48	2.22		6.12	1.05	6.29	1	0	100	67
620	INSECT	insect	5.95	1.39	2.83		5.41	1.18	6.51	0.73	0	40	906
621	IRON	iron	5.61	1.5	2.81		5.64	1.25	6.4	0.99	0.97	100	932
622	ISLAND	island	6.49	0.79	2.89		5.07	1.37	6.29	0.91	0	100	937
625	LAMP	lamp	5.84	1.46	2.83		5.72	1.15	6.43	0.87	0	50	980
626	LAND	land	5.68	1.45	2.86		5.99	1.15	6.2	0.89	1.05	100	981
63	RUMOUR	rumour	3.68	1.66	4.61		5.23	1.25	3.06	1.51	0	18	1487
630	LIGHT (RADIATION)	daylight	5.89	1.27	3.11		5.37	1.25	4.89	1.3	0	25	429
633	MARKET	market	5.86	1.32	3.28		5.48	0.99	5.97	1.18	0.29	100	1064
639	MOUNTAIN	mountain	6.38	1.1	2.83		5.5	1.14	6.62	0.54	0	100	1133
64	PIN	pin	6.08	1.36	2.61		5.45	1.33	6.49	0.77	0.45	43	1292
640	MUD	mud	5.84	1.42	2.39		5.07	1.31	6.37	1.02	0	47	1136
642	MUSIC	music	5.86	1.3	2.72		6	1.05	5.26	1.36	0	100	1141
644	OAK	oak	6.3	1.04	3.11		4.78	1.41	6.57	0.73	0	50	1185
645	OCEAN	ocean	6.3	0.93	3.17		5	1.31	6.43	0.93	0	100	1193
646	ASH	ash	5.43	1.53	3.43		4.8	1.45	6.57	0.77	0.85	37	99
648	PAPER	paper	5.89	1.66	2.29		6.8	0.58	6.46	0.84	0.55	100	1239
649	PASTURE	pasture	5.68	1.27	3.86		4.14	1.19	5.91	0.91	0	30	1251
651	SEAL	seal	6.27	1.03	3.28		4.41	1.35	6.63	0.59	1.05	45	1524
652	PLAIN	plain	4.3	1.93	3.61		5.4	1.18	4.26	2.12	1.24	100	1298
655	POISON	poison	5.16	1.7	3.64		4.93	1.19	5.51	1.56	0	42	1310
658	RAIN (PRECIPITATION)	rain	6.46	0.89	2.11		6.39	1.01	6.46	0.81	0	100	1395
659	REED	reed	5.32	1.58	3.69		4.16	1.47	6.26	1.08	0.8	22	1419
663	BAY	bay	5.76	1.32	3.36		4.74	1.51	6.11	1.06	1.1	100	143
667	ROAD	road	6.38	1.15	2.06		6.44	0.87	6.29	1.16	0	100	1471
671	SAND	sand	6	1.39	2.17		4.81	1.51	6.37	0.86	0	50	1500
673	SCHOOL	school	6.25	1.01	2.28		5.9	1.04	6.26	0.8	0	100	1515
677	AXE	axe	6.03	1.44	3.11		4.61	1.51	6.6	0.68	0	35	124
683	PERSON	human	5.49	1.64	3.69		5.96	1.19	6.14	1.24	0	100	839
691	SEASON	season	5.08	1.53	3.28		5.47	1.15	4.69	1.56	0.47	100	1526
716	GROAN	groan	5.27	1.54	3.42		4.81	1.24	4.66	1.53	0	34	762
719	FIND	find	3.62	1.79	2.72		6	1.2	3.51	1.66	0	100	652
723	PLACE (POSITION)	place	3.78	1.76	2.69		6.41	1	4.66	1.74	0.83	100	1297
729	DAWN	dawn	6.24	1	3.5		4.77	1.43	5	1.53	0.29	50	428
730	SNAKE	snake	6.32	0.96	2.89		4.57	1.52	6.51	1.02	0	28	1601
735	OWL	owl	6.05	1.39	2.69		4.55	1.4	6.49	1.11	0	35	1227
736	YARD	yard	5.54	1.31	3.08		5.2	1.27	6.09	1.22	1.19	100	1936
74	PUPPY	puppy	6.41	0.97	2.03		5.22	1.38	6.6	0.6	0	13	1378
740	SHIP	ship	6.35	1.26	2.49		5.46	1.21	6.63	0.64	0.17	100	1560
744	EGG	egg	6.41	1.24	1.86		6.35	0.79	6.71	0.56	0	100	549
746	SHOP	shop	5.76	1.32	2.36		6.56	0.91	6.26	1	0.17	100	1563
75	DISGRACE	disgrace	3.84	1.75	4.22		4.66	1.32	2.69	1.28	0	20	489
751	SHRUB	shrub	5.62	1.24	3.83		4.46	1.33	6.2	1.01	0	17	1568
753	PUPIL (STUDENT)	student	6.27	1.11	4.81		6.56	0.8	5.63	1.4	0	50	1673
757	BUTTON	button	6.11	1.52	1.92		5.91	1.25	6.57	0.77	0.55	39	233
759	SILVER	silver	5.95	1.31	3.17		5.17	1.57	6.2	0.95	0.17	100	1576
761	COVER	cover	4.49	1.87	2.89		5.97	0.97	5.23	1.22	1.93	100	389
768	LUNCH	lunch	6.03	1.15	2.75		6.56	0.83	5.8	1.39	0	39	1037
778	SMOKE (EXHAUST)	smoke	6.41	0.91	2.28		6.15	1.18	5.83	1.34	0.95	100	1599
779	PART	part	3.73	1.85	3.14		6.27	0.92	3.57	2	0.83	100	1245
783	VICTORY	victory	4.84	1.76	4.11		4.38	1.3	3.69	1.35	0	50	1863
788	SOAP	soap	6.11	1.31	2.22		6.31	1.03	6.4	0.87	0	37	1605
789	PEOPLE	nation	4.38	1.68	4.25		4.97	1.22	4.17	1.84	0	100	1150
79	WASTE	waste	4.24	1.68	3.54		5.96	1.16	4.71	1.72	0.97	100	1886
791	STRANGER	stranger	4.6	1.65	3.22		5.22	1.37	4.54	1.84	0.35	50	1666
795	TROUT	trout	6	1.21	3.94		4.44	1.48	6.74	0.44	0	17	1792
798	JAW	jaw	5.61	1.42	3.61		5.06	1.18	6.51	0.81	0	11	944
8	CURSE	curse	4.16	1.73	4.5		4.36	1.36	3.11	1.69	0.94	39	414
803	ANKLE	ankle	5.97	1.44	2.64		5.61	1.28	6.57	0.77	0	21	68
806	BLANKET	blanket	6.19	1.16	2.11		5.7	1.23	6.54	0.77	0.46	30	177
812	SLAVE	slave	5.41	1.68	3.86		4.06	1.39	5.46	1.48	0.47	50	1590
815	GOVERNMENT	government	4.92	1.76	4.53		5.94	1.05	4.37	1.71	0	100	746
816	HALF	half	4.73	1.69	2.67		6.31	0.9	4.09	1.9	0	100	776
818	WILLOW	willow	5.76	1.46	3.86		4.05	1.49	6.31	1.12	0	24	1913
820	LAMB	lamb	6.39	1.09	1.86		5.34	1.29	6.77	0.42	0	45	979
824	WITCH	witch	6.14	1.09	2.58		4.15	1.54	5.06	1.74	0	24	1919
831	BASE	base	4.38	1.84	3.69		5.52	1.36	4.57	1.95	1.91	100	140
845	MURDER	murder	5.76	1.42	3.81		4.98	1.29	4.35	1.73	0	50	1139
849	SPRING (OF WATER)	fountain	6.08	1.06	3.89		4.69	1.5	6.26	1.15	0	34	689
850	SQUARE	square	6.16	1.35	2.5		5.91	1.18	5.43	1.63	0.71	100	1639
852	PRIEST	priest	5.49	1.48	4.11		4.46	1.52	5.86	1.38	0	42	1343
854	KETTLE	kettle	6.08	1.48	2.74		6.19	1.06	6.49	0.81	0	27	966
859	STOVE	stove	5.92	1.36	2.97		4.59	1.71	6.37	1.02	0.17	40	1664
860	CAUSE	cause	2.97	1.69	4.08		5.8	1.09	2.71	1.45	0	100	264
863	EDGE	edge	4.78	1.86	3.08		5.91	1.17	5.11	1.7	0.29	100	543
866	WIN	win	4.6	1.78	2.69		5.82	1.11	3.66	1.77	0	100	1914
867	GLOVE	glove	6.03	1.4	2.28		5.78	1.39	6.29	1.19	0	43	737
869	BLADE	blade	5.65	1.42	3.44		5.2	1.33	6.14	1.1	0.47	32	175
870	BREATH	breath	4.59	1.73	3.31		5.92	1.02	4.79	1.45	0	50	206
873	TAX	tax	4.65	1.88	4.69		5.19	1.29	4.66	2	0	50	1723
876	ARCH	arch	5.76	1.24	3.67		4.6	1.36	5.6	1.53	0.62	34	87
878	HELL	hell	6.05	1.25	3.14		5.64	1.36	3.43	1.93	0	31	803
88	BEEHIVE	hive	5.6	1.55	3.19		3.86	1.63	6.14	1.22	0.17	14	820
880	REPEAT	repeat	3.57	1.81	3.67		6.02	1.08	3.29	1.65	0	50	1439
881	TAILOR	tailor	5.05	1.86	3.78		4.17	1.31	5.6	1.53	0	32	1716
887	BITTER	bitterness	3.84	1.7	4.97		4.3	1.19	2.6	1.66	0.95	14	174
889	FLAME	flame	6.19	1.2	2.61		5.52	1.32	6.09	1.13	0	50	659
890	MULE	mule	6.14	1.19	3.39		4.11	1.26	6.71	0.56	0.17	29	1137
891	TIDE	tide	5.62	1.55	3.31		4.89	1.31	5.29	1.48	0.39	46	1755
