CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_FREQUENCY	ENGLISH_CD	ENGLISH_SUBTITLE_FREQUENCY	ENGLISH_SUBTITLE_CD	ENGLISH_FREQUENCY_LOG	ENGLISH_CD_LOG	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	4e+01	4e+01	0.7843137254901961	0.4649499284692418	1.6127838567197355	1.6020599913279623	16793
10	FIREWOOD	firewood	8e+01	6e+01	1.5098039215686274	0.7749165474487363	1.8920946026904804	1.8195439355418688	12495
100	FAITHFUL	faithful	5e+02	4e+02	9.117647058823529	4.208392942298522	2.66838591669	2.5490032620257876	4144
1000	ANXIETY	anxiety	3e+02	3e+02	6.764705882352941	3.15927515498331	2.5390760987927767	2.424881636631067	5072
1001	BLACKSMITH	blacksmith	1e+02	5e+01	2.0980392156862746	0.5960896518836434	2.03342375548695	1.7075701760979363	14549
1002	STATUE	statute	1e+02	7e+01	1.9019607843137254	0.8822126847877921	1.9912260756924949	1.8750612633917	11508
1003	PERMIT	allow	2e+03	2e+03	44.372549019607845	19.790176442536957	3.354876422516234	3.2203696324513946	1175
1004	MUSCLE	muscle	7e+02	5e+02	13.607843137254902	6.294706723891274	2.8419848045901137	2.7234556720351857	3021
1005	TWINS	twin	5e+02	3e+02	10.431372549019608	4.041487839771102	2.7267272090265724	2.531478917042255	4244
1006	BRICK	brick	5e+02	3e+02	10.176470588235293	3.040057224606581	2.716003343634799	2.4082399653118496	5208
1007	COW	cow	1e+03	7e+02	25.50980392156863	8.679065331425846	3.114610984232173	2.8627275283179747	2364
1008	BULL	bull	1e+03	7e+02	27.50980392156863	7.927992370052456	3.1473671077937864	2.823474229170301	2534
1009	CHESTNUT TREE	buckeye	9e+00	7e+00	0.17647058823529413	0.08345255126371007	1.0	0.9030899869919435	35829
101	BOAST	brag	2e+02	2e+02	3.5098039215686274	1.9074868860276586	2.255272505103306	2.2068258760318495	7062
1010	BOUNDARY	boundary	7e+01	6e+01	1.3529411764705883	0.7033857892226991	1.845098040014257	1.7781512503836436	13237
1011	BRIDGE	bridge	2e+03	1e+03	45.705882352941174	12.470195517405818	3.3677285460869766	3.0199466816788423	1745
1013	FRESHWATER EEL	eel	7e+01	5e+01	1.4313725490196079	0.619933237958989	1.8692317197309762	1.724275869600789	14267
1014	OR	or	9e+04	8e+03	1705.2941176470588	98.22365283738675	4.939374463658483	3.9159272116971158	79
1016	DRIZZLE	drizzle	2e+01	2e+01	0.43137254901960786	0.2503576537911302	1.3617278360175928	1.3424226808222062	23161
1017	APPEARANCE	appearance	6e+02	5e+02	11.588235294117647	5.9370529327610875	2.77232170672292	2.6981005456233897	3155
1018	MEMORY	memory	2e+03	2e+03	48.568627450980394	18.04959465903672	3.3941013020400446	3.180412632838324	1285
1019	RIGHT	right	2e+05	8e+03	4008.392156862745	99.18931807343824	5.310542504215177	3.9201755220100227	53
102	COMMON COLD (DISEASE)	common	2e+03	2e+03	44.6078431372549	19.694802098235577	3.3571722577230334	3.2182728535714475	1179
1020	HANDKERCHIEF	kerchief	2e+01	1e+01	0.37254901960784315	0.15498330948974726	1.3010299956639813	1.146128035678238	28722
1021	TOWEL	towel	7e+02	5e+02	14.156862745098039	6.258941344778255	2.859138297294531	2.7209857441537393	3036
1024	CHARACTER	character	2e+03	1e+03	38.15686274509804	13.936576061039581	3.2893659515200318	3.0681858617461617	1595
1025	WHISTLE	whistle	8e+02	5e+02	15.450980392156863	5.639008106819266	2.89707700320942	2.6757783416740852	3277
1027	BUG	bug	1e+03	6e+02	20.941176470588236	6.9504053409632816	3.028977705208778	2.7664128471123997	2797
1028	YAWN	gape	3e+00	3e+00	0.058823529411764705	0.0357653791130186	0.6020599913279624	0.6020599913279624	47110
1029	JEWEL	jewels	4e+02	2e+02	7.254901960784314	2.3009060562708634	2.569373909615046	2.287801729930226	6299
1030	NECESSARY	necessary	2e+03	2e+03	45.98039215686274	20.29089175011922	3.3703280077795106	3.231214647962601	1144
1032	CITIZEN	citizen	7e+02	5e+02	13.333333333333334	6.1397234144015265	2.833147111912785	2.7126497016272113	3075
1033	GRIND	grind	2e+02	2e+02	3.7254901960784315	1.979017644253696	2.2810333672477277	2.2227164711475833	6909
1034	DEFENDANT	defendant	9e+02	3e+02	17.725490196078432	3.767286599904626	2.9566485792052033	2.5010592622177517	4482
1035	GOOD	goodness	2e+03	1e+03	32.450980392156865	13.674296614210778	3.219060332448861	3.059941888061955	1616
1036	OWNER	owner	1e+03	8e+02	23.235294117647058	10.133524082021937	3.074084689028244	2.929929560084588	2090
1038	TEACHER	teacher	3e+03	1e+03	55.72549019607843	15.557939914163091	3.4537768596904423	3.115943176939055	1440
1039	SHOW	show	2e+04	7e+03	488.3529411764706	79.04148783977111	4.396321420755798	3.821579027912009	239
1040	HAIR	hair	8e+03	4e+03	153.54901960784315	43.29995231282785	3.8938726787950815	3.5602653978627146	562
1041	INCREASE	increase	4e+02	4e+02	8.549019607843137	4.422985216976634	2.640481436970422	2.5705429398818973	3997
1043	BRAID	braid	5e+01	4e+01	0.9411764705882353	0.47687172150691465	1.6901960800285136	1.6127838567197355	16527
1044	PILLOW	cushion	1e+02	1e+02	2.156862745098039	1.168335717691941	2.0453229787866576	1.99563519459755	9671
1045	POET	poet	5e+02	3e+02	9.215686274509803	3.2665712923223653	2.673020907128896	2.439332693830263	4949
1046	SHUT	close	1e+04	5e+03	219.4313725490196	61.76680972818312	4.048907701483771	3.714497408649806	378
1047	PURSUE	chase	2e+03	9e+02	32.80392156862745	11.254172627563186	3.2237554536572413	2.975431808509263	1921
1048	LINE	line	1e+04	5e+03	206.1764705882353	54.11301859799714	4.021850577434325	3.6570558528571038	453
1049	MOLAR TOOTH	molar	3e+01	2e+01	0.5098039215686274	0.2503576537911302	1.4313637641589874	1.3424226808222062	23328
1052	LIGHT (WEIGHT)	lightweight	6e+01	5e+01	1.1568627450980393	0.631855030996662	1.7781512503836436	1.7323937598229686	14145
1054	SMALLPOX	smallpox	8e+01	4e+01	1.4705882352941178	0.45302813543156895	1.8808135922807914	1.591064607026499	17178
1058	STEPDAUGHTER	stepdaughter	3e+01	2e+01	0.5882352941176471	0.2861230329041488	1.4913616938342726	1.3979400086720377	21892
