CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	WORDNET_ID	NLTK_NAME	HYPERNYMS	HYPONYMS	HYPERNYM_NAMES	HYPONYM_NAMES	IN_DEGREE	OUT_DEGREE	LINE_IN_SOURCE
1017	APPEARANCE	look	n	04674715-n	look.n.03	04673965-n		appearance.n.01		1	0	2719
1018	MEMORY	memory	n	03744276-n	memory.n.04	03493333-n;03744840-n	03829340-n;04058239-n;04059298-n;04151228-n;04537919-n;04539876-n	hardware.n.03;memory_device.n.01	non-volatile_storage.n.01;read-only_memory.n.01;real_storage.n.01;scratchpad.n.01;virtual_memory.n.01;volatile_storage.n.01	2	6	2442
102	COMMON COLD (DISEASE)	common	a	00485711-a	common.a.02					0	0	370
1021	TOWEL	towel	n	04459362-n	towel.n.01	03932670-n	02808304-n;02814428-n;03207835-n;03490006-n;03887697-n;04102760-n	piece_of_cloth.n.01	bath_towel.n.01;beach_towel.n.01;dishtowel.n.01;hand_towel.n.01;paper_towel.n.01;roller_towel.n.01	1	6	2656
1024	CHARACTER	graph	n	07000195-n	graph.n.01	06873252-n	07003672-n;07001065-n;07003935-n;07003807-n;07004057-n;07004241-n;07004564-n;13789751-n;07004738-n;07004962-n;07005158-n;07005270-n;04168716-n;07005897-n;07006018-n	visual_communication.n.01	ballistocardiogram.n.01;characteristic_curve.n.01;echocardiogram.n.01;echoencephalogram.n.01;electrocardiogram.n.01;electroencephalogram.n.01;electroretinogram.n.01;exponential_curve.n.01;laffer_curve.n.01;learning_curve.n.01;myogram.n.01;radiation_pattern.n.01;seismogram.n.01;tachogram.n.01;thermogram.n.01	1	15	3457
1028	YAWN	yawn	v	00007328-v	yawn.v.01	00001740-v		breathe.v.01		1	0	10
1029	JEWEL	jewel	n	03596787-n	jewel.n.01	03597469-n	03139341-n;13371958-n;13372665-n;13372403-n;13372262-n;13372812-n;04259364-n	jewelry.n.01	crown_jewel.n.02;diamond.n.01;emerald.n.02;pearl.n.01;ruby.n.01;sapphire.n.02;solitaire.n.01	1	7	2388
1030	NECESSARY	necessary	a	01580050-a	necessary.a.01					0	0	1281
1032	CITIZEN	citizen	n	09923673-n	citizen.n.01	09625401-n	09765118-n;09924742-n;10111023-n;10457903-n;10521288-n;10704886-n;10760340-n	national.n.01	active_citizen.n.01;civilian.n.01;freeman.n.01;private_citizen.n.01;repatriate.n.01;thane.n.02;voter.n.01	1	7	4149
1033	GRIND	grind	v	00331082-v	grind.v.05	00338071-v	00332017-v;00331842-v;00331713-v	break_up.v.16	mill.v.02;pestle.v.01;pulp.v.02	1	3	265
