CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_ASSOCIATED_CONCEPT1	ENGLISH_ASSOCIATED_CONCEPT2	ENGLISH_FAMILIARITY_MEAN_CONCEPT1	ENGLISH_FAMILIARITY_MEAN_CONCEPT2	ENGLISH_AUDITORY_MEAN_CONCEPT1	ENGLISH_AUDITORY_MEAN_CONCEPT2	ENGLISH_GUSTATORY_MEAN_CONCEPT1	ENGLISH_GUSTATORY_MEAN_CONCEPT2	ENGLISH_HAPTIC_MEAN_CONCEPT1	ENGLISH_HAPTIC_MEAN_CONCEPT2	ENGLISH_OLFACTORY_MEAN_CONCEPT1	ENGLISH_OLFACTORY_MEAN_CONCEPT2	ENGLISH_VISUAL_MEAN_CONCEPT1	ENGLISH_VISUAL_MEAN_CONCEPT2	ENGLISH_PERCEPTUAL_DOMINANT_CONCEPT1	ENGLISH_PERCEPTUAL_EXCLUSIVITY_CONCEPT1	ENGLISH_PERCEPTUAL_DOMINANT_CONCEPT2	ENGLISH_PERCEPTUAL_EXCLUSIVITY_CONCEPT2	ENGLISH_PERCEPTUAL_DOMINANT_DISTRIBUTION	LINE_IN_SOURCE
1025	WHISTLE	whistling	life guard	supporter	1.0	1.0	4.883720930232558	4.953488372093023	0.0	0.0	0.23255813953488372	0.18604651162790697	0.0	0.0	3.5813953488372094	3.4186046511627906	auditory	0.5614973262032085	auditory	0.5788043478260869	unidominant	381
1091	SALTY	salty	bacon	tidemark	1.0	0.675	0.40476190476190477	0.25925925925925924	4.9523809523809526	3.888888888888889	0.9523809523809523	0.8888888888888888	1.9761904761904763	2.259259259259259	1.4761904761904763	1.3703703703703705	gustatory	0.46585365853658534	gustatory	0.41880341880341887	unidominant	284
1129	PAINFUL	painful	scream	sting	1.0	1.0	4.809523809523809	0.775	0.0	0.05	0.5	4.65	0.047619047619047616	0.025	3.0714285714285716	2.8	auditory	0.5706214689265536	haptic	0.5572289156626505	bidominant	244
1156	OPEN	open	book	can	1.0	1.0	1.9767441860465116	2.558139534883721	0.06976744186046512	0.5116279069767442	3.953488372093023	3.116279069767442	1.069767441860465	1.6511627906976745	4.976744186046512	4.72093023255814	visual	0.4073359073359073	visual	0.3351851851851852	unidominant	241
1202	BIG	big	skyscraper	steak	0.975	1.0	0.358974358974359	0.30952380952380953	0.0	1.880952380952381	1.3076923076923077	3.9047619047619047	0.0	0.7142857142857143	4.948717948717949	4.904761904761905	visual	0.748062015503876	visual	0.39227642276422764	unidominant	21
1203	LONG	long	fence	moan	1.0	0.9550000000000001	0.06976744186046512	4.666666666666667	0.0	0.02631578947368421	2.395348837209302	0.2894736842105263	0.023255813953488372	0.0	4.953488372093023	2.0	visual	0.665625	auditory	0.6683417085427136	bidominant	210
1210	HEAVY	heavy	brushstroke	washing machine	1.0	0.985	1.2093023255813953	1.35	0.0	0.0	3.2790697674418605	3.58974358974359	0.11627906976744186	0.02564102564102564	4.162790697674419	3.725	visual	0.4748010610079576	visual	0.4286346536844434	unidominant	180
1230	DIRTY	dirty	hands	sheets	0.9761904761904762	1.0	0.1951219512195122	0.18604651162790697	1.4634146341463414	0.32558139534883723	3.8536585365853657	3.2325581395348837	3.2439024390243905	3.395348837209302	4.414634146341464	4.558139534883721	visual	0.32037037037037036	visual	0.3737574552683896	unidominant	113
1232	WARM	warm	fire	jacket	0.99	1.0	1.2564102564102564	0.16279069767441862	0.10256410256410256	0.0	4.575	4.767441860465116	1.375	0.2558139534883721	3.1	3.372093023255814	haptic	0.42967114176622745	haptic	0.5570652173913042	unidominant	375
1234	SMOOTH	smooth	ship's hull	tie	0.9302325581395349	0.9761904761904762	0.725	0.4634146341463415	0.075	0.04878048780487805	4.275	4.7560975609756095	0.075	0.0975609756097561	4.15	4.097560975609756	haptic	0.45161290322580644	haptic	0.49742268041237114	unidominant	313
