ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES	SCORED_RELATIONS
Lapesa-2014-772-11	11			accustom	verb	253:to-accustom-to-know:0 254:to-accustom-to-alienate:0 255:to-accustom-to-familiarize:0	→381 →29 →252	poli1 poli1 poli1	freqMed freqMed freqMed	LOW NOT HIGH	SYN SYN SYN	2.7 0.0 4.2	2.6 0.1 4.3	"{""to-accustom-to-know"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 2.7, ""BACKWARD_SCORE"": 2.6, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""to-accustom-to-alienate"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.1, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""to-accustom-to-familiarize"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.2, ""BACKWARD_SCORE"": 4.3, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-12	12			achieve	verb	256:to-achieve-to-fail:0 257:to-achieve-to-obtain:0 258:to-achieve-to-get:0 259:to-achieve-to-win:0 260:to-achieve-to-fail:0 261:to-achieve-to-lose:0 262:to-achieve-to-accomplish:0 263:to-achieve-to-fail:0 264:to-achieve-to-accomplish:0	→251 →454 →287 →758 →251 →407 →9 →251 →9	poli1 poli1 poli1 poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	NOT LOW LOW HIGH NOT LOW HIGH HIGH NOT	HYP SYN HYP HYP SYN ANT SYN ANT ANT	0.0 3.8 3.5 4.5 0.0 4.3 4.9 5.0 0.0	0.0 4.2 4.6 3.3 0.0 4.2 4.8 4.9 0.0	"{""to-achieve-to-fail"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 4.9, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""to-achieve-to-obtain"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.8, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""to-achieve-to-get"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.5, ""BACKWARD_SCORE"": 4.6, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""to-achieve-to-win"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.5, ""BACKWARD_SCORE"": 3.3, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}, ""to-achieve-to-lose"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""LOW""}, ""to-achieve-to-accomplish"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-13	13	3892	ACQUIRE (SOMETHING)	acquire	verb	368:to-hone-to-acquire:1	←321	poli2	freqMed	LOW	SYN	1.1	1.5	"{""to-hone-to-acquire"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 1.1, ""BACKWARD_SCORE"": 1.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-14	14			act	noun	758:parody-act:1	←474	poli2	freqMed	LOW	HYP	3.3	3.5	"{""parody-act"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.3, ""BACKWARD_SCORE"": 3.5, ""POLYSEMY_CLASS"": ""poli2"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}}"
Lapesa-2014-772-15	15			activity	noun	782:recreation-activity:1	←536	poli1	freqMax	HIGH	HYP	3.8	3.7	"{""recreation-activity"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 3.8, ""BACKWARD_SCORE"": 3.7, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-16	16			actor	noun	632:cameraman-actor:1 634:cameraman-actor:1	←83 ←83	poli1 poli1	freqMin freqMin	HIGH NOT	ANT SYN	1.9 0.3	2.6 0.2	"{""cameraman-actor"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.3, ""BACKWARD_SCORE"": 0.2, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMin"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-17	17	2882	ADD	add	verb	523:to-sum-to-add:1 524:to-sum-to-add:1 531:to-sum-to-add:1	←648 ←648 ←648	poli1 poli1 poli1	freqMax freqMax freqMax	HIGH HIGH NOT	HYP SYN ANT	3.6 3.8 0.5	3.6 4.8 0.0	"{""to-sum-to-add"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 0.5, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli1"", ""FREQUENCY_CLASS"": ""freqMax"", ""DEGREE_CLASS"": ""NOT""}}"
Lapesa-2014-772-18	18			admiration	noun	595:admiration-disgust:0 596:admiration-emotion:0 597:admiration-feeling:0 598:admiration-esteem:0 599:admiration-adoration:0 600:admiration-disgust:0	→195 →220 →259 →233 →19 →195	poli3 poli3 poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMed freqMed freqMed	NOT LOW HIGH LOW HIGH NOT	HYP HYP HYP SYN SYN SYN	0.0 4.3 4.9 3.9 4.4 0.0	0.0 4.8 4.8 4.5 4.2 0.0	"{""admiration-disgust"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 0.0, ""BACKWARD_SCORE"": 0.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""NOT""}, ""admiration-emotion"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.3, ""BACKWARD_SCORE"": 4.8, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""admiration-feeling"": {""RELATION_TYPE"": ""HYP"", ""FORWARD_SCORE"": 4.9, ""BACKWARD_SCORE"": 4.8, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}, ""admiration-esteem"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 3.9, ""BACKWARD_SCORE"": 4.5, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""LOW""}, ""admiration-adoration"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.4, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-19	19			adoration	noun	599:admiration-adoration:1	←18	poli3	freqMed	HIGH	SYN	4.4	4.2	"{""admiration-adoration"": {""RELATION_TYPE"": ""SYN"", ""FORWARD_SCORE"": 4.4, ""BACKWARD_SCORE"": 4.2, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
Lapesa-2014-772-20	20			affected	adjective	173:unaffected-affected:1	←690	poli3	freqMed	HIGH	ANT	5.0	5.0	"{""unaffected-affected"": {""RELATION_TYPE"": ""ANT"", ""FORWARD_SCORE"": 5.0, ""BACKWARD_SCORE"": 5.0, ""POLYSEMY_CLASS"": ""poli3"", ""FREQUENCY_CLASS"": ""freqMed"", ""DEGREE_CLASS"": ""HIGH""}}"
